sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
101,116353,46,5926875846,41803,50939,4.88,1.87,0.38,0.16,0.46,6.9,19.2,30.1,26.5,26.9,24.8,21.8,Capital Region
102,164681,45,8363718300,41432,50787,4.71,1.85,0.39,0.17,0.451,7.2,19.4,30.3,26.4,27.5,25.3,20.8,Central Coast
103,103174,45,5231792723,41239,50708,5.27,1.93,0.37,0.14,0.473,6.6,19.0,30.4,27.5,26.5,23.6,22.4,Central West
104,66224,47,2792750080,34428,42171,5.73,1.89,0.33,0.11,0.486,7.6,20.3,31.7,33.3,29.8,22.1,14.8,Coffs Harbour - Grafton
105,55784,44,2701145474,40876,48422,5.03,1.85,0.37,0.13,0.47600000000000003,6.9,19.0,30.1,27.5,27.3,24.9,20.4,Far West and Orana
106,130384,43,7527653798,44553,57734,5.33,2.02,0.38,0.16,0.47200000000000003,7.5,19.4,31.0,25.2,25.1,22.6,27.1,Hunter Valley exc Newcastle
107,145113,43,8044706131,44323,55438,5.12,1.94,0.38,0.16,0.455,6.7,18.9,30.0,25.5,25.0,23.5,26.1,Illawarra
108,96703,49,4062694009,33955,42012,6.17,1.9,0.31,0.09,0.494,7.9,20.8,32.3,34.0,30.0,21.3,14.7,Mid North Coast
109,61315,46,2866826757,39281,46756,4.98,1.81,0.36,0.14,0.46799999999999997,7.3,19.6,30.5,28.7,27.9,25.7,17.7,Murray
110,91702,45,4116347187,37892,44888,5.53,1.83,0.33,0.1,0.509,7.9,20.7,32.1,30.5,28.1,24.3,17.0,New England and North West
111,187843,43,10723837568,45829,57089,4.94,1.87,0.38,0.16,0.45899999999999996,7.6,20.0,31.0,24.6,24.3,24.9,26.1,Newcastle and Lake Macquarie
112,119671,47,5215691961,35189,43584,5.47,1.87,0.34,0.12,0.489,8.0,21.2,32.5,32.6,29.7,22.3,15.4,Richmond - Tweed
113,82206,44,3993841209,41253,48583,4.63,1.77,0.38,0.15,0.456,7.3,19.2,29.9,26.6,27.9,26.7,18.9,Riverina
114,71163,48,3414560163,36787,47982,5.49,1.97,0.36,0.14,0.493,9.2,22.5,33.7,30.9,28.7,22.0,18.5,Southern Highlands and Shoalhaven
115,130086,45,8734472490,49481,67144,5.32,1.98,0.37,0.17,0.495,9.4,23.2,34.6,23.6,22.3,22.1,31.9,Sydney - Baulkham Hills and Hawkesbury
116,158514,39,8242774945,47319,52000,3.73,1.64,0.44,0.22,0.382,4.5,15.0,25.1,21.0,25.8,31.6,21.6,Sydney - Blacktown
117,179409,34,12022134229,49636,67010,5.2,1.9,0.37,0.19,0.49700000000000005,11.1,24.7,35.7,24.1,21.5,24.0,30.4,Sydney - City and Inner South
118,163155,39,15003970671,55639,91961,5.51,2.02,0.37,0.18,0.58,17.4,34.5,45.6,21.2,20.2,21.8,36.8,Sydney - Eastern Suburbs
119,277224,41,14138682805,41638,51001,4.49,1.83,0.41,0.19,0.445,6.9,19.2,30.1,26.3,27.3,25.8,20.7,Sydney - Inner South West
120,163887,40,11510179311,50785,70232,5.09,1.96,0.38,0.19,0.498,9.8,24.3,35.8,22.5,22.2,23.1,32.2,Sydney - Inner West
121,245591,44,23105694772,57027,94082,6.35,2.16,0.34,0.15,0.5770000000000001,15.0,32.2,44.0,22.3,19.0,19.7,39.0,Sydney - North Sydney and Hornsby
122,157674,44,11840499933,49222,75095,5.56,2.07,0.37,0.17,0.54,12.5,28.3,40.2,23.7,22.4,21.9,32.0,Sydney - Northern Beaches
123,128278,41,6902519771,47172,53809,3.81,1.69,0.44,0.22,0.397,5.5,16.4,26.5,20.8,26.1,30.0,23.1,Sydney - Outer South West
124,160379,42,8683324383,47304,54143,4.05,1.71,0.42,0.21,0.408,5.8,16.8,27.0,21.9,25.2,28.9,24.0,Sydney - Outer West and Blue Mountains
125,208998,38,10482664907,42344,50157,4.55,1.8,0.4,0.19,0.43200000000000005,5.9,17.6,28.4,26.3,26.4,26.5,20.8,Sydney - Parramatta
126,100758,43,6921978771,48772,68699,5.66,2.01,0.35,0.15,0.516,11.0,25.4,36.9,25.1,21.5,22.0,31.4,Sydney - Ryde
127,171017,40,8330842954,43062,48714,3.9,1.68,0.43,0.22,0.4,5.3,16.2,26.4,23.9,28.3,29.5,18.4,Sydney - South West
128,131512,44,8543017874,50091,64960,4.71,1.87,0.4,0.19,0.473,9.0,22.1,33.1,22.0,23.2,24.3,30.6,Sydney - Sutherland
201,78146,44,3733788853,39936,47780,4.75,1.79,0.38,0.15,0.45399999999999996,7.6,19.7,30.3,28.0,27.9,26.2,17.9,Ballarat
202,77625,45,3704818674,40112,47727,4.89,1.79,0.37,0.15,0.451,6.9,19.1,29.9,28.1,27.7,26.1,18.1,Bendigo
203,143479,44,7485571473,42031,52172,4.94,1.86,0.38,0.16,0.46299999999999997,7.8,20.4,31.3,26.8,26.4,25.1,21.7,Geelong
204,90231,46,4016604936,38419,44515,5.03,1.79,0.36,0.13,0.457,6.4,18.3,29.1,29.6,28.3,26.0,16.2,Hume
205,136283,46,6418707348,37499,47098,5.54,1.94,0.35,0.13,0.48700000000000004,6.6,20.2,32.0,30.6,28.0,22.7,18.8,Latrobe - Gippsland
206,329549,36,23869115986,52009,72430,4.92,1.87,0.38,0.19,0.507,12.2,26.4,37.5,21.9,21.3,24.6,32.2,Melbourne - Inner
207,210139,45,15397051396,47435,73271,6.27,2.12,0.34,0.14,0.552,12.4,28.6,40.7,26.4,21.4,20.6,31.6,Melbourne - Inner East
208,233762,44,17002560160,50044,72734,5.32,1.99,0.37,0.17,0.523,11.4,26.8,38.5,23.3,21.9,22.9,31.9,Melbourne - Inner South
209,250086,41,13619139258,45000,54458,4.31,1.77,0.41,0.2,0.43700000000000006,7.2,19.2,29.9,23.8,26.0,27.1,23.1,Melbourne - North East
210,168383,41,8656573016,43695,51410,4.24,1.75,0.41,0.2,0.425,6.1,17.9,28.5,24.4,26.8,27.7,21.0,Melbourne - North West
211,283318,44,15089279915,43971,53259,4.51,1.8,0.4,0.18,0.442,6.8,19.0,29.9,24.7,26.1,26.4,22.7,Melbourne - Outer East
212,364546,41,18047484073,42008,49507,4.23,1.74,0.41,0.19,0.43,6.7,18.5,29.0,25.5,27.9,27.7,18.8,Melbourne - South East
213,340067,38,17667509600,45341,51953,3.99,1.7,0.43,0.21,0.40700000000000003,5.4,16.7,27.1,22.9,26.4,29.3,21.4,Melbourne - West
214,152213,45,7839722008,41330,51505,4.58,1.83,0.4,0.18,0.45899999999999996,8.3,20.9,31.7,26.4,27.7,25.7,20.2,Mornington Peninsula
215,78597,46,3482636568,37658,44310,5.13,1.78,0.35,0.13,0.47100000000000003,6.8,19.6,30.6,30.2,29.1,25.1,15.6,North West
216,68242,45,2942040471,37230,43112,4.98,1.78,0.36,0.13,0.45899999999999996,6.6,18.5,29.3,30.7,29.0,25.5,14.7,Shepparton
217,69129,46,2969291931,36738,42953,5.53,1.84,0.33,0.11,0.48700000000000004,6.7,19.1,30.4,31.6,28.1,24.5,15.7,Warrnambool and South West
301,123893,43,7328833872,47473,59155,4.31,1.8,0.42,0.2,0.44799999999999995,7.5,20.3,31.2,22.1,24.9,26.7,26.3,Brisbane - East
302,115755,41,6811892132,49163,58847,4.27,1.75,0.41,0.19,0.431,6.7,18.8,29.5,21.6,23.4,28.0,27.0,Brisbane - North
303,192494,39,11072199412,45804,57520,4.87,1.84,0.38,0.18,0.46299999999999997,7.8,20.8,31.8,25.1,23.8,25.3,25.9,Brisbane - South
304,105294,42,7611079402,51016,72284,5.77,1.96,0.34,0.15,0.522,11.3,26.2,37.8,24.4,20.5,21.9,33.2,Brisbane - West
305,152762,36,12051225276,53617,78889,5.46,1.97,0.36,0.17,0.531,12.3,28.0,39.6,22.3,20.1,22.5,35.0,Brisbane Inner City
306,129849,42,6480915409,40881,49911,4.57,1.83,0.4,0.19,0.45399999999999996,7.1,19.7,30.6,26.4,28.5,25.4,19.7,Cairns
307,68722,44,3107236896,38047,45215,5.71,1.89,0.33,0.1,0.522,7.1,20.3,32.2,30.9,27.1,23.8,18.3,Darling Downs - Maranoa
308,121963,41,8013185083,52107,65702,5.27,2.04,0.39,0.17,0.467,6.0,17.9,29.4,21.5,22.2,22.3,34.0,Central Queensland
309,298752,42,15586396973,40484,52172,4.56,1.87,0.41,0.19,0.473,9.2,22.4,33.4,26.5,29.0,24.4,20.2,Gold Coast
310,145900,40,7325179647,44813,50207,3.99,1.67,0.42,0.2,0.405,5.2,16.3,26.6,23.2,26.7,30.1,19.9,Ipswich
311,152725,40,7529881517,43848,49304,3.74,1.66,0.44,0.22,0.397,5.3,16.4,26.6,22.7,28.6,30.4,18.3,Logan - Beaudesert
312,101026,40,6858489571,52862,67888,5.15,2.1,0.41,0.19,0.457,6.3,17.8,29.1,20.2,22.5,22.2,35.0,Mackay - Isaac - Whitsunday
313,112077,43,5422678063,40933,48384,4.53,1.78,0.39,0.17,0.43700000000000006,6.0,18.1,29.0,26.5,28.3,26.4,18.7,Moreton Bay - North
314,102139,41,5896292861,48231,57728,4.12,1.75,0.42,0.2,0.42700000000000005,6.3,18.5,29.2,21.2,24.9,27.9,26.0,Moreton Bay - South
315,38850,40,2147829848,46271,55285,5.01,1.95,0.39,0.17,0.484,6.4,17.9,29.3,23.8,24.6,23.4,28.1,Queensland - Outback
316,181034,46,8984189348,37958,49627,5.33,1.96,0.37,0.15,0.49,8.2,22.0,33.7,29.9,28.2,22.3,19.6,Sunshine Coast
