yr,num_bsns_num_non_emply_bsns_num,num_bsns_1_4_emplys_num,num_bsns_5_19_emplys_num,num_bsns_20_pls_emplys_num,num_bsns_tot_num_bsns_num,bsns_entries_num_non_emply_bsns_entries_num,bsns_entries_1_4_emplys_num,bsns_entries_5_19_emplys_num,bsns_entries_20_pls_emplys_num,bsns_entries_tot_num_bsns_entries_num,bsns_exits_num_non_emply_bsns_exits_num,bsns_exits_1_4_emplys_num,bsns_exits_5_19_emplys_num,bsns_exits_20_pls_emplys_num,bsns_exits_tot_num_bsns_exits_num,num_bsns_by_industry_agri_frsty_fish_num,num_bsns_by_industry_mining_num,num_bsns_by_industry_manu_num,num_bsns_by_industry_elec_gas_water_wst_num,num_bsns_by_industry_cons_num,num_bsns_by_industry_whsl_trade_num,num_bsns_by_industry_rtl_trade_num,num_bsns_by_industry_accom_food_num,num_bsns_by_industry_trns_pstl_whse_num,num_bsns_by_industry_info_med_coms_num,num_bsns_by_industry_fin_insur_num,num_bsns_by_industry_rent_hiring_rlst_num,num_bsns_by_industry_pro_sci_tech_num,num_bsns_by_industry_admt_supp_num,num_bsns_by_industry_pub_admt_safety_num,num_bsns_by_industry_edu_training_num,num_bsns_by_industry_hlth_care_soc_asst_num,num_bsns_by_industry_arts_rec_num,num_bsns_by_industry_oth_num,num_bsns_by_industry_currly_unk_num,num_bsns_by_industry_tot_num,bld_approvals_priv_sector_houses_num,bld_approvals_priv_sector_dwl_excluding_houses_num,bld_approvals_tot_priv_sector_dwl_units_num,bld_approvals_tot_dwl_units_num,bld_approvals_value_priv_sector_houses_audm,bld_approvals_value_priv_sector_dwl_excluding_houses_audm,bld_approvals_value_tot_priv_sectors_dwl_units_audm,bld_approvals_value_tot_resial_bld_audm,bld_approvals_value_tot_non_resial_bld_audm,bld_approvals_value_tot_bld_audm,resial_property_prices_houses_num_trfs_num,resial_property_prices_houses_med_sale_price_aud,resial_property_prices_attached_dwl_num_trfs_num,resial_property_prices_attached_dwl_med_sale_price_aud,avg_hsld_net_worth_avg_hsld_net_worth_aud,patents_trademarks_patent_applicants_num,patents_trademarks_trademark_applicants_num,p_inslv_tot_debt_ent_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_non_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_p_inslv_num,slct_caus_p_inslv_bsns_rel_inslv_caus_economic_cond_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_exc_use_credit_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_unemp_loss_inc_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_managers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_pros_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_tech_trades_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_cmty_p_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_clrc_admt_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_sales_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_mach_ops_drivers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_labourers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_debt_oth_unk_occ_num,regd_mtr_vhcls_num_by_type_vehicle_pax_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_campervans_num,regd_mtr_vhcls_num_by_type_vehicle_light_comc_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_light_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_heavy_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_articulated_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_nfc_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_buses_num,regd_mtr_vhcls_num_by_type_vehicle_motorcycles_num,regd_mtr_vhcls_num_by_type_fuel_petrol_num,regd_mtr_vhcls_num_by_type_fuel_diesel_num,regd_mtr_vhcls_num_by_type_fuel_lpg_dual_oth_num,regd_mtr_vhcls_num_by_type_fuel_electric_num,regd_mtr_vhcls_yr_manu_less_5_yrs_num,regd_mtr_vhcls_yr_manu_5_10_yrs_num,regd_mtr_vhcls_yr_manu_ov_10_yrs_num,regd_mtr_vhcls_yr_manu_tot_regd_mtr_vhcls_num,tourist_accom_est_est_15_pls_rooms_num,agri_comm_tot_area_area_holding_ha,agri_comm_tot_area_vegetables_human_consumption_ha,agri_comm_tot_area_fruit_nuts_orchard_trees_nut_trees_ha,agri_comm_tot_num_dairy_cattle_num,agri_comm_tot_num_meat_cattle_num,agri_comm_tot_num_sheep_num,agri_comm_tot_num_pigs_num,agri_comm_tot_num_meat_chickens_num,gross_value_agri_prod_broadacre_crops_tot_area_ha_ha,gross_value_agri_prod_gross_value_agri_prod_audm,gross_value_agri_prod_gross_value_crops_audm,gross_value_agri_prod_gross_value_livestock_slaughtering_audm,empy_by_industry_agri_frsty_fish_pr100,empy_by_industry_mining_pr100,empy_by_industry_manu_pr100,empy_by_industry_elec_gas_water_wst_pr100,empy_by_industry_cons_pr100,empy_by_industry_whsl_trade_pr100,empy_by_industry_rtl_trade_pr100,empy_by_industry_accom_food_pr100,empy_by_industry_trns_pstl_whse_pr100,empy_by_industry_info_med_coms_pr100,empy_by_industry_fin_insur_pr100,empy_by_industry_rent_hiring_rlst_pr100,empy_by_industry_pro_sci_tech_pr100,empy_by_industry_admt_supp_pr100,empy_by_industry_pub_admt_safety_pr100,empy_by_industry_edu_training_pr100,empy_by_industry_hlth_care_soc_asst_pr100,empy_by_industry_arts_rec_pr100,empy_by_industry_oth_pr100,empy_by_industry_tot_empy_num,sa4_code16,sa4_name16,ogc_fid
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11388.0,4.0,30.0,11135.0,2736.0,5769.0,2.0,,,,,,0.4,2.6,9.9,1.1,7.9,2.6,10.5,7.2,5.1,1.2,3.6,1.5,5.2,3.1,7.0,10.4,13.3,1.4,4.0,119425.0,107,Illawarra,1
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,2
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,552.0,1274.0,1274.0,266.0,99.0,366.0,374.0,216.0,590.0,,,,,,69.0,350.0,77.0,342.0,419.0,40.0,113.0,110.0,43.0,23.0,66.0,54.0,48.0,43.0,40.0,46.0,56.0,154892.0,574.0,25514.0,1438.0,2199.0,503.0,84.0,705.0,9200.0,165365.0,23854.0,5464.0,17.0,43896.0,57577.0,93606.0,195079.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,3
2014,8855.0,5358.0,1806.0,386.0,16408.0,,,,,,,,,,,372.0,34.0,688.0,36.0,3120.0,484.0,1315.0,781.0,1003.0,117.0,1240.0,1645.0,1998.0,628.0,77.0,286.0,1244.0,259.0,924.0,161.0,16408.0,807.0,705.0,1512.0,1530.0,293.0,176.0,469.0,466.0,320.0,786.0,3677.0,480000.0,1998.0,377750.0,724622.0,49.0,320.0,48.0,364.0,412.0,15.0,124.0,122.0,35.0,33.0,59.0,44.0,56.0,39.0,36.0,53.0,57.0,158373.0,597.0,26685.0,1509.0,2316.0,497.0,100.0,733.0,9718.0,167159.0,27760.0,5283.0,5.0,47428.0,57134.0,96040.0,200602.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,4
2015,9086.0,5498.0,1855.0,365.0,16801.0,1455.0,809.0,80.0,5.0,2341.0,1439.0,533.0,94.0,5.0,2066.0,369.0,33.0,698.0,41.0,3230.0,464.0,1313.0,837.0,953.0,130.0,1325.0,1703.0,2038.0,624.0,73.0,292.0,1324.0,258.0,952.0,149.0,16801.0,799.0,1165.0,1964.0,2004.0,310.0,276.0,586.0,605.0,255.0,860.0,4187.0,535000.0,1962.0,430000.0,,46.0,351.0,46.0,283.0,329.0,20.0,83.0,104.0,21.0,21.0,52.0,40.0,29.0,32.0,31.0,39.0,64.0,162881.0,694.0,28391.0,1625.0,2405.0,528.0,120.0,740.0,10237.0,170230.0,32054.0,4814.0,6.0,49566.0,58231.0,99773.0,207570.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,5
2016,9372.0,5705.0,1855.0,365.0,17300.0,1584.0,883.0,86.0,8.0,2561.0,1455.0,553.0,109.0,12.0,2129.0,355.0,32.0,690.0,43.0,3415.0,462.0,1287.0,866.0,954.0,143.0,1396.0,1747.0,2077.0,652.0,68.0,308.0,1411.0,262.0,987.0,147.0,17300.0,864.0,1417.0,2281.0,2301.0,341.0,368.0,708.0,720.0,486.0,1206.0,4070.0,614000.0,1979.0,479000.0,802025.0,,,34.0,261.0,295.0,10.0,79.0,88.0,28.0,19.0,49.0,33.0,37.0,26.0,18.0,45.0,40.0,166434.0,739.0,29723.0,1699.0,2525.0,495.0,120.0,815.0,10691.0,172325.0,36108.0,4389.0,22.0,51241.0,60026.0,101894.0,213161.0,37.0,7050.0,2.0,27.0,8573.0,2057.0,,2.0,737.0,,24.0,2.0,6.0,0.5,2.0,6.0,1.1,9.5,2.0,10.1,7.5,4.6,1.1,3.5,1.5,5.3,3.4,7.3,10.9,14.7,1.4,4.0,127331.0,107,Illawarra,6
2017,9685.0,5934.0,1948.0,386.0,17953.0,1736.0,972.0,104.0,3.0,2819.0,1489.0,574.0,132.0,14.0,2210.0,337.0,34.0,685.0,47.0,3652.0,478.0,1272.0,867.0,990.0,165.0,1475.0,1771.0,2192.0,673.0,72.0,338.0,1521.0,264.0,986.0,136.0,17953.0,1037.0,800.0,1837.0,1837.0,414.0,200.0,614.0,621.0,226.0,847.0,,,,,,,,55.0,295.0,350.0,17.0,108.0,98.0,30.0,24.0,47.0,53.0,43.0,22.0,40.0,46.0,45.0,169118.0,815.0,31016.0,1749.0,2595.0,540.0,78.0,769.0,11166.0,173472.0,40255.0,3873.0,23.0,52050.0,61240.0,104516.0,217806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,7
2018,10285.0,6162.0,1910.0,368.0,18727.0,1906.0,911.0,95.0,12.0,2921.0,1490.0,635.0,111.0,12.0,2252.0,335.0,42.0,704.0,48.0,3889.0,474.0,1265.0,895.0,1144.0,174.0,1542.0,1778.0,2264.0,732.0,74.0,346.0,1578.0,291.0,1022.0,133.0,18727.0,895.0,1785.0,2680.0,2712.0,400.0,537.0,937.0,953.0,259.0,1212.0,,,,,,,,42.0,267.0,312.0,11.0,94.0,82.0,25.0,20.0,62.0,54.0,32.0,27.0,27.0,42.0,26.0,171125.0,877.0,32533.0,1821.0,2677.0,546.0,60.0,802.0,11535.0,173800.0,44573.0,3305.0,34.0,53212.0,63328.0,105417.0,221906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Illawarra,8
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154316.0,4734.0,14445.0,15720.0,503727.0,3264819.0,101989.0,1973564.0,,,,,11.6,0.3,10.8,1.6,6.7,3.4,11.1,6.3,4.7,0.7,1.8,1.0,3.3,2.2,8.0,8.9,11.1,0.7,3.7,68338.0,113,Riverina,9
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,10
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,112.0,547.0,548.0,139.0,31.0,170.0,176.0,95.0,271.0,,,,,,25.0,178.0,47.0,205.0,252.0,18.0,60.0,77.0,12.0,34.0,27.0,34.0,24.0,23.0,24.0,46.0,28.0,77912.0,341.0,31764.0,1055.0,4342.0,2232.0,83.0,750.0,5445.0,86524.0,34337.0,2938.0,6.0,27774.0,33445.0,62743.0,123962.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,11
2014,9333.0,4416.0,1737.0,349.0,15835.0,,,,,,,,,,,5338.0,20.0,544.0,46.0,2101.0,424.0,871.0,632.0,808.0,43.0,1013.0,1337.0,698.0,361.0,33.0,101.0,587.0,120.0,650.0,115.0,15835.0,587.0,51.0,638.0,640.0,189.0,11.0,200.0,205.0,273.0,478.0,2263.0,260000.0,287.0,230000.0,895156.0,12.0,159.0,37.0,213.0,250.0,18.0,57.0,74.0,20.0,19.0,34.0,30.0,15.0,24.0,19.0,51.0,38.0,79079.0,347.0,32991.0,1024.0,4441.0,2723.0,92.0,741.0,5524.0,86399.0,37728.0,2743.0,6.0,29744.0,33057.0,64205.0,127006.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Riverina,12
