state_code,state_name,sa4_code16,sa4_name16,males_age_0_4,males_age_5_9,males_age_10_14,males_age_15_19,males_age_20_24,males_age_25_29,males_age_30_34,males_age_35_39,males_age_40_44,males_age_45_49,males_age_50_54,males_age_55_59,males_age_60_64,males_age_65_69,males_age_70_74,males_age_75_79,males_age_80_84,males_age_85_plus,males_total,females_age_0_4,females_age_5_9,females_age_10_14,females_age_15_19,females_age_20_24,females_age_25_29,females_age_30_34,females_age_35_39,females_age_40_44,females_age_45_49,females_age_50_54,females_age_55_59,females_age_60_64,females_age_65_69,females_age_70_74,females_age_75_79,females_age_80_84,females_age_85_plus,females_total,persons_age_0_4,persons_age_5_9,persons_age_10_14,persons_age_15_19,persons_age_20_24,persons_age_25_29,persons_age_30_34,persons_age_35_39,persons_age_40_44,persons_age_45_49,persons_age_50_54,persons_age_55_59,persons_age_60_64,persons_age_65_69,persons_age_70_74,persons_age_75_79,persons_age_80_84,persons_age_85_plus,persons_total
1,New South Wales,101,Capital Region,6578,7351,7160,6826,5787,5985,6078,5896,6918,7689,7944,8475,7954,7763,6075,4092,2454,2000,113025,6138,6709,6735,6455,5365,5916,6100,6301,6825,8161,8044,8601,8071,7298,5835,4133,2774,3180,112641,12716,14060,13895,13281,11152,11901,12178,12197,13743,15850,15988,17076,16025,15061,11910,8225,5228,5180,225666
1,New South Wales,102,Central Coast,10599,11350,11030,10556,10230,9524,9600,9464,10239,10843,10566,10736,9800,9103,8362,5993,3891,3911,165797,9884,10618,10390,10062,9608,9533,9883,10063,10627,11693,11102,11765,10793,10083,9027,6831,5049,6428,173439,20483,21968,21420,20618,19838,19057,19483,19527,20866,22536,21668,22501,20593,19186,17389,12824,8940,10339,339236
1,New South Wales,103,Central West,7088,7515,7272,6998,6346,6356,6066,5763,6033,6748,6648,7152,6391,6228,5168,3562,2309,1900,105543,6776,7218,6640,6761,5964,6151,6109,5930,6183,6809,6843,7042,6420,5982,5043,3753,2845,3212,105681,13864,14733,13912,13759,12310,12507,12175,11693,12216,13557,13491,14194,12811,12210,10211,7315,5154,5112,211224
1,New South Wales,104,Coffs Harbour - Grafton,3877,4558,4427,4364,3469,3475,3333,3279,3842,4129,4437,5098,5338,4938,4031,2807,1862,1567,68831,3668,4408,4187,4099,3136,3488,3534,3668,4121,4701,4929,5611,5212,4864,3973,2943,2209,2488,71239,7545,8966,8614,8463,6605,6963,6867,6947,7963,8830,9366,10709,10550,9802,8004,5750,4071,4055,140070
1,New South Wales,105,Far West and Orana,4113,4217,3900,3406,3497,3827,3645,3104,3209,3590,3713,4144,3641,3348,2666,1883,1217,1013,58133,3964,4110,3615,3291,3222,4001,3743,3175,3304,3732,3817,4078,3489,3039,2651,2121,1480,1706,58538,8077,8327,7515,6697,6719,7828,7388,6279,6513,7322,7530,8222,7130,6387,5317,4004,2697,2719,116671
1,New South Wales,106,Hunter Valley exc Newcastle,9266,9983,9456,8768,8180,8505,8359,8017,8490,8802,8441,8849,8020,7435,6383,4100,2531,1915,135500,8878,9465,8937,8376,7927,8559,8696,8048,8477,9172,8768,8991,8217,7635,6203,4173,3118,3312,136952,18144,19448,18393,17144,16107,17064,17055,16065,16967,17974,17209,17840,16237,15070,12586,8273,5649,5227,272452
1,New South Wales,107,Illawarra,9440,9975,9483,9972,12070,10661,9521,9101,9506,9700,9543,9656,8463,7542,6359,4603,3218,2830,151643,9021,9573,8934,9506,11075,9990,9873,9335,9861,10079,9847,10131,9064,7831,6771,5360,4053,4644,154948,18461,19548,18417,19478,23145,20651,19394,18436,19367,19779,19390,19787,17527,15373,13130,9963,7271,7474,306591
1,New South Wales,108,Mid North Coast,5557,6585,6502,6451,4671,4681,4431,4641,5453,6317,6686,7875,8307,8665,7798,5457,3527,3141,106745,5291,6282,6350,6087,4368,4764,4922,5043,5895,6849,7346,8770,8585,8796,7801,5573,4034,4755,111511,10848,12867,12852,12538,9039,9445,9353,9684,11348,13166,14032,16645,16892,17461,15599,11030,7561,7896,218256
1,New South Wales,109,Murray,3887,3820,3844,3573,3474,3286,3244,3126,3219,3678,3581,4206,3960,3845,3119,2272,1500,1273,58907,3528,3799,3711,3522,3295,3377,3280,3312,3494,3772,3815,4238,3951,3684,3188,2384,1700,1940,59990,7415,7619,7555,7095,6769,6663,6524,6438,6713,7450,7396,8444,7911,7529,6307,4656,3200,3213,118897
1,New South Wales,110,New England and North West,6155,6494,6255,6305,5648,5515,5220,4742,5144,5618,5709,6325,5984,5375,4646,3253,1996,1489,91873,5928,6338,6044,6046,5478,5674,5432,5163,5303,5878,6025,6569,5764,5299,4498,3627,2527,2715,94308,12083,12832,12299,12351,11126,11189,10652,9905,10447,11496,11734,12894,11748,10674,9144,6880,4523,4204,186181
1,New South Wales,111,Newcastle and Lake Macquarie,11744,11807,11010,11459,13660,12933,12232,11185,11232,11953,11193,11711,10626,9491,8136,5623,3814,3510,183319,10868,11075,10477,10722,13164,12675,12316,11457,11624,12337,11856,12265,11185,10269,8838,6444,5052,6321,188945,22612,22882,21487,22181,26824,25608,24548,22642,22856,24290,23049,23976,21811,19760,16974,12067,8866,9831,372264
1,New South Wales,112,Richmond - Tweed,6770,7880,7671,7474,5814,5684,6072,6316,7120,7839,8096,9171,9078,8594,6591,4588,3167,3042,120967,6426,7405,7239,7146,5652,6002,6524,7105,7898,8783,8821,9899,9581,8254,6786,5076,3981,4943,127521,13196,15285,14910,14620,11466,11686,12596,13421,15018,16622,16917,19070,18659,16848,13377,9664,7148,7985,248488
1,New South Wales,113,Riverina,5443,5654,5562,5398,5237,5236,5063,4585,4741,4917,4984,5259,4739,4184,3360,2523,1641,1450,79976,5141,5399,5288,5113,5049,5274,4959,4452,4606,5057,4930,5350,4610,4100,3413,2785,2035,2512,80073,10584,11053,10850,10511,10286,10510,10022,9037,9347,9974,9914,10609,9349,8284,6773,5308,3676,3962,160049
1,New South Wales,114,Southern Highlands and Shoalhaven,4159,4531,4637,4458,3711,3640,3698,3620,4056,4455,4621,5316,5301,5669,5269,3582,2287,1863,74873,3915,4439,4416,4449,3303,3587,3621,3740,4217,4908,5055,5656,5859,6048,5363,3744,2565,2752,77637,8074,8970,9053,8907,7014,7227,7319,7360,8273,9363,9676,10972,11160,11717,10632,7326,4852,4615,152510
1,New South Wales,115,Sydney - Baulkham Hills and Hawkesbury,7290,9128,9141,9206,8468,6623,6127,7487,8582,8842,8150,7642,6552,5724,4578,2812,1716,1515,119583,6973,8560,8690,8427,7680,6125,6723,8467,9133,9574,8268,7861,6806,5870,4650,3016,2003,2467,121293,14263,17688,17831,17633,16148,12748,12850,15954,17715,18416,16418,15503,13358,11594,9228,5828,3719,3982,240876
1,New South Wales,116,Sydney - Blacktown,14912,14653,12728,12570,13273,13521,14815,14997,12868,11407,10292,9459,7744,6544,4699,2849,1720,1305,180356,14299,13743,11772,11652,12152,13700,15935,14564,12305,11569,10345,9702,8276,6872,4929,3260,2300,2329,179704,29211,28396,24500,24222,25425,27221,30750,29561,25173,22976,20637,19161,16020,13416,9628,6109,4020,3634,360060
1,New South Wales,117,Sydney - City and Inner South,7603,5458,4186,6522,20533,28381,24677,17157,12853,11257,9387,8303,6631,5594,4185,2812,1882,1482,178903,7123,5106,4063,7079,22880,28033,22098,14673,10642,9264,7867,7339,6629,5479,4111,2961,2182,2263,169792,14726,10564,8249,13601,43413,56414,46775,31830,23495,20521,17254,15642,13260,11073,8296,5773,4064,3745,348695
1,New South Wales,118,Sydney - Eastern Suburbs,8194,7596,6502,7270,12540,14918,14029,11965,9934,9058,7989,7126,6087,5658,4772,3273,2259,2410,141580,7845,7271,6346,7067,12717,16036,14794,11945,9871,9534,8140,7480,6584,6112,5265,3902,2914,4080,147903,16039,14867,12848,14337,25257,30954,28823,23910,19805,18592,16129,14606,12671,11770,10037,7175,5173,6490,289483
1,New South Wales,119,Sydney - Inner South West,21127,19671,17772,18436,24381,27792,26194,22143,19244,18281,17895,16848,14505,12341,10038,7152,5569,5450,304839,19886,18693,16293,17217,22562,27266,25458,21137,19493,19610,18473,17642,15488,12744,10239,8337,6750,8384,305672,41013,38364,34065,35653,46943,55058,51652,43280,38737,37891,36368,34490,29993,25085,20277,15489,12319,13834,610511
1,New South Wales,120,Sydney - Inner West,9531,8384,7187,7304,12977,16544,15229,12615,10712,10016,9154,8396,6940,6054,4698,3345,2483,2394,153963,9044,8179,6819,7048,12588,16333,15205,12426,11336,10993,9943,9171,7875,6679,5198,3930,3207,3990,159964,18575,16563,14006,14352,25565,32877,30434,25041,22048,21009,19097,17567,14815,12733,9896,7275,5690,6384,313927
1,New South Wales,121,Sydney - North Sydney and Hornsby,13460,14437,13128,13034,12152,13954,15861,16465,15707,14941,13323,12160,10241,9140,7718,5439,3725,3969,208854,12417,13575,12606,12246,12539,15266,17524,17539,16695,16608,14491,13070,11207,10291,8662,6249,4620,6549,222154,25877,28012,25734,25280,24691,29220,33385,34004,32402,31549,27814,25230,21448,19431,16380,11688,8345,10518,431008
1,New South Wales,122,Sydney - Northern Beaches,8498,9611,8897,8076,7475,7672,8313,9398,10168,10107,9002,8141,6721,5937,5330,3851,2461,2515,132173,8112,8986,8357,7477,6932,7884,9232,9654,10499,10647,9317,8298,7074,6427,5786,4218,3155,4438,136493,16610,18597,17254,15553,14407,15556,17545,19052,20667,20754,18319,16439,13795,12364,11116,8069,5616,6953,268666
1,New South Wales,123,Sydney - Outer South West,10659,10844,10176,9731,9948,9673,9900,9464,9295,8688,8074,7948,6815,5930,4248,2531,1504,1082,136510,10014,10361,9478,9153,9665,10006,10885,9878,9381,9020,8678,8408,7277,6162,4325,2806,1874,2065,139436,20673,21205,19654,18884,19613,19679,20785,19342,18676,17708,16752,16356,14092,12092,8573,5337,3378,3147,275946
1,New South Wales,124,Sydney - Outer West and Blue Mountains,11371,11381,10699,10619,11258,11463,11269,10643,10458,10424,9528,9612,8495,7826,5591,3328,2030,1477,157472,10707,11000,10058,10015,10752,11572,11546,10752,10661,11034,10083,10596,9164,8002,5986,3950,2747,2911,161536,22078,22381,20757,20634,22010,23035,22815,21395,21119,21458,19611,20208,17659,15828,11577,7278,4777,4388,319008
1,New South Wales,125,Sydney - Parramatta,18819,16568,13385,13314,19326,24576,26021,22028,16504,14039,12914,12292,10345,8444,6783,4667,3237,2878,246140,18271,15681,12415,12205,16193,22710,24124,18633,14830,13914,13093,12411,10746,8722,6803,5250,3890,4894,234785,37090,32249,25800,25519,35519,47286,50145,40661,31334,27953,26007,24703,21091,17166,13586,9917,7127,7772,480925
