sa4_name_2016,hl_p_improv_dwell_tent_so,hl_p_supp_accom,hl_p_temp_oth_hholds,hl_p_boading_houses,hl_p_oth_temp_lodgings,hl_p_sever_crwd_dwell,hl_p_homeless_tot,omh_p_oth_crwd_dwell,omh_p_oth_impor_dwell,omh_p_marg_hsed_cpark,sa4_code16
Capital Region,93,136,260,16,21,131,656,228,222,143,101
Central Coast,197,235,332,124,13,137,1031,465,47,173,102
Central West,38,118,159,71,3,73,457,225,72,78,103
Coffs Harbour - Grafton,91,140,182,25,13,169,615,414,164,242,104
Far West and Orana,110,74,107,84,4,116,500,339,212,34,105
Hunter Valley exc Newcastle,37,91,232,16,6,159,539,348,121,266,106
Illawarra,151,235,237,166,11,220,1013,508,8,207,107
Mid North Coast,58,269,280,3,17,66,683,394,75,371,108
Murray,8,39,101,35,6,40,231,104,26,85,109
New England and North West,22,172,186,149,6,237,775,344,84,110,110
Newcastle and Lake Macquarie,175,270,252,328,4,176,1208,588,39,137,111
Richmond - Tweed,429,187,344,146,26,137,1267,408,117,558,112
Riverina,27,48,125,47,12,137,389,275,51,66,113
Southern Highlands and Shoalhaven,33,91,162,13,9,56,363,236,40,172,114
Sydney - Baulkham Hills and Hawkesbury,9,18,95,8,0,249,383,428,69,77,115
Sydney - Blacktown,77,217,196,39,0,1028,1554,2278,83,68,116
Sydney - City and Inner South,638,624,250,2398,20,2268,6196,3588,38,0,117
Sydney - Eastern Suburbs,23,127,167,794,8,374,1481,763,0,0,118
Sydney - Inner South West,18,294,274,388,8,2730,3710,5634,5,10,119
Sydney - Inner West,40,267,155,960,8,1141,2572,1784,0,0,120
Sydney - North Sydney and Hornsby,23,52,149,472,3,339,1036,600,0,0,121
Sydney - Northern Beaches,85,71,120,93,0,232,605,430,22,23,122
Sydney - Outer South West,15,373,198,33,3,421,1045,930,51,50,123
Sydney - Outer West and Blue Mountains,63,473,211,44,8,426,1223,723,68,26,124
Sydney - Parramatta,72,441,225,299,0,3299,4347,5474,44,4,125
Sydney - Ryde,0,37,75,47,0,320,485,496,7,0,126
Sydney - South West,53,696,210,27,3,2085,3071,4283,94,29,127
Sydney - Sutherland,9,58,95,43,0,67,266,236,0,76,128
Ballarat,22,239,89,105,0,70,529,131,28,37,201
Bendigo,20,171,109,38,3,95,439,206,30,65,202
Geelong,72,250,186,114,7,180,815,351,34,118,203
Hume,51,182,139,20,4,104,507,188,40,156,204
Latrobe - Gippsland,37,284,176,89,5,94,689,257,60,193,205
Melbourne - Inner,491,1192,411,1876,42,833,4843,2372,10,0,206
Melbourne - Inner East,3,245,113,488,3,319,1175,746,7,0,207
Melbourne - Inner South,13,556,137,243,6,273,1225,446,3,59,208
Melbourne - North East,18,749,243,131,9,618,1770,1576,38,7,209
Melbourne - North West,18,342,162,29,8,880,1433,2220,11,85,210
Melbourne - Outer East,48,527,237,142,6,300,1267,859,38,96,211
Melbourne - South East,42,768,292,654,0,2610,4364,4840,36,254,212
Melbourne - West,45,880,332,235,7,2123,3619,4569,18,123,213
Mornington Peninsula,117,299,191,149,7,85,846,312,18,306,214
North West,40,170,81,29,4,124,443,236,30,126,215
Shepparton,57,150,112,40,5,182,539,395,27,184,216
Warrnambool and South West,29,171,73,16,0,44,333,90,23,41,217
Brisbane - East,33,136,147,20,0,99,440,355,10,51,301
Brisbane - North,19,197,118,50,0,146,525,408,10,245,302
Brisbane - South,0,294,214,342,0,672,1524,1080,13,294,303
Brisbane - West,0,13,94,50,0,151,301,200,4,0,304
Brisbane Inner City,188,703,183,1505,23,318,2915,752,11,9,305
Cairns,238,391,432,388,28,883,2362,1109,188,298,306
Darling Downs - Maranoa,46,20,155,8,9,114,349,213,94,108,307
Central Queensland,131,143,260,195,3,195,929,424,224,215,308
Gold Coast,228,233,548,263,61,392,1723,1004,62,429,309
Ipswich,34,189,273,125,0,601,1223,1208,57,328,310
Logan - Beaudesert,24,159,304,18,3,717,1229,1593,41,208,311
Mackay - Isaac - Whitsunday,75,125,233,109,20,139,695,221,160,188,312
Moreton Bay - North,40,174,301,47,0,337,894,521,54,220,313
Moreton Bay - South,0,39,135,3,0,105,285,301,31,77,314
Queensland - Outback,236,108,201,34,5,1310,1892,1305,153,110,315
Sunshine Coast,61,183,453,53,30,121,894,451,123,495,316
Toowoomba,23,139,114,96,3,162,531,297,32,25,317
Townsville,91,230,215,216,4,722,1483,568,99,100,318
Wide Bay,270,265,445,102,7,432,1522,503,381,542,319
Adelaide - Central and Hills,126,237,153,395,17,154,1078,397,15,25,401
Adelaide - North,10,267,367,78,3,896,1618,1584,31,73,402
Adelaide - South,26,315,295,129,4,216,986,393,19,87,403
Adelaide - West,24,243,141,220,3,328,945,668,21,7,404
Barossa - Yorke - Mid North,20,47,104,37,4,21,237,92,36,65,405
South Australia - Outback,89,174,76,0,0,350,695,372,70,53,406
South Australia - South East,91,144,181,44,10,179,637,305,65,84,407
Bunbury,80,28,201,26,0,110,443,184,133,186,501
Mandurah,62,21,95,10,0,68,255,79,37,101,502
Perth - Inner,278,387,84,73,14,108,943,255,4,0,503
Perth - North East,58,97,142,88,0,341,728,587,79,47,504
Perth - North West,26,74,280,73,6,499,954,1131,39,39,505
Perth - South East,62,90,296,229,0,769,1446,1415,44,104,506
Perth - South West,82,124,260,280,0,222,976,486,36,83,507
Western Australia - Wheat Belt,75,25,149,23,10,139,426,247,153,93,509
Western Australia - Outback (North),228,125,224,129,10,1157,1868,1008,141,192,510
Western Australia - Outback (South),148,88,217,70,9,448,980,390,126,179,511
Hobart,72,292,241,91,12,137,848,311,39,28,601
Launceston and North East,18,127,124,38,4,68,376,163,40,19,602
South East,12,0,36,0,0,11,64,84,33,3,603
West and North West,27,158,85,5,9,43,325,112,19,83,604
Darwin,525,317,254,204,10,458,1762,796,119,105,701
Northern Territory - Outback,576,321,165,285,11,10604,11963,4318,164,166,702
Australian Capital Territory,54,805,271,97,7,370,1599,704,0,42,801
Other Territories,4,0,0,0,0,23,27,30,0,0,901
