sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
305,17996,18315,18926,19410,20493,42,43,43,42,42,741771567,816973589,862186133,918748031,996894665,8138,8831,9183,9648,9943,41219,44607,45556,47334,48646,5.3,5.3,5.4,5.5,5.7,Brisbane Inner City
306,23233,23152,23082,22916,23271,48,49,49,50,50,381079602,403758090,396978856,425218986,459904362,8346,8590,8612,9319,9538,16403,17439,17199,18556,19763,9.0,8.7,8.5,8.7,8.8,Cairns
307,21151,21166,21256,20996,21109,51,52,52,53,53,168529373,215634305,154955298,79183523,195885076,2737,3371,1817,1414,2587,7968,10188,7290,3771,9280,12.8,12.8,12.0,11.3,13.0,Darling Downs - Maranoa
308,18848,18856,18901,18509,18946,48,48,48,49,49,263316317,320044265,277388310,283758594,341401047,5955,7401,5612,5647,6301,13971,16973,14676,15331,18020,7.1,6.9,6.4,6.5,7.0,Central Queensland
309,47410,46844,46657,46865,48178,45,45,46,46,46,922968066,949708976,942021525,1023628965,1072834866,10946,11172,11319,11945,12507,19468,20274,20190,21842,22268,9.0,8.6,8.4,8.2,8.3,Gold Coast
310,18027,18292,18460,19075,19925,46,46,46,46,45,244770079,262962752,257161163,283844630,300359142,6927,7304,7214,7987,8548,13578,14376,13931,14880,15074,6.2,6.1,6.1,6.3,6.6,Ipswich
311,19735,19404,19294,19435,20312,44,45,45,45,44,360158874,369750272,353481467,361871362,375395112,11835,12405,12050,12176,12322,18250,19055,18321,18620,18481,7.4,7.2,7.0,7.1,7.2,Logan - Beaudesert
312,15005,14933,14687,14165,14354,48,48,49,49,49,280573750,299705142,289975631,225828342,244659256,8268,8222,8505,7028,6980,18699,20070,19744,15943,17045,7.0,6.5,6.5,6.1,6.5,Mackay - Isaac - Whitsunday
313,14854,14543,14138,14153,14464,47,48,48,48,48,237526994,249914269,236068657,240460193,254721939,9361,9607,9915,9866,9975,15991,17185,16697,16990,17611,7.1,6.8,6.6,6.5,6.7,Moreton Bay - North
314,11581,11551,11463,11640,11998,45,45,45,45,45,219082267,225253804,222284423,238012773,237247703,8502,9646,9256,9858,9588,18917,19501,19391,20448,19774,5.9,5.7,5.5,5.5,5.4,Moreton Bay - South
315,8409,8364,8407,8337,8349,48,49,49,49,50,160695970,141376447,98251942,36099422,118577442,9538,9703,7151,5105,8323,19110,16903,11687,4330,14203,10.9,10.3,9.6,9.0,10.3,Queensland - Outback
316,32547,32028,31890,31606,32776,48,48,49,49,49,561252663,577702788,595232727,621474789,655626473,8605,9097,9556,10113,10194,17244,18037,18665,19663,20003,9.7,9.3,9.2,8.8,9.0,Sunshine Coast
317,10962,11012,10858,11077,11242,49,50,50,50,49,165111687,177679556,175748753,184900019,181605493,5480,5727,5797,5919,5600,15062,16135,16186,16692,16154,6.1,5.9,5.9,6.0,6.1,Toowoomba
318,17134,17195,16921,16778,16980,47,48,48,48,49,364590287,439930503,370672872,345309864,365621694,9918,11159,10187,9498,9424,21279,25585,21906,20581,21532,6.6,6.6,6.3,6.2,6.5,Townsville
319,26182,25457,25246,25060,25025,51,51,52,52,52,304332549,308678703,245144720,255867794,295439368,4659,5087,4235,4454,4825,11624,12125,9710,10210,11806,9.1,8.8,8.5,8.5,8.9,Wide Bay
401,27306,27288,27365,27625,27954,49,49,50,50,50,944436929,939039578,947235893,1012200106,1051893978,10234,10279,10112,10958,11531,34587,34412,34615,36641,37629,7.8,7.7,7.6,7.6,7.8,Adelaide - Central and Hills
402,24439,24133,23784,24293,24982,45,45,45,45,45,483221852,476147256,459195442,491376968,507371722,12043,12332,11882,12827,13081,19773,19730,19307,20227,20309,7.0,6.9,6.7,6.9,7.1,Adelaide - North
403,25989,25650,25451,25426,25964,47,48,48,48,48,589618069,577796815,585710024,610529472,636619707,11088,11088,10874,11685,11658,22687,22526,23013,24012,24519,7.0,6.9,6.8,6.8,6.9,Adelaide - South
404,14916,15058,15244,15431,15776,45,45,45,45,45,296839569,305548134,287838915,316092828,333519979,10498,10553,10442,11214,11612,19901,20291,18882,20484,21141,6.8,6.7,6.7,6.8,6.9,Adelaide - West
405,14932,14840,14593,14529,14651,52,52,53,53,53,435935800,367297924,290562072,389209352,457156219,12703,11198,9074,12231,14035,29195,24751,19911,26788,31203,15.0,14.0,13.1,13.8,14.5,Barossa - Yorke - Mid North
406,8145,8006,7894,7802,7743,49,50,50,51,51,334082789,268566193,203532058,221865635,253986612,17706,16404,11639,14917,15215,41017,33546,25783,28437,32802,11.2,10.4,9.7,10.1,10.4,South Australia - Outback
407,24697,24445,24060,24071,24234,51,52,52,53,53,519297665,481642774,380309737,469232250,520527315,9624,9549,7497,9175,10097,21027,19703,15807,19494,21479,13.4,12.9,12.0,12.5,13.0,South Australia - South East
501,18817,18874,18904,19106,19507,49,49,50,50,50,381963375,376923118,384177836,403830515,446931102,9598,9411,8722,9517,9875,20299,19970,20323,21136,22911,10.0,9.5,9.0,9.1,9.3,Bunbury
502,6416,6371,6274,6391,6614,48,49,49,49,49,147552463,153380948,157353306,162283403,167554939,12371,12555,11967,12784,12566,22998,24075,25080,25392,25333,7.7,7.1,6.7,6.8,6.9,Mandurah
503,14582,14773,15142,15150,15663,48,48,48,48,48,864160995,912362395,947712220,973551665,1033795246,12212,12783,13651,13894,13875,59262,61759,62588,64261,66002,6.3,6.1,6.1,6.1,6.1,Perth - Inner
504,18000,18214,18409,18774,19361,45,45,45,46,45,420676776,441501445,445835980,450028930,443958250,12515,12958,12894,13012,13162,23371,24240,24218,23971,22931,7.5,7.2,7.0,7.0,7.1,Perth - North East
505,41676,42031,42422,42791,44152,44,44,44,44,44,1188874155,1230623678,1308810802,1318312546,1332515104,15589,15821,16301,16062,15750,28527,29279,30852,30808,30180,8.1,7.7,7.6,7.5,7.5,Perth - North West
506,32310,32844,32997,33198,34753,45,45,45,44,44,828434747,878251524,872318488,862180575,874707522,13134,13540,13282,13306,12778,25640,26740,26436,25971,25169,6.8,6.5,6.3,6.2,6.4,Perth - South East
507,26996,26968,27396,27770,28663,45,46,46,45,45,760490052,808616892,852302482,872545379,888689169,13091,13989,13745,13616,13132,28170,29984,31110,31420,31005,6.7,6.3,6.2,6.1,6.1,Perth - South West
509,21973,21571,21824,22353,22742,51,52,52,52,53,423109874,433045215,573190140,871195304,1040486772,9634,10130,12181,17037,19918,19256,20075,26264,38974,45752,15.1,14.3,15.0,16.4,17.2,Western Australia - Wheat Belt
510,4170,4137,4133,4008,3979,42,42,42,42,42,103635353,119166985,104783284,100434807,86957872,10210,11758,11257,10310,8000,24853,28805,25353,25059,21854,4.6,4.4,4.0,3.8,3.7,Western Australia - Outback (North)
511,11238,11109,10867,10744,10681,49,49,49,50,50,348002490,300222227,383761672,377903006,358896126,15587,14245,16069,15174,15138,30967,27025,35314,35173,33601,9.6,8.7,8.8,8.7,8.8,Western Australia - Outback (South)
601,16145,16696,16577,16687,17126,48,48,49,49,49,367194480,366224485,358336498,382965301,412946014,9986,9727,9807,10429,11259,22744,21935,21616,22950,24112,7.0,7.1,7.2,7.2,7.4,Hobart
602,12101,12099,11916,11758,11818,50,51,51,51,52,210526966,216658149,180856014,202794993,229482648,7490,7372,5964,7171,8232,17397,17907,15178,17247,19418,8.1,8.1,7.7,7.9,8.3,Launceston and North East
603,4549,4536,4519,4465,4573,51,52,52,52,53,76318396,66747851,55261924,72540094,79883487,7414,6822,6275,8340,8505,16777,14715,12229,16246,17469,12.5,12.3,11.8,12.5,12.9,South East
604,9673,9558,9471,9177,9258,50,51,51,52,52,159109097,163028013,134966952,163071436,181690230,7257,7599,6998,8164,8802,16449,17057,14251,17770,19625,8.2,8.2,8.1,8.1,8.6,West and North West
701,9280,9529,9569,9452,9590,44,44,44,44,44,225075813,255335267,253803014,253822079,252409429,12393,14153,12492,12139,11880,24254,26796,26523,26854,26320,6.3,6.2,5.6,5.1,5.1,Darwin
702,3158,3144,3009,2967,3034,47,47,47,47,47,50033115,50407464,44043583,46890313,53375943,9087,8384,7852,8444,8844,15843,16033,14637,15804,17593,4.6,4.4,4.1,3.8,4.1,Northern Territory - Outback
801,20850,20828,20792,20982,21724,46,46,46,46,46,558701984,559161372,552211626,568837772,612546210,8928,9093,8202,8518,9037,26796,26847,26559,27111,28197,4.1,3.9,3.8,3.8,3.8,Australian Capital Territory
901,122,121,134,125,147,49,49,49,51,51,5159675,4006601,4901828,5144014,4204099,24225,10974,16413,17568,10149,42292,33112,36581,41152,28599,6.7,6.2,6.4,6.0,6.5,Other Territories
