SA4_MAIN11,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
101,1850,1686,3536,6034,5833,11867,1888,1747,3635,670,639,1309,8592,8219,16811,4619,4528,9147,1867,1839,3706,676,679,1355,7162,7046,14208,253,278,531,119,225,344,998,595,1593,892,1624,2516,36,23,59,2298,2745,5043,489,784,1273,263,419,682,113,182,295,698,1432,2130,8,12,20,1571,2829,4400,113,118,231,275,567,842,12,7,19,400,692,1092,7854,6870,14724,29727,30087,59814,Capital Region
102,3368,3170,6538,9682,9228,18910,2007,2003,4010,1345,1283,2628,13034,12514,25548,7690,7559,15249,1752,1689,3441,1291,1377,2668,10733,10625,21358,465,537,1002,192,519,711,1496,808,2304,1037,1796,2833,32,46,78,3222,3706,6928,1581,2296,3877,522,1033,1555,333,426,759,907,1862,2769,15,29,44,3358,5646,9004,154,216,370,431,973,1404,13,21,34,598,1210,1808,10293,10968,21261,44606,47839,92445,Central Coast
103,2014,1892,3906,5897,5465,11362,2221,2127,4348,533,510,1043,8651,8102,16753,4652,4392,9044,1552,1654,3206,777,839,1616,6981,6885,13866,253,341,594,120,296,416,1006,589,1595,813,1481,2294,36,40,76,2228,2747,4975,845,1429,2274,178,316,494,137,260,397,553,1126,1679,10,18,28,1723,3149,4872,61,83,144,184,411,595,7,16,23,252,510,762,8289,6796,15085,30138,30081,60219,Central West
104,1226,1135,2361,3785,3664,7449,939,821,1760,677,614,1291,5401,5099,10500,3187,3240,6427,701,746,1447,710,690,1400,4598,4676,9274,214,286,500,153,345,498,575,380,955,588,1137,1725,24,26,50,1554,2174,3728,337,613,950,170,371,541,72,126,198,305,667,972,4,4,8,888,1781,2669,69,102,171,164,359,523,4,4,8,237,465,702,4267,4164,8431,18171,19494,37665,Coffs Harbour - Grafton
105,1155,1084,2239,3382,3184,6566,1345,1358,2703,328,316,644,5055,4858,9913,2728,2597,5325,544,551,1095,285,359,644,3557,3507,7064,151,185,336,87,205,292,496,360,856,477,915,1392,21,17,38,1232,1682,2914,116,385,501,46,189,235,51,125,176,258,502,760,0,9,9,471,1210,1681,53,57,110,111,255,366,10,12,22,174,324,498,5267,4597,9864,16911,17262,34173,Far West and Orana
106,2608,2464,5072,7953,7420,15373,1941,1944,3885,1151,992,2143,11045,10356,21401,5500,5583,11083,1568,1792,3360,1025,1008,2033,8093,8383,16476,348,423,771,134,315,449,1472,755,2227,907,1398,2305,38,29,67,2899,2920,5819,786,1286,2072,188,518,706,192,334,526,626,1126,1752,11,11,22,1803,3275,5078,112,136,248,272,658,930,12,14,26,396,808,1204,8725,7835,16560,35569,36041,71610,Hunter Valley exc Newcastle
107,3001,2847,5848,8509,7878,16387,2150,2223,4373,921,845,1766,11580,10946,22526,6373,6143,12516,2173,2268,4441,898,819,1717,9444,9230,18674,580,608,1188,292,572,864,1519,779,2298,1017,1529,2546,47,32,79,3455,3520,6975,3723,4075,7798,1363,1229,2592,404,443,847,980,1638,2618,28,33,61,6498,7418,13916,168,185,353,347,768,1115,8,20,28,523,973,1496,8134,7969,16103,42635,42903,85538,Illawarra
108,1874,1735,3609,5569,5279,10848,1662,1605,3267,683,604,1287,7914,7488,15402,4567,4430,8997,1483,1565,3048,584,588,1172,6634,6583,13217,287,363,650,198,503,701,724,448,1172,717,1304,2021,25,31,56,1951,2649,4600,204,491,695,138,327,465,66,140,206,344,850,1194,6,4,10,758,1812,2570,64,137,201,192,467,659,14,12,26,270,616,886,7137,6924,14061,26538,27807,54345,Mid North Coast
109,1035,948,1983,2959,2940,5899,1052,941,1993,516,537,1053,4527,4418,8945,2614,2558,5172,539,610,1149,567,572,1139,3720,3740,7460,195,234,429,102,189,291,534,349,883,482,931,1413,22,17,39,1335,1720,3055,329,862,1191,109,240,349,67,116,183,241,521,762,4,10,14,750,1749,2499,62,58,120,121,240,361,3,9,12,186,307,493,3894,3729,7623,15447,16611,32058,Murray
110,1814,1666,3480,5456,5123,10579,1665,1578,3243,714,700,1414,7835,7401,15236,4375,3988,8363,828,991,1819,870,974,1844,6073,5953,12026,233,296,529,162,378,540,697,449,1146,677,1350,2027,27,24,51,1796,2497,4293,920,1466,2386,355,442,797,133,237,370,518,994,1512,10,21,31,1936,3160,5096,76,76,152,145,389,534,4,4,8,225,469,694,6599,6387,12986,26278,27533,53811,New England and North West
111,3241,2922,6163,9979,9389,19368,2220,2103,4323,1422,1311,2733,13621,12803,26424,7288,6974,14262,1739,1791,3530,1524,1559,3083,10551,10324,20875,594,667,1261,298,546,844,1685,878,2563,1384,1852,3236,49,45,94,4010,3988,7998,3815,4837,8652,1391,1626,3017,537,719,1256,1610,2520,4130,31,34,65,7384,9736,17120,165,249,414,459,845,1304,14,13,27,638,1107,1745,9866,9783,19649,49311,50663,99974,Newcastle and Lake Macquarie
112,1994,1833,3827,6165,5800,11965,2117,2151,4268,1058,1117,2175,9340,9068,18408,4920,4683,9603,2046,2198,4244,744,808,1552,7710,7689,15399,297,350,647,266,607,873,751,499,1250,889,1665,2554,38,29,67,2241,3150,5391,960,1396,2356,543,941,1484,146,223,369,660,1490,2150,10,18,28,2319,4068,6387,122,204,326,314,666,980,14,8,22,450,878,1328,7497,7613,15110,31551,34299,65850,Richmond - Tweed
113,1514,1457,2971,4488,4236,8724,2022,1839,3861,416,386,802,6926,6461,13387,3350,3240,6590,1422,1542,2964,489,490,979,5261,5272,10533,404,274,678,162,268,430,852,463,1315,664,1178,1842,28,25,53,2110,2208,4318,707,1488,2195,211,333,544,125,206,331,460,831,1291,15,7,22,1518,2865,4383,146,86,232,151,322,473,8,8,16,305,416,721,5818,4892,10710,23452,23571,47023,Riverina
114,1337,1246,2583,4022,3884,7906,704,636,1340,720,611,1331,5446,5131,10577,2860,2800,5660,856,953,1809,800,1033,1833,4516,4786,9302,178,190,368,84,207,291,614,373,987,541,964,1505,20,31,51,1437,1765,3202,325,496,821,128,294,422,79,95,174,364,733,1097,6,13,19,902,1631,2533,69,95,164,164,386,550,5,4,9,238,485,723,5130,4783,9913,19006,19827,38833,Southern Highlands and Shoalhaven
115,2370,2230,4600,6989,6605,13594,1975,1870,3845,1536,1382,2918,10500,9857,20357,4662,4396,9058,2384,2175,4559,2052,2008,4060,9098,8579,17677,418,369,787,154,329,483,1129,466,1595,613,1074,1687,30,20,50,2344,2258,4602,3042,3525,6567,428,569,997,409,478,887,1008,1299,2307,34,28,62,4921,5899,10820,156,217,373,311,627,938,7,17,24,474,861,1335,4496,4458,8954,34203,34142,68345,Sydney - Baulkham Hills and Hawkesbury
116,3220,2830,6050,10273,9361,19634,3536,3386,6922,1299,1230,2529,15108,13977,29085,6990,6681,13671,3369,3426,6795,1164,1093,2257,11523,11200,22723,888,861,1749,492,914,1406,1280,689,1969,1321,1974,3295,68,47,115,4049,4485,8534,2575,3243,5818,619,893,1512,421,494,915,1127,1565,2692,48,47,95,4790,6242,11032,414,498,912,552,906,1458,22,32,54,988,1436,2424,10511,9510,20021,50189,49680,99869,Sydney - Blacktown
117,1261,1106,2367,3107,2980,6087,1139,1107,2246,473,424,897,4719,4511,9230,1822,1745,3567,930,1212,2142,624,552,1176,3376,3509,6885,822,794,1616,899,1181,2080,487,398,885,1265,1572,2837,46,42,88,3519,3987,7506,5493,6877,12370,3105,2918,6023,502,610,1112,2921,3372,6293,66,61,127,12087,13838,25925,1052,1293,2345,958,1246,2204,44,29,73,2054,2568,4622,16887,13908,30795,43903,43427,87330,Sydney - City and Inner South
118,2048,1983,4031,3448,3278,6726,1593,1581,3174,2338,2156,4494,7379,7015,14394,1307,1253,2560,1567,1622,3189,2694,2713,5407,5568,5588,11156,361,352,713,363,475,838,464,272,736,847,1116,1963,23,28,51,2058,2243,4301,5761,6025,11786,1875,1845,3720,411,516,927,1865,2448,4313,52,63,115,9964,10897,20861,334,418,752,539,967,1506,10,19,29,883,1404,2287,13877,12044,25921,41777,41174,82951,Sydney - Eastern Suburbs
119,4376,4004,8380,13240,11980,25220,4932,4746,9678,2536,2504,5040,20708,19230,39938,9905,9929,19834,4725,4181,8906,2259,2208,4467,16889,16318,33207,1622,1398,3020,1092,1689,2781,1930,844,2774,1883,2691,4574,128,84,212,6655,6706,13361,6938,7916,14854,2445,2161,4606,740,810,1550,2093,2354,4447,130,141,271,12346,13382,25728,1024,1013,2037,1082,1744,2826,42,54,96,2148,2811,4959,20437,19642,40079,83559,82093,165652,Sydney - Inner South West
120,2078,1882,3960,5083,4852,9935,2350,2214,4564,975,930,1905,8408,7996,16404,3038,3028,6066,2144,2182,4326,1493,1480,2973,6675,6690,13365,570,534,1104,523,754,1277,601,320,921,962,1377,2339,26,30,56,2682,3015,5697,4496,4913,9409,1798,1821,3619,522,538,1060,1985,2721,4706,53,59,112,8854,10052,18906,520,527,1047,589,1063,1652,23,25,48,1132,1615,2747,9858,9219,19077,39687,40469,80156,Sydney - Inner West
121,3884,3540,7424,10097,9550,19647,2459,2348,4807,3005,2773,5778,15561,14671,30232,4734,4669,9403,2884,2777,5661,5206,5151,10357,12824,12597,25421,507,517,1024,393,698,1091,795,510,1305,1066,1981,3047,30,29,59,2791,3735,6526,5763,6572,12335,1400,1750,3150,713,743,1456,2896,3704,6600,50,82,132,10822,12851,23673,338,393,731,810,1514,2324,27,31,58,1175,1938,3113,10235,10409,20644,57292,59741,117033,Sydney - North Sydney and Hornsby
