sa4_name_2011,hl_p_improv_dwell_tent_so,hl_p_supp_accom,hl_p_temp_oth_hholds,hl_p_boading_houses,hl_p_oth_temp_lodgings,hl_p_sever_crwd_dwell,hl_p_homeless_tot,omh_p_oth_crwd_dwell,omh_p_oth_impor_dwell,omh_p_marg_hsed_cpark,sa4_code11
Capital Region,45.0,168.0,194.0,31.0,15.0,78.0,528.0,234.0,190.0,197.0,101
Central Coast,128.0,147.0,247.0,94.0,12.0,139.0,764.0,379.0,8.0,310.0,102
Central West,39.0,132.0,149.0,35.0,8.0,76.0,435.0,343.0,69.0,136.0,103
Coffs Harbour - Grafton,66.0,120.0,153.0,43.0,10.0,127.0,517.0,227.0,61.0,362.0,104
Far West and Orana,35.0,52.0,110.0,55.0,12.0,119.0,387.0,383.0,85.0,100.0,105
Hunter Valley exc Newcastle,41.0,104.0,202.0,18.0,3.0,124.0,491.0,358.0,58.0,225.0,106
Illawarra,100.0,336.0,236.0,122.0,19.0,161.0,974.0,364.0,3.0,152.0,107
Mid North Coast,85.0,217.0,215.0,80.0,7.0,136.0,745.0,312.0,85.0,449.0,108
Murray,17.0,58.0,104.0,27.0,7.0,18.0,230.0,133.0,21.0,100.0,109
New England and North West,35.0,221.0,125.0,140.0,5.0,89.0,604.0,363.0,69.0,154.0,110
Newcastle and Lake Macquarie,93.0,254.0,265.0,255.0,7.0,187.0,1068.0,398.0,15.0,188.0,111
Richmond - Tweed,319.0,221.0,266.0,133.0,18.0,141.0,1104.0,381.0,59.0,688.0,112
Riverina,14.0,85.0,123.0,16.0,4.0,115.0,363.0,196.0,66.0,97.0,113
Southern Highlands and Shoalhaven,12.0,102.0,122.0,30.0,8.0,22.0,300.0,172.0,14.0,157.0,114
Sydney - Baulkham Hills and Hawkesbury,8.0,25.0,88.0,3.0,0.0,110.0,237.0,330.0,35.0,82.0,115
Sydney - Blacktown,11.0,160.0,203.0,44.0,8.0,982.0,1400.0,1709.0,15.0,112.0,116
Sydney - City and Inner South,492.0,801.0,235.0,1896.0,31.0,680.0,4139.0,1692.0,7.0,0.0,117
Sydney - Eastern Suburbs,18.0,91.0,159.0,705.0,7.0,221.0,1204.0,514.0,0.0,0.0,118
Sydney - Inner South West,12.0,175.0,294.0,318.0,6.0,1445.0,2255.0,3623.0,26.0,60.0,119
Sydney - Inner West,13.0,249.0,133.0,1081.0,8.0,440.0,1914.0,1068.0,3.0,0.0,120
Sydney - North Sydney and Hornsby,41.0,59.0,178.0,337.0,7.0,202.0,823.0,454.0,0.0,0.0,121
Sydney - Northern Beaches,34.0,87.0,123.0,48.0,0.0,83.0,370.0,293.0,5.0,22.0,122
Sydney - Outer South West,16.0,138.0,172.0,9.0,3.0,431.0,771.0,849.0,32.0,69.0,123
Sydney - Outer West and Blue Mountains,116.0,269.0,281.0,50.0,13.0,265.0,1002.0,610.0,23.0,26.0,124
Sydney - Parramatta,81.0,256.0,195.0,127.0,12.0,1464.0,2137.0,3465.0,27.0,0.0,125
Sydney - Ryde,0.0,7.0,79.0,27.0,5.0,176.0,302.0,323.0,0.0,0.0,126
Sydney - South West,23.0,330.0,187.0,39.0,0.0,1522.0,2100.0,2798.0,0.0,35.0,127
Sydney - Sutherland,17.0,48.0,111.0,32.0,0.0,106.0,317.0,159.0,5.0,72.0,128
Ballarat,40.0,268.0,112.0,66.0,3.0,33.0,518.0,179.0,43.0,101.0,201
Bendigo,41.0,175.0,124.0,43.0,3.0,52.0,439.0,186.0,34.0,93.0,202
Geelong,65.0,279.0,195.0,47.0,0.0,74.0,664.0,306.0,43.0,146.0,203
Hume,76.0,265.0,122.0,23.0,0.0,36.0,523.0,127.0,115.0,160.0,204
Latrobe - Gippsland,53.0,310.0,212.0,25.0,7.0,42.0,649.0,270.0,128.0,334.0,205
Melbourne - Inner,383.0,1547.0,408.0,1740.0,42.0,415.0,4527.0,1231.0,9.0,0.0,206
Melbourne - Inner East,15.0,354.0,131.0,371.0,7.0,225.0,1099.0,564.0,0.0,0.0,207
Melbourne - Inner South,23.0,573.0,170.0,168.0,3.0,188.0,1129.0,496.0,6.0,72.0,208
Melbourne - North East,24.0,588.0,261.0,354.0,9.0,531.0,1770.0,1226.0,76.0,9.0,209
Melbourne - North West,12.0,356.0,140.0,18.0,0.0,813.0,1339.0,1328.0,15.0,91.0,210
Melbourne - Outer East,56.0,575.0,265.0,110.0,3.0,228.0,1233.0,537.0,22.0,86.0,211
Melbourne - South East,46.0,877.0,364.0,506.0,5.0,1712.0,3504.0,3348.0,19.0,245.0,212
Melbourne - West,52.0,807.0,362.0,228.0,3.0,1333.0,2779.0,2822.0,24.0,155.0,213
Mornington Peninsula,38.0,276.0,196.0,142.0,11.0,80.0,743.0,211.0,7.0,301.0,214
North West,92.0,235.0,123.0,29.0,0.0,111.0,590.0,263.0,24.0,272.0,215
Shepparton,45.0,173.0,98.0,10.0,3.0,155.0,479.0,404.0,25.0,245.0,216
Warrnambool and South West,27.0,170.0,42.0,20.0,0.0,12.0,273.0,74.0,56.0,70.0,217
Brisbane - East,3.0,82.0,160.0,28.0,4.0,50.0,326.0,335.0,8.0,76.0,301
Brisbane - North,11.0,232.0,130.0,82.0,3.0,125.0,578.0,308.0,0.0,348.0,302
Brisbane - South,10.0,226.0,231.0,297.0,3.0,445.0,1211.0,1036.0,3.0,328.0,303
Brisbane - West,0.0,22.0,99.0,25.0,0.0,79.0,220.0,156.0,0.0,0.0,304
Brisbane Inner City,74.0,301.0,160.0,1041.0,40.0,121.0,1735.0,451.0,17.0,4.0,305
Cairns,198.0,357.0,292.0,155.0,29.0,963.0,1990.0,1022.0,140.0,368.0,306
Darling Downs - Maranoa,49.0,36.0,132.0,16.0,11.0,24.0,256.0,294.0,110.0,130.0,307
Fitzroy,243.0,444.0,264.0,195.0,8.0,172.0,1330.0,637.0,223.0,305.0,308
Gold Coast,180.0,214.0,457.0,236.0,35.0,240.0,1361.0,568.0,31.0,454.0,309
Ipswich,47.0,215.0,283.0,114.0,4.0,498.0,1160.0,1153.0,69.0,390.0,310
Logan - Beaudesert,11.0,134.0,279.0,99.0,3.0,535.0,1066.0,824.0,25.0,162.0,311
Mackay,162.0,222.0,207.0,101.0,14.0,158.0,860.0,317.0,233.0,268.0,312
Moreton Bay - North,22.0,91.0,228.0,21.0,3.0,151.0,521.0,325.0,13.0,281.0,313
Moreton Bay - South,3.0,43.0,124.0,4.0,0.0,56.0,227.0,169.0,33.0,97.0,314
Queensland - Outback,188.0,177.0,202.0,74.0,3.0,1465.0,2104.0,1469.0,102.0,125.0,315
Sunshine Coast,135.0,166.0,331.0,44.0,15.0,59.0,744.0,247.0,137.0,606.0,316
Toowoomba,10.0,147.0,131.0,125.0,10.0,92.0,515.0,198.0,17.0,65.0,317
Townsville,75.0,275.0,233.0,259.0,10.0,724.0,1574.0,726.0,65.0,104.0,318
Wide Bay,157.0,406.0,357.0,79.0,14.0,246.0,1259.0,524.0,323.0,563.0,319
Adelaide - Central and Hills,111.0,222.0,161.0,381.0,9.0,98.0,984.0,316.0,14.0,17.0,401
Adelaide - North,10.0,457.0,370.0,179.0,3.0,440.0,1447.0,926.0,19.0,64.0,402
Adelaide - South,8.0,330.0,292.0,61.0,0.0,115.0,812.0,321.0,6.0,107.0,403
Adelaide - West,19.0,215.0,190.0,138.0,3.0,275.0,845.0,644.0,0.0,3.0,404
Barossa - Yorke - Mid North,10.0,67.0,103.0,0.0,4.0,33.0,218.0,95.0,35.0,84.0,405
South Australia - Outback,38.0,193.0,107.0,15.0,4.0,652.0,1003.0,497.0,77.0,67.0,406
South Australia - South East,54.0,141.0,172.0,51.0,3.0,109.0,523.0,149.0,113.0,94.0,407
Bunbury,72.0,56.0,173.0,30.0,3.0,43.0,375.0,182.0,80.0,209.0,501
Mandurah,51.0,21.0,111.0,0.0,0.0,30.0,206.0,54.0,44.0,102.0,502
Perth - Inner,187.0,168.0,112.0,259.0,17.0,84.0,831.0,205.0,0.0,0.0,503
Perth - North East,19.0,47.0,174.0,29.0,3.0,245.0,513.0,314.0,24.0,75.0,504
Perth - North West,20.0,73.0,329.0,18.0,10.0,417.0,876.0,877.0,0.0,98.0,505
Perth - South East,23.0,287.0,335.0,104.0,16.0,507.0,1270.0,991.0,51.0,86.0,506
Perth - South West,98.0,157.0,347.0,252.0,3.0,178.0,1024.0,507.0,33.0,97.0,507
Western Australia - Outback,404.0,94.0,452.0,201.0,20.0,2545.0,3712.0,1865.0,229.0,436.0,508
Western Australia - Wheat Belt,57.0,27.0,140.0,54.0,4.0,113.0,400.0,215.0,168.0,134.0,509
Hobart,50.0,234.0,234.0,121.0,10.0,77.0,732.0,237.0,31.0,13.0,601
Launceston and North East,60.0,79.0,127.0,52.0,6.0,38.0,368.0,167.0,57.0,27.0,602
South East,7.0,0.0,38.0,0.0,0.0,42.0,90.0,54.0,29.0,25.0,603
West and North West,38.0,167.0,107.0,9.0,5.0,18.0,347.0,130.0,44.0,88.0,604
Darwin,345.0,266.0,243.0,198.0,11.0,214.0,1269.0,594.0,110.0,60.0,701
Northern Territory - Outback,494.0,315.0,186.0,98.0,11.0,12958.0,14062.0,4566.0,135.0,200.0,702
Australian Capital Territory,28.0,1114.0,310.0,3.0,3.0,278.0,1739.0,485.0,4.0,35.0,801
,,,,,,,,,,,901
