sa4_code_2011,sa4_name_2011,_2010_est_res_population,_2010_deaths,_2010_std_death_rate,_2011_est_res_population,_2011_deaths,_2011_std_death_rate,_2012_est_res_population,_2012_deaths,_2012_std_death_rate,_2013_est_res_population,_2013_deaths,_2013_std_death_rate,_2014_est_res_population,_2014_deaths,_2014_std_death_rate,_2015_est_res_population,_2015_deaths,_2015_std_death_rate
101,Capital Region,213926,1701,6.5,215828,1829,6.3,217674,1709,6.1,219217,1821,6.0,220808,1830,5.8,221767,1984,5.9
102,Central Coast,320361,2952,6.4,322657,3062,6.3,325418,3045,6.1,327965,3073,6.1,330803,3321,6.1,333119,3237,6.1
103,Central West,201388,1646,6.9,203399,1911,6.8,205853,1802,6.9,207716,1734,6.8,209669,1737,6.4,211129,1850,6.2
104,Coffs Harbour - Grafton,134257,1136,6.3,135182,1255,6.1,135276,1231,6.0,135635,1269,6.1,136236,1286,6.1,137022,1289,6.0
105,Far West and Orana,118218,1031,7.2,117991,1058,7.1,118427,1021,7.1,118831,1095,7.0,119511,1122,6.9,119391,1064,6.9
106,Hunter Valley exc Newcastle,247804,1814,6.6,251805,1817,6.4,256601,1847,6.3,260328,1772,6.1,263920,1970,6.0,267314,2042,6.0
107,Illawarra,286526,2051,5.9,289027,2128,5.8,290889,2112,5.7,293957,2137,5.6,296658,2243,5.5,300067,2344,5.6
108,Mid North Coast,206306,2208,6.2,208090,2342,6.2,209678,2286,6.1,211014,2359,6.0,212655,2513,6.1,213903,2552,6.1
109,Murray,113796,992,6.3,113795,999,6.3,114271,1030,6.3,114837,1078,6.3,116058,1006,6.1,117080,1120,6.1
110,New England and North West,181428,1491,6.8,182559,1673,6.8,183939,1561,6.8,185131,1623,6.8,186152,1636,6.5,186812,1643,6.5
111,Newcastle and Lake Macquarie,353800,3036,6.3,357562,3112,6.2,361210,3072,6.2,364508,3238,6.1,367907,3393,6.2,370945,3422,6.3
112,Richmond - Tweed,235288,2096,6.0,236498,2353,6.1,237764,2285,6.1,239879,2187,6.0,241887,2369,5.9,244470,2368,5.8
113,Riverina,155383,1167,6.2,155720,1229,6.2,156176,1134,6.1,156582,1180,5.9,157997,1230,5.8,158854,1292,5.9
114,Southern Highlands and Shoalhaven,140656,1278,6.1,142124,1446,6.1,143307,1518,6.0,144399,1435,6.0,146299,1587,6.0,147960,1600,6.0
115,Sydney - Baulkham Hills and Hawkesbury,216873,1001,5.1,218866,1072,5.0,221621,1014,4.9,224885,1054,4.8,228804,1110,4.6,233153,1163,4.7
116,Sydney - Blacktown,309200,1452,6.6,314875,1508,6.6,320579,1449,6.5,327652,1455,6.2,334880,1511,5.9,342015,1580,5.8
117,Sydney - City and Inner South,280249,1197,5.9,283784,1370,5.9,289441,1231,5.8,295210,1263,5.7,303711,1334,5.4,313467,1286,5.3
118,Sydney - Eastern Suburbs,264827,1442,4.9,268144,1559,4.8,271534,1488,4.7,276102,1465,4.6,279580,1527,4.5,283470,1657,4.6
119,Sydney - Inner South West,546240,3398,5.3,551692,3563,5.2,559232,3366,5.1,567176,3602,5.1,575102,3574,5.0,581741,3753,5.0
120,Sydney - Inner West,274515,1638,5.6,278878,1673,5.3,283149,1641,5.3,288431,1593,5.1,294133,1677,5.0,297317,1686,4.9
121,Sydney - North Sydney and Hornsby,390163,2245,4.6,395154,2322,4.5,400498,2243,4.4,406875,2232,4.3,413735,2256,4.2,421882,2240,4.1
122,Sydney - Northern Beaches,248250,1712,5.1,251696,1712,5.0,255026,1689,4.9,258828,1692,4.8,263250,1761,4.8,266247,1760,4.7
123,Sydney - Outer South West,240988,1183,6.6,243751,1239,6.6,247542,1205,6.4,252051,1269,6.3,257077,1236,5.9,263101,1337,5.8
124,Sydney - Outer West and Blue Mountains,296099,1629,6.3,297997,1680,6.2,300909,1700,6.1,304910,1736,6.0,309313,1806,6.0,313756,1913,6.0
125,Sydney - Parramatta,406628,2277,6.0,413886,2320,5.8,423945,2311,5.6,435987,2427,5.6,446290,2412,5.4,456989,2563,5.4
126,Sydney - Ryde,169329,1082,4.9,171350,1134,4.7,174283,1109,4.7,176928,1070,4.6,179643,1164,4.6,183399,1139,4.5
127,Sydney - South West,372326,1664,5.8,376582,1812,5.7,382256,1729,5.5,389529,1866,5.5,397004,1947,5.4,405686,2029,5.4
128,Sydney - Sutherland,219468,1262,5.0,219637,1349,4.9,220685,1375,4.8,222500,1512,4.9,224336,1602,5.1,225628,1541,5.1
201,Ballarat,146577,1255,7.1,148656,1265,6.9,150716,1192,6.5,152653,1232,6.3,154564,1304,6.2,155920,1365,6.3
202,Bendigo,140967,1137,6.1,142693,1201,6.1,144436,1282,6.2,146276,1164,6.1,148417,1252,6.0,149919,1362,6.0
203,Geelong,252091,2018,6.1,256580,2097,6.0,260117,2001,5.9,264605,2020,5.7,268727,2282,5.7,273951,2242,5.7
204,Hume,160178,1334,6.4,161335,1411,6.3,162386,1308,6.1,163402,1401,6.0,164497,1458,5.9,164900,1494,6.0
205,Latrobe - Gippsland,256142,2258,6.8,259952,2282,6.6,262259,2258,6.2,263594,2233,6.0,264966,2394,5.9,266020,2547,6.1
206,Melbourne - Inner,526230,2652,5.6,532351,2557,5.4,547177,2563,5.2,567777,2561,5.0,584924,2706,4.9,602309,2824,4.9
207,Melbourne - Inner East,354957,2389,4.7,356245,2446,4.6,358970,2466,4.5,362701,2437,4.5,367290,2525,4.4,371794,2577,4.4
208,Melbourne - Inner South,393350,2925,5.2,395206,2913,5.1,400223,2829,4.9,405527,2852,4.8,411771,2860,4.7,417540,2949,4.7
209,Melbourne - North East,444623,2439,5.7,454330,2699,5.7,466133,2590,5.4,477848,2551,5.3,488856,2783,5.1,500007,2883,5.1
210,Melbourne - North West,326252,1885,5.8,331282,1864,5.6,337095,1893,5.5,344447,1874,5.3,353367,1980,5.2,361965,2123,5.2
211,Melbourne - Outer East,494454,2967,5.7,495565,3005,5.5,497427,2985,5.4,499875,3013,5.3,503485,3209,5.2,506234,3270,5.2
212,Melbourne - South East,669823,3640,5.8,684430,3768,5.6,700043,3754,5.4,715721,3751,5.2,732830,4056,5.1,751032,4278,5.1
213,Melbourne - West,618574,2837,6.2,640336,2981,6.0,662806,2992,5.9,684141,2984,5.7,706732,3151,5.6,727629,3424,5.6
214,Mornington Peninsula,277594,2139,5.8,279621,2268,5.8,282584,2075,5.5,285531,2136,5.3,288648,2290,5.2,290986,2451,5.4
215,North West,150219,1471,6.6,149634,1470,6.6,149668,1361,6.3,149273,1445,6.2,148683,1462,6.1,147653,1476,6.1
216,Shepparton,126533,1044,6.3,127002,1138,6.4,127959,1056,6.1,128220,1042,6.0,128813,1154,5.8,128904,1310,6.1
217,Warrnambool and South West,122537,1130,6.6,122599,1117,6.5,122522,1084,6.4,121954,1146,6.2,121540,1091,6.1,120718,1249,6.2
301,Brisbane - East,215444,1404,5.9,219039,1343,5.7,222509,1428,5.6,225412,1423,5.5,227982,1453,5.4,229796,1469,5.3
302,Brisbane - North,195271,1410,6.0,198482,1420,5.7,201891,1420,5.6,205623,1420,5.5,208595,1441,5.5,211589,1431,5.4
303,Brisbane - South,323375,1777,5.8,328772,1787,5.6,334836,1886,5.6,339960,1880,5.5,344223,1884,5.5,348656,1947,5.5
304,Brisbane - West,176976,954,5.4,178105,976,5.2,180910,1023,5.2,182931,1011,5.1,184753,987,5.1,186113,1036,5.0
305,Brisbane Inner City,232555,1076,5.7,236750,1048,5.4,241320,1078,5.5,246355,1007,5.3,251183,1064,5.2,255659,1070,5.0
306,Cairns,230368,1385,6.8,232781,1489,6.8,236516,1407,6.5,239904,1405,6.3,242315,1499,6.0,244052,1518,5.9
307,Darling Downs - Maranoa,123568,922,6.4,125260,995,6.4,126578,995,6.4,128173,993,6.4,129004,962,6.2,129084,1139,6.3
308,Fitzroy,213690,1292,6.8,217123,1248,6.7,223333,1294,6.5,229217,1329,6.3,233655,1197,6.0,235784,1290,5.8
309,Gold Coast,519630,3136,5.5,528766,3151,5.3,540527,3303,5.3,551060,3312,5.2,560044,3521,5.3,569951,3558,5.2
310,Ipswich,283784,1542,6.5,291052,1615,6.4,299477,1603,6.4,308205,1611,6.2,316130,1639,5.9,323559,1745,5.9
311,Logan - Beaudesert,294701,1424,6.8,300179,1506,6.6,306977,1551,6.6,313473,1516,6.4,318277,1619,6.3,322416,1606,6.0
312,Mackay,168467,926,7.0,171564,888,6.9,176249,853,6.5,179994,870,6.1,181977,861,5.7,182303,900,5.6
313,Moreton Bay - North,217994,1533,6.3,222270,1674,6.2,226958,1753,6.2,230736,1828,6.3,234240,1791,6.3,237163,1893,6.3
314,Moreton Bay - South,168248,656,5.6,172787,676,5.5,178438,684,5.4,183079,713,5.3,188091,719,5.1,193769,784,5.1
315,Queensland - Outback,85575,703,9.5,86631,465,8.9,87422,460,8.5,88195,516,7.4,88372,477,7.2,88232,469,7.0
