sa4_code_2011,sa4_name_2011,year,p_0_14_yrs_pc,p_15_24_yrs_pc,p_25_34_yrs_pc,p_35_44_yrs_pc,p_45_54_yrs_pc,p_55_64_yrs_pc,p_65_74_yrs_pc,p_75_84_yrs_pc,p_85_yrs_plus_pc,m_0_4_yrs,m_5_9_yrs,m_10_14_yrs,m_15_19_yrs,m_20_24_yrs,m_25_29_yrs,m_30_34_yrs,m_35_39_yrs,m_40_44_yrs,m_45_49_yrs,m_50_54_yrs,m_55_59_yrs,m_60_64_yrs,m_65_69_yrs,m_70_74_yrs,m_75_79_yrs,m_80_84_yrs,m_85_yrs_and_over,m_tot,f_0_4_yrs,f_5_9_yrs,f_10_14_yrs,f_15_19_yrs,f_20_24_yrs,f_25_29_yrs,f_30_34_yrs,f_35_39_yrs,f_40_44_yrs,f_45_49_yrs,f_50_54_yrs,f_55_59_yrs,f_60_64_yrs,f_65_69_yrs,f_70_74_yrs,f_75_79_yrs,f_80_84_yrs,f_85_yrs_and_over,f_tot,p_0_4_yrs,p_5_9_yrs,p_10_14_yrs,p_15_19_yrs,p_20_24_yrs,p_25_29_yrs,p_30_34_yrs,p_35_39_yrs,p_40_44_yrs,p_45_49_yrs,p_50_54_yrs,p_55_59_yrs,p_60_64_yrs,p_65_69_yrs,p_70_74_yrs,p_75_79_yrs,p_80_84_yrs,p_85_yrs_and_over,p_tot,p_tot_wrk_age_pop_pc,m_med_age,f_med_age,p_med_age,prop_indig_ppl_pc,bd_births,bd_tot_fert_rate,bd_deaths,bd_stnd_dth_rate,pop_density,rime_net_migrtn,rime_arrivals,rime_departures,obp_oceania_antar_pc,obp_nw_europe_pc,obp_sth_east_europe_pc,obp_nrth_afric_mid_east_pc,obp_se_asia_pc,obp_ne_asia_pc,obp_sth_cntrl_asia_pc,obp_america_pc,obp_sub_saharan_africa_pc,obp_tot_pc,spk_lang_oth_eng_pc,enrl_preschl_prog_4_yrs,enrl_preschl_prog_5_yrs,enrl_preschl_prog_tot,enrl_preschl_prog_preschl,enrl_preschl_prog_preschl_daycare,enrl_preschl_prog_1_more_type,att_preschl_15_hrs_less,att_preschl_15_hrs_more,psq_pop_15_yrs_plus_pc,psq_postgrad_deg_pc,psq_grad_dip_cert_pc,psq_bach_deg_pc,psq_adv_dip_dip_pc,psq_cert_pc,psq_inad_desc_ns_pc,oep_manager_pc,oep_prof_pc,oep_tech_trade_wrk_pc,oep_comm_pers_serv_wrk_pc,oep_cler_admin_wrk_pc,oep_sal_wrk_pc,oep_mach_oper_driv_pc,oep_lab_pc,oep_inad_desc_ns_pc,mtw_1_meth_train_or_tram,mtw_1_meth_bus,mtw_1_meth_car,mtw_1_meth_motorbike_or_scooter,mtw_1_meth_bicycle,mtw_1_meth_oth,mtw_1_meth_walk_ono,mtw_1_meth_tot,mtw_more_1_meth_tot,mtw_oth_wrk_home,mtw_oth_emp_not_go_to_wrk,mtw_oth_wrk_meth_ns,mtw_tot_empl,hhold_type_lone_pers,hhold_type_group,hhold_type_fam,hhold_type_tot,hhold_avg_size,fam_type_cpl_chld_u15_dep_stu,fam_type_cpl_non_dep_chld,fam_type_cpl_wo_chld,fam_type_opf_chld_u15_dep_stu,fam_type_opf_non_dep_chld,fam_type_oth_fam,fam_type_tot,fam_avg_size,disable_p_liv_priv_dwell,disable_p_liv_priv_dwell_pc,uw_volunt_wrk_org_grp_pc,uw_care_own_chld_wo_pay_pc,uw_care_oth_chld_wo_pay_pc,uw_care_own_oth_chld_wo_pay_pc,uw_prov_care_hpl_assist_oth_pc,internet_access_broadband_pc,internet_access_dial_up_pc,internet_access_other_pc,internet_access_tot_connected_pc
101,Capital Region,2014,18.4,11.3,10.1,12.3,14.3,14.3,11.3,5.6,2.3,6459,7207,7251,7299,5702,5685,5529,6089,7326,7720,8199,8179,7738,7239,5452,3655,2361,1859,110949,6067,6675,6921,6776,5228,5175,5951,6219,7650,7313,8442,8074,7601,6939,5245,3695,2763,3261,109995,12526,13882,14172,14075,10930,10860,11480,12308,14976,15033,16641,16253,15339,14178,10697,7350,5124,5120,220944,62.4,43,44,44,,2146.0,2.0,1830.0,5.8,4.3,514.0,12292.0,11778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Capital Region,2013,18.7,11.3,10.1,12.6,14.6,14.2,10.9,5.5,2.2,6618,7090,7359,7236,5630,5626,5475,6185,7400,7786,8310,8050,7657,7002,5204,3423,2392,1729,110172,6234,6564,7048,6707,5142,5176,5875,6289,7758,7391,8426,7912,7469,6723,4967,3590,2756,3084,109111,12852,13654,14407,13943,10772,10802,11350,12474,15158,15177,16736,15962,15126,13725,10171,7013,5148,4813,219283,62.7,43,44,43,,2417.0,2.1,1821.0,6.0,4.2,799.0,12249.0,11450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Capital Region,2012,18.8,11.4,10.1,12.9,14.8,14.1,10.5,5.5,2.1,6744,6948,7368,7268,5671,5558,5374,6365,7446,7875,8314,7962,7607,6679,4982,3326,2326,1613,109426,6260,6457,7131,6710,5099,5243,5752,6500,7710,7637,8302,7777,7352,6384,4708,3454,2785,2987,108248,13004,13405,14499,13978,10770,10801,11126,12865,15156,15512,16616,15739,14959,13063,9690,6780,5111,4600,217674,63.2,42,43,43,,2375.0,,1709.0,,4.2,906.0,13374.0,12468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Capital Region,2011,19.0,11.4,10.1,13.2,14.9,14.1,9.9,5.4,2.0,6879,6856,7401,7246,5601,5483,5273,6640,7476,7951,8306,7758,7748,6204,4763,3228,2256,1531,108600,6434,6407,7118,6604,5104,5281,5661,6685,7653,7834,8127,7665,7322,5967,4370,3402,2763,2831,107228,13313,13263,14519,13850,10705,10764,10934,13325,15129,15785,16433,15423,15070,12171,9133,6630,5019,4362,215828,63.7,42,43,42,3.0,2463.0,,1829.0,,4.2,851.0,13014.0,12163.0,1.5,6.0,1.9,0.2,0.8,0.3,0.5,0.7,0.4,18.1,5.4,,,,,,,,,55.4,2.7,1.9,9.9,7.6,21.5,11.9,16.1,16.7,14.6,10.9,14.5,8.9,6.0,10.4,1.9,76.0,659.0,67216.0,606.0,449.0,2641.0,4205.0,75852.0,1004.0,6097.0,10230.0,1479.0,94662.0,21423.0,1931.0,55290.0,78644.0,2.4,18491.0,3813.0,24872.0,5839.0,2545.0,635.0,56195.0,2.9,,,22.5,19.0,7.1,1.0,12.2,61.8,3.7,3.9,69.4
101,Capital Region,2010,19.1,11.7,10.3,13.4,14.9,13.9,9.5,5.3,1.9,6960,6788,7394,7171,5754,5471,5463,6862,7392,8070,8132,7644,7544,5885,4494,3129,2180,1429,107762,6324,6450,7020,6669,5417,5433,5591,6950,7468,7929,7784,7442,7064,5696,4223,3323,2697,2684,106164,13284,13238,14414,13840,11171,10904,11054,13812,14860,15999,15916,15086,14608,11581,8717,6452,4877,4113,213926,64.2,41,42,42,,,,,,4.1,1496.0,13301.0,11805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,2014,18.8,12.4,11.0,12.4,13.2,12.3,10.5,6.3,3.0,10210,11036,10503,11137,10030,8930,8952,8997,10798,10133,10866,10350,9356,9324,7282,5386,3993,3551,160834,9761,10466,10174,10550,9452,9154,9468,9707,11448,10852,11753,10912,10160,10212,7998,6381,5256,6469,170173,19971,21502,20677,21687,19482,18084,18420,18704,22246,20985,22619,21262,19516,19536,15280,11767,9249,10020,331007,61.3,40,43,42,,3385.0,2.0,3321.0,6.1,196.9,2057.0,15940.0,13883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,2013,18.9,12.5,11.0,12.5,13.3,12.2,10.3,6.4,3.0,10375,10827,10514,11282,9852,8830,8764,9117,10678,10213,10880,10117,9145,9038,7054,5206,4062,3439,159393,9853,10334,10227,10613,9314,9041,9302,9751,11533,10793,11656,10733,9990,9963,7686,6238,5350,6293,168670,20228,21161,20741,21895,19166,17871,18066,18868,22211,21006,22536,20850,19135,19001,14740,11444,9412,9732,328063,61.5,40,43,41,,3957.0,2.1,3073.0,6.1,195.2,1756.0,15617.0,13861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,2012,19.1,12.6,10.9,12.7,13.4,12.1,9.9,6.4,2.9,10414,10654,10579,11354,9792,8848,8536,9414,10492,10318,10912,9921,9104,8562,6805,5087,4085,3298,158175,9905,10195,10386,10530,9327,8963,9062,9968,11403,10965,11555,10474,9921,9446,7412,6176,5526,6029,167243,20319,20849,20965,21884,19119,17811,17598,19382,21895,21283,22467,20395,19025,18008,14217,11263,9611,9327,325418,61.7,40,42,41,,3741.0,,3045.0,,193.6,1697.0,15883.0,14186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,2011,19.3,12.7,10.8,12.9,13.6,12.1,9.5,6.5,2.8,10415,10561,10727,11294,9703,8786,8377,9775,10265,10564,10634,9735,9153,8026,6602,5035,4055,3194,156901,9870,9946,10612,10511,9315,8749,8885,10373,11072,11240,11295,10154,10040,8852,7207,6187,5611,5837,165756,20285,20507,21339,21805,19018,17535,17262,20148,21337,21804,21929,19889,19193,16878,13809,11222,9666,9031,322657,62.0,40,42,41,2.9,3943.0,,3062.0,,192.0,1918.0,15843.0,13925.0,2.0,7.2,1.2,0.3,0.9,0.6,0.4,0.8,0.6,19.4,4.7,,,,,,,,,54.4,1.7,1.1,8.5,7.8,23.0,12.2,10.9,17.9,15.7,11.5,14.6,11.3,6.1,10.3,1.7,4921.0,1450.0,88973.0,581.0,374.0,2489.0,2466.0,101254.0,5986.0,5920.0,15679.0,2171.0,131010.0,31363.0,3239.0,82603.0,117205.0,2.5,28206.0,6738.0,31962.0,10991.0,5532.0,1076.0,84505.0,3.0,,,15.8,19.7,8.2,1.1,12.1,64.6,3.0,3.4,71.0
102,Central Coast,2010,19.4,12.8,10.7,13.1,13.7,11.9,9.2,6.5,2.7,10466,10418,10906,11296,9686,8559,8379,10239,10084,10840,10534,9468,8993,7678,6229,5059,3954,3048,155836,9954,9922,10579,10671,9201,8635,8820,10830,10701,11533,11016,9859,9856,8518,6962,6235,5613,5620,164525,20420,20340,21485,21967,18887,17194,17199,21069,20785,22373,21550,19327,18849,16196,13191,11294,9567,8668,320361,62.2,39,42,40,,,,,,190.6,2534.0,16198.0,13664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
