SA4_MAIN11,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
203,65537,69273,134810,10565,11437,22002,866,1006,1872,25013,27808,52821,927,1005,1932,304,362,666,409,460,869,190,205,395,146,142,288,111,128,239,0,0,0,27966,31116,59082,3356,3334,6690,461,463,924,42348,46350,88698,6166,5140,11306,114051,120763,234814,Geelong
204,44205,44743,88948,8156,8925,17081,2506,2551,5057,11410,12498,23908,1207,1108,2315,313,296,609,330,299,629,141,151,292,303,284,587,138,150,288,0,0,0,16348,17337,33685,1072,1162,2234,303,250,553,25879,27674,53553,3731,3355,7086,73815,75772,149587,Hume
205,68111,69841,137952,16101,17695,33796,1181,1233,2414,20167,22241,42408,1207,1224,2431,253,246,499,542,561,1103,242,258,500,212,221,433,110,121,231,0,0,0,23914,26105,50019,1813,1902,3715,529,490,1019,42357,46192,88549,7274,6140,13414,117742,122173,239915,Latrobe - Gippsland
206,97811,105232,203043,9817,10228,20045,5062,5595,10657,56324,58977,115301,3279,3953,7232,1424,1694,3118,2237,2606,4843,935,1032,1967,288,356,644,1033,1181,2214,7,0,7,70589,75394,145983,31653,33797,65450,1123,1035,2158,113182,120454,233636,21596,18032,39628,232589,243718,476307,Melbourne - Inner
207,93657,102929,196586,5464,5897,11361,1587,1736,3323,30370,32635,63005,921,1037,1958,433,479,912,493,554,1047,192,247,439,70,80,150,210,238,448,0,0,0,34276,37006,71282,13674,14658,28332,453,482,935,53867,58043,111910,6990,6866,13856,154514,167838,322352,Melbourne - Inner East
208,99455,108863,208318,7881,8538,16419,1610,1799,3409,36400,38967,75367,1058,1198,2256,379,432,811,610,643,1253,194,240,434,95,87,182,219,236,455,0,0,0,40565,43602,84167,13149,13654,26803,585,572,1157,62180,66366,128546,8646,8641,17287,170281,183870,354151,Melbourne - Inner South
209,121926,127072,248998,8316,8534,16850,1397,1487,2884,43244,45816,89060,1105,1165,2270,391,425,816,450,466,916,172,225,397,183,140,323,189,213,402,0,5,5,47131,49942,97073,11704,11826,23530,695,736,1431,67846,71038,138884,10014,9508,19522,199786,207618,407404,Melbourne - North East
210,90863,94363,185226,8793,9361,18154,796,890,1686,27082,28160,55242,637,687,1324,259,259,518,309,301,610,142,156,298,82,71,153,83,87,170,0,0,0,29390,30611,60001,8191,7688,15879,506,490,996,46880,48150,95030,8191,7915,16106,145934,150428,296362,Melbourne - North West
211,144744,150611,295355,9087,9629,18716,1202,1301,2503,45353,48434,93787,1057,1147,2204,359,417,776,467,490,957,164,216,380,114,125,239,153,143,296,3,0,3,48872,52273,101145,7999,8719,16718,719,683,1402,66677,71304,137981,8090,7913,16003,219511,229828,449339,Melbourne - Outer East
212,174437,179058,353495,13992,14381,28373,1839,1821,3660,65965,66820,132785,1432,1542,2974,586,537,1123,582,617,1199,307,342,649,171,170,341,184,179,363,0,0,0,71066,72028,143094,28664,27875,56539,1360,1309,2669,115082,115593,230675,15187,13754,28941,304706,308405,613111,Melbourne - South East
