SA4_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,SA4_NAME11
101,682,209,253,393,362,319,194,447,7993,54,3,8,0,7,0,3,4,3,18,100,18768,1196,1527,406,474,642,565,523,326,1287,25714,Capital Region
102,1162,292,359,421,315,270,161,506,10492,54,11,3,0,0,6,5,0,0,18,97,30380,3143,3551,893,885,966,789,687,349,2143,43786,Central Coast
103,566,174,189,210,185,147,125,522,4310,17,3,0,0,0,3,3,0,0,8,34,9311,812,1122,334,345,383,353,286,226,1062,14234,Central West
104,411,153,175,244,286,238,119,213,3682,8,3,3,3,3,4,5,6,0,13,48,9366,761,1048,315,324,400,406,405,211,765,14001,Coffs Harbour - Grafton
105,250,95,156,156,129,91,67,181,2113,16,0,3,0,0,0,3,3,0,9,34,3629,287,467,161,227,221,206,172,125,445,5940,Far West and Orana
106,554,274,209,263,212,206,147,356,4682,17,0,6,0,3,3,3,3,3,12,50,13201,1158,1602,582,494,660,498,530,329,1110,20164,Hunter Valley exc Newcastle
107,1688,475,715,981,1307,1346,662,1135,27084,134,13,13,3,9,9,6,16,11,26,240,40174,2603,3108,871,1104,1414,1678,1690,916,2448,56006,Illawarra
108,294,87,113,114,111,77,55,240,3214,10,0,3,0,3,0,8,0,3,0,27,14497,920,1053,249,299,284,259,231,130,1072,18994,Mid North Coast
109,244,180,183,200,262,204,145,139,2892,12,0,3,0,3,0,3,0,3,10,34,5625,440,598,268,263,305,339,290,223,473,8824,Murray
110,376,143,160,280,272,320,256,195,3312,9,0,3,3,0,3,0,6,0,11,35,6418,674,846,305,257,415,412,469,350,618,10764,New England and North West
111,1449,482,605,776,885,947,515,719,14080,52,8,19,4,3,5,9,5,8,41,154,23240,2268,3081,876,1009,1249,1348,1448,824,1912,37255,Newcastle and Lake Macquarie
112,690,225,255,281,336,301,126,348,5783,30,6,3,3,0,6,3,6,0,6,63,18901,1970,2444,613,662,719,729,622,300,1423,28383,Richmond - Tweed
113,897,256,353,448,544,430,229,501,6659,12,6,17,3,3,7,14,10,4,8,84,6639,984,1401,399,486,638,725,579,327,831,13009,Riverina
114,276,73,72,84,112,62,41,356,3798,19,3,3,3,0,3,0,0,3,6,40,14481,808,899,205,187,198,287,167,137,1102,18471,Southern Highlands and Shoalhaven
115,4502,925,1015,944,805,757,384,1003,35474,120,33,22,4,3,3,3,6,6,29,229,37069,7407,7001,1388,1601,1641,1341,1382,747,1927,61504,Sydney - Baulkham Hills and Hawkesbury
116,14228,3547,3653,3945,3131,2234,1236,2964,85103,282,93,137,32,30,45,39,39,14,96,807,55649,15585,17442,4264,4376,4647,3749,2797,1532,4309,114350,Sydney - Blacktown
117,8818,2914,3784,4688,4851,4576,2726,3255,67345,212,45,50,18,21,45,47,46,34,81,599,44578,9990,13745,4236,5380,6565,6806,7081,4455,4999,107835,Sydney - City and Inner South
118,4881,1599,1902,2463,2910,3013,1877,2100,44211,163,20,37,5,11,16,16,23,11,51,353,42495,8425,11071,3182,3688,4582,5170,5567,3425,4090,91695,Sydney - Eastern Suburbs
119,22570,6208,7518,7794,6850,5180,2590,7513,187163,638,140,146,29,47,72,54,52,41,208,1427,122679,24056,25492,6922,8199,8574,7483,5792,2962,9252,221411,Sydney - Inner South West
