SA4_MAIN11,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW_,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW_,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW_,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW_,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW_,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW_,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW_,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW_,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW_,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW_,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW_,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW_,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW_,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW_,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW_,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW_,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW_,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW_,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW_,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW_,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW_,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW_,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW_,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW_,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW_,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW_,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW_,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW_,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo,SA4_NAME11
101,2881,570,59,25,2540,876,6951,1863,859,147,65,1563,483,4980,3181,2767,714,310,1835,962,9769,3852,4558,1282,564,2031,1148,13435,4132,5360,1523,699,2659,1225,15598,3439,4707,1708,956,3152,1151,15113,1604,2622,1482,1155,2556,1074,10493,629,1022,605,597,1597,909,5359,146,189,106,103,617,331,1492,21727,22654,7626,4474,18550,8159,83190,2822,832,121,72,1758,718,6323,1426,1342,413,360,798,304,4643,1502,3233,1817,2310,849,656,10367,1226,4499,3424,3284,894,762,14089,1534,5678,3759,2504,1267,780,15522,1240,4401,3519,3047,1767,866,14840,538,1893,2243,2616,1842,1040,10172,446,934,848,1029,1659,1142,6058,261,293,190,175,1300,585,2804,10995,23105,16334,15397,12134,6853,84818,5703,1402,180,97,4298,1594,13274,3289,2201,560,425,2361,787,9623,4683,6000,2531,2620,2684,1618,20136,5078,9057,4706,3848,2925,1910,27524,5666,11038,5282,3203,3926,2005,31120,4679,9108,5227,4003,4919,2017,29953,2142,4515,3725,3771,4398,2114,20665,1075,1956,1453,1626,3256,2051,11417,407,482,296,278,Capital Region
102,4450,725,79,36,4319,1302,10911,3429,1265,204,106,3130,600,8734,5564,4505,969,430,3078,1085,15631,5930,6455,1703,732,3119,1293,19232,5943,6942,1803,806,3628,1473,20595,4436,5570,1869,1001,4229,1347,18452,2010,3514,1981,1376,3675,1516,14072,946,1637,1015,945,2843,1539,8925,278,403,216,212,1326,723,3158,32986,31016,9839,5644,29347,10878,119710,4692,1031,142,75,3228,994,10162,2984,2125,592,504,1732,508,8445,2753,5024,2850,3895,1349,839,16710,1833,6340,5020,5473,1388,1070,21124,2254,7784,5324,3700,1957,1240,22259,1834,5891,4513,3751,2760,1194,19943,986,3014,3172,3429,3389,1746,15736,825,1806,1530,1607,3562,2261,11591,505,620,333,279,2610,1460,5807,18666,33635,23476,22713,21975,11312,131777,9142,1756,221,111,7547,2296,21073,6413,3390,796,610,4862,1108,17179,8317,9529,3819,4325,4427,1924,32341,7763,12795,6723,6205,4507,2363,40356,8197,14726,7127,4506,5585,2713,42854,6270,11461,6382,4752,6989,2541,38395,2996,6528,5153,4805,7064,3262,29808,1771,3443,2545,2552,6405,3800,20516,783,1023,549,491,Central Coast
103,2547,550,67,42,2778,918,6902,2108,1064,173,82,1820,713,5960,3276,2928,690,316,1967,1119,10296,3382,3866,1059,480,2148,1154,12089,3682,4171,1159,603,2820,1019,13454,2986,3599,1204,731,3231,1070,12821,1405,2077,1086,918,2602,1077,9165,583,933,503,506,1666,895,5086,128,148,72,73,616,243,1280,20097,19336,6013,3751,19648,8208,77053,2709,864,151,87,2016,753,6580,1506,1599,563,567,886,359,5480,1258,3010,1868,2909,816,579,10440,939,3623,3087,3280,936,712,12577,1111,4450,3254,2492,1314,685,13306,931,3362,2800,2766,1644,838,12341,497,1601,1723,2291,1953,997,9062,412,857,836,1060,1756,1060,5981,224,281,165,168,1452,475,2765,9587,19647,14447,15620,12773,6458,78532,5256,1414,218,129,4794,1671,13482,3614,2663,736,649,2706,1072,11440,4534,5938,2558,3225,2783,1698,20736,4321,7489,4146,3760,3084,1866,24666,4793,8621,4413,3095,4134,1704,26760,3917,6961,4004,3497,4875,1908,25162,1902,3678,2809,3209,4555,2074,18227,995,1790,1339,1566,3422,1955,11067,352,429,237,241,Central West
104,1807,388,45,25,1690,528,4483,1113,561,95,66,919,269,3023,1694,1584,395,227,1100,443,5443,1935,2380,802,454,1194,540,7305,2239,3104,1070,499,1650,604,9166,2074,3101,1244,733,2058,594,9804,885,1603,1045,863,1739,654,6789,412,664,473,462,1249,665,3925,100,119,82,72,548,251,1172,12259,13504,5251,3401,12147,4548,51110,1866,577,71,53,1238,445,4250,822,914,290,316,461,199,3002,789,1731,1032,1556,500,313,5921,708,2497,1973,2087,569,393,8227,1032,3588,2443,1703,886,454,10106,753,2870,2327,2030,1194,520,9694,355,1219,1418,1891,1399,707,6989,313,607,590,815,1299,794,4418,170,216,132,135,1011,443,2107,6808,14219,10276,10586,8557,4268,54714,3673,965,116,78,2928,973,8733,1935,1475,385,382,1380,468,6025,2483,3315,1427,1783,1600,756,11364,2643,4877,2775,2541,1763,933,15532,3271,6692,3513,2202,2536,1058,19272,2827,5971,3571,2763,3252,1114,19498,1240,2822,2463,2754,3138,1361,13778,725,1271,1063,1277,2548,1459,8343,270,335,214,207,Coffs Harbour - Grafton
105,1281,330,63,37,1607,566,3884,953,557,119,66,1024,385,3104,1736,1640,385,211,1268,692,5932,1740,2129,597,324,1383,678,6851,2035,2287,681,333,1896,762,7994,1673,1924,633,401,2108,711,7450,783,1059,549,481,1656,694,5222,328,439,284,287,983,575,2896,74,65,46,38,354,149,726,10603,10430,3357,2178,12279,5212,44059,1255,515,102,75,1129,504,3580,717,955,338,341,602,240,3193,736,1911,1052,1653,632,401,6385,538,2024,1652,1743,700,505,7162,701,2607,1814,1356,948,544,7970,518,1841,1538,1399,1136,529,6961,275,879,974,1221,1109,669,5127,258,492,381,550,1107,654,3442,115,139,91,93,719,286,1443,5113,11363,7942,8431,8082,4332,45263,2536,845,165,112,2736,1070,7464,1670,1512,457,407,1626,625,6297,2472,3551,1437,1864,1900,1093,12317,2278,4153,2249,2067,2083,1183,14013,2736,4894,2495,1689,2844,1306,15964,2191,3765,2171,1800,3244,1240,14411,1058,1938,1523,1702,2765,1363,10349,586,931,665,837,2090,1229,6338,189,204,137,131,Far West and Orana
106,3207,602,59,34,3539,1036,8477,2621,1209,190,105,2616,621,7362,4655,4219,867,429,2847,1171,14188,4562,5304,1361,613,2858,1233,15931,4492,5531,1470,647,3180,1239,16559,3370,4324,1530,897,3784,1207,15112,1363,2448,1495,1250,2731,1150,10437,523,927,638,643,1648,883,5262,119,190,89,104,655,288,1445,24912,24754,7699,4722,23858,8828,94773,3401,997,174,90,2655,839,8156,2102,1874,621,624,1251,393,6865,1860,4104,2493,3813,1157,693,14120,1237,4941,4008,4382,1244,825,16637,1409,5487,4152,3298,1498,874,16718,1104,3905,3604,3722,1991,970,15296,535,1712,2115,2761,2096,1141,10360,492,913,794,1077,1976,1225,6477,250,324,149,156,1425,518,2822,12390,24257,18110,19923,15293,7478,97451,6608,1599,233,124,6194,1875,16633,4723,3083,811,729,3867,1014,14227,6515,8323,3360,4242,4004,1864,28308,5799,10245,5369,4995,4102,2058,32568,5901,11018,5622,3945,4678,2113,33277,4474,8229,5134,4619,5775,2177,30408,1898,4160,3610,4011,4827,2291,20797,1015,1840,1432,1720,3624,2108,11739,369,514,238,260,Hunter Valley exc Newcastle
107,3991,598,67,44,4111,1005,9816,3708,1352,182,83,3898,651,9874,5789,4564,914,336,3924,1050,16577,5290,5921,1657,721,3316,1041,17946,5338,6320,1722,677,3730,1114,18901,3612,4815,1675,885,3811,1045,15843,1533,2728,1539,1228,3057,1039,11124,753,1247,775,777,2274,1128,6954,196,267,136,141,930,393,2063,30210,27812,8667,4892,29051,8466,109098,4169,1011,131,75,3000,820,9206,3392,2215,558,390,2214,542,9311,2916,5203,2641,3200,1739,747,16446,1656,5738,4612,4531,1487,785,18809,1860,6462,4851,3531,1899,883,19486,1449,4542,3783,3317,2329,950,16370,731,2247,2447,2855,2636,1202,12118,673,1324,1059,1320,2741,1535,8652,365,449,232,199,1884,608,3737,17211,29191,20314,19418,19929,8072,114135,8160,1609,198,119,7111,1825,19022,7100,3567,740,473,6112,1193,19185,8705,9767,3555,3536,5663,1797,33023,6946,11659,6269,5252,4803,1826,36755,7198,12782,6573,4208,5629,1997,38387,5061,9357,5458,4202,6140,1995,32213,2264,4975,3986,4083,5693,2241,23242,1426,2571,1834,2097,5015,2663,15606,561,716,368,340,Illawarra
108,2453,541,67,34,2421,788,6304,1304,701,173,73,1312,426,3989,2249,2126,549,325,1415,676,7340,2771,3317,1099,645,1788,834,10454,3314,4470,1453,783,2551,955,13526,3181,4504,1851,1079,3327,1100,15042,1663,3043,2008,1595,3301,1256,12866,711,1354,947,929,2459,1261,7661,216,291,176,166,1014,531,2394,17862,20347,8323,5629,19588,7827,79576,2517,737,116,83,1807,683,5943,1010,1104,405,433,661,233,3846,1018,2279,1512,2089,690,390,7978,971,3483,2774,3006,909,569,11712,1489,5102,3638,2473,1393,741,14836,1230,4325,3669,3318,2083,877,15502,664,2314,2782,3448,2684,1263,13155,551,1202,1145,1495,2628,1613,8634,331,387,215,230,1960,887,4010,9781,20933,16256,16575,14815,7256,85616,4970,1278,183,117,4228,1471,12247,2314,1805,578,506,1973,659,7835,3267,4405,2061,2414,2105,1066,15318,3742,6800,3873,3651,2697,1403,22166,4803,9572,5091,3256,3944,1696,28362,4411,8829,5520,4397,5410,1977,30544,2327,5357,4790,5043,5985,2519,26021,1262,2556,2092,2424,5087,2874,16295,547,678,391,396,Mid North Coast
109,1569,281,38,19,1544,504,3955,1128,533,87,52,892,239,2931,1969,1581,323,159,1109,384,5525,2027,2107,573,234,1154,438,6533,2200,2405,580,262,1578,505,7530,1899,2145,603,355,2045,575,7622,839,1247,635,485,1672,656,5534,360,530,329,336,1060,587,3202,80,100,63,58,404,210,915,12071,10929,3231,1960,11458,4098,43747,1569,459,84,42,1089,396,3639,950,931,227,232,477,206,3023,802,1809,974,1357,514,294,5750,547,2043,1660,1754,544,349,6897,725,2703,1917,1396,719,402,7862,525,2081,1739,1545,1011,485,7386,264,873,1104,1379,1255,647,5522,255,502,449,606,1103,705,3620,126,165,95,84,800,381,1651,5763,11566,8249,8395,7512,3865,45350,3138,740,122,61,2633,900,7594,2078,1464,314,284,1369,445,5954,2771,3390,1297,1516,1623,678,11275,2574,4150,2233,1988,1698,787,13430,2925,5108,2497,1658,2297,907,15392,2424,4226,2342,1900,3056,1060,15008,1103,2120,1739,1864,2927,1303,11056,615,1032,778,942,2163,1292,6822,206,265,158,142,Murray
110,2295,492,76,28,2489,825,6205,1755,909,161,97,1728,447,5097,2787,2516,615,325,1896,784,8923,2845,3298,970,468,1939,836,10356,3231,3635,1056,553,2532,947,11954,2702,3173,1132,660,2997,968,11632,1294,1819,1018,933,2353,988,8405,528,739,426,443,1440,826,4402,126,128,75,65,562,250,1206,17563,16709,5529,3572,17936,6871,68180,2397,874,174,102,1746,731,6024,1370,1511,466,522,920,335,5124,1174,2797,1659,2384,842,562,9418,818,3189,2646,2856,920,674,11103,1196,4052,3002,2233,1186,732,12401,839,3024,2606,2526,1506,753,11254,437,1426,1642,2301,1738,983,8527,365,811,624,894,1570,1051,5315,228,242,141,145,1139,520,2415,8824,17926,12960,13963,11567,6341,71581,4692,1366,250,130,4235,1556,12229,3125,2420,627,619,2648,782,10221,3961,5313,2274,2709,2738,1346,18341,3663,6487,3616,3324,2859,1510,21459,4427,7687,4058,2786,3718,1679,24355,3541,6197,3738,3186,4503,1721,22886,1731,3245,2660,3234,4091,1971,16932,893,1550,1050,1337,3010,1877,9717,354,370,216,210,New England and North West
