SA4_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,SA4_NAME11
101,118,134,266,465,1051,2344,2669,2269,1165,10481,7,20,44,50,72,110,151,145,39,638,692,714,1536,1908,2085,2207,2187,2004,1019,14352,5826,9595,20129,27503,31106,29945,20652,11402,4298,160456,Capital Region
102,145,150,346,618,1409,2604,2755,3009,1888,12924,17,14,39,76,98,147,148,136,80,755,1029,895,1734,2383,2829,2833,3467,4029,2663,21862,9904,17125,32318,40341,42829,38374,29789,20508,8949,240137,Central Coast
103,99,114,296,546,1218,2527,2531,2417,1280,11028,10,15,43,76,97,136,154,102,52,685,755,927,1591,1854,1806,2056,2146,1823,781,13739,6322,11410,20714,24653,26748,25151,18217,11063,4044,148322,Central West
104,77,103,220,345,725,1376,1634,1618,871,6969,8,17,30,46,66,64,64,82,34,411,405,378,706,934,1137,1198,1362,1480,942,8542,3889,5989,11349,15528,19261,19486,13773,8344,3274,100893,Coffs Harbour - Grafton
105,132,131,262,469,1116,1949,1789,1396,634,7878,6,14,11,38,69,111,97,66,21,433,540,550,1039,1140,1329,1314,1436,1334,641,9323,3909,6279,12306,13992,15948,14399,10338,6329,2168,85668,Far West and Orana
106,153,152,344,598,1374,2674,2621,2399,1277,11592,6,18,42,44,96,120,120,117,79,642,883,830,1750,2099,2204,2297,2260,2122,1002,15447,8348,14195,28284,32552,33267,30397,20782,11729,4262,183816,Hunter Valley exc Newcastle
107,121,154,362,565,1410,3040,3688,3561,1724,14625,10,29,72,121,166,279,407,503,136,1723,764,1010,1650,1782,2163,2212,2459,2755,1182,15977,9223,19132,32985,36738,38364,32186,23226,15599,5796,213249,Illawarra
108,121,123,281,531,1251,2559,3157,2950,1686,12659,18,19,33,43,63,86,94,91,36,483,561,558,1007,1380,1817,2118,2655,2939,1744,14779,5239,7801,15310,22155,28352,30527,26004,16273,6396,158057,Mid North Coast
109,92,90,218,258,601,1388,1852,1559,791,6849,0,12,33,63,61,72,81,57,22,401,411,374,640,805,984,1146,1270,1325,768,7723,3582,5934,11265,13426,15380,15005,11056,6822,2564,85034,Murray
110,144,170,322,516,1150,2370,2591,2213,1073,10549,8,10,34,60,83,128,122,83,44,572,702,689,1273,1531,1670,1752,1992,1808,911,12328,6011,10203,18321,21440,24349,22868,16923,9710,3619,133444,New England and North West
111,195,167,416,654,1528,2908,3105,3634,2331,14938,13,23,75,181,361,247,208,190,93,1391,954,1153,2042,2260,2739,2724,3044,3453,2216,20585,11339,23954,42200,44818,46702,42224,29755,20188,8722,269902,Newcastle and Lake Macquarie
112,117,132,301,490,1051,2064,2748,3072,1906,11881,12,12,38,72,75,100,82,95,43,529,697,640,1197,1629,2059,2102,2201,2534,1504,14563,6157,10433,20760,28546,34305,32736,22074,15395,6505,176911,Richmond - Tweed
113,101,104,304,416,876,1822,1986,2102,1095,8806,6,12,55,45,71,94,119,142,52,596,541,714,1264,1308,1435,1407,1504,1338,661,10172,5391,9691,16997,18812,20389,17841,12472,7977,3124,112694,Riverina
114,80,77,166,274,663,1444,1637,1560,772,6673,6,9,24,38,40,44,68,56,18,303,455,476,851,1085,1385,1389,1703,1787,1027,10158,3760,6098,11106,15669,19201,20056,17139,10307,3734,107070,Southern Highlands and Shoalhaven
115,32,45,76,191,393,900,1126,899,558,4220,8,9,53,61,86,105,152,166,62,702,438,485,762,1172,1282,1244,1102,857,747,8089,6724,13565,20620,31394,32404,26466,15072,6918,3187,156350,Sydney - Baulkham Hills and Hawkesbury
116,162,198,599,984,1930,3386,2894,2084,932,13169,18,53,215,292,425,487,495,413,161,2559,1144,1323,2764,2714,2647,2481,2046,1520,610,17249,10710,20611,46924,45459,39084,29875,16160,8315,2785,219923,Sydney - Blacktown
117,35,100,268,431,891,1744,2230,1823,613,8135,19,92,272,169,286,433,582,630,192,2675,1204,4002,9006,4933,3643,3096,2398,1727,856,30865,6587,28011,73688,46299,30986,23230,13893,8085,2777,233556,Sydney - City and Inner South
118,40,57,109,176,321,794,1275,1540,941,5253,6,29,62,53,88,142,206,302,112,1000,1005,2325,5908,4149,3067,2598,2358,1910,1234,24554,6070,20477,50496,40267,30349,24544,16664,11034,5723,205624,Sydney - Eastern Suburbs
119,120,204,834,1630,3402,6488,7680,6411,2981,29750,43,148,522,754,1541,2029,2158,2053,617,9865,1923,2676,6046,5300,5231,4725,4160,4108,2476,36645,15292,36004,80065,73969,69420,54449,36703,26164,11446,403512,Sydney - Inner South West
120,24,50,165,285,707,1824,3053,3119,1228,10455,7,44,190,152,251,466,677,820,244,2851,730,1579,3909,2940,2530,2148,1974,2047,1440,19297,5723,18934,48710,43062,35660,27497,16956,11780,5193,213515,Sydney - Inner West
121,51,51,125,191,345,692,956,1146,853,4410,6,31,106,136,156,150,187,240,119,1131,874,1257,3492,3057,2622,2321,1907,1892,1685,19107,8025,21657,53291,58669,53470,42392,27795,17151,9125,291575,Sydney - North Sydney and Hornsby
122,36,27,119,182,345,729,962,1065,725,4190,4,38,62,90,85,100,138,160,76,753,453,666,1766,1887,1704,1562,1474,1567,1643,12722,5105,12048,29560,38571,33848,26362,18809,11755,6246,182304,Sydney - Northern Beaches
123,119,136,292,616,1293,2347,1730,1280,654,8467,14,31,82,128,234,276,251,187,62,1265,982,934,1666,1927,2135,1995,1540,1257,664,13100,9186,16393,31733,33426,32682,27077,13570,6537,2505,173109,Sydney - Outer South West
124,119,155,339,631,1368,2712,2122,1727,922,10095,16,20,90,98,143,198,219,172,66,1022,986,1263,2162,2326,2682,2530,2122,1713,958,16742,10146,19688,37915,40289,40558,35202,19071,9739,3998,216606,Sydney - Outer West and Blue Mountains
125,150,247,1075,1833,2718,3839,3792,3320,1789,18763,48,199,780,1043,1454,1496,1313,1108,341,7782,1543,2877,6364,4540,4017,3178,2785,2589,1558,29451,11530,29635,71735,56359,49413,38216,24153,15456,6474,302971,Sydney - Parramatta
126,16,65,52,129,349,751,984,1124,673,4143,9,27,79,107,137,179,229,285,99,1151,334,781,1201,918,974,986,883,1055,1002,8134,4344,13071,23101,23094,22960,18258,11479,8461,4184,128952,Sydney - Ryde
127,159,278,1277,2557,4400,5798,5154,3769,1198,24590,34,192,746,1522,2856,2586,1941,1790,602,12269,1500,1669,3559,3764,4014,3573,2945,2195,857,24076,13181,25369,50099,51337,50713,37729,21641,12512,3780,266361,Sydney - South West
128,25,40,85,165,360,908,1141,1238,881,4843,9,12,44,44,76,98,118,103,46,550,384,513,1253,1234,1364,1287,1196,1474,964,9669,5948,13328,25915,30359,30013,25512,16113,10663,4593,162444,Sydney - Sutherland
197,0,0,0,0,0,0,6,8,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,0,19,0,6,4,8,14,23,28,25,3,111,Migratory - Offshore - Shipping (NSW)
199,35,31,56,75,96,109,97,45,17,561,4,7,10,20,23,16,6,7,0,93,121,222,567,596,597,392,241,85,66,2887,585,1312,2652,2104,1890,1674,968,239,121,11545,Special Purpose Codes SA4 (NSW)
201,131,109,255,391,611,1598,2302,2101,1091,8589,11,27,66,63,72,76,56,49,19,439,467,537,832,1035,1356,1522,1603,1588,856,9796,4680,9274,15759,18991,20504,19531,13063,7793,3081,112676,Ballarat
202,137,161,302,360,627,1487,2264,2060,1190,8588,8,19,55,88,80,58,38,20,20,386,426,485,884,1088,1200,1317,1409,1624,972,9405,4480,8536,14808,18003,19961,19015,12662,7822,3294,108581,Bendigo
203,168,189,399,560,1007,2208,3569,3491,1911,13502,26,34,87,110,151,149,219,196,91,1063,719,852,1581,1902,2153,2105,2210,2579,1427,15528,7124,15276,29158,34526,34606,31401,21335,14062,5999,193487,Geelong
204,122,104,233,371,620,1733,2626,2374,1253,9436,5,22,26,66,78,96,93,77,42,505,429,418,817,1041,1367,1496,1575,1621,827,9591,4721,7811,15410,20040,23409,22791,15625,9153,3601,122561,Hume
205,224,251,502,681,1292,2877,4759,4203,2149,16938,24,37,71,103,130,128,160,120,44,817,868,898,1793,2069,2376,2660,2882,2713,1346,17605,7484,13297,26188,31046,35871,36888,26475,15287,5729,198265,Latrobe - Gippsland
206,110,209,464,729,1334,2918,5660,5702,2535,19661,44,136,352,322,520,719,1127,1471,411,5102,1596,4975,11292,6547,4994,4218,3563,3262,1825,42272,12079,52774,129212,81323,57365,44601,27570,18558,7858,431340,Melbourne - Inner
207,88,110,197,320,644,1731,3772,3960,1977,12799,22,69,146,192,264,325,474,653,201,2346,737,1431,2293,1829,2051,1813,2126,2567,2170,17017,8912,27070,42491,45863,47948,38633,28001,19990,9623,268531,Melbourne - Inner East
208,116,88,241,338,675,1683,3374,3873,2445,12833,13,58,145,176,180,254,409,416,150,1801,848,1347,2798,2718,2717,2513,2563,3110,2681,21295,8464,24221,48164,58525,53443,42940,27411,20515,11479,295162,Melbourne - Inner South
209,183,207,651,1081,2115,5609,8190,6552,2608,27196,20,96,307,344,650,927,1245,1276,324,5189,1256,1850,3799,3469,3537,3454,3147,3105,1943,25560,12354,31862,63336,66196,59499,48035,29839,18738,7275,337134,Melbourne - North East
210,252,300,1051,1651,2251,4520,6387,5211,1733,23356,32,101,335,450,748,947,1148,1003,288,5052,1269,1464,2833,2822,2933,2552,2641,2633,1260,20407,10253,21867,44152,46772,43032,32679,22202,14573,4825,240355,Melbourne - North West
211,245,260,655,886,1392,3105,4901,4135,2233,17812,23,79,189,304,424,354,363,350,166,2252,1000,1132,2140,2781,2994,3058,3063,3326,2432,21926,13884,31000,58103,69756,70184,59617,36692,20525,8709,368470,Melbourne - Outer East
212,445,557,1733,2582,3953,6947,9097,7364,3089,35767,98,277,1045,1290,1547,1592,1510,1321,453,9133,2099,3014,5612,5138,5185,4842,4705,4572,2454,37621,20726,49998,96629,95740,86751,68210,45012,27748,10138,500952,Melbourne - South East
213,378,523,1498,2566,4405,8564,9373,6601,2508,36416,50,161,658,1022,1403,1580,1539,1551,480,8444,2440,3850,8463,7302,6356,5710,4555,3583,1744,44003,18282,44398,105851,98761,79342,59900,32737,18865,6791,464927,Melbourne - West
214,217,230,428,574,854,1913,3137,2904,1473,11730,21,35,84,119,122,106,137,131,39,794,897,879,1612,2188,2411,2383,2830,2938,1927,18065,8127,15517,29433,37811,37334,33912,25909,16019,6482,210544,Mornington Peninsula
215,173,153,356,472,891,2042,3159,3240,1672,12158,19,35,83,134,130,135,160,134,57,887,536,509,977,1283,1501,1572,1721,1849,950,10898,4386,7406,14628,18076,20948,19615,14181,9749,3976,112965,North West
216,170,160,384,459,745,1651,2485,2204,1124,9382,12,39,111,151,145,93,140,144,55,890,458,446,843,1126,1261,1233,1469,1496,815,9147,3693,6313,12840,16071,17301,15893,11736,7434,2961,94242,Shepparton
217,107,130,239,282,516,1381,2371,2306,1256,8588,10,26,41,73,103,61,37,42,11,404,366,292,600,792,1047,1179,1242,1415,728,7661,3539,6068,11958,15087,17422,16449,11109,7244,3047,91923,Warrnambool and South West
297,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,6,0,0,9,6,10,12,3,0,0,40,Migratory - Offshore - Shipping (Vic.)
299,31,28,47,48,51,60,61,17,8,351,0,9,16,13,10,5,11,0,4,68,119,218,404,392,285,125,76,35,16,1670,417,1037,2000,1416,1001,748,396,112,54,7181,Special Purpose Codes SA4 (Vic.)
301,63,72,192,330,516,1713,2834,2159,1204,9083,15,19,45,68,69,83,73,68,41,481,546,503,1088,1480,1547,1546,1362,1419,804,10295,7679,12164,23956,31070,31069,25994,15915,9150,4012,161009,Brisbane - East
302,48,59,166,334,549,1435,2842,2722,1357,9512,0,22,68,99,128,97,104,127,41,686,481,791,1573,1505,1392,1220,1234,1659,1311,11166,6306,13195,28886,28912,25025,20603,13516,9825,4606,150874,Brisbane - North
303,69,168,345,596,846,1924,3450,3213,1742,12353,26,90,234,265,373,282,285,305,113,1973,901,1773,3262,2427,2151,1961,1638,1863,1287,17263,11320,28521,53914,46604,39835,31401,18757,12105,5419,247876,Brisbane - South
304,11,41,87,115,176,425,888,918,604,3265,8,9,39,54,71,52,47,54,21,355,441,721,1003,873,880,825,659,848,1008,7258,7619,16010,21963,24400,22764,18925,11094,6305,3293,132373,Brisbane - West
305,22,83,181,219,330,704,1283,1379,877,5078,9,53,129,71,84,74,106,149,51,726,709,2074,4386,2484,1935,1591,1072,986,721,15958,7299,24782,51731,35634,27409,20688,10637,6263,3138,187581,Brisbane Inner City
306,113,114,307,526,989,2152,3317,2430,917,10865,19,54,92,156,178,161,166,181,69,1076,1107,1231,2643,2848,2948,2597,1960,1523,756,17613,7795,12231,27996,33202,33230,27507,16526,8075,2872,169434,Cairns
