sa4_code16,agbeefallot_f,agbeefcalle1_f,agbeefcatlano_f,agbeefcowsano_f,agbewes1ano_f,agbewesmerge1ano_f,agbewesothge1ano_f,agbroadcrpallaha_f,agcatldispano_f,agcereal_ahabar_f,agcereal_ahamai_f,agcereal_ahaoat_f,agcereal_ahaoth_f,agcereal_aharic_f,agcereal_ahasor_f,agcereal_ahatri_f,agcereal_ahawht_f,agcereal_atobar_f,agcereal_atomai_f,agcereal_atooat_f,agcereal_atooth_f,agcereal_atoric_f,agcereal_atosor_f,agcereal_atotri_f,agcereal_atowht_f,agcerehay_aha_f,agcerehay_ato_f,agchickensanolay_f,agchickensanomea_f,agcottlintakg_f,agcottlintakgirr_f,agcottlintakgnon_f,agcottpltdaha_f,agcottpltdahairr_f,agcottpltdahanon_f,agcroptotaha_f,agdairallot_f,agdaircales1_f,agdaircowsano_f,agdairheifanogt2_f,agdairheifanole2_f,agdairy_ano_f,ageggprodado_f,ageweslmbmark_f,agewesmateanomer_f,agewesmateanooth_f,agfloers_aha_f,agfloers_ahaout_f,agfloersundaha_f,agfloerupano_f,agfrutalmnum_f,agfrutalmoakg_f,agfrutalmotba_f,agfrutalmotnb_f,agfrutapplakg_f,agfrutapptba_f,agfrutapptnb_f,agfrutapptree_f,agfrutapriakg_f,agfrutaprtba_f,agfrutaprtnb_f,agfrutaprtre_f,agfrutavocakg_f,agfrutavotba_f,agfrutavotnb_f,agfrutavotree_f,agfrutbanaaha_f,agfrutbanaahabea_f,agfrutbanaahanyb_f,agfrutbanaato_f,agfrutcherakg_f,agfrutchertba_f,agfrutchertnb_f,agfrutchertree_f,agfrutmacatba_f,agfrutmacatnb_f,agfrutmacnum_f,agfrutmandakg_f,agfrutmandtba_f,agfrutmandtnb_f,agfrutmandtre_f,agfrutmangakg_f,agfrutmangtba_f,agfrutmangtnb_f,agfrutmantree_f,agfrutmcdmakg_f,agfrutnaspearakg_f,agfrutnaspeartba_f,agfrutnaspeartnb_f,agfrutnasptree_f,agfrutnectakg_f,agfrutnectree_f,agfrutnecttba_f,agfrutnecttnb_f,agfrutnutotaha_f,agfrutolitree_f,agfrutolivakg_f,agfrutolivtba_f,agfrutolivtnb_f,agfrutoorcano_f,agfrutorcba_f,agfrutorcnyb_f,agfrutorctot_f,agfrutorngakg_f,agfrutorngtba_f,agfrutorngtnb_f,agfrutorngtree_f,agfrutothcittba_f,agfrutothcittnb_f,agfrutothcittr_f,agfrutothha_f,agfrutothnum_f,agfrutothnuttnb_f,agfrutothnutttb_f,agfrutothorctba_f,agfrutothorctnb_f,agfrutothpomtba_f,agfrutothpomtnb_f,agfrutothpomtr_f,agfrutothrahabea_f,agfrutothrahanyb_f,agfrutothstre_f,agfrutotsttba_f,agfrutotsttnb_f,agfrutpeactba_f,agfrutpeactnb_f,agfrutpeatree_f,agfrutpechakg_f,agfrutpineaha_f,agfrutpineahabea_f,agfrutpineahanyb_f,agfrutpineato_f,agfrutstrwahabea_f,agfrutstrwakg_f,aggrape_aha_f,aggrape_ahabea_f,aggrape_ahanyb_f,aggrape_ato_f,aggrapeothaha_f,aggrapeothahabea_f,aggrapeothahanyb_f,aggrapeothato_f,aggrapewinaha_f,aggrapewinahabea_f,aggrapewinahanyb_f,aggrapewinato_f,aglambmarked_f,aglambmarkmerano_f,aglambmarkothano_f,aglambslt1ano_f,aglandtotlaha_f,aglucrnhay_aha_f,aglucrnhay_ato_f,agnurflwtuaha_f,agnursbpcupano_f,agnursery_aha_f,agnursery_ahaout_f,agnurseryundaha_f,agnursfnvupano_f,agnurshvupano_f,agnursinplupano_f,agnurspropupano_f,agnurspsbupano_f,agnursptsupano_f,agorchardsaha_f,agothchickenano_f,agothcrhayaha_f,agothcrhayato_f,agothcrop_aha_f,agothcrop_ahacan_f,agothcrop_ahaoil_f,agothcrop_ahaopu_f,agothcrop_ahapnt_f,agothcrop_akgpnt_f,agothcrop_atocan_f,agothcrop_atooil_f,agothcrop_atoopu_f,agothlstokanohld_f,agothpltryano_f,agothsheepano_f,agpasceothsilaha_f,agpasceothsilato_f,agpascrhayaha_f,agpascrhayato_f,agpasthay_aha_f,agpasthay_ato_f,agpigbopigano_f,agpigbsow_ano_f,agpigs_ano_f,agsheeplmbano_f,agsugarcanaha_f,agsugarcrsaha_f,agsugarcrsato_f,agsugnfcrushaha_f,agturf_aha_f,agturfrollupano_f,agvegbeanaha_f,agvegbeankg_f,agvege_aha_f,agvegebrocaha_f,agvegebrocakg_f,agvegebrusaha_f,agvegebrusakg_f,agvegecabbaha_f,agvegecabbato_f,agvegecapsaha_f,agvegecapsahaout_f,agvegecapsakg_f,agvegecapsakgout_f,agvegecapsakgund_f,agvegecapsam2und_f,agvegecarraha_f,agvegecarrato_f,agvegecaulaha_f,agvegecaulato_f,agvegecornaha_f,agvegecornato_f,agvegeletahaout_f,agvegeletakgout_f,agvegeletakgund_f,agvegeletam2und_f,agvegelettaha_f,agvegelettakg_f,agvegemelnaha_f,agvegemelnato_f,agvegemushakg_f,agvegemusham2_f,agvegeonioaha_f,agvegeonioato_f,agvegeoth_aha_f,agvegepeasaha_f,agvegepeasahamkt_f,agvegepeasahapro_f,agvegepeasakg_f,agvegepeasakgmkt_f,agvegepeasakgpro_f,agvegepotaaha_f,agvegepotaahamkt_f,agvegepotaahapro_f,agvegepotaato_f,agvegepotaatomkt_f,agvegepotaatopro_f,agvegepumpaha_f,agvegepumpato_f,agvegetomaaha_f,agvegetomaahamko_f,agvegetomaahamkt_f,agvegetomaahapro_f,agvegetomaakgmku_f,agvegetomaam2mku_f,agvegetomaato_f,agvegetomaatomko_f,agvegetomaatomkt_f,agvegetomaatopro_f,almonds_yield_f,apples_yield_f,apricots_yield_f,avocados_yield_f,bananas_yield_f,barley_yield_f,beans_yield_f,broccoli_yield_f,brussels_yield_f,cabbages_yield_f,canola_yield_f,capsicumout_yield_f,capsicumtot_yield_f,capsicumund_yield_f,carrots_yield_f,caulifloers_yield_f,cereals_hay_yield_f,cherries_yield_f,cotirrigatedlint_yield_f,cotnonirriglint_yield_f,cottontot_yield_f,dairy_totcattle_rt_f,grapesoth_yield_f,grapestot_yield_f,grapeswine_yield_f,lettuceout_yield_f,lettucetot_yield_f,lettuceund_yield_f,lucerne_yield_f,macadamias_yield_f,maize_yield_f,mandarins_yield_f,mangoes_yield_f,meat_totcattle_rt_f,melons_yield_f,mushrooms_yield_f,nectarines_yield_f,oats_yield_f,olives_yield_f,onions_yield_f,oranges_yield_f,othcerealgrnseed_yield_f,oth_hay_yield_f,othpulses_yield_f,othroilseeds_yield_f,pasture_hay_yield_f,peaches_yield_f,peanuts_yield_f,pears_yield_f,peasfreshmkt_yield_f,peasprcs_yield_f,peastot_yield_f,pineapples_yield_f,potatoesfresh_yield_f,potatoespro_yield_f,potatotot_yield_f,pumpkins_yield_f,rice_yield_f,silage_yield_f,sorghum_yield_f,strawberries_yield_f,sugarcutcrushing_yield_f,sweetcorn_yield_f,tomatoesmko_yield_f,tomatoesmku_yield_f,tomatoespro_yield_f,tomatotot_yield_f,triticale_yield_f,wheat_yield_f,sa4_name16
101,,110484.0,361872.0,193766.0,2444036.0,1669427.0,,,404747.0,13266.0,,,17.0,,,,,45619.0,,,28.0,,,,,3123.0,26440.0,,659679.0,,,,,,,,1000.0,6454.0,,4182.0,,,,1965253.0,962773.0,1002480.0,21.0,19.0,2.0,60061.0,,,,,4136.0,4727.0,,4727.0,329.0,,,,,,,,,,,,,,32447.0,,,,,256.0,31.0,,31.0,,,,,,1182.0,295.0,,295.0,9237.0,9648.0,9648.0,,,,,,355.0,24.0,,52576.0,,29028.0,1224.0,12.0,1235.0,37.0,3837.0,3874.0,,601.0,,601.0,24.0,,35.0,,35.0,,,,,15925.0,5063.0,,5063.0,17584.0,,,,,,,409.0,228.0,182.0,2260.0,,,,,409.0,228.0,182.0,2260.0,1908646.0,770077.0,,1117846.0,2064658.0,,,97.0,21.0,25.0,20.0,5.0,27.0,34.0,,647.0,,89.0,,172135.0,125.0,707.0,12457.0,,,1470.0,,,,,3398.0,11816.0,312505.0,,,,,,,,73259.0,8188.0,81447.0,4324039.0,,,,,51.0,263.0,0.0,214.0,,2.0,2954.0,,,,11.0,,,548.0,,355.0,118.0,,,0.0,2.0,2.0,8.0,,,591.0,591.0,,1569.0,0.0,1.0,540000.0,18000.0,,,52.0,0.0,0.0,,154.0,154.0,,,,,222.0,222.0,,,,,,,,28363.0,1338.0,,28.0,,,,,,,,,603.0,1667.0,,13.0,2.0,205.0,,3.0,,7.0,8.0,,,,,,,,,1183.0,1771.0,1.0,,,,8.0,,89.0,3.0,30.0,1.0,2.0,,,24.0,2.0,6.0,2.0,,,3.0,,4.0,433.0,,433.0,,20.0,,20.0,30.0,,,,5125.0,,5.0,,21.0,,,3.0,3.0,Capital Region
102,133.0,,700.0,447.0,75.0,,75.0,22.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,66.0,93.0,67.0,26.0,2049.0,,,,,,,,,,,,,284882.0,,4320.0,,,,,,,,,,,,,1915.0,312.0,37.0,348.0,,,,,,,,,,226957.0,12435.0,11344.0,1091.0,,3069.0,11529.0,1682.0,1387.0,,,21790.0,,,53318.0,6186.0,,,7199.0,,4.0,,,,,,244.0,,244.0,2.0,1.0,10241.0,9413.0,828.0,7224.0,741.0,7965.0,181144.0,,,,,6.0,0.0,,,,,,,,,,,,,38.0,,38.0,2.0,,11.0,6.0,,515.0,,,16.0,132.0,984.0,,1176.0,,995.0,,,,,22.0,,,,,,,,,1847.0,8282.0,30.0,,,11.0,6.0,,,,,,107.0,,,,,143.0,1114.0,,,871.0,90.0,94723.0,,,57.0,35.0,11.0,11.0,11073.0,11073.0,,,55.0,552.0,90.0,79.0,6.0,11.0,124.0,109837.0,,,124.0,109837.0,,,,,,,409.0,,,,,,,11.0,11.0,,11.0,11.0,,11.0,17.0,8.0,4.0,8.0,,1437110.0,37527.0,1485.0,48.0,1485.0,,,,,,,,,1047.0,,1.0,,1000.0,1000.0,,10.0,,,,,,,,,,,888.0,888.0,,1.0,,,6.0,,100.0,,,,,7.0,,16.0,,,,,,,,,,,,,1.0,,1.0,2.0,,,,0.0,,2.0,12.0,,,194.0,,,Central Coast
103,,176097.0,647850.0,360589.0,3164896.0,1850368.0,1314528.0,1205645.0,676386.0,208401.0,344.0,,405.0,262.0,2147.0,8212.0,619871.0,447965.0,3048.0,,261.0,1572.0,2451.0,24758.0,1590490.0,,,,,13392065.0,12762121.0,629944.0,9573.0,5413.0,4160.0,1297886.0,,,12442.0,409.0,11473.0,28536.0,,2622323.0,1030760.0,1591562.0,5.0,5.0,,85.0,,,,,,430169.0,49821.0,479990.0,2071.0,245.0,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,35399.0,659.0,,659.0,63700.0,9171.0,9171.0,,,23599.0,,22327.0,1272.0,,789822.0,,854403.0,5745000.0,200000.0,,200000.0,,,,45.0,7532.0,7532.0,,,,,,,39.0,6.0,17702.0,15993.0,1709.0,13648.0,,13648.0,146187.0,,,,,3.0,13181.0,,,98.0,,,,,,,,98.0,,2770477.0,977579.0,1792898.0,1941571.0,4881915.0,,,,,,,,,,5.0,,,,,303362.0,1997.0,7560.0,30558.0,173996.0,560.0,,,,249833.0,,,,39.0,,,,77004.0,,,,7022.0,1551.0,8573.0,5773996.0,,,,,72.0,408.0,1.0,3766.0,2036.0,,253840.0,,,192.0,11137.0,0.0,0.0,3766.0,3766.0,,,2.0,8.0,274.0,8400.0,664.0,10549.0,66.0,859767.0,1883.0,941.0,66.0,861650.0,265.0,15292.0,,,,,,,,,,,,107.0,66.0,41.0,,3560.0,1232.0,134.0,2746.0,0.0,0.0,0.0,,9415.0,941.0,19.0,9.0,19.0,,,35.0,8.0,,,2.0,4000.0,4077.0,2992.0,58.0,1.0,10000.0,10000.0,,4.0,31.0,,,2358.0,151.0,1399.0,4.0,,9.0,9.0,13003.0,13013.0,2.0,,,9.0,,,96.0,58.0,,7.0,1.0,,20.0,29.0,1.0,,1.0,,3.0,11.0,,54.0,,,,,54.0,30.0,,21.0,6.0,,1.0,4375.0,,16.0,25.0,10.0,,40.0,,3.0,Central West
104,33814.0,,,,227.0,,227.0,,,680.0,855.0,50.0,,,,100.0,,680.0,1873.0,77.0,,,,301.0,,329.0,,1032.0,,,,,,,,16590.0,1715.0,1345.0,2926.0,,772.0,6758.0,1652.0,227.0,,227.0,10.0,10.0,,79037.0,,,,,,,,,,,,,111681.0,5792.0,160.0,5952.0,185.0,158.0,27.0,1194.0,,,,,10737.0,,10737.0,,,,,21858.0,3388.0,1093.0,4481.0,211552.0,,,,,,,,,1703.0,3643.0,911.0,3643.0,,115.0,25484.0,1349.0,26833.0,,,,,,83.0,83.0,,,,,102.0,13.0,,,,,,1822.0,1822.0,,,,,,,,,,1.0,2914.0,,,,,,,,,,,,,272.0,,272.0,136.0,,69.0,,,,,,4.0,,,8707.0,165.0,,60.0,122.0,206.0,,,278.0,,,9.0,,,,,17.0,52861.0,,113.0,105.0,3321.0,4228.0,13861.0,3830.0,12222.0,,4.0,4.0,476.0,,,,,18.0,2137.0,,,170.0,,,,,0.0,2.0,4.0,,83534.0,,83534.0,40802.0,,,,,2.0,10.0,,,,,,,,,,,,,86.0,,,,,,,61.0,20.0,41.0,2423.0,922.0,1501.0,12.0,33.0,3.0,,3.0,,23699.0,32790.0,24.0,,24.0,,,,,,,1.0,,,,5.0,,,20473.0,2.0,,,4.0,,,,,5.0,,,,,,,,,2.0,,6.0,95.0,,,,2.0,0.0,,,,,2.0,,3.0,,,,,,,,,36.0,,3.0,,32.0,,4000.0,122.0,5.0,,1.0,,7.0,3.0,,Coffs Harbour - Grafton
105,207623.0,152837.0,,320828.0,3741679.0,2660520.0,1081159.0,1454054.0,,,29.0,,733.0,,12229.0,,752209.0,,87.0,,547.0,,35995.0,,2056681.0,30943.0,,1616.0,250974.0,87776069.0,84261668.0,3514401.0,47808.0,36265.0,,1515217.0,,2859.0,5610.0,176.0,1744.0,10594.0,5658.0,2949262.0,1594202.0,1355061.0,22.0,22.0,,7.0,,,,,,,,,,,3.0,3.0,,,,,2.0,,2.0,,341.0,227.0,,227.0,,,,,,4.0,4.0,,,,,,,,,,5261.0,1035.0,1033.0,2.0,176.0,,,,,581.0,90831.0,250.0,91082.0,1581055.0,81702.0,,81702.0,,,,6.0,6495.0,,6495.0,342.0,239.0,,,,,6.0,,,,1032.0,2.0,1034.0,5159.0,,,,,,,142.0,142.0,0.0,2534.0,,,,,142.0,142.0,0.0,2534.0,2892351.0,1356137.0,1536214.0,1870520.0,26610050.0,,25314.0,92.0,,12.0,11.0,1.0,73.0,,,3129.0,,,169.0,3356.0,799.0,1812.0,30126.0,73522.0,2471.0,,,,,3632.0,394422.0,,258.0,,15030.0,95745.0,,,,24541.0,,354.0,,6197847.0,,,,,58.0,371.0,,,493.0,4.0,6603.0,,,4.0,25.0,,,,,,,0.0,1.0,,16.0,476.0,9979.0,,,,,,,2.0,0.0,274.0,6.0,,,,,,,,,,,,,,,,4.0,10.0,,,,,,,,,,,,,,,,3.0,,1829.0,,6.0,1.0,,,,10.0,4.0,3.0,2.0,2323.0,,1836.0,2.0,,18.0,18.0,,,,,,3.0,,,98.0,0.0,49.0,5.0,1.0,,,,1.0,2.0,,,,5.0,,,,,,,,,,3.0,,,3.0,,,21.0,,,,,2.0,3.0,Far West and Orana
106,99215.0,,,,70551.0,51639.0,18912.0,,,2729.0,8.0,4952.0,,,,,2559.0,8926.0,58.0,6283.0,,,,,5507.0,652.0,1800.0,437445.0,,,,,,,,,381.0,2881.0,,1267.0,3554.0,,8101366.0,57191.0,33817.0,23373.0,4.0,4.0,,156.0,,,,,811.0,44625.0,,44625.0,,,,,,,,,,,,,,,,,904.0,,904.0,59.0,12.0,,12.0,,,219.0,219.0,5022.0,,,,,,,,,24.0,10803.0,30772.0,10770.0,32.0,,57227.0,253.0,57480.0,59.0,12.0,2.0,14.0,41.0,,41.0,,864.0,,864.0,,,,,,,,,,,,,,,,,,,,,2618.0,2528.0,90.0,18456.0,8.0,,8.0,,2610.0,2528.0,82.0,18456.0,56450.0,31004.0,25446.0,33709.0,,,37113.0,181.0,,32.0,28.0,4.0,4.0,,,6743.0,,,24.0,411999.0,195.0,610.0,4312.0,1958.0,,,,,2844.0,,,15537.0,389077.0,62365.0,2642.0,14347.0,,,1637.0,6603.0,10301.0,1916.0,12217.0,166624.0,,,,,145.0,6876.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,13000.0,,,10.0,,,,,,,31.0,,31.0,650.0,,650.0,,,1.0,,1.0,,44583.0,5245.0,45.0,,45.0,,,0.0,,,,3.0,,,,,,,,,,,3.0,,,,,6.0,,,,,,,,6.0,7.0,5.0,,94.0,,31.0,,1.0,3.0,,5.0,,3.0,,,4.0,,,,,,,,,21.0,21.0,,,,,,,,,9.0,,85.0,,,Hunter Valley exc Newcastle
107,684.0,4064.0,9113.0,4365.0,124.0,53.0,71.0,,18873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0,70.0,1565.0,5320.0,1161.0,1645.0,9760.0,,47.0,,47.0,,,,,,,,,206811.0,14328.0,2580.0,16908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31908.0,2795.0,2795.0,,27.0,,,,,,23337.0,3880.0,27216.0,,,,,414.0,355.0,768.0,,,,,,,,,,,,,,,5800.0,945.0,6746.0,95724.0,,,,,,,,,,,,,,,,,,,35.0,35.0,,83.0,14347.0,,,2.0,,2.0,0.0,2.0,,,4.0,1062.0,,,27.0,,,,,,,,,,,,,,,5.0,252.0,1908.0,,,,,,,,211.0,,,,,,,0.0,1182.0,12.0,0.0,886.0,,,1.0,4.0,1.0,1.0,886.0,886.0,,,,,,,,,1.0,425.0,,,1.0,425.0,,,196647.0,945.0,,,7.0,1.0,1.0,,685.0,685.0,,,,,,,,,,0.0,,0.0,,20592.0,1891.0,21.0,,21.0,,,14.0,,,,,3333.0,2500.0,,4.0,,1500.0,1500.0,,,,,,,,,52.0,,,,400.0,400.0,,,,,,,48.0,,208.0,11.0,,,,,,,,,,17.0,,,484.0,,484.0,,,,,,,,,,,,,11.0,,109.0,,,Illawarra
108,36651.0,,,,133.0,35.0,98.0,1169.0,,,,,,,,,,,,,,,,,,,,659957.0,,,,,,,,11629.0,538.0,,,,,,10656987.0,87.0,,87.0,79.0,69.0,10.0,1244.0,,,,,,,,,,,,,3353957.0,85928.0,49053.0,134981.0,34.0,15.0,20.0,208.0,,,,,203466.0,13066.0,216532.0,30.0,10.0,,10.0,20889.0,3688.0,,3688.0,1103424.0,,,,,3643.0,1093.0,1093.0,,,291446.0,72862.0,291446.0,,3510.0,599671.0,64134.0,663805.0,137.0,21.0,,21.0,52.0,,52.0,6.0,5362.0,73.0,5289.0,2186.0,1324.0,,,,6.0,,,,,6492.0,619.0,7111.0,453807.0,,,,,,,,,,,,,,,,,,,119.0,,119.0,73.0,,41.0,222.0,,31.0,89.0,69.0,19.0,22.0,86.0,72.0,525.0,98.0,7266.0,2183.0,,,,,,1169.0,,,,,1364.0,,22756.0,2126.0,18.0,2409.0,16886.0,5437.0,24746.0,5391.0,24517.0,292.0,60.0,352.0,225.0,,,,,128.0,565.0,16.0,52273.0,95.0,,,,,,,2.0,,16000.0,,16000.0,21120.0,,,,,,,,,,,,,,,,,,,59.0,9.0,9.0,,28690.0,28690.0,,,,,,,,,,9.0,,9.0,,1001289.0,86441.0,1001.0,,1001.0,,,,,,14.0,,,,,,,,7576.0,1.0,,,,,,,,22.0,,,,,,,5.0,5.0,,3.0,6.0,78.0,,,3.0,,0.0,,7.0,,1.0,,1.0,5.0,70.0,,,3126.0,,3126.0,,,,,,,,,,,,,12.0,,116.0,,,Mid North Coast
109,,119916.0,410111.0,213579.0,2187442.0,1634000.0,553442.0,1075893.0,441016.0,182084.0,,,,,,6346.0,552584.0,498119.0,,,,,,17780.0,1560597.0,,,121113.0,83.0,15862902.0,15862902.0,,7959.0,7959.0,,1175273.0,2031.0,,15207.0,1170.0,,,,1738164.0,,837205.0,,,,,507488.0,2342793.0,230816.0,276673.0,123.0,31.0,,31.0,23140.0,2546.0,544.0,3090.0,,18758.0,6678.0,25436.0,,,,,2057.0,2057.0,,2057.0,,,,7227164.0,147324.0,,,147.0,5.0,6413.0,6418.0,,,,,,675945.0,45670.0,36670.0,9000.0,,36127.0,215401.0,36127.0,,,,417131.0,,41768200.0,,39447.0,,22079.0,3973.0,26052.0,125.0,358198.0,13482.0,344716.0,,,,,,90.0,35.0,969.0,747.0,221.0,64529.0,5185.0,69714.0,963451.0,,,,,,,7880.0,7617.0,263.0,190226.0,,,45.0,25418.0,6425.0,6208.0,218.0,,1717747.0,,877145.0,1352260.0,8955434.0,,63819.0,54.0,288.0,54.0,53.0,1.0,119.0,34.0,57.0,17.0,204.0,1063.0,4464.0,136.0,,,9583.0,191957.0,374.0,,,,332059.0,,,,310.0,,,137747.0,,,,,,,,3885426.0,,,,,,,,,,42.0,,,,66.0,1993.0,69.0,68.0,596575.0,558817.0,37758.0,7642.0,,,6.0,443.0,,,67.0,555534.0,,,67.0,555534.0,758.0,34749.0,,,,,287.0,,,,,,,1269.0,,1269.0,42670.0,,42670.0,352.0,10970.0,,5.0,10.0,,193776.0,49828.0,,94.0,288.0,,10.0,4.0,9.0,20.0,,3.0,,6261.0,,30.0,2.0,8222.0,8680.0,5.0,,80.0,7.0,1.0,1993.0,,1993.0,,18.0,25.0,27.0,8292.0,8292.0,,,,10.0,,30.0,93.0,46.0,,18.0,,6.0,30.0,,2.0,4.0,1.0,0.0,,15.0,0.0,,,,,,,34.0,34.0,,10.0,,5.0,,,,19.0,4.0,48.0,47.0,,3.0,Murray
110,387968.0,361350.0,1526023.0,776705.0,1593243.0,,,1782706.0,1536411.0,,,,1179.0,13.0,100249.0,3441.0,589081.0,821116.0,,,828.0,63.0,336784.0,,2095300.0,29952.0,,353560.0,3867176.0,301057769.0,261719414.0,39338356.0,213654.0,115166.0,98489.0,1843317.0,329.0,2306.0,5720.0,547.0,1486.0,10388.0,6631384.0,1198094.0,,,,4.0,1.0,36.0,,,,,234472.0,5245.0,,5245.0,1536.0,350.0,61.0,,,,,,,,,,16446.0,2376.0,874.0,,3040.0,365.0,3404.0,,,,,,,,,26750.0,61703.0,776.0,,776.0,18604.0,1157.0,1157.0,,1717.0,46652.0,1110648.0,46652.0,,,248213.0,,319799.0,3846732.0,79326.0,12629.0,91955.0,,,,,140571.0,,84298.0,,,,,,,,163.0,41.0,122.0,1242.0,46.0,1288.0,25684.0,,,,,2.0,18238.0,58.0,58.0,,785.0,38.0,38.0,,685.0,20.0,20.0,,100.0,1249981.0,,,,6598271.0,,,52.0,,5.0,3.0,,,,,891.0,,372.0,1715.0,56524.0,3784.0,6659.0,,,,462703.0,286.0,1249210.0,,,723112.0,21853.0,78241.0,,,141805.0,,,5324.0,22609.0,10737.0,2633.0,13369.0,2666164.0,668.0,534.0,89004.0,134.0,42.0,,691.0,3075237.0,1109.0,,,,,26.0,401.0,,,,,,,,,,,309.0,3085.0,,,,,,,,,,,,,34.0,,,,,,,20.0,20.0,,790.0,790.0,,0.0,4.0,30.0,,30.0,,11525500.0,302400.0,11526.0,,11526.0,,,45.0,4.0,39.0,,3.0,4452.0,,,15.0,2.0,,,,,,3.0,7.0,2273.0,399.0,1409.0,1.0,18.0,,5.0,,,,,9.0,6.0,,,99.0,,,,,24.0,,48.0,1.0,2.0,2.0,1.0,,,,79.0,,,,,40.0,,40.0,30.0,5.0,21.0,3.0,10000.0,167.0,10.0,,38.0,,381.0,4.0,4.0,New England and North West
