SA4_MAIN11,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P,SA4_NAME11
101,103616,104206,207822,6595,6159,12754,13833,13227,27060,6951,6323,13274,4980,4643,9623,9771,10365,20136,13433,14090,27523,15597,15523,31120,15113,14840,29953,10493,10172,20665,5358,6058,11416,1491,2805,4296,96725,98278,195003,6892,5927,12819,3008,2999,6007,69,84,153,51,45,96,3128,3128,6256,84761,85448,170209,12654,13060,25714,92077,93763,185840,5562,5732,11294,93228,94871,188099,1476,1406,2882,12358,11880,24238,4738,4506,9244,1027,1164,2191,2269,4263,6532,30956,34544,65500,5923,6249,12172,24676,24347,49023,7547,7233,14780,5825,5135,10960,349,290,639,93647,95735,189382,16071,12648,28719,Capital Region
102,150702,161482,312184,10168,9608,19776,20823,20104,40927,10910,10162,21072,8733,8444,17177,15632,16708,32340,19232,21123,40355,20596,22259,42855,18451,19943,38394,14072,15734,29806,8926,11590,20516,3158,5807,8965,143085,154654,297739,7615,6830,14445,4220,4373,8593,137,124,261,78,89,167,4435,4586,9021,121434,130206,251640,21040,22746,43786,136979,146641,283620,6701,7894,14595,134850,145313,280163,2727,2661,5388,18682,18134,36816,7415,7249,14664,2382,2608,4990,3110,6219,9329,42612,47063,89675,8609,8535,17144,39239,42894,82133,11729,13690,25419,6461,7198,13659,427,328,755,140309,150990,291299,7963,8550,16513,Central Coast
103,98325,98417,196742,7087,6623,13710,14181,13263,27444,6903,6580,13483,5960,5480,11440,10296,10441,20737,12089,12578,24667,13455,13304,26759,12823,12339,25162,9165,9062,18227,5087,5981,11068,1278,2766,4044,92282,93221,185503,6042,5196,11238,5116,5010,10126,135,113,248,69,73,142,5320,5196,10516,85136,85801,170937,7145,7087,14232,89546,91156,180702,2763,2983,5746,88586,90381,178967,1572,1540,3112,12491,11718,24209,4592,4679,9271,1293,1698,2991,1901,3649,5550,22876,28057,50933,5110,5364,10474,26299,25089,51388,8274,8014,16288,6275,5200,11475,379,308,687,88642,90416,179058,9913,7172,17085,Central West
104,63794,66810,130604,3910,3749,7659,8781,8341,17122,4482,4249,8731,3024,3002,6026,5442,5922,11364,7305,8226,15531,9165,10108,19273,9803,9694,19497,6788,6991,13779,3925,4419,8344,1170,2108,3278,59478,63034,122512,4316,3777,8093,2785,2972,5757,89,80,169,59,56,115,2933,3108,6041,53922,56328,110250,6655,7347,14002,58593,61612,120205,2423,2792,5215,57900,61135,119035,978,950,1928,7821,7503,15324,3009,3040,6049,706,915,1621,1389,2925,4314,16114,18392,34506,3813,3982,7795,17087,18299,35386,5710,5830,11540,3786,3494,7280,205,209,414,58899,62160,121059,5670,5354,11024,Coffs Harbour - Grafton
105,56508,57083,113591,4259,4087,8346,8188,7734,15922,3884,3581,7465,3104,3193,6297,5931,6387,12318,6851,7162,14013,7995,7968,15963,7451,6959,14410,5221,5129,10350,2897,3441,6338,727,1442,2169,52253,53492,105745,4255,3591,7846,8522,8931,17453,79,101,180,100,106,206,8701,9138,17839,49684,50557,100241,2951,2988,5939,51301,52743,104044,1412,1445,2857,50790,52226,103016,938,895,1833,7030,6752,13782,2261,2239,4500,392,688,1080,1023,2093,3116,11313,14604,25917,2879,3197,6076,14960,14124,29084,5067,4969,10036,4549,3568,8117,255,177,432,50768,52270,103038,7128,5442,12570,Far West and Orana
106,120897,122349,243246,8803,8384,17187,17325,16511,33836,8477,8155,16632,7362,6866,14228,14188,14120,28308,15931,16636,32567,16559,16717,33276,15113,15296,30409,10437,10361,20798,5261,6480,11741,1443,2823,4266,114512,116830,231342,6385,5520,11905,4464,4567,9031,140,128,268,93,110,203,4697,4805,9502,104365,105903,210268,9959,10205,20164,111751,114070,225821,2974,3325,6299,109793,112214,222007,2096,2063,4159,15595,14866,30461,5504,5546,11050,1500,1740,3240,2145,3993,6138,26917,31438,58355,7230,6944,14174,35029,33837,68866,10603,11313,21916,6160,5998,12158,374,273,647,111759,114826,226585,9109,6684,15793,Hunter Valley exc Newcastle
107,136180,139803,275983,8885,8486,17371,18195,17179,35374,9816,9208,19024,9875,9311,19186,16578,16446,33024,17947,18808,36755,18900,19486,38386,15843,16369,32212,11124,12119,23243,6952,8654,15606,2064,3737,5801,129867,134433,264300,6313,5368,11681,3036,3110,6146,99,105,204,43,53,96,3178,3268,6446,102451,104855,207306,27212,28794,56006,111468,114682,226150,19390,20330,39720,120680,124816,245496,2489,2417,4906,16574,15654,32228,7200,7057,14257,4160,4034,8194,4079,5774,9853,42759,44805,87564,7464,6870,14334,33397,34171,67568,9418,10721,20139,7116,8135,15251,704,1024,1728,127838,131902,259740,6577,6601,13178,Illawarra
108,97970,103140,201110,5702,5418,11120,12691,12104,24795,6305,5943,12248,3988,3847,7835,7340,7977,15317,10456,11712,22168,13525,14837,28362,15041,15503,30544,12867,13155,26022,7661,8634,16295,2394,4010,6404,91319,97166,188485,6650,5974,12624,5146,5253,10399,102,88,190,111,97,208,5359,5438,10797,83321,87723,171044,9151,9842,18993,91125,96490,187615,2039,2401,4440,89269,94784,184053,1540,1446,2986,11356,10824,22180,4213,4207,8420,672,885,1557,1623,3524,5147,21799,25058,46857,5566,5738,11304,27409,29969,57378,10084,10650,20734,6841,6249,13090,272,212,484,89954,95584,185538,7694,7430,15124,Mid North Coast
109,54552,55765,110317,3455,3389,6844,7348,7027,14375,3955,3639,7594,2932,3021,5953,5525,5750,11275,6533,6897,13430,7531,7862,15393,7622,7387,15009,5534,5522,11056,3202,3620,6822,915,1651,2566,50878,52425,103303,3672,3341,7013,1511,1604,3115,59,44,103,27,37,64,1597,1685,3282,47053,48363,95416,4324,4500,8824,49962,51440,101402,1967,2046,4013,49604,51177,100781,765,759,1524,6543,6295,12838,2572,2631,5203,623,1050,1673,1056,2142,3198,13017,16275,29292,5292,5542,10834,12545,11687,24232,4873,4299,9172,3807,3347,7154,211,193,404,49773,51281,101054,4864,4239,9103,Murray
110,86906,89288,176194,6144,5940,12084,12585,11766,24351,6206,6023,12229,5096,5124,10220,8920,9421,18341,10357,11102,21459,11953,12402,24355,11631,11254,22885,8405,8527,16932,4403,5314,9717,1206,2415,3621,80906,83924,164830,6000,5365,11365,7422,7813,15235,148,165,313,133,116,249,7703,8094,15797,76359,78579,154938,5300,5464,10764,80212,83033,163245,2209,2188,4397,78993,81837,160830,1492,1461,2953,11118,10407,21525,3983,4093,8076,1181,1598,2779,1899,3592,5491,20832,25673,46505,4345,4812,9157,22448,22395,44843,7680,7225,14905,6075,4905,10980,326,248,574,78611,81579,160190,8320,7158,15478,New England and North West
