SA4_MAIN11,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot,SA4_NAME11
101,15195,15837,13833,10270,13690,8462,5695,9852,1830,94664,Capital Region
102,14312,23466,20610,15076,19139,14738,8039,13435,2196,131011,Central Coast
103,13743,13302,12847,8414,10331,7428,8165,10024,1408,85662,Central West
104,6328,8540,7133,6238,6610,5666,3051,6184,789,50539,Coffs Harbour - Grafton
105,8721,7240,6342,5543,5596,4077,3971,5777,821,48088,Far West and Orana
106,11566,14666,19946,10369,13551,10062,13055,12290,1782,107287,Hunter Valley exc Newcastle
107,11924,24684,18876,13721,16896,11269,9147,10980,1928,119425,Illawarra
108,8870,11762,10532,8688,9089,8039,4496,8753,1075,71304,Mid North Coast
109,8746,7512,7150,4939,6005,4564,3929,6208,838,49891,Murray
110,13681,11806,9932,7237,8946,6954,5716,10043,1270,75585,New England and North West
111,15215,34186,23871,15892,22846,15899,10507,14964,2278,155658,Newcastle and Lake Macquarie
112,11835,16905,13209,10782,11185,10128,5173,11275,1392,91884,Richmond - Tweed
113,11408,10267,10149,6706,8076,6286,4958,9352,1137,68339,Riverina
114,6832,9519,8829,6344,6491,5474,3090,5608,861,53048,Southern Highlands and Shoalhaven
115,18739,28241,13344,7950,18406,10437,4039,5715,1708,108579,Sydney - Baulkham Hills and Hawkesbury
116,12192,23607,18283,12045,24654,12509,14667,14137,2848,134942,Sydney - Blacktown
117,22104,51947,12918,13390,20511,11132,3900,7151,2645,145698,Sydney - City and Inner South
118,21348,47389,10058,10729,17339,10062,2628,4530,2495,126578,Sydney - Eastern Suburbs
119,23620,45357,30442,19783,38095,21371,16382,20720,5255,221025,Sydney - Inner South West
120,21492,45359,12636,10473,20467,11272,3775,7099,2491,135064,Sydney - Inner West
121,35708,74230,13087,13502,27933,14455,2721,6085,3422,191143,Sydney - North Sydney and Hornsby
122,21077,34213,14455,10706,18187,11352,3518,6148,1979,121635,Sydney - Northern Beaches
123,11197,17008,16986,10988,19236,10578,11319,10870,1977,110159,Sydney - Outer South West
124,14808,24724,21011,14266,24296,12903,12405,12389,2438,139240,Sydney - Outer West and Blue Mountains
125,17141,38390,22426,13860,28514,14703,12271,15723,4018,167046,Sydney - Parramatta
126,11719,27113,7507,5945,13040,6524,2036,3866,1467,79217,Sydney - Ryde
127,12768,20245,22433,12559,23350,13041,16033,17547,3842,141818,Sydney - South West
128,15704,25289,15275,10784,20266,10870,4398,5909,1624,110119,Sydney - Sutherland
197,3,3,6,3,0,3,3,9,3,33,Migratory - Offshore - Shipping (NSW)
199,338,742,543,464,394,238,350,489,93,3651,Special Purpose Codes SA4 (NSW)
201,8102,12283,10072,6714,8215,6512,4176,7222,1260,64556,Ballarat
202,8326,12298,9353,6570,7900,6339,3810,7425,1204,63225,Bendigo
203,12867,22753,18586,12617,14383,11706,7306,11751,2407,114376,Geelong
204,11628,11391,11419,7874,8477,6694,5680,9026,1479,73668,Hume
205,16309,16539,18638,11107,12733,10419,7819,13904,2227,109695,Latrobe - Gippsland
206,42791,107241,22039,23267,37854,21590,5342,10764,5978,276866,Melbourne - Inner
207,26293,56454,14018,13369,23813,16202,3273,7398,3395,164215,Melbourne - Inner East
208,30512,57835,19219,15470,28474,18536,4964,8683,4286,187979,Melbourne - Inner South
209,23570,44896,30887,19812,33166,21072,12892,17563,4762,208620,Melbourne - North East
210,14426,23288,22346,13058,23167,13910,11794,13529,3644,139162,Melbourne - North West
211,29939,50569,39659,22622,39446,25324,12783,19775,4476,244593,Melbourne - Outer East
212,31205,52626,46868,26056,45905,29933,27057,33493,7461,300604,Melbourne - South East
213,28179,49939,40390,26217,44985,26681,27656,30100,7535,281682,Melbourne - West
214,14727,20926,22759,12662,17338,13741,7412,11996,2650,124211,Mornington Peninsula
215,13165,9117,8344,6303,6801,6051,4505,8346,1279,63911,North West
216,9310,7860,7765,4989,6037,5229,3881,8080,1073,54224,Shepparton
