SA4_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
304,1688,2112,3800,13203,15370,28573,3,0,3,1963,2213,4176,47,55,102,19904,22351,42255,143,129,272,637,650,1287,161,220,381,173,187,360,1332,1526,2858,48,41,89,219,243,462,681,808,1489,2562,2750,5312,136,182,318,72,89,161,5159,6342,11501,1791,2057,3848,184,209,393,48418,55422,103840,1365,1259,2624,1034,1010,2044,258,241,499,6,9,15,551,581,1132,557,590,1147,23311,20102,43413,923,533,1456,5858,5672,11530,83412,86941,170353,Brisbane - West
305,2193,2972,5165,15154,16756,31910,5,0,5,1236,1442,2678,56,73,129,28973,32022,60995,82,85,167,1754,1861,3615,176,222,398,173,177,350,989,1132,2121,47,43,90,233,241,474,665,875,1540,2701,2756,5457,146,147,293,108,142,250,4037,5193,9230,1675,2012,3687,165,168,333,58375,65347,123722,1684,1299,2983,1519,1208,2727,240,266,506,10,14,24,1019,786,1805,1029,800,1829,33523,29409,62932,1848,998,2846,11789,9477,21266,112200,111776,223976,Brisbane Inner City
306,1356,1884,3240,19255,20492,39747,0,0,0,1318,1430,2748,27,28,55,27736,29717,57453,158,175,333,550,575,1125,819,1108,1927,193,233,426,1265,1392,2657,15,7,22,264,308,572,1726,2159,3885,3740,3889,7629,215,240,455,849,995,1844,4920,6101,11021,2369,2607,4976,146,144,290,65565,71600,137165,430,354,784,378,339,717,90,83,173,33,17,50,1031,1009,2040,1064,1026,2090,28649,24968,53617,1330,840,2170,13014,11465,24479,111876,112559,224435,Cairns
307,186,207,393,15586,16090,31676,0,0,0,966,982,1948,99,105,204,15188,15675,30863,273,273,546,76,84,160,341,452,793,117,132,249,2276,2259,4535,4,3,7,106,119,225,699,789,1488,3212,3071,6283,227,286,513,234,242,476,4310,4756,9066,1552,1641,3193,68,66,134,45334,47025,92359,88,51,139,80,41,121,8,13,21,9,5,14,115,189,304,124,194,318,9340,7732,17072,361,210,571,6162,5118,11280,61683,60591,122274,Darling Downs - Maranoa
308,687,788,1475,21118,21884,43002,0,0,0,2107,2350,4457,56,62,118,25490,25849,51339,154,156,310,300,275,575,460,585,1045,241,251,492,1628,1645,3273,10,5,15,310,359,669,941,1102,2043,4775,4547,9322,539,672,1211,249,281,530,7467,8567,16034,2713,2807,5520,217,190,407,68775,71587,140362,416,334,750,427,261,688,17,31,48,15,26,41,309,397,706,324,423,747,23690,19393,43083,832,408,1240,12997,9954,22951,108165,103179,211344,Fitzroy
309,3452,4694,8146,49731,56206,105937,8,10,18,3525,3862,7387,56,48,104,55602,62168,117770,376,502,878,2802,2950,5752,1296,1680,2976,1220,1337,2557,3115,3519,6634,177,166,343,489,619,1108,3109,3690,6799,8816,9547,18363,475,602,1077,573,669,1242,11162,13900,25062,7448,8441,15889,496,574,1070,150476,170490,320966,1442,1170,2612,2140,1912,4052,689,676,1365,17,6,23,1273,1505,2778,1290,1511,2801,60493,53453,113946,2948,2038,4986,25113,23655,48768,248043,259599,507642,Gold Coast
310,3908,4366,8274,22758,25242,48000,0,0,0,3498,3642,7140,123,124,247,29215,31723,60938,528,655,1183,741,740,1481,755,966,1721,1645,1703,3348,3954,4162,8116,72,64,136,545,604,1149,2389,2769,5158,4238,4431,8669,701,900,1601,624,710,1334,8761,10034,18795,3944,4401,8345,822,884,1706,85313,93754,179067,1006,974,1980,1452,1351,2803,56,89,145,17,22,39,730,824,1554,747,846,1593,31703,26995,58698,1293,778,2071,15275,11883,27158,140753,141036,281789,Ipswich
311,2111,2402,4513,25353,27692,53045,9,9,18,3317,3549,6866,80,72,152,28755,31337,60092,249,281,530,1355,1336,2691,1049,1243,2292,1648,1763,3411,2472,2767,5239,88,71,159,646,744,1390,3112,3556,6668,4664,4925,9589,417,473,890,1168,1320,2488,7343,8847,16190,5049,5652,10701,454,482,936,87228,96119,183347,866,866,1732,2498,2321,4819,105,90,195,13,11,24,919,1070,1989,932,1081,2013,35048,30011,65059,1320,859,2179,13940,12632,26572,144048,146381,290429,Logan - Beaudesert
312,476,551,1027,15515,15724,31239,0,0,0,931,946,1877,9,14,23,22677,22388,45065,101,97,198,159,137,296,440,519,959,136,139,275,1136,1158,2294,14,13,27,122,129,251,1023,1112,2135,2983,2532,5515,209,250,459,406,482,888,7377,8154,15531,1848,1944,3792,273,259,532,55359,55997,111356,215,175,390,221,158,379,22,26,48,9,4,13,183,232,415,192,236,428,18827,14995,33822,757,436,1193,11261,6907,18168,87330,79481,166811,Mackay
313,682,1053,1735,21264,23611,44875,3,0,3,2332,2665,4997,156,157,313,21609,24127,45736,149,189,338,450,509,959,763,927,1690,509,514,1023,1944,2145,4089,21,14,35,261,322,583,1241,1408,2649,3910,4275,8185,364,530,894,463,564,1027,5997,7627,13624,3129,3550,6679,336,350,686,64901,73484,138385,264,291,555,237,210,447,48,40,88,20,16,36,419,631,1050,439,647,1086,26348,23451,49799,1019,695,1714,11540,10106,21646,105478,109977,215455,Moreton Bay - North
