SA4_MAIN11,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA4_NAME11
101,295,402,583,783,716,549,107,13,0,3448,175,169,297,395,422,335,135,54,16,1998,6090,7003,14948,21376,24160,16618,3757,645,67,94664,Capital Region
102,339,633,1050,1244,1183,779,141,16,0,5385,239,285,567,641,651,447,136,47,23,3036,8870,12103,23422,30059,32191,20294,3667,358,47,131011,Central Coast
103,287,455,674,647,660,429,114,17,0,3283,161,173,263,349,352,330,160,54,15,1857,5490,7542,14633,18471,20287,14453,3934,768,84,85662,Central West
104,158,183,331,462,461,326,60,11,0,1992,102,68,158,237,218,185,60,33,3,1064,3637,3605,7354,10994,13628,9516,1548,232,24,50538,Coffs Harbour - Grafton
105,140,218,346,360,367,273,92,14,0,1810,87,88,176,215,229,207,86,28,7,1123,3040,4005,8432,10052,11644,8115,2289,462,50,48089,Far West and Orana
106,459,753,1084,1140,986,569,121,14,3,5129,184,247,412,560,465,360,127,51,9,2415,7849,10395,20558,24624,24978,15586,2843,405,48,107286,Hunter Valley exc Newcastle
107,323,665,1031,1106,983,562,141,18,0,4829,203,288,452,474,525,312,70,43,6,2373,7559,12216,23917,27791,28827,16368,2434,287,25,119424,Illawarra
108,180,257,465,680,657,461,113,3,0,2816,115,93,179,291,353,271,109,58,6,1475,4868,4632,9833,15391,19558,13707,2840,430,44,71303,Mid North Coast
109,144,221,323,384,356,251,70,8,0,1757,115,96,181,207,244,199,104,37,12,1195,3324,4169,8345,10448,12133,8867,2184,375,46,49891,Murray
110,270,359,573,604,622,460,137,26,0,3051,145,121,240,332,343,293,157,55,9,1695,4933,6260,12617,15820,18160,13285,3714,714,81,75584,New England and North West
111,498,834,1327,1332,1227,800,189,25,3,6235,260,316,562,685,631,393,121,38,12,3018,10590,16774,32165,34591,35382,22115,3601,404,38,155660,Newcastle and Lake Macquarie
112,182,323,575,791,811,549,82,12,4,3329,140,155,314,399,459,345,116,65,21,2014,5824,6584,13852,20438,24556,16959,3076,529,67,91885,Richmond - Tweed
113,225,351,493,477,481,362,97,16,0,2502,133,173,253,278,292,259,125,39,17,1569,4879,6561,12357,14475,15995,10816,2679,495,81,68338,Riverina
114,132,238,322,418,465,298,71,6,0,1950,88,105,153,205,247,171,93,26,19,1107,3435,4123,7577,11416,13995,9840,2327,292,44,53049,Southern Highlands and Shoalhaven
115,290,497,662,991,1025,663,183,13,0,4324,163,214,406,604,549,403,130,27,6,2502,6452,10432,16621,25584,27207,17879,3988,389,26,108578,Sydney - Baulkham Hills and Hawkesbury
116,286,605,1229,1189,1022,621,117,6,0,5075,288,496,993,906,766,428,109,21,4,4011,6904,13407,33580,33417,28656,16543,2298,128,8,134941,Sydney - Blacktown
117,101,466,1495,1069,757,436,92,3,3,4422,105,464,1226,682,452,255,116,26,9,3335,2859,15407,54917,35133,21900,12487,2653,305,37,145698,Sydney - City and Inner South
118,117,381,1088,808,675,485,159,25,3,3741,98,313,902,655,529,380,190,57,30,3154,2962,11244,38700,30534,22691,15001,4556,752,136,126576,Sydney - Eastern Suburbs
119,400,955,2085,2157,1954,1131,260,32,0,8974,339,916,1823,1519,1380,771,207,62,9,7026,8484,21885,55435,52241,48870,28174,5368,494,74,221025,Sydney - Inner South West
