sa4_code,sa4_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
401,Adelaide - Central and Hills,1075,673,1756,307507.4,164654.1,134410.5,606572.1,607729.1,1214301.2
402,Adelaide - North,2595,428,3037,492066.1,66154.8,25306.2,583527.1,280367.4,863894.5
403,Adelaide - South,1349,693,2053,295979.2,122147.7,71505.0,489631.9,129529.4,619161.3
404,Adelaide - West,888,832,1743,192045.8,151960.7,46847.8,390854.3,154258.2,545112.5
405,Barossa - Yorke - Mid North,697,18,715,140899.2,3876.5,21782.7,166558.4,86109.1,252667.5
406,South Australia - Outback,509,12,524,123124.3,2053.4,12581.0,137758.7,74538.0,212296.7
407,South Australia - South East,1283,15,1305,274432.0,2635.7,37183.0,314250.7,177738.1,491988.7
501,Bunbury,1966,93,2065,533273.8,20632.0,43335.5,597241.3,262165.2,859406.6
502,Mandurah,1639,84,1724,398193.3,17521.9,10422.7,426137.9,118614.7,544752.6
503,Perth - Inner,532,1002,1536,392806.0,300145.1,103901.3,796852.4,1413248.0,2210100.5
504,Perth - North East,2985,521,3516,686697.2,111921.8,52584.4,851203.3,179165.9,1030369.2
505,Perth - North West,5000,1242,6263,1304795.0,257718.8,105546.5,1668060.2,521960.6,2190021.0
506,Perth - South East,4621,1885,6532,1132603.9,415668.6,91489.4,1639761.9,1112827.8,2752589.8
507,Perth - South West,4553,1028,5607,1133827.1,249885.6,81013.5,1464726.2,575838.9,2040565.1
508,Western Australia - Outback,1678,585,2280,664454.2,179331.3,61394.6,905180.1,1096471.1,2001651.2
509,Western Australia - Wheat Belt,789,56,850,212297.4,14542.8,33014.0,259854.1,116809.4,376663.5
601,Hobart,732,87,825,175021.1,17127.0,50504.6,242652.6,514362.4,757015.0
602,Launceston and North East,462,136,607,110093.7,21160.9,27320.9,158575.5,93712.8,252288.3
603,South East,232,9,242,50526.3,1069.0,11310.1,62905.5,10560.5,73465.9
604,West and North West,341,115,461,83226.1,14597.1,21081.2,118904.3,66389.2,185293.5
701,Darwin,784,1096,1889,289486.6,254316.6,60787.0,604590.2,583777.2,1188367.5
702,Northern Territory - Outback,104,103,260,34413.2,30240.0,10397.6,75050.9,100802.1,175853.0
801,Australian Capital Territory,1752,2879,4636,568978.2,640669.4,101128.5,1310776.1,707993.9,2018770.0
