sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
310,4666,4610,4964,5101,5352,57,57,57,57,57,95282592,101280390,119059607,122562432,134268346,16816,17526,17441,17657,18534,20421,21970,23985,24027,25088,1.6,1.6,1.7,1.8,1.7,Ipswich
311,3608,3736,3744,3996,4121,57,57,57,57,57,69559218,74166714,76029469,88033277,93411565,11965,13281,12226,12207,14103,19279,19852,20307,22030,22667,1.1,1.2,1.2,1.2,1.3,Logan - Beaudesert
312,1892,1876,1932,1979,2232,57,57,57,57,57,35188014,40051208,45975762,46385263,57831539,10582,12748,11988,12750,14383,18598,21349,23797,23439,25910,0.7,0.7,0.7,0.8,1.0,Mackay - Isaac - Whitsunday
313,4612,4632,4799,4883,5064,58,58,58,58,58,98361224,102919659,111295362,116538253,130691795,17192,17492,17276,17507,18553,21327,22219,23191,23866,25808,2.3,2.3,2.4,2.4,2.5,Moreton Bay - North
314,3340,3469,3573,3683,3904,58,58,58,58,58,73823351,82474707,89742449,96758980,111230564,18326,18737,19138,20392,21187,22103,23775,25117,26272,28491,1.6,1.6,1.6,1.7,1.7,Moreton Bay - South
315,561,579,579,673,810,55,55,55,55,54,10414195,11783041,10361613,12855724,16705599,9141,9985,9960,9960,9999,18564,20351,17896,19102,20624,0.6,0.6,0.6,0.8,1.0,Queensland - Outback
316,7902,7999,8025,7938,8324,59,59,59,59,59,174146461,195038206,201339739,206761251,231892641,16171,17459,17799,19131,19574,22038,24383,25089,26047,27858,2.4,2.4,2.5,2.4,2.4,Sunshine Coast
317,2650,2753,2730,2749,2906,58,58,58,58,58,54940581,59287020,64191930,64971277,73208768,16235,16431,16772,17423,18117,20732,21535,23514,23635,25192,1.5,1.5,1.5,1.5,1.6,Toowoomba
318,4098,4294,4355,4638,4935,57,57,57,57,57,90809759,103499506,107610876,113072113,131280875,18516,19004,19058,19246,20045,22160,24103,24710,24379,26602,1.5,1.5,1.6,1.7,1.9,Townsville
319,5538,5669,5433,5468,5745,58,58,58,58,58,111685026,130433744,125204365,130106571,152085770,15253,16258,16382,17569,18268,20167,23008,23045,23794,26473,2.5,2.6,2.5,2.5,2.7,Wide Bay
401,9423,9607,9697,9723,9887,65,65,65,66,66,283846862,297932163,304372851,323400949,343505850,25315,25754,26461,28077,29238,30123,31012,31388,33261,34743,3.3,3.3,3.3,3.4,3.4,Adelaide - Central and Hills
402,7979,8151,8377,8496,8882,62,61,61,60,60,188600058,200164451,207730423,217607829,240283007,20545,20838,20610,21102,21609,23637,24557,24798,25613,27053,2.4,2.4,2.4,2.5,2.5,Adelaide - North
403,10431,10712,10818,10996,11304,64,64,64,64,64,280046255,297097450,302742487,323999716,346044840,23642,23950,24130,25061,25623,26847,27735,27985,29465,30613,3.3,3.4,3.4,3.4,3.5,Adelaide - South
404,4886,5039,5083,5207,5522,64,64,63,63,62,120191483,131212692,137194586,147345313,162118954,21121,21820,22188,22557,23296,24599,26039,26991,28298,29359,2.5,2.5,2.5,2.5,2.7,Adelaide - West
405,2302,2442,2463,2457,2600,61,60,60,60,60,52530331,57377777,59546072,64356531,70024226,19134,18978,19062,20547,19975,22819,23496,24176,26193,26932,2.5,2.6,2.6,2.7,2.7,Barossa - Yorke - Mid North
406,1250,1279,1337,1364,1406,59,59,59,59,59,27947327,28441938,31573388,32033933,37083374,17612,17508,16401,17575,17377,22358,22238,23615,23485,26375,1.6,1.5,1.6,1.7,1.8,South Australia - Outback
