sa4_code16,sa4_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
101,Capital Region,62.617,57.038999999999994,119.65899999999999,45257,34410,39675
102,Central Coast,88.15700000000001,80.973,169.132,49870,33188,40776
103,Central West,58.453,50.739,109.19,47336,31127,38906
104,Coffs Harbour - Grafton,34.948,32.154,67.1,37277,28431,32692
105,Far West and Orana,32.972,28.855,61.83,42992,32443,37534
106,Hunter Valley exc Newcastle,74.072,62.465,136.539,60619,30970,43282
107,Illawarra,78.62100000000001,70.07600000000001,148.701,57025,34330,43712
108,Mid North Coast,48.974,46.023,94.99799999999999,37429,28812,32985
109,Murray,33.265,29.201999999999998,62.468,44312,30542,37091
110,New England and North West,52.224,45.611000000000004,97.838,40352,29279,34828
111,Newcastle and Lake Macquarie,101.98100000000001,92.77799999999999,194.75400000000002,56748,35483,44655
112,Richmond - Tweed,63.04600000000001,59.473,122.52,37315,28088,32519
113,Riverina,46.214,40.032,86.24600000000001,45599,32184,38754
114,Southern Highlands and Shoalhaven,36.473,33.293,69.767,42880,28976,35568
115,Sydney - Baulkham Hills and Hawkesbury,68.97399999999999,63.236999999999995,132.213,60875,39821,48949
116,Sydney - Blacktown,94.76899999999999,78.735,173.50599999999997,52794,39829,46285
117,Sydney - City and Inner South,118.387,99.639,218.02200000000002,48372,40369,44471
118,Sydney - Eastern Suburbs,87.64200000000001,86.16799999999999,173.81400000000002,58250,44615,50714
119,Sydney - Inner South West,159.857,132.186,292.04200000000003,44405,37306,40841
120,Sydney - Inner West,90.109,85.405,175.519,54132,45315,49812
121,Sydney - North Sydney and Hornsby,122.852,117.925,240.77599999999998,69265,45248,55330
122,Sydney - Northern Beaches,81.988,77.01,158.999,57428,39352,47288
123,Sydney - Outer South West,74.565,64.09899999999999,138.66299999999998,54716,38156,45986
124,Sydney - Outer West and Blue Mountains,90.46600000000001,80.492,170.957,55573,38151,46320
125,Sydney - Parramatta,125.18299999999999,98.102,223.28400000000002,45586,37760,41787
126,Sydney - Ryde,52.403999999999996,49.43600000000001,101.838,57132,41695,48709
127,Sydney - South West,103.055,82.40100000000001,185.454,46997,36388,41706
128,Sydney - Sutherland,68.29899999999999,64.649,132.94299999999998,62202,40287,49648
201,Ballarat,41.388000000000005,38.395,79.782,45164,31462,37987
202,Bendigo,41.03,38.219,79.248,45363,31403,38240
203,Geelong,74.027,69.054,143.084,50490,31774,40118
204,Hume,48.928000000000004,43.75899999999999,92.68700000000001,43430,29567,36163
205,Latrobe - Gippsland,73.541,65.833,139.374,44598,27649,35455
206,Melbourne - Inner,188.29,181.46900000000002,369.759,51948,42908,47196
207,Melbourne - Inner East,102.479,99.419,201.895,54069,37195,44544
208,Melbourne - Inner South,117.98899999999999,113.855,231.842,56896,38861,46865
209,Melbourne - North East,137.101,124.20100000000001,261.3,51628,36186,43229
210,Melbourne - North West,95.729,80.905,176.628,49687,35428,42161
211,Melbourne - Outer East,150.592,139.21,289.796,52509,34983,42908
212,Melbourne - South East,209.13299999999998,174.863,383.996,47495,34094,40714
213,Melbourne - West,199.81400000000002,167.565,367.38300000000004,51788,36599,43945
214,Mornington Peninsula,80.081,74.10600000000001,154.183,48388,32415,39860
215,North West,44.091,38.435,82.525,39421,29070,34281
216,Shepparton,37.363,33.434,70.803,40894,28585,34519
217,Warrnambool and South West,37.31,33.297,70.605,40279,26884,33110
301,Brisbane - East,66.544,61.508,128.046,57620,37755,46440
302,Brisbane - North,61.707,58.0,119.711,57108,41768,48867
303,Brisbane - South,105.22200000000001,96.595,201.81400000000002,50969,38507,44450
304,Brisbane - West,54.625,51.17,105.79299999999999,63013,38962,49409
305,Brisbane Inner City,88.705,80.26899999999999,168.97400000000002,56756,42556,49109
306,Cairns,75.68,67.665,143.343,44007,31514,37412
307,Darling Downs - Maranoa,41.223,34.279,75.506,42549,26508,34094
308,Central Queensland,75.22399999999999,59.387,134.61700000000002,70797,33883,49440
309,Gold Coast,160.582,149.653,310.237,45574,32370,38267
310,Ipswich,85.559,72.94,158.496,52117,35147,43431
311,Logan - Beaudesert,89.781,76.335,166.114,50000,35478,42423
312,Mackay - Isaac - Whitsunday,62.108999999999995,48.158,110.265,71649,33502,49055
313,Moreton Bay - North,62.44,55.221000000000004,117.66799999999999,48308,32349,39792
314,Moreton Bay - South,55.336999999999996,50.826,106.16799999999999,58899,38232,47537
315,Queensland - Outback,24.879,20.506999999999998,45.388999999999996,51732,33248,41406
316,Sunshine Coast,91.51899999999999,86.50200000000001,178.013,44536,29493,36287
317,Toowoomba,43.106,39.115,82.22399999999999,50101,33242,41174
318,Townsville,73.857,63.047,136.903,58158,36234,46112
319,Wide Bay,72.668,63.437,136.107,40924,27457,33669
401,Adelaide - Central and Hills,84.493,81.307,165.80200000000002,51630,37307,43916
402,Adelaide - North,113.991,98.363,212.357,49607,35031,42320
403,Adelaide - South,100.43700000000001,95.635,196.071,51207,36533,43309
404,Adelaide - West,64.52600000000001,58.842,123.36399999999999,48231,37159,42641
405,Barossa - Yorke - Mid North,29.935,25.84,55.776,45044,29546,36769
406,South Australia - Outback,24.656999999999996,20.519000000000002,45.175,55085,32295,42663
407,South Australia - South East,52.196000000000005,45.265,97.463,40000,27662,33537
501,Bunbury,55.144,46.452,101.59700000000001,58778,28654,40819
502,Mandurah,26.96,22.148000000000003,49.108999999999995,69797,30723,46005
503,Perth - Inner,65.08800000000001,53.868,118.96,65607,39458,51492
504,Perth - North East,80.108,67.896,148.001,62101,38355,49476
505,Perth - North West,176.048,153.15,329.19699999999995,63823,37910,49577
506,Perth - South East,164.19099999999997,132.836,297.025,60875,37444,48785
507,Perth - South West,128.7,109.367,238.072,69540,36558,51230
509,Western Australia - Wheat Belt,42.221000000000004,35.643,77.867,46947,29602,37607
510,Western Australia - Outback (North),29.906,23.151,53.056999999999995,83135,42713,60127
511,Western Australia - Outback (South),40.812,32.181999999999995,72.993,66707,34395,48095
601,Hobart,59.833999999999996,58.145,117.98100000000001,47252,36211,41495
602,Launceston and North East,38.036,34.527,72.562,43690,30527,37110
603,South East,10.254000000000001,8.72,18.969,37872,26261,31845
604,West and North West,30.414,26.679000000000002,57.098,46573,28875,37683
701,Darwin,51.754,42.562,94.314,61861,45644,53708
702,Northern Territory - Outback,20.83,19.15,39.982,47851,37552,42603
801,Australian Capital Territory,122.428,116.91,239.335,65232,52358,58692
