sa4_code11,agcereal_aharic_f,agcerealxricha_f,agcottpltdaha_f,agfrutnutotaha_f,aggrape_aha_f,aglandgrazeha_f,aglandtotlaha_f,aglandtotlhaflag_f,agnurflwtuaha_f,agothcropaha_f,agpasceothsilaha_f,agpascrhayaha_f,agsugarcanaha_f,agvege_aha_f,agwatersrcamlriv_f,agwatincotml_f,agwatrccrpahagrs_f,agwatrccrpamlgrs_f,agwatrfrutaha_f,agwatrfrutaml_f,agwatrgrapaha_f,agwatrgrapaml_f,agwatrnursaha_f,agwatrnursaml_f,agwatrocrpaha_f,agwatrocrpahacot_f,agwatrocrpahaobc_f,agwatrocrpaharic_f,agwatrocrpahasug_f,agwatrocrpaml_f,agwatrocrpamlcot_f,agwatrocrpamlobc_f,agwatrocrpamlric_f,agwatrocrpamlsug_f,agwatrothraml_f,agwatrpacrahagrz_f,agwatrpacrahahay_f,agwatrpacrahasil_f,agwatrpacramlgrz_f,agwatrpacramlhay_f,agwatrpacramlsil_f,agwatrpermamlpur_f,agwatrprod_flag_f,agwatrprodaha_f,agwatrprodaml_f,agwatrsrcastml_f,agwatrtempamlpur_f,agwatrvegeahacon_f,agwatrvegeamlcon_f,agwatscrvchaml_f,agwatscrvncaml_f,agwatsrcamlgrn_f,agwatsrcamlich_f,agwatsrcamlmns_f,agwatsrcamlonf_f,agwatsrcamloth_f,agwatsrcamlrec_f,bxirrigchgadw_f,bxwatrpermadw_f,bxwatrtempadw_f,watapp_cotton_rate_f,watapp_fruit_rate_f,watapp_grapevines_rate_f,watapp_nurseries_rate_f,watapp_oth_broad_rate_f,watapp_other_cer_rate_f,watapp_other_crops_rate_f,watapp_pastcer_grz_rate_f,watapp_pastcer_hay_rate_f,watapp_pastcer_sil_rate_f,watapp_rice_f,watapp_sugar_rate_f,watapp_tarea_rate_f,watapp_vegies_rate_f,sa4_name11
101,,84386.83,,905.05,754.7,1634770.5,2190060.2,2659.52,86.97,51066.49,7044.99,21208.89,,167.51,12331.49,38252.92,635.79,944.75,767.19,1872.73,701.73,720.9,59.39,160.09,46.77,,37.35,,,57.94,,69.84,,,22745.42,8066.44,336.56,1670.58,9000.94,946.94,1483.5,86.64,206.65,12411.42,15507.5,38252.92,766.13,89.62,249.87,6690.0,5641.5,11533.61,2161.91,1221.95,10510.38,291.83,201.74,508373.66,121176.57,42415.14,,2.44,1.03,2.7,1.87,1.49,1.24,1.12,2.81,0.89,,,1.25,2.79,Capital Region
102,,,,456.46,,3812.71,9888.73,197.21,321.21,,1.34,1.37,,347.39,797.33,3167.61,,,289.63,459.94,,,318.2,1318.51,12.21,,,,,23.32,,,,,813.85,31.23,,,32.09,,,116.39,111.18,938.01,2353.76,3167.61,,286.74,519.91,500.21,297.12,921.93,28.25,146.35,1230.19,5.49,38.07,106027.02,182959.23,66626.18,,1.59,,4.14,,,1.91,1.03,,,,,2.51,1.81,Central Coast
103,,937407.94,1773.57,1699.39,2748.68,2631549.5,4753670.0,3965.67,96.94,203158.73,8455.65,78097.75,,2327.56,56790.49,145221.1,8168.1,15098.43,1289.55,3902.86,2195.27,2736.24,78.49,537.73,108.55,2028.4,2195.1,,,373.25,19962.17,4557.01,,,28021.42,8752.58,10032.61,2720.3,18606.17,40873.19,5692.48,4184.01,376.9,39128.49,117199.67,145221.1,22564.52,1559.54,4860.14,54466.6,2323.89,51889.14,18290.18,1158.06,15722.14,339.43,1031.65,3159959.0,1167267.5,2909784.5,9.84,3.03,1.25,6.85,2.08,1.85,3.44,2.13,4.07,2.09,,,3.0,3.12,Central West
104,,6342.02,,1717.67,1.56,558360.1,336599.97,811.77,79.09,2465.53,833.32,849.51,10916.09,172.39,3514.49,7699.92,88.64,81.31,1344.02,3229.0,0.28,1.18,62.51,180.52,27.36,,0.53,,23.33,22.96,,1.18,,30.81,2754.74,846.77,46.0,21.48,1219.47,53.12,10.07,165.93,189.31,2519.98,4945.18,7699.92,28.02,59.06,115.56,2077.46,1437.03,324.18,258.82,765.46,2679.29,103.25,54.43,171915.16,189342.1,4437.96,,2.4,4.25,2.89,2.21,0.92,0.84,1.44,1.15,0.47,,1.32,1.96,1.96,Coffs Harbour - Grafton
105,,850488.56,42122.48,241.05,207.38,21089652.0,25114758.0,2898.54,75.06,206298.73,7625.98,55398.06,,219.07,179173.7,296272.44,3398.67,5769.96,134.47,382.22,50.78,192.16,73.57,294.52,55.58,28620.43,840.21,,,77.92,242776.19,1878.87,,,28535.87,2766.81,1326.74,150.69,7945.29,7343.33,367.4,3732.9,178.11,37549.3,267736.6,296272.44,22162.46,131.34,708.75,173400.3,5773.41,55000.02,13839.31,233.86,44922.63,515.94,2586.99,3963858.8,,5373884.0,8.48,2.84,3.78,4.0,2.24,1.7,1.4,2.87,5.53,2.44,,,7.13,5.4,Far West and Orana
106,,7062.23,,536.64,1435.64,731939.44,870710.44,1153.73,94.28,1924.84,1978.23,7936.89,,196.31,33035.43,51703.71,325.33,1001.24,389.72,795.36,1124.71,1607.95,82.54,340.49,21.35,,,,,15.17,,,,,9141.49,9824.68,4267.31,1323.09,20904.03,14248.97,3475.06,1835.52,348.48,17482.45,42562.21,51703.71,8968.39,123.7,173.94,27174.65,5860.78,13782.7,889.95,1054.46,2471.04,462.08,8.04,2973093.0,296337.6,31212.87,,2.04,1.43,4.13,,3.08,0.71,2.13,3.34,2.63,,,2.43,1.41,Hunter Valley exc Newcastle
107,,,,28.24,,4765.98,7049.73,68.95,2.76,,696.12,298.11,,1.88,71.75,898.08,,,25.06,45.14,,,2.76,30.92,,,,,,,,,,,538.09,128.84,,128.84,152.31,,129.09,,7.24,289.31,359.99,898.08,,3.82,2.52,40.39,31.36,70.68,,46.14,394.17,4.92,310.42,1565.46,,,,1.8,,11.22,,,,1.18,,1.0,,,1.24,0.66,Illawarra
108,,1729.38,,1533.78,12.98,272339.9,344392.75,1010.82,211.78,473.37,4076.78,3158.31,,168.93,10923.48,17733.49,4.8,4.08,726.95,1696.12,0.63,8.33,165.04,290.71,79.95,,,,0.98,0.12,,,,6.59,4266.6,3092.77,207.76,554.33,8481.74,315.47,2196.82,80.98,194.42,4935.36,13466.89,17733.49,249.9,100.64,463.89,4893.78,6029.7,2302.86,176.3,302.71,3116.27,171.41,740.46,251564.55,56541.24,13139.05,,2.33,13.16,1.76,2.0,0.85,0.0,2.74,1.52,3.96,,6.72,2.73,4.61,Mid North Coast
109,8274.71,624239.5,7345.7,3201.01,8183.02,6839366.0,8357208.0,2387.25,60.88,156064.3,15498.72,68086.08,,2562.85,240012.8,680183.3,80909.12,137782.58,3284.03,23404.7,7680.49,56130.42,59.96,269.33,458.7,6926.65,12407.94,8165.84,1.12,1043.49,64789.59,16017.61,99058.79,7.5,24281.64,88258.05,13236.1,6183.24,185167.88,35490.17,22372.23,16307.67,1121.09,230140.98,655901.7,680183.3,158511.22,2569.76,14367.38,233043.6,6969.2,71969.21,353781.75,2979.56,6241.62,468.59,4729.79,22120048.0,14497829.0,25669528.0,9.35,7.13,7.31,4.49,1.29,1.7,2.27,2.1,2.68,3.62,12.13,6.72,2.85,5.59,Murray
110,,1000551.5,100183.11,2245.17,142.13,3960224.5,6890231.5,4470.08,81.82,377814.53,7463.76,48038.35,617.0,568.07,166068.88,474644.78,16179.06,30312.73,2137.7,10791.94,96.29,99.76,25.2,45.8,1769.97,62331.2,6798.88,,240.0,4634.52,338227.7,10812.38,,2600.0,37493.18,9058.46,5644.54,1360.8,14940.79,19702.62,3421.44,16118.86,514.01,106070.1,437151.6,474644.78,36146.19,428.01,1561.94,152512.05,13556.85,192577.23,9235.44,866.41,97957.98,2373.94,5564.9,8301801.5,22812288.0,4455492.0,5.43,5.05,1.04,1.82,1.59,1.87,2.62,1.65,3.49,2.51,,10.83,4.12,3.65,New England and North West
111,,,,0.64,1.2,1685.02,2509.29,31.09,10.23,,14.66,340.94,,,1.72,169.46,,,,,,,14.96,95.39,,,,,,,,,,,53.77,99.18,5.28,,9.67,3.79,,,13.43,120.79,115.69,169.46,,,,,1.72,14.38,4.24,20.67,114.55,13.89,,,,,,,,6.38,,,,0.1,0.72,,,,0.96,5.0,Newcastle and Lake Macquarie
112,256.44,1823.08,,9809.67,8.13,230427.88,302031.56,1660.03,343.88,3634.02,1014.97,2082.89,12180.53,352.98,7995.79,19145.26,,,1656.43,2146.01,,,296.93,2066.3,183.94,,375.48,256.44,254.72,163.32,,899.03,3219.08,28.09,5486.78,2502.78,63.02,88.32,4508.99,57.18,123.38,118.76,294.06,5971.05,13658.48,19145.26,609.63,293.01,447.1,3121.63,4874.16,1651.19,1886.23,1198.03,5828.29,108.01,477.72,469761.06,14732.99,36421.46,,1.3,,6.96,2.39,,0.89,1.8,0.91,1.4,12.55,0.11,2.29,1.53,Richmond - Tweed
113,16189.99,860854.3,35081.56,14361.36,17371.27,2170502.5,3975618.8,3420.09,181.89,249559.81,11152.47,57956.67,1.0,3167.72,151926.81,1027975.1,80670.76,206045.6,14087.59,90250.19,15533.98,63915.39,166.74,1524.87,922.25,34371.16,6218.68,15892.77,,2299.57,323830.2,16916.03,199521.1,,23186.65,13882.47,7272.86,1262.09,30942.72,26256.33,9351.52,29066.28,1065.72,199361.77,1004788.4,1027975.1,159640.95,9080.4,33934.9,149191.81,2734.99,270338.53,563231.25,5652.45,29955.62,672.96,6197.41,24081260.0,24699230.0,21688216.0,9.42,6.41,4.11,9.15,2.72,2.55,2.49,2.23,3.61,7.41,12.55,,5.04,3.74,Riverina
114,,263.55,,41.78,145.7,47785.86,76175.61,355.75,138.25,60.59,2522.89,1949.7,,312.87,473.83,6685.92,,,5.29,48.27,38.53,97.57,55.19,130.16,9.59,,,,,33.55,,,,,3354.48,1385.48,49.46,278.26,1581.37,101.64,731.02,,68.86,2042.96,3331.44,6685.92,,221.17,607.86,189.26,284.58,1596.64,73.27,1681.82,1672.43,103.57,1084.36,19673.11,27491.08,,,9.13,2.53,2.36,,,3.5,1.14,2.06,2.63,,,1.63,2.75,Southern Highlands and Shoalhaven
115,,14.51,,344.09,0.56,3300.68,7223.59,334.46,1058.91,22.22,,43.39,,879.97,5445.67,9008.56,,,256.02,183.08,0.56,1.33,1005.38,4887.09,21.57,,,,,222.21,,,,,1307.25,79.94,40.86,,39.57,12.32,,83.7,243.9,2124.94,7701.31,9008.56,526.26,714.87,2309.89,4442.8,1002.87,388.0,27.54,1750.92,1257.62,44.97,93.84,1136322.9,72273.77,132186.6,,0.72,2.38,4.86,1.48,,10.3,0.49,0.3,8.05,,,3.62,3.23,Sydney - Baulkham Hills and Hawkesbury
116,,,,,,1040.79,1239.48,41.69,8.44,,,25.16,,59.49,25.45,463.33,,,,,,,0.93,5.35,,,,,,,,,,,276.64,,,,,,,,16.11,72.89,186.7,463.33,,69.12,169.06,16.53,8.92,9.27,9.77,132.11,283.15,,3.59,44308.35,,11869.01,,,,5.75,,,4.32,,,,,,2.56,2.45,Sydney - Blacktown
117,,2232.61,,,,42625.49,109036.26,4.69,,1084.0,,2216.19,,,4712.53,,,,,,,,,,,,,,,,,,,,284.25,744.8,,,1059.1,,,,2.47,1508.68,,,,,,4712.53,,85.12,,,,,,,,,,,,,5.56,9.13,,1.42,10.0,10.0,,,4.11,,Sydney - City and Inner South
118,,1144.52,,,,671.94,8943.36,2.49,,,,,,,18.65,20.84,,,,,,,,,,,,,,,,,,,20.84,,,,,,,,,,,20.84,,,,,18.65,,,,2.19,,,,,,,,,,,,,,,,,,,,Sydney - Eastern Suburbs
