yr,land_area_ha,water_use_aus_farms_area_agri_land_ha,water_use_aus_farms_area_irrigated_ha,water_use_aus_farms_volume_water_applied_ml,water_use_aus_farms_application_rt_area_watered_used_ml_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa4_code16,sa4_name16,ogc_fid
2018,258614.5,,,,,,,,,311,Logan - Beaudesert,330
2017,,,,,,41917.0,7.6,14780.0,3.7,311,Logan - Beaudesert,331
2016,,111297.0,5249.0,10075.0,1.9,38946.0,7.0,14247.0,4.4,311,Logan - Beaudesert,332
2015,,,,,,36387.0,9.2,13644.0,6.0,311,Logan - Beaudesert,333
2014,,,,,,33318.0,,12876.0,,311,Logan - Beaudesert,334
2011,,295215.0,6682.0,12344.0,1.9,,,,,311,Logan - Beaudesert,335
2018,9014011.0,,,,,,,,,312,Mackay - Isaac - Whitsunday,336
2017,,,,,,15786.0,12.9,4683.0,2.6,312,Mackay - Isaac - Whitsunday,337
2016,,8585539.0,70681.0,143895.0,2.0,13986.0,10.2,4564.0,2.6,312,Mackay - Isaac - Whitsunday,338
2015,,,,,,12688.0,12.1,4447.0,2.7,312,Mackay - Isaac - Whitsunday,339
2014,,,,,,11315.0,,4332.0,,312,Mackay - Isaac - Whitsunday,340
2011,,7978608.0,31494.0,65841.0,2.1,,,,,312,Mackay - Isaac - Whitsunday,341
2018,434445.7,,,,,,,,,313,Moreton Bay - North,342
2017,,,,,,35170.0,8.5,12400.0,4.2,313,Moreton Bay - North,343
2016,,445150.0,2278.0,8842.0,3.9,32418.0,6.7,11901.0,5.1,313,Moreton Bay - North,344
2015,,,,,,30395.0,9.2,11328.0,5.0,313,Moreton Bay - North,345
2014,,,,,,27844.0,,10791.0,,313,Moreton Bay - North,346
2011,,209146.0,2104.0,4972.0,2.4,,,,,313,Moreton Bay - North,347
2018,77339.5,,,,,,,,,314,Moreton Bay - South,348
2017,,,,,,26635.0,8.5,7818.0,4.1,314,Moreton Bay - South,349
2016,,3579.0,98.0,174.0,1.8,24539.0,7.4,7509.0,4.1,314,Moreton Bay - South,350
2015,,,,,,22843.0,9.9,7216.0,6.0,314,Moreton Bay - South,351
2014,,,,,,20786.0,,6806.0,,314,Moreton Bay - South,352
2011,,5341.0,232.0,373.0,1.6,,,,,314,Moreton Bay - South,353
2018,118318270.0,,,,,,,,,315,Queensland - Outback,354
2017,,,,,,5214.0,13.0,2148.0,2.0,315,Queensland - Outback,355
2016,,85020305.0,19547.0,81134.0,4.2,4616.0,13.4,2105.0,1.5,315,Queensland - Outback,356
2015,,,,,,4070.0,13.7,2073.0,2.8,315,Queensland - Outback,357
2014,,,,,,3581.0,,2016.0,,315,Queensland - Outback,358
2011,,91866368.0,17439.0,83898.0,4.8,,,,,315,Queensland - Outback,359
2018,308591.1,,,,,,,,,316,Sunshine Coast,360
2017,,,,,,52997.0,9.5,19776.0,4.7,316,Sunshine Coast,361
2016,,38955.0,2333.0,7149.0,3.1,48410.0,7.8,18889.0,4.2,316,Sunshine Coast,362
2015,,,,,,44892.0,9.2,18125.0,5.1,316,Sunshine Coast,363
2014,,,,,,41101.0,,17246.0,,316,Sunshine Coast,364
2011,,79094.0,1953.0,3502.0,1.8,,,,,316,Sunshine Coast,365
2018,225879.6,,,,,,,,,317,Toowoomba,366
2017,,,,,,14447.0,9.3,5591.0,3.8,317,Toowoomba,367
2016,,52565.0,9498.0,33908.0,3.6,13214.0,5.5,5387.0,3.9,317,Toowoomba,368
2015,,,,,,12528.0,8.2,5185.0,5.0,317,Toowoomba,369
2014,,,,,,11580.0,,4938.0,,317,Toowoomba,370
2011,,123085.0,7793.0,24396.0,3.1,,,,,317,Toowoomba,371
2018,8003610.0,,,,,,,,,318,Townsville,372
2017,,,,,,26672.0,11.5,5116.0,2.6,318,Townsville,373
2016,,6076286.0,122467.0,1027317.0,8.4,23930.0,8.9,4986.0,3.5,318,Townsville,374
2015,,,,,,21982.0,8.7,4817.0,3.9,318,Townsville,375
2014,,,,,,20219.0,,4636.0,,318,Townsville,376
2011,,6197634.0,79552.0,363712.0,4.6,,,,,318,Townsville,377
2018,4850258.0,,,,,,,,,319,Wide Bay,378
2017,,,,,,44384.0,10.2,18417.0,5.4,319,Wide Bay,379
2016,,2833720.0,74969.0,259691.0,3.5,40292.0,7.1,17480.0,4.9,319,Wide Bay,380
2015,,,,,,37635.0,8.1,16659.0,5.5,319,Wide Bay,381
2014,,,,,,34814.0,,15793.0,,319,Wide Bay,382
2011,,3214761.0,58545.0,104693.0,1.8,,,,,319,Wide Bay,383
2018,149727.2,,,,,,,,,401,Adelaide - Central and Hills,384
2017,,,,,,32068.0,10.1,6446.0,2.9,401,Adelaide - Central and Hills,385
2016,,84278.0,4711.0,15202.0,3.2,29133.0,6.9,6267.0,3.1,401,Adelaide - Central and Hills,386
2015,,,,,,27261.0,7.0,6077.0,3.2,401,Adelaide - Central and Hills,387
2014,,,,,,25489.0,,5891.0,,401,Adelaide - Central and Hills,388
2011,,59799.0,5674.0,13667.0,2.4,,,,,401,Adelaide - Central and Hills,389
2018,93999.3,,,,,,,,,402,Adelaide - North,390
2017,,,,,,52936.0,7.9,10624.0,3.0,402,Adelaide - North,391
2016,,26966.0,3589.0,15806.0,4.4,49076.0,6.6,10313.0,3.8,402,Adelaide - North,392
2015,,,,,,46018.0,6.6,9936.0,4.4,402,Adelaide - North,393
2014,,,,,,43157.0,,9516.0,,402,Adelaide - North,394
2011,,23180.0,3195.0,12258.0,3.8,,,,,402,Adelaide - North,395
2018,66308.1,,,,,,,,,403,Adelaide - South,396
2017,,,,,,47811.0,7.5,9352.0,3.0,403,Adelaide - South,397
2016,,12348.0,5248.0,7826.0,1.5,44470.0,5.7,9080.0,3.0,403,Adelaide - South,398
2015,,,,,,42089.0,5.8,8819.0,4.1,403,Adelaide - South,399
2014,,,,,,39786.0,,8472.0,,403,Adelaide - South,400
2011,,16594.0,6151.0,6146.0,1.0,,,,,403,Adelaide - South,401
2018,15949.0,,,,,,,,,404,Adelaide - West,402
2017,,,,,,24964.0,8.5,3007.0,2.5,404,Adelaide - West,403
2016,,1874.0,10.0,101.0,10.6,23005.0,6.3,2935.0,3.6,404,Adelaide - West,404
2015,,,,,,21643.0,6.3,2832.0,4.7,404,Adelaide - West,405
2014,,,,,,20367.0,,2706.0,,404,Adelaide - West,406
2011,,238.0,22.0,50.0,2.3,,,,,404,Adelaide - West,407
2018,3771635.2,,,,,,,,,405,Barossa - Yorke - Mid North,408
2017,,,,,,21287.0,6.4,3999.0,1.8,405,Barossa - Yorke - Mid North,409
2016,,3602943.0,21065.0,19248.0,0.9,20001.0,6.5,3929.0,2.1,405,Barossa - Yorke - Mid North,410
2015,,,,,,18776.0,6.3,3849.0,4.5,405,Barossa - Yorke - Mid North,411
2014,,,,,,17656.0,,3683.0,,405,Barossa - Yorke - Mid North,412
2011,,3423781.0,17301.0,13138.0,0.8,,,,,405,Barossa - Yorke - Mid North,413
2018,87781600.0,,,,,,,,,406,South Australia - Outback,414
2017,,,,,,11734.0,5.3,3864.0,1.7,406,South Australia - Outback,415
2016,,39502503.0,16444.0,10092.0,0.6,11139.0,6.6,3798.0,8.1,406,South Australia - Outback,416
2015,,,,,,10454.0,8.1,3513.0,7.5,406,South Australia - Outback,417
2014,,,,,,9667.0,,3268.0,,406,South Australia - Outback,418
2011,,42097384.0,1433.0,3511.0,2.5,,,,,406,South Australia - Outback,419
2018,6548274.0,,,,,,,,,407,South Australia - South East,420
2017,,,,,,31065.0,7.7,6403.0,2.2,407,South Australia - South East,421
2016,,4348783.0,139113.0,709490.0,5.1,28856.0,7.6,6263.0,3.6,407,South Australia - South East,422
2015,,,,,,26830.0,7.9,6044.0,5.8,407,South Australia - South East,423
2014,,,,,,24869.0,,5714.0,,407,South Australia - South East,424
2011,,4399158.0,136664.0,543006.0,4.0,,,,,407,South Australia - South East,425
2018,2480241.2,,,,,,,,,501,Bunbury,426
2017,,,,,,20229.0,13.2,14569.0,5.5,501,Bunbury,427
2016,,487490.0,22460.0,101965.0,4.5,17863.0,12.6,13805.0,6.4,501,Bunbury,428
2015,,,,,,15865.0,12.6,12977.0,7.2,501,Bunbury,429
2014,,,,,,14093.0,,12110.0,,501,Bunbury,430
2011,,719382.0,25622.0,115215.0,4.5,,,,,501,Bunbury,431
2018,103286.3,,,,,,,,,502,Mandurah,432
2017,,,,,,16231.0,11.7,8828.0,5.6,502,Mandurah,433
2016,,36409.0,24.0,194.0,8.0,14531.0,10.9,8357.0,6.8,502,Mandurah,434
2015,,,,,,13106.0,11.5,7826.0,6.9,502,Mandurah,435
2014,,,,,,11754.0,,7321.0,,502,Mandurah,436
2011,,43896.0,354.0,1567.0,4.4,,,,,502,Mandurah,437
2018,9224.0,,,,,,,,,503,Perth - Inner,438
2017,,,,,,9105.0,18.5,4226.0,5.1,503,Perth - Inner,439
2016,,27983.0,11.0,38.0,3.4,7686.0,16.5,4020.0,5.2,503,Perth - Inner,440
2015,,,,,,6597.0,12.0,3820.0,5.4,503,Perth - Inner,441
2014,,,,,,5890.0,,3623.0,,503,Perth - Inner,442
2011,,1712.0,104.0,558.0,5.4,,,,,503,Perth - Inner,443
2018,176243.2,,,,,,,,,504,Perth - North East,444
2017,,,,,,27306.0,15.1,16822.0,5.7,504,Perth - North East,445
2016,,16179.0,723.0,3313.0,4.6,23715.0,12.7,15911.0,6.6,504,Perth - North East,446
2015,,,,,,21036.0,12.8,14919.0,8.1,504,Perth - North East,447
2014,,,,,,18651.0,,13800.0,,504,Perth - North East,448
2011,,21398.0,709.0,3520.0,5.0,,,,,504,Perth - North East,449
2018,88399.9,,,,,,,,,505,Perth - North West,450
2017,,,,,,55216.0,15.4,26940.0,4.8,505,Perth - North West,451
2016,,4996.0,1004.0,10141.0,10.1,47864.0,12.0,25700.0,5.5,505,Perth - North West,452
2015,,,,,,42727.0,11.4,24358.0,6.7,505,Perth - North West,453
2014,,,,,,38350.0,,22822.0,,505,Perth - North West,454
2011,,17412.0,1559.0,10274.0,6.6,,,,,505,Perth - North West,455
2018,202399.2,,,,,,,,,506,Perth - South East,456
2017,,,,,,52740.0,14.2,29779.0,5.2,506,Perth - South East,457
2016,,17437.0,1267.0,8181.0,6.5,46192.0,11.7,28318.0,6.7,506,Perth - South East,458
2015,,,,,,41359.0,11.0,26548.0,7.3,506,Perth - South East,459
2014,,,,,,37257.0,,24742.0,,506,Perth - South East,460
2011,,25359.0,1394.0,5424.0,3.9,,,,,506,Perth - South East,461
2018,62069.6,,,,,,,,,507,Perth - South West,462
2017,,,,,,46631.0,14.5,23699.0,5.1,507,Perth - South West,463
2016,,18377.0,455.0,4220.0,9.3,40735.0,12.0,22552.0,6.3,507,Perth - South West,464
2015,,,,,,36369.0,12.0,21215.0,7.4,507,Perth - South West,465
2014,,,,,,32465.0,,19760.0,,507,Perth - South West,466
2011,,32009.0,863.0,3586.0,4.2,,,,,507,Perth - South West,467
2018,19734538.0,,,,,,,,,509,Western Australia - Wheat Belt,468
2017,,,,,,14215.0,12.9,12143.0,3.8,509,Western Australia - Wheat Belt,469
2016,,12025563.0,41468.0,58987.0,1.4,12588.0,16.2,11696.0,4.2,509,Western Australia - Wheat Belt,470
2015,,,,,,10835.0,15.4,11221.0,5.3,509,Western Australia - Wheat Belt,471
2014,,,,,,9388.0,,10653.0,,509,Western Australia - Wheat Belt,472
2011,,12861546.0,9624.0,37667.0,3.9,,,,,509,Western Australia - Wheat Belt,473
2018,92604968.0,,,,,,,,,510,Western Australia - Outback (North),474
2017,,,,,,1525.0,4.7,4441.0,1.2,510,Western Australia - Outback (North),475
2016,,28252301.0,8956.0,44234.0,2.2,1456.0,4.6,4389.0,0.7,510,Western Australia - Outback (North),476
2015,,,,,,1392.0,6.7,4360.0,,510,Western Australia - Outback (North),477
2014,,,,,,1305.0,,4383.0,,510,Western Australia - Outback (North),478
2011,,30407338.0,3856.0,24694.0,2.8,,,,,510,Western Australia - Outback (North),479
2018,137203260.0,,,,,,,,,511,Western Australia - Outback (South),480
2017,,,,,,8318.0,11.0,8285.0,3.4,511,Western Australia - Outback (South),481
2016,,35914971.0,11386.0,56231.0,2.7,7491.0,12.5,8013.0,3.3,511,Western Australia - Outback (South),482
2015,,,,,,6657.0,10.6,7754.0,4.4,511,Western Australia - Outback (South),483
2014,,,,,,6020.0,,7429.0,,511,Western Australia - Outback (South),484
2011,,38654503.0,4901.0,31392.0,3.6,,,,,511,Western Australia - Outback (South),485
2018,169535.9,,,,,,,,,601,Hobart,486
2017,,,,,,12465.0,6.9,3118.0,2.5,601,Hobart,487
2016,,64402.0,2266.0,6832.0,3.0,11659.0,7.4,3042.0,2.0,601,Hobart,488
2015,,,,,,10857.0,5.8,2983.0,3.1,601,Hobart,489
2014,,,,,,10260.0,,2893.0,,601,Hobart,490
2011,,34323.0,2314.0,4848.0,2.1,,,,,601,Hobart,491
2018,1997533.6,,,,,,,,,602,Launceston and North East,492
2017,,,,,,9324.0,10.1,2163.0,4.2,602,Launceston and North East,493
2016,,674898.0,54449.0,171900.0,3.2,8469.0,11.0,2076.0,4.6,602,Launceston and North East,494
2015,,,,,,7633.0,9.9,1984.0,7.0,602,Launceston and North East,495
2014,,,,,,6943.0,,1854.0,,602,Launceston and North East,496
2011,,695768.0,41536.0,86387.0,2.1,,,,,602,Launceston and North East,497
2018,2382201.8,,,,,,,,,603,South East,498
2017,,,,,,3216.0,9.0,734.0,2.4,603,South East,499
2016,,491337.0,21504.0,64391.0,3.0,2950.0,9.5,717.0,3.6,603,South East,500
2015,,,,,,2693.0,6.9,692.0,3.0,603,South East,501
2014,,,,,,2519.0,,672.0,,603,South East,502
2011,,507791.0,14770.0,40242.0,2.7,,,,,603,South East,503
2018,2252515.0,,,,,,,,,604,West and North West,504
2017,,,,,,6131.0,8.2,1080.0,3.3,604,West and North West,505
2016,,228444.0,25657.0,65566.0,2.6,5664.0,11.7,1046.0,4.3,604,West and North West,506
2015,,,,,,5072.0,12.2,1003.0,4.6,604,West and North West,507
2014,,,,,,4519.0,,959.0,,604,West and North West,508
2011,,261173.0,20467.0,33422.0,1.6,,,,,604,West and North West,509
2018,316390.6,,,,,,,,,701,Darwin,510
2017,,,,,,5680.0,35.5,11834.0,6.2,701,Darwin,511
2016,,109779.0,2654.0,5753.0,2.2,4192.0,40.1,11138.0,6.2,701,Darwin,512
2015,,,,,,2992.0,29.9,10487.0,8.0,701,Darwin,513
2014,,,,,,2303.0,,9711.0,,701,Darwin,514
2011,,175760.0,2693.0,9418.0,3.5,,,,,701,Darwin,515
2018,134493040.0,,,,,,,,,702,Northern Territory - Outback,516
2017,,,,,,3091.0,17.4,4323.0,3.8,702,Northern Territory - Outback,517
2016,,53436501.0,2042.0,11126.0,5.5,2632.0,25.0,4163.0,5.3,702,Northern Territory - Outback,518
2015,,,,,,2105.0,30.7,3954.0,4.0,702,Northern Territory - Outback,519
2014,,,,,,1611.0,,3801.0,,702,Northern Territory - Outback,520
2011,,55215692.0,3110.0,12167.0,3.9,,,,,702,Northern Territory - Outback,521
2018,235817.2,,,,,,,,,801,Australian Capital Territory,522
2017,,,,,,19478.0,11.1,9121.0,3.8,801,Australian Capital Territory,523
2016,,25448.0,277.0,97.0,0.4,17533.0,6.0,8783.0,5.2,801,Australian Capital Territory,524
2015,,,,,,16539.0,6.9,8350.0,6.6,801,Australian Capital Territory,525
2014,,,,,,15475.0,,7836.0,,801,Australian Capital Territory,526
2011,,26590.0,188.0,283.0,1.5,,,,,801,Australian Capital Territory,527
2018,25631.6,,,,,,,,,901,Other Territories,528
2017,,,,,,651.0,0.8,228.0,8.6,901,Other Territories,529
2016,,,,,,646.0,1.7,210.0,11.1,901,Other Territories,530
2015,,,,,,635.0,1.4,189.0,9.2,901,Other Territories,531
2014,,,,,,626.0,,173.0,,901,Other Territories,532
