yr,land_area_ha,water_use_aus_farms_area_agri_land_ha,water_use_aus_farms_area_irrigated_ha,water_use_aus_farms_volume_water_applied_ml,water_use_aus_farms_application_rt_area_watered_used_ml_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa4_code16,sa4_name16,ogc_fid
2018,2149129.2,,,,,,,,,106,Hunter Valley exc Newcastle,31
2017,,,,,,19564.0,18.4,12926.0,3.6,106,Hunter Valley exc Newcastle,32
2016,,870710.0,17482.0,42562.0,2.4,16521.0,10.9,12479.0,3.9,106,Hunter Valley exc Newcastle,33
2015,,,,,,14899.0,12.1,12012.0,3.8,106,Hunter Valley exc Newcastle,34
2014,,,,,,13295.0,,11575.0,,106,Hunter Valley exc Newcastle,35
2011,,819309.0,24709.0,55599.0,2.3,,,,,106,Hunter Valley exc Newcastle,36
2018,153891.9,,,,,,,,,107,Illawarra,37
2017,,,,,,14495.0,10.7,8887.0,2.3,107,Illawarra,38
2016,,7050.0,289.0,360.0,1.2,13099.0,6.6,8688.0,1.7,107,Illawarra,39
2015,,,,,,12291.0,9.1,8540.0,2.1,107,Illawarra,40
2014,,,,,,11263.0,,8361.0,,107,Illawarra,41
2011,,11388.0,185.0,354.0,1.9,,,,,107,Illawarra,42
2018,1885150.0,,,,,,,,,108,Mid North Coast,43
2017,,,,,,22682.0,10.5,21366.0,3.0,108,Mid North Coast,44
2016,,344393.0,4935.0,13467.0,2.7,20525.0,8.7,20737.0,3.5,108,Mid North Coast,45
2015,,,,,,18889.0,10.7,20033.0,3.7,108,Mid North Coast,46
2014,,,,,,17068.0,,19315.0,,108,Mid North Coast,47
2011,,404339.0,5566.0,10503.0,1.9,,,,,108,Mid North Coast,48
2018,9779768.0,,,,,,,,,109,Murray,49
2017,,,,,,11593.0,9.6,2404.0,5.1,109,Murray,50
2016,,8357208.0,230141.0,655902.0,2.9,10577.0,10.1,2287.0,6.7,109,Murray,51
2015,,,,,,9608.0,16.3,2143.0,6.8,109,Murray,52
2014,,,,,,8259.0,,2007.0,,109,Murray,53
2011,,8123654.0,162798.0,605705.0,3.7,,,,,109,Murray,54
2018,9914592.0,,,,,,,,,110,New England and North West,55
2017,,,,,,16792.0,15.3,6310.0,2.0,110,New England and North West,56
2016,,6890232.0,106070.0,437152.0,4.1,14567.0,12.6,6184.0,2.2,110,New England and North West,57
2015,,,,,,12933.0,16.7,6050.0,3.3,110,New England and North West,58
2014,,,,,,11079.0,,5856.0,,110,New England and North West,59
2011,,6490385.0,158795.0,754447.0,4.8,,,,,110,New England and North West,60
2018,87061.2,,,,,,,,,111,Newcastle and Lake Macquarie,61
2017,,,,,,21814.0,13.9,14328.0,3.5,111,Newcastle and Lake Macquarie,62
2016,,2509.0,121.0,116.0,1.0,19152.0,10.0,13847.0,4.0,111,Newcastle and Lake Macquarie,63
2015,,,,,,17404.0,9.3,13318.0,4.1,111,Newcastle and Lake Macquarie,64
2014,,,,,,15927.0,,12789.0,,111,Newcastle and Lake Macquarie,65
2011,,4354.0,73.0,184.0,2.5,,,,,111,Newcastle and Lake Macquarie,66
2018,1027114.3,,,,,,,,,112,Richmond - Tweed,67
2017,,,,,,32008.0,15.0,25652.0,3.5,112,Richmond - Tweed,68
2016,,302032.0,5971.0,13658.0,2.3,27823.0,8.0,24794.0,4.0,112,Richmond - Tweed,69
2015,,,,,,25758.0,9.0,23832.0,4.2,112,Richmond - Tweed,70
2014,,,,,,23630.0,,22869.0,,112,Richmond - Tweed,71
2011,,321881.0,5243.0,12498.0,2.4,,,,,112,Richmond - Tweed,72
2018,5698502.0,,,,,,,,,113,Riverina,73
2017,,,,,,11029.0,12.2,2066.0,1.8,113,Riverina,74
2016,,3975586.0,199360.0,1004780.0,5.0,9828.0,10.2,2030.0,2.2,113,Riverina,75
2015,,,,,,8920.0,17.8,1987.0,3.4,113,Riverina,76
2014,,,,,,7570.0,,1922.0,,113,Riverina,77
2011,,4154316.0,146907.0,693482.0,4.7,,,,,113,Riverina,78
2018,670444.0,,,,,,,,,114,Southern Highlands and Shoalhaven,79
2017,,,,,,11451.0,12.4,8897.0,2.9,114,Southern Highlands and Shoalhaven,80
2016,,76176.0,2043.0,3331.0,1.6,10184.0,8.2,8647.0,2.3,114,Southern Highlands and Shoalhaven,81
2015,,,,,,9410.0,10.4,8452.0,2.9,114,Southern Highlands and Shoalhaven,82
2014,,,,,,8520.0,,8211.0,,114,Southern Highlands and Shoalhaven,83
2011,,94044.0,2145.0,3377.0,1.6,,,,,114,Southern Highlands and Shoalhaven,84
2018,325149.9,,,,,,,,,115,Sydney - Baulkham Hills and Hawkesbury,85
2017,,,,,,13059.0,11.2,4494.0,2.9,115,Sydney - Baulkham Hills and Hawkesbury,86
2016,,7224.0,2125.0,7701.0,3.6,11741.0,8.1,4369.0,2.7,115,Sydney - Baulkham Hills and Hawkesbury,87
2015,,,,,,10863.0,10.0,4253.0,3.7,115,Sydney - Baulkham Hills and Hawkesbury,88
2014,,,,,,9872.0,,4101.0,,115,Sydney - Baulkham Hills and Hawkesbury,89
2011,,12297.0,2941.0,9844.0,3.4,,,,,115,Sydney - Baulkham Hills and Hawkesbury,90
2018,24208.5,,,,,,,,,116,Sydney - Blacktown,91
2017,,,,,,19253.0,8.7,4139.0,1.6,116,Sydney - Blacktown,92
2016,,1239.0,73.0,187.0,2.6,17717.0,8.2,4073.0,2.2,116,Sydney - Blacktown,93
2015,,,,,,16372.0,10.5,3986.0,3.5,116,Sydney - Blacktown,94
2014,,,,,,14812.0,,3850.0,,116,Sydney - Blacktown,95
2011,,2230.0,111.0,246.0,2.2,,,,,116,Sydney - Blacktown,96
2018,6553.2,,,,,,,,,117,Sydney - City and Inner South,97
2017,,,,,,3280.0,11.3,1359.0,3.3,117,Sydney - City and Inner South,98
2016,,109036.0,1509.0,6201.0,4.1,2947.0,11.4,1315.0,3.2,117,Sydney - City and Inner South,99
2015,,,,,,2645.0,11.6,1274.0,4.0,117,Sydney - City and Inner South,100
2014,,,,,,2370.0,,1225.0,,117,Sydney - City and Inner South,101
2011,,2500.0,0.0,2.0,6.0,,,,,117,Sydney - City and Inner South,102
2018,5773.3,,,,,,,,,118,Sydney - Eastern Suburbs,103
2017,,,,,,3519.0,12.0,1493.0,1.8,118,Sydney - Eastern Suburbs,104
2016,,8943.0,,,,3141.0,10.4,1466.0,2.9,118,Sydney - Eastern Suburbs,105
2015,,,,,,2844.0,15.0,1425.0,2.4,118,Sydney - Eastern Suburbs,106
2014,,,,,,2473.0,,1391.0,,118,Sydney - Eastern Suburbs,107
2011,,2248.0,,,,,,,,118,Sydney - Eastern Suburbs,108
2018,16393.5,,,,,,,,,119,Sydney - Inner South West,109
2017,,,,,,14637.0,10.1,5309.0,2.2,119,Sydney - Inner South West,110
2016,,4536.0,413.0,322.0,0.8,13289.0,6.7,5196.0,2.5,119,Sydney - Inner South West,111
2015,,,,,,12452.0,9.3,5070.0,2.2,119,Sydney - Inner South West,112
2014,,,,,,11397.0,,4963.0,,119,Sydney - Inner South West,113
2011,,759.0,7.0,20.0,2.9,,,,,119,Sydney - Inner South West,114
2018,6454.8,,,,,,,,,120,Sydney - Inner West,115
2017,,,,,,5387.0,9.1,2069.0,4.4,120,Sydney - Inner West,116
2016,,4424.0,720.0,4000.0,5.6,4939.0,8.2,1981.0,4.2,120,Sydney - Inner West,117
2015,,,,,,4563.0,9.8,1902.0,4.2,120,Sydney - Inner West,118
2014,,,,,,4155.0,,1825.0,,120,Sydney - Inner West,119
2011,,8983.0,91.0,33.0,0.4,,,,,120,Sydney - Inner West,120
2018,27509.5,,,,,,,,,121,Sydney - North Sydney and Hornsby,121
2017,,,,,,9341.0,12.1,4478.0,2.8,121,Sydney - North Sydney and Hornsby,122
2016,,1361.0,148.0,386.0,2.6,8330.0,8.9,4357.0,2.8,121,Sydney - North Sydney and Hornsby,123
2015,,,,,,7651.0,12.1,4239.0,2.6,121,Sydney - North Sydney and Hornsby,124
2014,,,,,,6824.0,,4132.0,,121,Sydney - North Sydney and Hornsby,125
2011,,1787.0,240.0,213.0,0.9,,,,,121,Sydney - North Sydney and Hornsby,126
2018,25420.7,,,,,,,,,122,Sydney - Northern Beaches,127
2017,,,,,,7617.0,10.1,2707.0,2.7,122,Sydney - Northern Beaches,128
2016,,32556.0,10.0,35.0,3.7,6919.0,7.9,2636.0,3.3,122,Sydney - Northern Beaches,129
2015,,,,,,6410.0,10.4,2553.0,2.5,122,Sydney - Northern Beaches,130
2014,,,,,,5807.0,,2491.0,,122,Sydney - Northern Beaches,131
2011,,1489.0,371.0,423.0,1.1,,,,,122,Sydney - Northern Beaches,132
2018,127845.1,,,,,,,,,123,Sydney - Outer South West,133
2017,,,,,,16181.0,11.0,6462.0,1.9,123,Sydney - Outer South West,134
2016,,15275.0,1385.0,2934.0,2.1,14578.0,7.7,6343.0,2.5,123,Sydney - Outer South West,135
