sa4_code11,agcereal_aharic_f,agcerealxricha_f,agcottpltdaha_f,agfrutnutotaha_f,aggrape_aha_f,aglandgrazeha_f,aglandtotlaha_f,aglandtotlhaflag_f,agnurflwtuaha_f,agothcropaha_f,agpasceothsilaha_f,agpascrhayaha_f,agsugarcanaha_f,agvege_aha_f,agwatersrcamlriv_f,agwatincotml_f,agwatrccrpahagrs_f,agwatrccrpamlgrs_f,agwatrfrutaha_f,agwatrfrutaml_f,agwatrgrapaha_f,agwatrgrapaml_f,agwatrnursaha_f,agwatrnursaml_f,agwatrocrpaha_f,agwatrocrpahacot_f,agwatrocrpahaobc_f,agwatrocrpaharic_f,agwatrocrpahasug_f,agwatrocrpaml_f,agwatrocrpamlcot_f,agwatrocrpamlobc_f,agwatrocrpamlric_f,agwatrocrpamlsug_f,agwatrothraml_f,agwatrpacrahagrz_f,agwatrpacrahahay_f,agwatrpacrahasil_f,agwatrpacramlgrz_f,agwatrpacramlhay_f,agwatrpacramlsil_f,agwatrpermamlpur_f,agwatrprod_flag_f,agwatrprodaha_f,agwatrprodaml_f,agwatrsrcastml_f,agwatrtempamlpur_f,agwatrvegeahacon_f,agwatrvegeamlcon_f,agwatscrvchaml_f,agwatscrvncaml_f,agwatsrcamlgrn_f,agwatsrcamlich_f,agwatsrcamlmns_f,agwatsrcamlonf_f,agwatsrcamloth_f,agwatsrcamlrec_f,bxirrigchgadw_f,bxwatrpermadw_f,bxwatrtempadw_f,sa4_name11
101,,478.17,,70.44,30.68,2348.61,2659.52,2659.52,37.18,245.71,132.75,571.61,,36.89,1003.98,2559.76,6.43,6.43,59.08,58.08,27.02,27.02,25.28,25.28,3.53,,3.61,,,3.53,,3.61,,,2485.63,64.71,21.17,16.94,64.71,21.17,16.94,7.27,206.65,206.65,205.65,2559.76,8.69,25.98,25.98,195.75,837.82,1019.44,56.19,198.21,1761.78,125.91,12.54,111.11,7.27,8.69,Capital Region
102,,,,44.03,,87.35,197.21,197.21,53.1,,1.34,1.37,,36.66,36.86,186.21,,,30.21,30.21,,,50.69,50.69,2.38,,,,,2.38,,,,,105.6,3.53,,,3.53,,,5.06,111.18,111.18,111.18,186.21,4.96,37.7,37.7,19.2,17.66,98.48,2.53,25.46,90.1,5.06,8.37,41.64,5.06,4.96,Central Coast
103,,1937.95,7.98,89.57,66.97,3413.95,3965.67,3965.67,14.39,770.75,147.87,1353.71,,44.4,1044.93,3670.63,43.91,43.91,66.85,66.85,50.77,50.77,10.58,10.58,5.03,10.21,22.73,,,5.03,10.21,22.73,,,3568.82,107.29,134.69,16.33,107.29,134.69,16.33,16.22,376.9,376.9,376.9,3670.63,54.53,30.8,30.8,321.45,738.2,1664.23,77.69,251.86,2677.31,134.67,8.22,256.7,16.22,54.53,Central West
104,,16.25,,156.9,1.3,525.78,811.77,811.77,29.99,67.83,46.23,50.92,154.6,69.95,194.6,678.21,2.22,2.22,113.72,113.72,1.18,1.18,25.18,25.18,6.93,,1.18,,3.0,6.93,,1.18,,3.0,537.85,22.51,3.4,1.34,22.51,3.4,1.34,8.83,189.31,189.31,188.31,678.21,6.58,42.69,41.69,60.23,143.77,111.58,17.17,179.34,360.09,30.71,9.32,51.21,8.83,6.58,Coffs Harbour - Grafton
105,,1375.03,60.85,13.18,8.26,2541.35,2898.54,2898.54,10.38,493.12,50.12,619.61,,13.02,644.65,2707.72,40.26,40.26,9.58,9.58,2.54,2.54,7.95,7.95,1.3,59.52,11.12,,,1.3,59.52,11.12,,,2653.74,42.98,42.02,5.96,42.98,42.02,5.96,4.41,178.11,178.11,178.11,2707.72,37.75,5.91,5.91,177.79,477.59,1633.38,59.99,51.31,1894.01,130.47,7.23,136.3,4.41,37.75,Far West and Orana
106,,80.14,,25.0,54.8,973.5,1153.73,1153.73,13.99,20.03,82.93,284.15,,20.79,599.68,1123.11,7.71,7.71,18.7,18.7,46.01,46.01,10.42,10.42,3.85,,,,,3.85,,,,,1054.68,192.58,157.35,48.03,192.58,157.35,48.03,17.66,348.48,348.48,348.48,1123.11,11.24,13.64,13.64,295.85,331.36,405.46,45.28,130.86,460.21,62.23,10.92,236.39,17.66,11.24,Hunter Valley exc Newcastle
107,,,,2.32,,54.18,68.95,68.95,2.3,,16.66,15.39,,2.52,11.12,66.53,,,1.13,1.13,,,2.3,2.3,,,,,,,,,,,61.81,1.29,,1.29,1.29,,1.29,,7.24,7.24,7.24,66.53,,2.52,2.52,4.75,7.56,18.98,,20.21,34.69,3.75,3.95,3.5,,,Illawarra
108,,12.76,,86.71,3.89,816.68,1010.82,1010.82,45.35,6.17,145.89,138.88,,33.7,459.87,946.25,1.0,1.0,43.91,43.91,2.33,2.33,39.59,39.59,1.21,,,,1.32,1.21,,,,1.32,875.4,89.46,11.27,25.95,90.46,11.27,25.95,5.89,194.42,194.42,195.42,946.25,6.22,19.03,19.03,169.86,316.22,199.48,4.95,136.24,487.8,59.3,11.81,124.07,5.89,6.22,Mid North Coast
109,83.01,1182.74,20.02,117.48,178.3,1705.78,2387.25,2387.25,14.3,582.07,189.5,858.86,,63.52,655.39,2215.58,363.57,363.57,118.37,118.37,167.95,167.95,14.3,14.3,18.0,22.33,99.32,83.01,1.25,18.0,22.33,99.32,83.01,1.25,1833.93,530.18,219.21,59.24,530.18,219.21,59.24,48.11,1121.09,1121.09,1121.09,2215.58,363.13,53.91,53.91,482.73,185.73,600.14,1025.44,104.21,708.65,70.75,31.59,829.04,48.11,363.13,Murray
110,,1508.66,228.67,29.47,11.65,3884.62,4470.08,4470.08,15.26,607.69,125.96,775.79,3.0,26.78,1595.01,4116.24,113.4,113.4,22.46,22.46,5.86,5.86,7.38,7.38,4.0,189.7,43.7,,1.0,4.0,189.7,43.7,,1.0,3973.24,135.08,143.19,35.57,135.08,143.19,35.57,28.24,514.01,514.01,514.01,4116.24,90.24,16.47,16.47,417.33,1199.29,2281.07,51.96,127.86,2670.0,209.37,13.15,342.81,28.24,90.24,New England and North West
