sa4_code_2011,sa4_name_2011,year,reg_mv_pas_vhcls,reg_mv_campervans,reg_mv_lt_comm_vhcls,reg_mv_lt_rgd_trks,reg_mv_hvy_rgd_trks,reg_mv_artcltd_trks,reg_mv_non_frght_trks,reg_mv_buses,reg_mv_mtrcycls,reg_mv_tot_vhcls,reg_mv_ptrl_fuel,reg_mv_disl_fuel,reg_mv_lpg_dl_oth_fuel,trst_accom_est_wth_15_more_rms,ag_area_hldng_ha,ag_area_brdacr_crps_crl_ha,ag_area_veg_ha,ag_area_orchd_nut_trs_ha,ag_area_all_frt_exc_grp_ha,ag_area_brdacr_crp_non_crl_ha,ag_comm_diary_ctl,ag_comm_meat_ctl,ag_comm_sheep,ag_comm_pigs,ag_grs_val_ag_prod_,ag_grs_val_crps_,ag_grs_val_livstk_slghtr_,ag_grs_val_livstk_prdct_,empl_industry_ag_frst_fsh_pc,empl_industry_mining_pc,empl_industry_mnfctrng_pc,empl_industry_elc_gs_wtr_wst_pc,empl_industry_construction_pc,empl_industry_whlsle_trd_pc,empl_industry_retail_trd_pc,empl_industry_accom_food_pc,empl_industry_trnsprt_pst_wrhsng_pc,empl_industry_infomedia_telecom_pc,empl_industry_financ_insur_pc,empl_industry_rent_rl_est_pc,empl_industry_prof_sci_tech_pc,empl_industry_admin_supp_pc,empl_industry_pub_admin_safety_pc,empl_industry_edu_train_pc,empl_industry_hlth_soc_ass_pc,empl_industry_art_rec_pc,empl_industry_oth_serv_pc,empl_industry_tot,bus_industry_ag_frst_fsh,bus_industry_mining,bus_industry_mnfctrng,bus_industry_elc_gs_wtr_wst,bus_industry_construction,bus_industry_whlsle_trd,bus_industry_retail_trd,bus_industry_accom_food,bus_industry_trnsprt_pst_wrhsng,bus_industry_infomedia_telecom,bus_industry_financ_insur,bus_industry_rent_rl_est,bus_industry_prof_sci_tech,bus_industry_admin_supp,bus_industry_pub_admin_safety,bus_industry_edu_train,bus_industry_hlth_soc_ass,bus_industry_art_rec,bus_industry_oth_serv,bus_industry_current_unkwn,bus_industry_tot
101,Capital Region,2014,117603,641.0,42881,1647.0,4961,749.0,109.0,933.0,8607,178131,128508,44911,4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030.0,46.0,701.0,64.0,3627.0,427.0,1325.0,1019.0,1135.0,89.0,880.0,1493.0,1579.0,562.0,49.0,191.0,705.0,247.0,814.0,209.0,20192.0
101,Capital Region,2013,116393,593.0,41246,1587.0,4901,729.0,108.0,953.0,8234,174744,129102,40674,4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030.0,46.0,696.0,64.0,3605.0,422.0,1347.0,1012.0,1154.0,83.0,828.0,1492.0,1584.0,566.0,50.0,201.0,688.0,249.0,799.0,215.0,20131.0
101,Capital Region,2012,114562,582.0,39996,1628.0,4962,701.0,106.0,970.0,7916,171423,128825,37604,4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112.0,46.0,734.0,63.0,3747.0,447.0,1428.0,1062.0,1172.0,91.0,835.0,1517.0,1622.0,608.0,52.0,206.0,669.0,275.0,839.0,202.0,20727.0
101,Capital Region,2011,113594,533.0,40248,1570.0,5257,735.0,116.0,942.0,7754,170749,129068,36516,5162,,2621686.0,118210.0,157.0,2312.0,2326.0,42717.0,38210.0,427485.0,4761347.0,73373.0,664.1,176.9,288.3,198.9,6.5,0.4,5.7,1.5,9.0,2.4,11.0,8.1,3.9,1.2,1.5,1.5,5.3,2.6,14.2,7.2,10.8,1.7,3.6,94663.0,5133.0,49.0,780.0,66.0,3791.0,456.0,1455.0,1077.0,1160.0,100.0,782.0,1489.0,1628.0,585.0,58.0,212.0,646.0,273.0,838.0,187.0,20765.0
101,Capital Region,2010,111631,514.0,38984,1515.0,5158,686.0,122.0,915.0,7761,167286,128458,33737,5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,2014,186526,928.0,29973,1538.0,2490,442.0,104.0,819.0,9978,232798,195581,30635,6578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,42.0,936.0,83.0,4683.0,703.0,1501.0,871.0,1046.0,197.0,1559.0,2132.0,2585.0,890.0,106.0,350.0,1339.0,342.0,1073.0,275.0,21249.0
102,Central Coast,2013,182591,868.0,28518,1495.0,2482,434.0,113.0,800.0,9310,226611,193050,26718,6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,35.0,936.0,80.0,4657.0,693.0,1500.0,805.0,1039.0,190.0,1472.0,2128.0,2573.0,896.0,105.0,338.0,1284.0,331.0,1083.0,309.0,21003.0
102,Central Coast,2012,178245,784.0,27391,1472.0,2471,445.0,115.0,771.0,8609,220303,190148,23385,6771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,35.0,998.0,84.0,4881.0,727.0,1592.0,841.0,1126.0,209.0,1435.0,2173.0,2738.0,943.0,114.0,348.0,1290.0,355.0,1124.0,295.0,21883.0
102,Central Coast,2011,175455,743.0,26870,1435.0,2512,418.0,110.0,764.0,8346,216653,188673,21185,6790,,13666.0,,252.0,589.0,606.0,10.0,24.0,3760.0,1228.0,46.0,157.3,47.4,108.5,1.4,0.7,0.6,8.8,1.4,9.6,3.5,12.5,7.2,4.3,2.0,3.2,1.7,5.5,3.5,6.4,7.2,14.2,1.5,4.1,131011.0,604.0,37.0,1013.0,77.0,5033.0,735.0,1621.0,839.0,1170.0,210.0,1407.0,2244.0,2728.0,961.0,114.0,339.0,1258.0,362.0,1106.0,270.0,22128.0
102,Central Coast,2010,171751,694.0,26161,1410.0,2499,415.0,114.0,726.0,8055,211825,186135,19002,6685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
