sa4_code16,sa4_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
101,Capital Region,61.895,57.227,119.12799999999999,48023,37244,42245
102,Central Coast,88.23,82.289,170.523,52469,35886,43283
103,Central West,57.136,50.643,107.777,50000,34472,41803
104,Coffs Harbour - Grafton,34.98,32.931,67.907,40278,30735,35337
105,Far West and Orana,31.885,28.592,60.47,46299,35407,40661
106,Hunter Valley exc Newcastle,72.457,62.623999999999995,135.086,59881,33313,44524
107,Illawarra,79.405,72.094,151.497,59018,36783,45993
108,Mid North Coast,49.026,46.826,95.848,40207,31200,35549
109,Murray,33.259,29.572,62.831,47043,33355,39916
110,New England and North West,51.06399999999999,45.083,96.14399999999999,43332,32356,37878
111,Newcastle and Lake Macquarie,99.64399999999999,92.97200000000001,192.613,57560,37980,46305
112,Richmond - Tweed,63.465,60.928999999999995,124.395,39876,30527,34993
113,Riverina,45.684,40.406,86.089,49296,35580,42126
114,Southern Highlands and Shoalhaven,36.923,34.11,71.033,45433,31874,38141
115,Sydney - Baulkham Hills and Hawkesbury,70.472,65.247,135.718,64417,42381,51799
116,Sydney - Blacktown,98.541,83.264,181.803,55284,41656,48351
117,Sydney - City and Inner South,122.95200000000001,105.89299999999999,228.84400000000002,51982,42601,47415
118,Sydney - Eastern Suburbs,87.681,87.62700000000001,175.304,62610,48041,54286
119,Sydney - Inner South West,162.866,137.627,300.492,46729,38868,42656
120,Sydney - Inner West,91.52600000000001,87.88600000000001,179.41299999999998,57043,47333,52000
121,Sydney - North Sydney and Hornsby,123.446,120.68799999999999,244.132,73002,48854,58749
122,Sydney - Northern Beaches,82.079,78.385,160.458,61688,42134,50836
123,Sydney - Outer South West,76.531,66.627,143.161,57219,40365,48270
124,Sydney - Outer West and Blue Mountains,91.363,82.64,174.005,58107,40602,48699
125,Sydney - Parramatta,129.562,102.189,231.75,48054,39367,43840
