SA4_MAIN11,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot,SA4_NAME11
501,180,84,67,8,339,329,74,105,8,516,57,19,224,8,308,178,62,486,11,737,2506,279,1196,29,4010,1808,561,967,47,3383,1842,761,624,40,3267,1184,1237,572,48,3041,1407,1564,324,24,3319,2021,3009,444,52,5526,1808,2169,158,31,4166,1133,2433,158,11,3735,987,1389,46,17,2439,308,511,19,5,843,387,621,10,12,1030,1638,3160,587,24,5409,373,216,165,18,772,18146,18149,6152,393,42840,Bunbury
502,132,21,58,4,215,192,28,72,8,300,37,15,152,4,208,109,25,278,12,424,1942,138,701,20,2801,1401,257,569,27,2254,1297,323,374,31,2025,681,504,298,27,1510,644,612,192,15,1463,939,1263,254,17,2473,743,970,111,20,1844,655,1199,83,10,1947,460,662,28,8,1158,135,272,15,0,422,232,329,6,6,573,975,1716,320,14,3025,250,118,105,13,486,10824,8452,3616,236,23128,Mandurah
503,190,79,128,57,454,168,47,62,51,328,40,15,90,19,164,83,35,143,27,288,810,142,304,66,1322,788,208,350,83,1429,1015,286,319,82,1702,825,399,352,97,1673,920,490,314,83,1807,1570,1103,469,133,3275,1753,1036,211,98,3098,1811,3199,510,55,5575,1700,2168,133,48,4049,915,1258,45,25,2243,2136,3114,48,36,5334,1555,2363,433,30,4381,186,102,54,5,347,16465,16044,3965,995,37469,Perth - Inner
504,214,104,133,20,471,297,118,158,30,603,79,55,295,16,445,157,95,529,21,802,2614,393,1222,58,4287,1775,764,1225,94,3858,1872,1101,910,103,3986,1424,1668,1053,97,4242,1492,2095,727,90,4404,2554,4302,942,149,7947,2659,3506,448,122,6735,1729,3627,400,73,5829,1390,2267,115,50,3822,579,1055,53,6,1693,717,1438,51,14,2220,1843,4154,930,50,6977,409,338,271,24,1042,21804,27080,9462,1017,59363,Perth - North East
505,541,299,307,41,1188,679,273,329,58,1339,127,117,542,19,805,344,201,976,52,1573,4866,802,2318,128,8114,3923,1412,2322,212,7869,4127,2049,1856,191,8223,2927,3173,2021,240,8361,3264,4117,1432,217,9030,5418,8859,1921,323,16521,5935,7839,995,291,15060,3875,9775,889,148,14687,3476,6428,298,95,10297,1476,3053,101,38,4668,1907,4602,113,53,6675,3850,9447,1869,111,15277,810,708,437,47,2002,47545,63154,18726,2264,131689,Perth - North West
506,546,251,313,146,1256,623,285,330,92,1330,145,120,523,44,832,342,170,1032,75,1619,4591,722,2343,165,7821,3711,1442,2168,272,7593,3594,1958,1650,274,7476,2758,3179,1839,315,8091,2982,3695,1296,273,8246,5027,7546,1691,401,14665,5357,6388,852,343,12940,3580,7149,734,162,11625,2762,4418,256,118,7554,1205,2141,102,48,3496,1604,3143,101,42,4890,3484,7672,1672,88,12916,755,600,468,67,1890,43066,50879,17370,2925,114240,Perth - South East
507,409,173,243,46,871,516,130,264,39,949,109,49,439,16,613,238,90,809,44,1181,3909,425,1995,115,6444,3033,853,1850,177,5913,2963,1233,1378,130,5704,1970,2285,1445,160,5860,2265,2765,1076,134,6240,3768,6153,1379,219,11519,4061,5346,585,185,10177,3072,6989,650,76,10787,2515,4505,227,89,7336,1076,2198,80,30,3384,1517,3358,70,37,4982,3195,7504,1355,71,12125,641,445,348,42,1476,35257,44501,14193,1610,95561,Perth - South West
508,247,104,109,5,465,218,143,180,19,560,53,54,472,8,587,148,114,555,14,831,1496,457,1054,64,3071,993,693,908,93,2687,1106,681,587,60,2434,816,1018,551,61,2446,1083,1171,431,43,2728,1783,2601,487,68,4939,1976,2037,201,75,4289,1628,3411,299,30,5368,1652,2055,93,27,3827,876,896,50,15,1837,1216,1564,50,22,2852,1855,3486,694,34,6069,485,438,396,44,1363,17631,20923,7117,682,46353,Western Australia - Outback
509,351,115,76,12,554,374,112,98,3,587,78,46,199,3,326,199,92,417,11,719,2300,411,843,28,3582,1705,757,720,54,3236,1813,942,432,45,3232,1070,1254,406,43,2773,1312,1350,208,46,2916,1817,2104,253,34,4208,1468,1433,83,20,3004,764,1071,88,11,1934,578,702,20,7,1307,144,193,3,4,344,295,358,5,5,663,1485,2544,451,21,4501,387,218,164,11,780,16140,13702,4466,358,34666,Western Australia - Wheat Belt
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
