sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
101,120516,47,6514396527,44110,54054,4.84,1.86,0.38,0.16,0.457,6.7,19.2,30.2,26.2,26.8,24.8,22.1,Capital Region
102,171582,45,9216715404,43677,53716,4.72,1.85,0.39,0.17,0.452,7.1,19.5,30.4,26.2,27.5,25.2,21.2,Central Coast
103,105447,45,5705895553,43834,54112,5.04,1.91,0.38,0.15,0.465,6.7,19.1,30.5,26.4,26.9,24.0,22.7,Central West
104,68954,47,3120092236,37017,45249,5.51,1.86,0.34,0.12,0.478,7.5,20.3,31.5,32.4,29.8,22.5,15.3,Coffs Harbour - Grafton
105,57018,44,2951555224,43739,51765,4.82,1.84,0.38,0.15,0.46799999999999997,6.6,18.6,29.7,26.3,27.4,25.1,21.3,Far West and Orana
106,133485,43,7844771945,45556,58769,5.25,1.98,0.38,0.15,0.473,7.6,19.8,31.5,25.8,25.5,23.2,25.5,Hunter Valley exc Newcastle
107,152804,43,8888330268,46554,58168,5.15,1.93,0.38,0.15,0.456,6.5,18.9,30.1,25.4,24.9,23.7,26.0,Illawarra
108,100948,49,4470833532,35997,44288,6.18,1.9,0.31,0.09,0.489,7.4,20.4,32.0,33.6,29.8,21.4,15.1,Mid North Coast
109,63472,46,3232791515,42086,50933,4.9,1.81,0.37,0.14,0.46399999999999997,7.6,20.3,31.0,27.9,27.6,25.8,18.7,Murray
110,93655,45,4525476991,40516,48321,5.41,1.82,0.34,0.11,0.495,8.0,20.6,31.9,29.7,27.9,24.8,17.6,New England and North West
111,193136,43,11388879386,47165,58968,5.01,1.87,0.37,0.15,0.462,7.5,20.2,31.3,25.1,24.6,25.0,25.3,Newcastle and Lake Macquarie
112,126360,47,5905804770,37275,46738,5.25,1.87,0.36,0.13,0.483,8.3,21.5,32.7,31.8,29.9,22.5,15.7,Richmond - Tweed
113,84883,44,4444157755,44408,52356,4.41,1.75,0.4,0.17,0.441,6.8,18.8,29.4,25.3,27.6,27.4,19.7,Riverina
114,75343,49,3837902321,38935,50939,5.4,1.95,0.36,0.14,0.493,9.2,22.7,33.9,30.3,28.6,22.3,18.7,Southern Highlands and Shoalhaven
115,138910,45,9774887058,51858,70368,5.4,1.98,0.37,0.16,0.498,9.8,23.4,34.8,23.9,22.1,22.1,31.9,Sydney - Baulkham Hills and Hawkesbury
116,172130,39,9355891996,49089,54354,3.86,1.65,0.43,0.21,0.389,4.7,15.3,25.5,21.6,25.8,30.9,21.8,Sydney - Blacktown
117,198387,34,14440729969,52586,72791,5.24,1.91,0.36,0.18,0.508,12.5,26.1,37.0,23.8,21.4,23.7,31.1,Sydney - City and Inner South
118,173159,39,17233080587,59999,99522,5.61,2.04,0.36,0.18,0.581,17.4,34.6,45.7,20.7,19.6,21.7,38.1,Sydney - Eastern Suburbs
119,297195,40,15862851142,43307,53375,4.5,1.83,0.41,0.19,0.45,7.2,19.6,30.5,26.6,27.2,25.6,20.6,Sydney - Inner South West
120,175406,40,13040539571,53105,74345,5.28,1.99,0.38,0.18,0.505,10.4,24.9,36.4,22.8,21.9,22.9,32.3,Sydney - Inner West
121,259748,44,25630560095,60040,98675,6.5,2.17,0.33,0.15,0.575,14.7,32.0,43.7,22.3,18.8,19.5,39.4,Sydney - North Sydney and Hornsby
122,165513,44,13579679750,53061,82046,5.55,2.07,0.37,0.18,0.545,13.5,29.1,40.9,22.8,22.1,22.0,33.1,Sydney - Northern Beaches
123,137286,41,7734296076,49375,56337,3.88,1.69,0.44,0.22,0.4,5.5,16.4,26.7,21.0,26.0,29.7,23.2,Sydney - Outer South West
124,168942,42,9599244623,49470,56820,4.11,1.72,0.42,0.2,0.41,5.8,16.8,27.1,21.8,25.4,28.6,24.3,Sydney - Outer West and Blue Mountains
125,225992,38,11829006272,44029,52343,4.57,1.81,0.4,0.18,0.434,5.7,17.5,28.5,26.6,26.4,26.0,20.9,Sydney - Parramatta
126,107523,43,7695753277,50837,71573,5.76,2.01,0.35,0.15,0.519,11.2,25.5,37.1,25.5,21.3,22.1,31.1,Sydney - Ryde
127,184800,40,9518988430,45075,51510,3.95,1.7,0.43,0.22,0.40399999999999997,5.4,16.5,26.9,24.0,28.1,29.1,18.9,Sydney - South West
128,136156,44,9416227761,52884,69158,4.79,1.87,0.39,0.18,0.475,9.3,22.5,33.5,21.8,22.9,24.3,31.0,Sydney - Sutherland
201,81266,44,4095237613,42208,50393,4.74,1.79,0.38,0.15,0.45299999999999996,7.3,19.5,30.1,27.5,28.0,26.2,18.3,Ballarat
202,81112,45,4092107902,42223,50450,4.89,1.8,0.37,0.15,0.45299999999999996,6.9,19.3,30.1,27.9,27.5,26.0,18.5,Bendigo
203,151803,44,8398766085,44113,55327,4.9,1.85,0.38,0.16,0.466,8.0,20.9,31.9,26.6,26.4,25.0,22.0,Geelong
