sa4_code16,sa4_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
101,Capital Region,62.066,56.934,118.995,46493,35874,40923
102,Central Coast,88.439,81.592,170.028,50931,34503,41801
103,Central West,57.824,50.718999999999994,108.535,48284,32425,39915
104,Coffs Harbour - Grafton,35.071999999999996,32.668,67.741,39028,29552,34076
105,Far West and Orana,32.321999999999996,28.784000000000002,61.108000000000004,44038,33557,38572
106,Hunter Valley exc Newcastle,72.97399999999999,62.516999999999996,135.493,60515,31793,43693
107,Illawarra,79.093,71.077,150.171,58349,35455,44928
108,Mid North Coast,48.8,46.49,95.295,38610,29984,34049
109,Murray,33.208,29.305999999999997,62.508,45633,31734,38500
110,New England and North West,51.873999999999995,45.376000000000005,97.24799999999999,41322,30367,35961
111,Newcastle and Lake Macquarie,100.76799999999999,93.044,193.81,56840,36467,45239
112,Richmond - Tweed,63.394,60.226000000000006,123.619,38816,29262,33922
113,Riverina,45.941,40.038000000000004,85.98,46998,33686,40213
114,Southern Highlands and Shoalhaven,36.681999999999995,33.845,70.52,43899,30371,36706
115,Sydney - Baulkham Hills and Hawkesbury,69.79899999999999,64.262,134.05700000000002,62400,40840,50277
116,Sydney - Blacktown,96.50299999999999,80.399,176.91,53919,40595,47246
117,Sydney - City and Inner South,120.805,102.311,223.113,49974,41634,45807
118,Sydney - Eastern Suburbs,88.072,87.29,175.363,60141,46070,52361
119,Sydney - Inner South West,161.032,134.359,295.387,45384,38046,41648
120,Sydney - Inner West,90.906,86.618,177.518,55560,46373,50842
121,Sydney - North Sydney and Hornsby,123.41799999999999,119.301,242.71400000000003,71049,47058,57133
122,Sydney - Northern Beaches,82.14399999999999,77.505,159.654,59690,40938,49285
123,Sydney - Outer South West,75.388,65.42,140.804,56092,38936,47000
124,Sydney - Outer West and Blue Mountains,90.796,81.452,172.25,56873,39397,47445
125,Sydney - Parramatta,126.889,99.822,226.709,46603,38466,42630
126,Sydney - Ryde,52.965,49.982,102.947,58130,42823,49824
127,Sydney - South West,104.277,84.146,188.426,48166,37143,42581
128,Sydney - Sutherland,68.209,64.877,133.089,63947,41562,51023
201,Ballarat,41.427,38.804,80.22800000000001,46157,32603,39165
202,Bendigo,40.99100000000001,38.324,79.312,46354,32500,39267
203,Geelong,74.42699999999999,70.09,144.515,51385,33125,41142
204,Hume,49.005,44.066,93.069,44738,30742,37400
205,Latrobe - Gippsland,73.623,66.34,139.964,46286,29170,37028
206,Melbourne - Inner,191.995,187.113,379.11300000000006,52625,43699,47957
207,Melbourne - Inner East,101.859,99.395,201.255,55164,38170,45579
208,Melbourne - Inner South,118.193,114.695,232.886,58343,40140,48126
209,Melbourne - North East,138.571,126.531,265.105,52295,37025,44034
210,Melbourne - North West,97.51700000000001,82.99,180.505,50146,36346,42854
211,Melbourne - Outer East,150.226,139.936,290.16200000000003,53384,36028,43951
212,Melbourne - South East,211.02599999999998,178.13099999999997,389.156,48295,35060,41569
213,Melbourne - West,203.18400000000003,171.985,375.17400000000004,52344,37351,44699
214,Mornington Peninsula,80.446,75.285,155.735,49534,33464,40876
215,North West,44.06399999999999,38.751,82.82,40671,30167,35495
216,Shepparton,37.361999999999995,33.603,70.96300000000001,42532,29800,36081
217,Warrnambool and South West,37.071999999999996,33.37,70.439,43417,28879,35827
301,Brisbane - East,66.509,61.823,128.334,59239,38615,47447
302,Brisbane - North,62.138999999999996,58.631,120.77,58594,42688,50084
303,Brisbane - South,104.78399999999999,96.47399999999999,201.264,51776,39391,45127
304,Brisbane - West,53.926,51.059,104.98,64569,39990,50379
305,Brisbane Inner City,88.38,80.87100000000001,169.25099999999998,57805,43000,49922
306,Cairns,75.282,67.71600000000001,142.996,44504,32238,38042
307,Darling Downs - Maranoa,41.033,34.455999999999996,75.48899999999999,43377,27091,34757
308,Central Queensland,73.94800000000001,58.901,132.845,71472,34316,49882
309,Gold Coast,162.534,152.783,315.316,47076,33359,39505
310,Ipswich,86.31,74.528,160.841,52937,36217,44337
311,Logan - Beaudesert,89.959,76.672,166.628,50988,36329,43397
312,Mackay - Isaac - Whitsunday,59.419,46.797,106.212,70405,33761,48819
313,Moreton Bay - North,62.332,55.599,117.926,49616,32930,40698
314,Moreton Bay - South,56.138999999999996,51.77,107.90899999999999,60349,39201,48913
315,Queensland - Outback,23.997,20.057000000000002,44.063,51580,33334,41674
316,Sunshine Coast,93.16,88.777,181.933,45816,30550,37390
317,Toowoomba,43.49100000000001,39.586999999999996,83.079,51855,34347,42451
318,Townsville,72.015,62.39,134.408,58166,37121,46500
319,Wide Bay,71.58800000000001,63.42,135.007,41791,28395,34630
401,Adelaide - Central and Hills,84.565,81.41199999999999,165.97299999999998,52741,38471,45119
402,Adelaide - North,114.48899999999999,99.443,213.929,50424,35994,43361
403,Adelaide - South,100.18700000000001,96.167,196.351,52457,37404,44340
404,Adelaide - West,64.71600000000001,59.663000000000004,124.375,49505,38016,43542
405,Barossa - Yorke - Mid North,30.136999999999997,26.198,56.342,47179,30826,38456
406,South Australia - Outback,24.281999999999996,20.333,44.61600000000001,56155,33701,44016
407,South Australia - South East,52.607,45.676,98.279,41313,28691,34869
501,Bunbury,55.443000000000005,47.019,102.458,59566,29582,41600
502,Mandurah,27.230999999999998,22.425,49.66,70715,31990,47557
503,Perth - Inner,64.946,53.626000000000005,118.572,66723,41116,52707
504,Perth - North East,80.911,69.09,149.999,62898,39385,50544
505,Perth - North West,176.157,154.502,330.66,64863,39097,50514
506,Perth - South East,163.765,133.42700000000002,297.197,61221,38422,49421
507,Perth - South West,129.221,110.665,239.886,70909,37858,52442
509,Western Australia - Wheat Belt,42.54600000000001,35.994,78.544,50298,31822,40326
510,Western Australia - Outback (North),29.904,23.112,53.018,86139,43312,61603
511,Western Australia - Outback (South),39.376,31.682,71.065,66471,35000,48543
601,Hobart,59.776,58.602,118.376,48713,37316,42838
602,Launceston and North East,37.857,34.678000000000004,72.536,44856,31988,38329
603,South East,10.105,8.732999999999999,18.838,39506,28127,33665
604,West and North West,30.1,26.688000000000002,56.781000000000006,47548,29769,38460
701,Darwin,53.873999999999995,43.492,97.363,64546,46934,55801
702,Northern Territory - Outback,20.651,19.151,39.805,48125,38570,43258
801,Australian Capital Territory,121.65100000000001,116.806,238.456,66631,53750,60046
