sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,sa4_name16
208,226621,230566,233762,238316,245053,43,43,44,44,44,15294044503,16196666836,17002560160,18083041283,19103936967,45663,48032,50044,51452,53035,67487,70247,72734,75878,77958,Melbourne - Inner South
209,239692,245323,250086,256600,265940,40,41,41,41,41,12118291364,12903264253,13619139258,14215985435,15136037358,41701,43534,45000,45865,46982,50558,52597,54458,55401,56915,Melbourne - North East
210,162412,165223,168383,174242,181742,40,41,41,41,41,7712821740,8202963226,8656573016,9152590950,9750770319,40552,42311,43695,44473,45421,47489,49648,51410,52528,53652,Melbourne - North West
211,281346,283084,283318,286649,293395,43,43,44,44,44,13931488072,14593432728,15089279915,15641586273,16375885828,40971,42681,43971,44999,46139,49517,51552,53259,54567,55815,Melbourne - Outer East
212,352123,359207,364546,375822,390957,40,41,41,41,41,16149963345,17192947709,18047484073,18983165273,20158572836,38992,40638,42008,42897,43878,45865,47864,49507,50511,51562,Melbourne - South East
213,320571,331789,340067,352698,369904,38,38,38,39,38,15356247275,16615720751,17667509600,18628094267,19970605521,42170,43950,45341,46011,46964,47903,50079,51953,52816,53989,Melbourne - West
214,149647,151395,152213,155606,160516,44,44,45,45,45,7122934803,7533345625,7839722008,8264068469,8788631426,38403,40053,41330,42460,43979,47598,49760,51505,53109,54752,Mornington Peninsula
215,77754,78865,78597,79530,80382,45,45,46,46,46,3163730990,3319971843,3482636568,3653842496,3623618815,34684,36406,37658,38958,39202,40689,42097,44310,45943,45080,North West
216,67750,68516,68242,68932,70629,44,44,45,45,45,2679531077,2878536910,2942040471,3124941979,3310676629,34108,36293,37230,38916,40160,39550,42013,43112,45334,46874,Shepparton
217,69439,69590,69129,69535,70799,45,46,46,46,46,3005670110,3096015835,2969291931,3236810366,3415034169,36431,37610,36738,39061,40448,43285,44489,42953,46549,48236,Warrnambool and South West
301,120821,123005,123893,125872,129512,43,43,43,44,44,6369229180,6954077386,7328833872,7666371347,8003777686,42954,45526,47473,48645,49737,52716,56535,59155,60906,61800,Brisbane - East
302,112635,114535,115755,118239,122521,40,41,41,41,41,5898745931,6451526088,6811892132,7146388422,7535809853,44397,47151,49163,50445,51527,52370,56328,58847,60440,61506,Brisbane - North
303,186259,189489,192494,194962,202040,38,39,39,39,39,9658737087,10487557164,11072199412,11478005122,12094460131,41733,44223,45804,46675,47443,51856,55347,57520,58873,59862,Brisbane - South
304,102580,104940,105294,106004,108586,42,42,42,43,43,6707818543,7315070849,7611079402,7806906031,8101657943,46230,49030,51016,52174,53307,65391,69707,72284,73647,74611,Brisbane - West
305,145462,149354,152762,155692,162238,35,36,36,36,36,10090798423,11221194565,12051225276,12657010223,13464729477,47404,51354,53617,54682,55557,69371,75132,78889,81295,82994,Brisbane Inner City
306,125125,128014,129849,131524,134913,42,42,42,43,43,5589683511,6113908657,6480915409,6684519833,6972785983,37494,39682,40881,41572,42343,44673,47760,49911,50824,51684,Cairns
307,65989,67404,68722,69367,69308,44,44,44,44,44,2558369897,2917696508,3107236896,3142435135,3237270073,33423,36535,38047,38656,39272,38770,43287,45215,45302,46708,Darling Downs - Maranoa
308,114203,119705,121963,119868,121932,41,40,41,41,41,6311046023,7368830190,8013185083,7976994280,8416829951,44744,49447,52107,51625,52917,55262,61558,65702,66548,69029,Central Queensland
309,287624,292563,298752,308597,323097,41,42,42,42,42,13266906350,14380539029,15586396973,16740385122,17753683658,36529,38647,40484,41814,42720,46126,49154,52172,54247,54948,Gold Coast
310,140494,143753,145900,149913,155878,40,40,40,40,40,6326567977,6926650353,7325179647,7703535335,8107444340,40916,43229,44813,45696,46527,45031,48184,50207,51387,52011,Ipswich
311,151114,152348,152725,155387,160976,40,40,40,41,40,6706427073,7225900065,7529881517,7845320928,8264457788,40042,42287,43848,44764,45567,44380,47430,49304,50489,51340,Logan - Beaudesert
312,95746,100866,101026,99005,98470,40,40,40,41,41,5653892827,6525788677,6858489571,6625719866,6528384429,46317,50541,52862,52067,51214,59051,64698,67888,66923,66298,Mackay - Isaac - Whitsunday
