SA4_MAIN11,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot,SA4_NAME11
101,3,3,5,12,27,19,5,4,3,3,3,6,0,3,7,103,0,4,16,39,78,78,79,64,17,8,32,25,7,9,12,468,0,10,25,92,21,16,21,5,0,4,0,0,0,0,8,202,0,3,3,3,13,31,23,8,5,3,16,8,13,0,5,134,0,0,3,5,17,19,33,27,7,6,16,20,14,14,14,195,0,0,0,0,12,8,11,4,0,0,0,0,0,3,0,38,81,478,1459,2899,1441,820,495,330,77,90,83,74,76,33,446,8882,4,3,12,92,116,121,122,103,20,23,31,19,15,23,32,736,0,0,0,0,24,56,36,11,3,4,9,15,5,0,30,193,7,212,470,650,643,407,336,286,89,89,95,98,125,70,160,3737,149,1236,3893,5630,3784,3002,2269,1528,404,474,644,564,526,324,1287,25714,Capital Region
102,3,3,4,19,31,28,21,13,3,3,5,3,5,0,10,151,3,8,17,72,215,220,296,242,48,48,70,64,25,18,24,1370,0,14,35,56,33,10,13,0,0,0,0,0,0,0,4,165,0,0,8,41,29,39,16,17,0,3,3,3,3,0,5,167,0,0,0,5,13,44,81,86,21,26,20,13,18,9,18,354,0,0,0,21,18,10,12,6,0,3,3,3,0,3,0,79,246,746,2018,4976,2780,2179,1554,1220,365,292,269,256,217,91,907,18116,3,10,15,86,145,112,191,139,30,30,59,33,29,16,35,933,0,0,0,5,31,53,25,10,4,7,11,6,3,3,13,171,34,263,418,828,980,799,657,477,103,97,138,119,95,56,267,5331,408,1712,4654,8362,6595,6454,5341,3550,893,885,962,789,689,348,2143,43785,Central Coast
103,0,0,3,10,10,5,15,5,3,0,0,0,0,0,4,55,0,0,3,20,25,52,93,88,22,42,36,26,12,12,7,438,0,5,11,30,18,3,5,0,5,0,0,0,0,0,3,80,0,0,0,0,3,23,32,13,7,8,9,13,7,3,6,124,0,0,0,0,4,13,21,18,7,6,11,9,8,4,7,108,3,0,0,3,6,8,3,3,0,0,5,0,0,0,3,34,87,260,722,1527,801,400,244,160,37,35,45,36,25,17,282,4678,0,3,3,39,49,37,43,48,17,0,7,11,18,14,14,303,0,0,0,0,7,16,18,10,0,6,5,0,7,4,35,108,12,130,163,264,243,202,205,314,64,84,75,63,32,36,163,2050,132,755,1736,2689,1823,1591,1398,1126,334,344,381,350,289,225,1061,14234,Central West
104,0,3,3,3,6,3,3,3,3,3,0,3,0,0,3,36,0,0,0,41,65,50,59,65,8,13,30,17,19,5,8,380,0,0,12,12,3,3,9,0,0,0,0,0,0,0,4,43,0,0,0,6,6,4,3,0,0,0,3,7,0,0,4,33,0,0,0,0,4,9,14,16,4,10,5,17,7,8,6,100,0,4,0,6,3,0,3,0,0,0,0,0,0,0,3,19,61,285,807,1726,766,449,329,283,66,69,49,52,37,37,300,5316,0,9,5,31,80,49,40,26,9,9,9,10,8,11,26,322,4,0,3,3,10,3,6,0,4,3,0,6,4,0,7,53,3,85,170,274,240,199,206,231,95,60,90,87,167,61,88,2056,104,601,1741,2763,1932,1682,1299,1046,317,326,401,409,404,212,765,14002,Coffs Harbour - Grafton
105,0,0,0,0,3,3,7,4,0,5,0,3,0,0,4,29,0,5,3,11,12,25,13,36,5,21,22,14,8,3,4,182,0,7,9,27,9,0,3,0,0,0,0,0,0,0,3,58,0,0,3,0,3,16,22,17,10,15,10,9,15,3,5,128,0,0,0,0,4,0,6,12,3,6,3,5,3,0,4,46,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,23,108,272,466,221,124,65,46,22,25,12,17,20,13,113,1547,0,0,5,32,27,16,21,18,4,3,6,7,5,0,9,153,0,0,0,0,6,11,10,0,0,0,3,0,0,0,8,38,9,33,82,153,99,71,75,90,41,42,50,40,28,21,89,923,55,254,741,1007,649,700,509,465,161,228,222,209,170,124,445,5939,Far West and Orana
106,0,0,3,8,15,14,12,3,0,0,3,0,0,3,3,64,0,0,8,28,66,69,108,125,103,84,90,28,28,25,11,773,0,8,16,38,12,0,3,3,0,0,0,0,0,0,3,83,0,0,0,7,9,15,5,7,8,9,6,3,13,0,3,85,0,0,0,0,0,22,48,40,14,14,13,22,7,4,20,204,0,0,0,4,7,0,4,0,0,0,0,4,3,0,3,25,103,363,1096,2103,1191,801,444,405,149,109,164,108,108,43,393,7580,3,5,5,28,57,71,72,80,18,15,18,35,44,14,12,477,0,0,0,0,17,11,7,10,0,3,4,0,6,3,38,99,7,140,203,316,316,312,193,228,85,71,108,72,71,53,129,2304,151,989,2419,3411,2750,2652,1985,1602,583,494,661,497,531,329,1110,20164,Hunter Valley exc Newcastle
107,3,3,5,11,28,12,20,22,3,5,6,12,9,3,3,145,0,3,11,40,96,94,136,158,41,26,54,24,12,18,10,723,0,12,85,266,133,27,103,26,5,0,0,3,0,0,24,684,0,3,3,14,20,38,51,21,5,20,29,14,23,11,8,260,0,0,0,0,12,40,88,114,28,33,66,74,51,52,40,598,0,0,0,41,377,140,96,25,7,9,4,8,5,3,23,738,197,546,2325,6087,2787,1361,775,588,198,194,153,143,110,60,747,16271,0,8,6,48,122,89,129,114,35,32,35,34,48,43,29,772,0,0,0,3,224,220,104,38,5,24,26,21,42,23,26,756,16,302,873,1697,2063,982,783,511,189,270,266,335,498,232,382,9399,281,1619,7963,13304,9377,5430,4807,3108,870,1107,1411,1675,1689,917,2446,56004,Illawarra
108,0,3,7,13,15,5,4,3,4,3,3,0,3,0,0,63,0,7,13,40,62,68,83,53,18,24,23,18,15,4,6,434,0,9,11,32,13,5,3,0,0,0,0,0,0,0,4,77,0,3,3,6,10,7,11,6,0,0,3,5,0,0,4,58,0,0,0,5,4,22,33,22,7,10,3,7,12,4,9,138,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,23,135,565,1388,2911,1327,666,481,376,80,86,81,75,59,23,517,8770,3,5,18,62,76,54,57,62,16,13,11,6,16,8,12,419,0,0,0,3,7,16,13,8,0,0,0,7,0,3,13,70,16,141,267,400,326,212,179,139,16,35,43,34,21,12,116,1957,235,1182,2942,4522,2864,2053,1619,1055,248,299,283,262,230,128,1072,18994,Mid North Coast
109,0,0,0,7,6,4,3,4,0,0,0,0,0,0,0,24,0,3,4,8,16,13,51,35,16,15,15,18,12,5,7,218,0,5,16,25,5,3,0,0,0,0,0,0,0,0,3,57,0,0,3,3,4,6,11,3,10,6,9,7,3,3,0,68,0,0,0,0,4,9,13,10,12,3,5,8,3,3,4,74,0,0,0,0,6,5,4,0,0,0,0,0,0,0,0,15,39,150,485,874,451,252,129,133,29,29,29,29,19,8,172,2828,0,3,0,15,21,24,31,35,5,3,3,3,6,9,5,163,0,0,0,0,11,7,8,0,0,0,0,0,6,3,6,41,3,78,140,157,137,85,88,88,57,42,68,115,107,91,49,1305,65,447,1423,1533,1015,842,731,602,268,262,307,340,292,227,471,8825,Murray
110,0,0,3,6,12,11,14,6,0,0,10,12,4,3,3,84,3,0,3,15,24,34,91,45,33,22,16,26,8,20,11,351,0,3,10,13,7,4,0,3,0,0,0,0,0,0,3,43,0,3,3,3,6,11,11,3,11,7,0,13,0,7,3,81,0,0,0,0,0,6,15,15,5,3,5,14,9,9,14,95,0,0,0,3,3,0,3,3,3,0,0,0,0,0,0,15,40,184,535,1074,512,251,189,152,34,28,34,34,40,20,209,3336,0,3,15,57,74,53,74,105,34,11,10,20,25,10,22,513,0,0,0,0,4,15,0,8,6,3,12,6,14,18,12,98,5,55,85,175,176,147,188,154,61,66,123,103,142,102,80,1662,88,392,1172,1776,1360,1144,1160,844,308,255,418,414,467,351,618,10767,New England and North West
