sa4_code16,farm_mgmt_age_f_provr_avg_age_yrs,farm_mgmt_age_m_provr_avg_age_yrs,farm_mgmt_age_provr_avg_age_all_p_yrs,farm_mgmt_data_provrs_relp_bsns_cntr_employee_num_n,farm_mgmt_data_provrs_relp_bsns_oth_num_n,farm_mgmt_data_provrs_relp_bsns_owner_operator_num_n,farm_mgmt_sex_provr_f_num_n,farm_mgmt_sex_provr_m_num_n,farm_mgmt_sex_provr_oth_num_n,farm_mgmt_srcs_inc_genertd_by_agri_prod_holding_avg_perc_pr100_,farm_mgmt_srcs_inc_grants_gov_trfs_rlf_fund_avg_perc_pr100_,farm_mgmt_srcs_inc_off_farm_empy_bsns_activ_avg_perc_pr100_,farm_mgmt_srcs_inc_oth_fund_srcs_avg_perc_pr100_,farm_mgmt_yrs_involved_farming_avg_yrs_yrs,sa4_name16
313,52.0,60.0,58.0,15.0,,,72.0,,,81.0,,14.0,,34.0,Moreton Bay - North
314,,60.0,63.0,,,20.0,,,,,,,,40.0,Moreton Bay - South
315,55.0,57.0,56.0,,,1501.0,586.0,1129.0,6.0,88.0,,,,38.0,Queensland - Outback
316,56.0,58.0,58.0,,15.0,,117.0,,,,,18.0,,,Sunshine Coast
317,63.0,57.0,59.0,,,,61.0,,,87.0,,9.0,,39.0,Toowoomba
318,54.0,57.0,57.0,93.0,75.0,1139.0,,1026.0,,88.0,1.0,,2.0,36.0,Townsville
319,54.0,59.0,58.0,,83.0,2440.0,,1968.0,,80.0,1.0,,,40.0,Wide Bay
401,58.0,58.0,58.0,30.0,11.0,385.0,,354.0,,77.0,,,,34.0,Adelaide - Central and Hills
402,54.0,55.0,55.0,,,278.0,,,,90.0,0.0,2.0,7.0,25.0,Adelaide - North
403,49.0,59.0,56.0,,,,,,,89.0,,10.0,,25.0,Adelaide - South
405,53.0,56.0,55.0,,77.0,2528.0,,2266.0,,90.0,0.0,,,36.0,Barossa - Yorke - Mid North
406,50.0,56.0,55.0,28.0,34.0,1219.0,,1082.0,,91.0,,,2.0,35.0,South Australia - Outback
407,52.0,56.0,55.0,,,4008.0,,3677.0,,86.0,0.0,11.0,,35.0,South Australia - South East
501,59.0,57.0,57.0,112.0,24.0,1382.0,,1223.0,,77.0,0.0,,6.0,35.0,Bunbury
502,,58.0,57.0,7.0,,,12.0,,,79.0,,18.0,8.0,35.0,Mandurah
504,54.0,61.0,58.0,,,,37.0,,,,,,7.0,33.0,Perth - North East
505,43.0,56.0,54.0,,,,17.0,,,94.0,,,,,Perth - North West
506,59.0,60.0,59.0,11.0,5.0,,,,,78.0,,,7.0,34.0,Perth - South East
507,,56.0,52.0,11.0,,55.0,22.0,44.0,,,,,,,Perth - South West
509,57.0,56.0,56.0,,,4443.0,,4007.0,,89.0,0.0,8.0,,37.0,Western Australia - Wheat Belt
510,52.0,56.0,55.0,,,,,,,79.0,,16.0,,30.0,Western Australia - Outback (North)
511,55.0,56.0,55.0,,61.0,1378.0,,1172.0,,91.0,0.0,5.0,3.0,36.0,Western Australia - Outback (South)
601,,56.0,56.0,,,,18.0,,,,0.0,28.0,5.0,32.0,Hobart
602,51.0,57.0,56.0,,50.0,810.0,,731.0,,85.0,1.0,,2.0,35.0,Launceston and North East
603,55.0,56.0,56.0,,,414.0,,374.0,,80.0,2.0,,3.0,35.0,South East
604,54.0,57.0,57.0,,20.0,846.0,,710.0,,83.0,0.0,,,36.0,West and North West
701,54.0,55.0,55.0,,,91.0,30.0,76.0,,84.0,,,,21.0,Darwin
702,48.0,52.0,51.0,,,163.0,81.0,149.0,,83.0,1.0,11.0,,29.0,Northern Territory - Outback
801,52.0,59.0,57.0,,,27.0,9.0,25.0,,76.0,,18.0,,30.0,Australian Capital Territory
