SA4_MAIN11,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot,SA4_NAME11
101,59,37,941,232,70,656,118,888,58,3059,212,214,1490,313,181,331,287,688,64,3780,981,1032,2243,562,458,414,848,1100,164,7802,2163,1597,2561,869,686,498,1158,1154,223,10909,2730,1774,2530,838,781,524,1481,1377,276,12311,2223,1493,1544,470,571,463,1116,1059,173,9112,883,363,297,77,153,148,247,228,67,2463,257,72,23,4,11,16,18,25,25,451,24,4,3,0,0,0,0,3,9,43,9532,6586,11632,3365,2911,3050,5273,6522,1059,49930,36,49,196,772,288,1343,14,282,51,3031,173,340,282,747,807,590,25,215,43,3222,738,1788,442,1097,1743,719,52,435,133,7147,1432,2378,466,1529,2750,963,95,674,178,10465,1598,2684,496,1699,3046,1048,135,952,190,11848,1195,1763,279,956,1833,650,83,628,120,7507,367,236,38,100,289,92,18,124,29,1293,110,14,3,4,24,7,0,16,16,194,14,0,0,0,0,0,0,3,9,26,5663,9252,2202,6904,10780,5412,422,3329,769,44733,Capital Region
102,71,63,1111,312,86,933,164,1390,76,4206,279,490,2337,546,268,756,458,1127,83,6344,1392,1861,3829,972,677,814,1259,1579,220,12603,2576,2546,3999,1137,955,898,1630,1694,308,15743,2785,2641,3780,1010,1074,885,1963,1792,311,16241,1696,1998,2266,610,814,720,1412,1232,236,10984,382,477,333,103,186,195,308,251,67,2302,50,72,26,5,22,17,18,20,14,244,8,3,3,0,0,0,0,3,15,32,9239,10151,17684,4695,4082,5218,7212,9088,1330,68699,84,80,194,939,390,2407,37,475,58,4664,307,774,382,1437,1076,1384,53,274,72,5759,995,2988,612,1742,2512,1231,99,485,154,10818,1383,3411,651,2307,3740,1495,206,937,186,14316,1389,3614,676,2460,4208,1845,268,1313,179,15952,752,2138,374,1345,2671,997,144,750,139,9310,153,293,32,138,438,144,19,103,45,1365,8,19,6,12,24,13,0,8,24,114,0,0,0,0,0,3,0,0,11,14,5071,13317,2927,10380,15059,9519,826,4345,868,62312,Central Coast
103,72,37,942,137,46,517,139,791,53,2734,236,240,1646,268,109,341,580,697,58,4175,1055,894,2367,372,258,423,1482,1075,137,8063,1823,1198,2189,534,333,380,1832,1141,186,9616,2344,1170,2100,494,502,380,1952,1337,203,10482,2136,1086,1347,311,421,344,1309,1004,150,8108,1098,296,233,72,95,132,296,222,55,2499,371,32,24,3,13,19,21,27,19,529,38,3,3,3,0,0,5,0,3,55,9173,4956,10851,2194,1777,2536,7616,6294,864,46261,46,69,138,587,224,1273,28,343,47,2755,153,489,246,817,616,672,58,273,43,3367,530,1793,397,1088,1448,698,102,435,78,6569,918,2119,462,1353,2179,847,123,753,102,8856,1201,2199,462,1398,2361,856,137,1093,97,9804,1007,1459,246,854,1429,477,76,695,103,6346,551,206,39,120,270,62,24,118,45,1435,146,10,7,6,24,5,3,17,19,237,17,0,0,0,5,0,0,0,10,32,4569,8344,1997,6223,8556,4890,551,3727,544,39401,Central West
104,52,11,464,110,29,413,75,572,37,1763,123,106,692,150,55,185,151,434,32,1928,436,503,1119,294,164,274,407,648,56,3901,860,883,1256,423,261,341,624,773,92,5513,1134,925,1406,489,310,394,801,956,116,6531,973,912,961,289,301,321,660,678,90,5185,303,142,117,36,56,62,138,99,23,976,78,15,9,3,6,4,4,14,21,154,7,3,0,0,0,0,0,3,4,17,3966,3500,6024,1794,1182,1994,2860,4177,471,25968,30,21,80,391,115,986,10,201,42,1876,104,181,113,443,293,412,12,110,10,1678,295,784,212,633,766,488,24,214,37,3453,545,1263,265,975,1312,590,40,410,81,5481,691,1631,270,1291,1742,730,59,616,67,7097,516,1046,151,645,1068,412,39,399,56,4332,147,109,16,61,127,45,4,47,15,571,34,6,4,3,4,9,3,8,7,78,0,0,0,0,3,0,0,0,3,6,2362,5041,1111,4442,5430,3672,191,2005,318,24572,Coffs Harbour - Grafton
105,54,13,531,67,30,278,90,489,44,1596,169,128,720,137,61,151,247,470,33,2116,696,552,1153,322,144,227,614,669,59,4436,1155,539,1024,430,201,243,860,627,98,5177,1573,582,1074,334,278,265,944,749,106,5905,1304,471,708,159,246,199,755,585,85,4512,638,100,149,43,64,59,166,144,39,1402,211,17,19,6,10,6,18,17,10,314,37,3,0,0,0,0,0,0,0,40,5837,2405,5378,1498,1034,1428,3694,3750,474,25498,20,31,73,299,120,662,14,199,28,1446,97,347,133,456,341,331,23,136,25,1889,311,1260,201,739,750,408,36,239,53,3997,579,1161,185,866,1160,408,57,399,59,4874,834,1143,194,1019,1290,512,81,584,81,5738,637,760,137,563,736,273,52,380,65,3603,302,133,34,98,155,47,12,82,24,887,97,3,5,6,9,7,0,9,12,148,9,0,0,0,0,0,0,0,0,9,2886,4838,962,4046,4561,2648,275,2028,347,22591,Far West and Orana
106,67,48,1353,234,41,648,173,1214,72,3850,207,308,2553,356,154,397,674,973,103,5725,971,1138,4022,583,375,448,2513,1450,201,11701,1851,1468,3744,582,496,446,3053,1288,270,13198,2071,1504,3436,526,622,426,3097,1336,280,13298,1537,1253,1874,304,515,377,2180,911,165,9116,511,329,249,58,102,115,289,189,52,1894,146,28,25,5,12,13,10,27,25,291,18,0,3,0,3,0,0,0,6,30,7379,6076,17259,2648,2320,2870,11989,7388,1174,59103,57,63,235,759,398,1887,32,508,61,4000,243,517,382,1078,971,954,120,357,47,4669,698,2017,580,1369,2084,1073,278,680,77,8856,1040,2211,668,1748,2974,1266,280,1080,160,11427,1149,2278,541,1810,2893,1270,231,1376,131,11679,740,1337,242,874,1646,657,109,788,77,6470,210,147,35,79,242,82,15,107,32,949,43,19,6,5,20,3,0,4,16,116,7,0,0,0,3,0,0,0,7,17,4187,8589,2689,7722,11231,7192,1065,4900,608,48183,Hunter Valley exc Newcastle
107,64,103,1146,344,94,655,149,1031,60,3646,232,778,2162,696,287,634,509,874,124,6296,1212,2507,3672,985,619,719,1664,1430,200,13008,2176,2642,3540,1052,818,685,2166,1436,255,14770,2330,2661,3548,817,934,604,2382,1522,288,15086,1368,1898,1962,422,601,397,1594,898,178,9318,240,373,265,69,104,92,220,169,56,1588,47,37,19,10,7,13,15,19,27,194,3,4,3,0,0,0,0,0,3,13,7672,11003,16317,4395,3464,3799,8699,7379,1191,63919,51,136,190,932,370,1758,22,388,64,3911,310,932,349,1574,1135,1245,31,255,90,5921,906,3408,602,1727,2626,1100,53,363,124,10909,1118,3469,561,1956,3594,1325,128,725,147,13023,1209,3507,564,2118,3550,1353,127,1140,175,13743,552,2013,268,924,1897,595,79,646,76,7050,87,200,22,87,241,85,9,79,36,846,17,17,0,8,18,9,0,4,21,94,3,0,0,0,0,0,0,0,6,9,4253,13682,2556,9326,13431,7470,449,3600,739,55506,Illawarra
108,64,22,623,122,38,595,91,739,62,2356,139,137,994,165,72,256,207,537,29,2536,539,628,1607,360,190,369,565,876,75,5209,1210,1095,1875,567,316,460,949,1054,111,7637,1567,1273,2104,622,474,547,1228,1358,156,9329,1414,1202,1463,402,395,472,965,1003,119,7435,580,245,220,66,105,99,207,207,48,1777,167,53,16,3,12,12,8,17,16,304,20,0,3,3,3,0,0,4,0,33,5700,4655,8905,2310,1605,2810,4220,5795,616,36616,26,29,108,551,161,1309,11,275,41,2511,96,280,132,535,328,537,15,152,21,2096,347,1048,297,894,999,663,39,288,50,4625,734,1763,384,1441,1835,878,63,568,87,7753,932,2315,444,1929,2340,1110,93,961,105,10229,719,1472,220,930,1531,652,50,608,92,6274,269,191,38,96,261,75,6,91,36,1063,43,9,4,3,27,5,0,13,22,126,4,0,0,0,3,0,0,0,4,11,3170,7107,1627,6379,7485,5229,277,2956,458,34688,Mid North Coast
109,55,22,548,90,34,325,68,481,32,1655,178,137,914,127,61,168,196,394,36,2211,775,572,1289,226,162,235,544,663,72,4538,1324,630,1127,321,206,246,772,707,87,5420,1615,686,1203,196,261,269,964,842,100,6136,1338,623,750,172,233,262,850,696,98,5022,540,166,147,37,70,73,193,136,41,1403,167,25,18,0,3,16,5,21,19,274,18,0,0,0,0,0,0,3,3,24,6010,2861,5996,1169,1030,1594,3592,3943,488,26683,22,27,94,343,139,784,11,211,37,1668,91,264,160,500,322,408,23,174,16,1958,352,1146,224,631,742,392,44,224,51,3806,618,1075,243,760,1246,480,98,440,69,5029,760,1273,271,907,1440,535,92,648,71,5997,578,745,140,549,904,329,67,476,57,3845,249,109,22,76,169,39,3,85,30,782,53,7,0,3,12,4,0,8,14,101,12,3,0,0,0,0,0,3,4,22,2735,4649,1154,3769,4974,2971,338,2269,349,23208,Murray
110,77,40,686,119,40,493,167,770,59,2451,275,204,1148,188,97,253,371,814,45,3395,1042,765,1793,341,223,422,879,1241,121,6827,1877,1012,1585,455,307,438,1133,1198,171,8176,2280,1111,1674,408,361,432,1406,1336,175,9183,2166,974,1133,239,338,361,1080,981,125,7397,1086,241,244,51,83,107,245,221,61,2339,339,30,24,4,15,11,20,36,19,498,33,0,4,3,3,0,0,0,6,49,9175,4377,8291,1808,1467,2517,5301,6597,782,40315,32,50,123,461,189,1211,17,345,54,2482,117,436,205,667,522,602,31,264,21,2865,495,1549,329,915,1252,624,69,486,71,5790,941,1810,357,1160,1795,738,83,670,90,7644,1213,2034,361,1324,2134,779,117,927,89,8978,1082,1336,228,796,1276,398,79,596,96,5887,491,202,31,104,274,76,19,136,44,1377,116,14,7,3,33,7,0,16,20,216,19,0,0,0,3,0,0,5,3,30,4506,7431,1641,5430,7478,4435,415,3445,488,35269,New England and North West
