statistical_local_area_code,statistical_local_area_name,state_code,state_name,statistical_division,statistical_division_name,statistical_subdivision,statistical_subdivision_name,local_government_area,local_government_area_name,seifa_2001_population,irsad_score,irsd_score,ier_score,ieo_score,q10_irsad,q25_irsad,q50_irsad,q75_irsad,q90_irsad,q10_irsd,q25_irsd,q50_irsd,q75_irsd,q90_irsd,q10_ier,q25_ier,q50_ier,q75_ier,q90_ier,q10_ieo,q25_ieo,q50_ieo,q75_ieo,q90_ieo,total_irsad,total_irsd,total_ier,total_ieo,min_irsad,min_irsd,min_ier,min_ieo,max_irsad,max_irsd,max_ier,max_ieo,med_irsad,med_irsd,med_ier,med_ieo
405205343,Onkaparinga (C) - Morphett,4,South Australia,405,Adelaide,40520,Southern Adelaide,45340,Onkaparinga (C),23494,917.8510000000001,953.058,930.832,909.722,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,21564002.0,22391150.0,21868968.0,21373008.0,816.1610000000001,770.457,858.967,810.378,1003.55,1048.87,1000.56,994.925,916.8489999999999,966.5889999999999,930.4989999999999,908.363
405205344,Onkaparinga (C) - North Coast,4,South Australia,405,Adelaide,40520,Southern Adelaide,45340,Onkaparinga (C),17207,880.997,898.538,893.235,885.225,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,15159313.0,15461145.0,15369890.0,15232066.0,789.545,713.0260000000001,799.2260000000001,819.8510000000001,992.9169999999999,1014.86,1013.78,986.956,889.7239999999999,912.835,901.823,880.313
405205345,Onkaparinga (C) - Reservoir,4,South Australia,405,Adelaide,40520,Southern Adelaide,45340,Onkaparinga (C),23881,1069.43,1085.67,1057.34,1055.4,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,25539118.0,25926792.0,25250230.0,25203990.0,925.335,957.3589999999999,900.334,953.8739999999999,1169.64,1151.68,1170.62,1135.02,1078.5,1099.35,1057.37,1062.75
405205347,Onkaparinga (C) - Woodcroft,4,South Australia,405,Adelaide,40520,Southern Adelaide,45340,Onkaparinga (C),33476,993.816,1037.51,1000.37,972.847,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,33268970.0,34731764.0,33488248.0,32567036.0,898.275,952.937,903.443,897.622,1084.46,1107.08,1125.4,1043.02,991.8489999999999,1042.0,1000.8,970.7239999999999
410050311,Barossa (DC) - Angaston,4,South Australia,410,Outer Adelaide,41005,Barossa,40310,Barossa (DC),7410,956.196,1007.1,976.5989999999999,932.92,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,7085411.5,7462579.0,7236596.0,6912935.0,872.943,900.567,891.7660000000001,865.95,1022.31,1061.5,1052.02,990.078,971.659,1020.63,976.804,940.925
410050314,Barossa (DC) - Barossa,4,South Australia,410,Outer Adelaide,41005,Barossa,40310,Barossa (DC),7090,983.454,1040.99,976.8760000000001,975.926,887.398,916.49,941.5039999999999,993.816,1068.46,911.209,965.971,1004.51,1040.99,1073.99,884.043,900.6460000000001,939.6419999999999,981.7310000000001,1050.35,887.421,918.253,944.4119999999999,996.4,1072.9,6972688.0,7380652.0,6926052.0,6919317.0,911.7080000000001,974.091,913.716,909.0369999999999,1049.21,1095.5,1035.15,1036.31,998.553,1052.45,971.36,968.102
505204830,Kwinana (T),5,Western Australia,505,Perth,50520,South West Metropolitan,54830,Kwinana (T),19452,896.279,910.453,934.1360000000001,876.12,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,17434426.0,17710128.0,18170810.0,17042296.0,820.314,752.2389999999999,847.868,813.308,1049.79,1080.09,1067.03,1010.38,873.0189999999999,895.927,922.082,860.1519999999999
505205320,Melville (C),5,Western Australia,505,Perth,50520,South West Metropolitan,55320,Melville (C),91385,1097.23,1076.5,1068.12,1101.93,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,100270580.0,98376120.0,97610408.0,100700030.0,872.238,786.17,884.081,896.284,1192.9,1161.13,1211.75,1205.29,1108.19,1087.41,1074.38,1110.39
505207490,Rockingham (C),5,Western Australia,505,Perth,50520,South West Metropolitan,57490,Rockingham (C),69163,957.296,976.568,980.549,933.801,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,66209452.0,67542344.0,67817720.0,64584452.0,827.505,852.9119999999999,819.187,780.112,1112.99,1136.81,1135.61,1070.21,953.98,972.178,981.357,934.83
505250210,Armadale (C),5,Western Australia,505,Perth,50525,South East Metropolitan,50210,Armadale (C),50108,949.547,968.443,966.98,931.36,918.38,936.415,951.273,984.154,1053.27,922.684,960.887,983.762,1004.45,1057.03,883.797,909.428,940.887,994.4939999999999,1069.89,904.263,933.431,951.557,970.263,1060.79,47579900.0,48526744.0,48453460.0,46668588.0,825.578,790.443,864.607,823.033,1111.54,1106.65,1100.92,1107.4,925.883,950.673,962.558,906.0989999999999
