sla_code_2006_,sla_name_2006_,irsd_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
105051100,Botany Bay (C),962,411,3,30,NSW,71,4,36,549,1093,35991,0
105054800,Leichhardt (A),1083,1247,9,90,NSW,181,10,91,690,1172,48777,0
105055200,Marrickville (A),1007,778,6,56,NSW,140,8,71,785,1147,71815,0
105057201,Sydney (C) - Inner,983,589,5,43,NSW,113,6,57,883,1151,21990,16
105057204,Sydney (C) - East,1059,1130,9,81,NSW,173,9,87,688,1154,46740,4
105057205,Sydney (C) - South,1014,822,6,59,NSW,144,8,73,480,1147,49460,1
105057206,Sydney (C) - West,1027,922,7,67,NSW,153,8,77,681,1161,38383,5
105106550,Randwick (C),1045,1045,8,75,NSW,163,9,82,600,1145,119885,1
105108050,Waverley (A),1082,1242,9,89,NSW,180,10,91,932,1168,60712,0
105108500,Woollahra (A),1122,1365,10,98,NSW,197,10,99,977,1190,50162,1
105154150,Hurstville (C),1014,828,6,60,NSW,145,8,73,741,1133,73725,0
105154450,Kogarah (A),1045,1044,8,75,NSW,162,9,82,922,1136,52537,0
105156650,Rockdale (C),993,664,5,48,NSW,126,7,64,755,1081,92124,0
105157151,Sutherland Shire (A) - East,1072,1196,9,86,NSW,177,9,89,752,1161,97425,0
105157152,Sutherland Shire (A) - West,1095,1289,10,93,NSW,185,10,93,943,1161,108023,0
105308400,Wollondilly (A),1045,1043,8,75,NSW,161,9,81,917,1143,40345,0
150107754,Wagga Wagga (C) - Pt B,1053,1091,8,79,NSW,168,9,85,881,1099,4525,0
150151600,Carrathool (A),986,607,5,44,NSW,116,6,59,885,1095,2819,0
150153450,Griffith (C),983,586,5,42,NSW,112,6,57,760,1083,23800,0
150153850,Hay (A),944,292,3,21,NSW,46,3,24,907,1092,3382,0
150154750,Leeton (A),969,467,4,34,NSW,82,5,42,782,1090,11112,0
150155550,Murrumbidgee (A),952,340,3,25,NSW,55,3,28,875,1058,2502,0
155050050,Albury (C),990,637,5,46,NSW,121,7,61,730,1142,46282,0
155053371,Greater Hume Shire (A) - Pt A,1048,1063,8,77,NSW,165,9,83,1026,1087,3442,0
155102300,Corowa Shire (A),978,546,4,40,NSW,103,6,52,899,1076,10977,0
155103374,Greater Hume Shire (A) - Pt B,977,534,4,39,NSW,99,5,50,897,1117,6287,0
155107450,Tumbarumba (A),967,442,4,32,NSW,79,4,40,907,1083,3532,10
155107700,Urana (A),945,297,3,22,NSW,48,3,25,822,1059,1258,0
155150650,Berrigan (A),980,562,5,41,NSW,108,6,55,895,1092,7994,0
155151860,Conargo (A),1062,1144,9,82,NSW,175,9,88,1042,1076,1677,0
105301504,Campbelltown (C) - South,963,416,3,30,NSW,73,4,37,562,1128,68310,0
105200351,Bankstown (C) - North-East,900,149,2,11,NSW,9,1,5,794,982,56401,0
105403950,Holroyd (C),972,495,4,36,NSW,86,5,44,774,1072,89766,0
105406251,Parramatta (C) - Inner,979,556,4,40,NSW,105,6,53,776,1151,40493,2
105406252,Parramatta (C) - North-East,1021,880,7,64,NSW,149,8,75,643,1153,42379,0
205353271,Hume (C) - Broadmeadows,885,125,1,9,VIC,1,1,1,659,1061,61692,0
205353274,Hume (C) - Craigieburn,1011,799,6,58,VIC,113,6,56,919,1127,53792,0
205353275,Hume (C) - Sunbury,1043,1035,8,75,VIC,158,8,78,886,1134,32297,0
205405713,Nillumbik (S) - South,1113,1346,10,97,VIC,203,10,100,916,1155,27370,0
205405715,Nillumbik (S) - South-West,1100,1307,10,94,VIC,195,10,96,1025,1159,23192,0
205405718,Nillumbik (S) Bal,1091,1276,10,92,VIC,192,10,94,1027,1115,9229,0
205407071,Whittlesea (C) - North,1054,1095,8,79,VIC,169,9,83,937,1148,23508,0
205407075,Whittlesea (C) - South-East,1021,883,7,64,VIC,134,7,66,936,1121,42509,1
205407076,Whittlesea (C) - South-West,918,187,2,14,VIC,11,1,6,809,1033,58631,0
125108859,Lord Howe Island,1014,820,6,59,NSW,143,8,72,1014,1014,346,0
305091086,Bulimba,1092,1283,10,92,QLD,433,10,91,1051,1155,5104,0
105708551,Wyong (A) - North-East,958,383,3,28,NSW,66,4,34,717,1111,72188,0
520057140,Pingelly (S),936,248,2,18,WA ,24,2,16,871,1081,1168,0
105254904,Liverpool (C) - West,1013,814,6,59,NSW,142,8,72,858,1092,68106,0
105301450,Camden (A),1057,1124,9,81,NSW,172,9,87,893,1136,49646,0
105301501,Campbelltown (C) - North,947,309,3,23,NSW,50,3,26,549,1153,74765,1
110102700,Dungog (A),1001,740,6,54,NSW,136,7,69,847,1057,8060,0
110103050,Gloucester (A),963,418,3,30,NSW,75,4,38,834,1052,4801,0
110103400,Great Lakes (A),952,341,3,25,NSW,56,3,29,716,1060,32763,0
