ogc_fid,objectid_2,objectid_1,iams_id,division_name,location_description,parent_reference,name,feature_type_code,feature_instance_metadata_id,create_date,objectid
1,1,1,BEAC1,FYSHWICK,MOLONGLO REACH,ULP9,MOLONGLO REACH,20,,2005-11-24T04:49:03,6401
2,2,2,BEAC2,FYSHWICK,MOLONGLO REACH,ULP9,MOLONGLO REACH,20,,2005-11-24T04:49:03,6402
3,3,3,BEAC3,GREENWAY,LAKE TUGGERANONG,ULP7,MUNDANG,20,,2005-11-24T04:49:03,6403
4,4,4,BEAC4,GREENWAY,LAKE TUGGERANONG,ULP7,MUNDANG,20,,2005-11-24T04:49:03,6404
5,5,5,BEAC5,GREENWAY,LAKE TUGGERANONG,ULP7,NGURU,20,,2005-11-24T04:49:03,6405
6,6,6,BEAC6,GREENWAY,LAKE TUGGERANONG,ULP7,TUGGERANONG TOWN PARK BEACH,20,,2005-11-24T04:49:03,6406
7,7,7,BEAC7,GREENWAY,LAKE TUGGERANONG,ULP7,NGAYUNG,20,,2005-11-24T04:49:03,6407
8,8,8,BEAC8,BELCONNEN,LAKE GINNINDERRA,ULP6,BIMBI,20,,2005-11-24T04:49:03,6408
9,9,9,BEAC9,BELCONNEN,LAKE GINNINDERRA,ULP6,BIMBI,20,,2005-11-24T04:49:04,6409
10,10,10,BEAC10,BELCONNEN,LAKE GINNINDERRA,ULP6,MENGI BAMIR,20,,2005-11-24T04:49:04,6410
11,11,11,BEAC11,BELCONNEN,LAKE GINNINDERRA,ULP6,DULWA,20,,2005-11-24T04:49:04,6411
12,12,12,BEAC12,BELCONNEN,LAKE GINNINDERRA,ULP6,YERRA,20,,2005-11-24T04:49:04,6412
13,13,13,BEAC13,BELCONNEN,LAKE GINNINDERRA,ULP6,YERRA,20,,2005-11-24T04:49:04,6413
14,14,14,BEAC14,BELCONNEN,LAKE GINNINDERRA,ULP6,BARGANG,20,,2005-11-24T04:49:04,6414
15,15,15,BEAC15,BELCONNEN,LAKE GINNINDERRA,ULP6,BARGANG,20,,2005-11-24T04:49:04,6415
16,16,16,BEAC16,BELCONNEN,LAKE GINNINDERRA,ULP6,GUMMIUK,20,,2005-11-24T04:49:04,6416
