ogc_fid,objectid_1,playarea_id,iams_id,parent_playground_name,parent_playground_iams_id,division_name,upgrade_year,equipment_replacement_cost,surface_type,surface_location,surface_area,other_surface_type,other_surface_location,other_surface_area,edging_type,fencing_type,access_description,all_access,age_range_0_to_3,age_range_4_to_7,age_range_8_to_12,age_range_13_plus,balance,bridge,bar,climber,cubby,combination_unit,flying_fox,fort,goal,panal,rocker,rotation,sculpture,slide,sound,swing,track_glide,sand_element,exercise_element,vehicle,total_structures,comments,feature_type,operational,area,perimeter,latitude,longitude,feature_type_code,create_date,feature_instance_metadata_id,objectid,natural_element,shape_length,shape_area
1,2,106,PLAR328,SANGSTER PLACE,PLGR271,WANNIASSA,2005.0,59000.0,TANBARK,WEST SUPPORT POST OF SPACE NET CLIMBER,400.0,NONE,BETWEEN SPINNING POLES,,NONE,PARTIAL,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,0,0,0,1,0,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,9,"CONTAINS SPACE NET CLIMBER, SPINNING POLES, SWINGS, OVERHEAD SPINNER, ROCKERS AND A JUNIOR COMBINATION UNIT.",PLAY AREA,,586.866919456839,102.8481539685,,,20,,,11,0,102.84316848802,586.867056778081
2,4,200,PLAR446,ROCKLANDS STREET,PLGR356,DUFFY,1995.0,32000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,190.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,193.67992871710499,53.894882047799996,,,20,,,13,0,53.891322988014096,193.680610488208
3,15,623,PLAR692,SUMMERLAND CIRCUIT (NORTH),PLGR580,KAMBAH,2010.0,40000.0,MULCH,NORTH SIDE OF ORANGE HOOP CLIMBER POST,110.0,NONE,CENTRE POINT OF AREA,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,NO,NO,NO,NO,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,HAS THE HOOP CLIMBERS,PLAY AREA,,112.522596679571,37.6520319283,,,20,,,18,0,37.6499782017852,112.522421946277
4,16,581,PLAR668,TIDBINBILLA NATURE RESERVE (RING ROAD),PLGR537,PADDYS RIVER,2005.0,88000.0,TANBARK,WEST SUPPORT POST AT SLIDE,375.0,RUBBER (WET POUR),END OF WEST SLIDE,,CONCRETE,PARTIAL,WHEELCHAIR ACCESSIBLE,,YES,YES,YES,YES,0,0,0,1,0,1,1,1,0,0,6,0,0,1,1,1,0,0,0,0,13,"CONTAINS COMBINATION UNIT, SWINGS, ROCKERS, PYRAMID SPACE NET, EMBANKMENT SLIDE, WATER PLAY AREA, FLYING FOX AND ANIMAL SENSOR POLES.",PLAY AREA,,3056.06243302278,246.2185988045,,,20,,,19,0,246.191128818093,3056.0661318007897
5,17,149,PLAR381,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2005.0,20000.0,TANBARK,BASE OF EAST SUPPORT - 80MM TO BASE PLATE,540.0,RUBBER (WET POUR),UNDER EAST EDGE,35.0,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS THE TWIN SPACE NET.,PLAY AREA,,500.582563831121,85.7673793484,,,20,,,20,0,85.76245543790891,500.58194095105995
6,23,547,PLAR618,NEMERANG CRESCENT,PLGR502,WARAMANGA,2004.0,34000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,"CONTAINS COMBINATION UNIT, POMMEL WALK BRIDGE, SWING AND ROCKERS.",PLAY AREA,,307.714596107426,83.7437050344,,,20,,,26,0,83.7390798409877,307.715502908602
7,24,76,PLAR291,TUGGERANONG TOWN PARK,PLGR242,GREENWAY,2000.0,20000.0,TANBARK,AT SOUTH EAST SUPPORT OF ROPE BRIDGE,180.0,NONE,AT CONVEX CLIMBER,,CONCRETE,NONE,NO PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS SENIOR COMBINATION UNIT WITH WAVE CLIMBER.,PLAY AREA,,188.581112515685,53.0915111233,,,20,,,27,0,53.088664012597796,188.581169265868
8,25,72,PLAR286,LAKE TUGGERANONG DISTRICT PARK,PLGR240,GREENWAY,1985.0,93000.0,TANBARK,CENTRAL SPIRAL SLIDE SUPPORT POST,700.0,RUBBER SOFT FALL,UNDER TYRE SWING SEAT,,BRICK,NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"CONTAINS COMBINATION UNIT, CAROUSEL, ROCKERS AND PYRAMID SPACENET.",PLAY AREA,,653.7189569210959,105.0552642609,,,20,,,28,0,105.04974975692801,653.719082943749
9,31,138,PLAR365,MCLEOD PLACE,PLGR296,KAMBAH,1995.0,10000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,70.0,NONE,AT END OF SLIDE,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,70.6074902444917,33.912529551,,,20,,,1,0,33.9104377074425,70.607258153551
10,59,650,PLAR714,KAMBAH DISTRICT PARK,PLGR305,KAMBAH,2009.0,20000.0,TANBARK,ALL SUPPORT POSTS IN RUBBER,80.0,RUBBER (WET POUR),8M FROM END SUPPORT POST,45.0,CONCRETE,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS THE JUNIOR FLYING FOX.,PLAY AREA,,194.14752297245602,81.8995980273,,,20,,,51,0,81.894913840575,194.14707060679902
