ogc_fid,institution,campus_name,address1,address2,suburb,state,postcode,country,street_address,provider_type,latitude,longitude
1,Australian Catholic University,North Sydney (MacKillop),,40 Edward Street,NORTH SYDNEY,NSW,2060,Australia,"40 Edward Street,NORTH SYDNEY,NSW,2060,Australia",University,-33.8373959,151.20342480000002
2,Australian Catholic University,Strathfield (Mount Saint Mary),,25A Barker Road,STRATHFIELD,NSW,2135,Australia,"25A Barker Road,STRATHFIELD,NSW,2135,Australia",University,-33.8761164,151.0762594
3,Australian Catholic University,Canberra (Signadou),,223 Antill Street,WATSON,ACT,2602,Australia,"223 Antill Street,WATSON,ACT,2602,Australia",University,-35.2457237,149.1553525
4,Australian Catholic University,Melbourne (St Patrick's),,115 Victoria Parade,FITZROY,VIC,3065,Australia,"115 Victoria Parade,FITZROY,VIC,3065,Australia",University,-37.807498200000005,144.97789980000002
5,Australian Catholic University,Ballarat (Aquinas),,1200 Mair Street,BALLARAT,VIC,3350,Australia,"1200 Mair Street,BALLARAT,VIC,3350,Australia",University,-37.557260799999995,143.8436351
6,Australian Catholic University,Ararat Hospital,,Girdlestone St,ARARAT,VIC,3377,Australia,"Girdlestone St,ARARAT,VIC,3377,Australia",University,-37.279498700000005,142.9323255
7,Australian Catholic University,Brisbane (McAuley at Banyo),,1100 Nudgee Road,BANYO,QLD,4014,Australia,"1100 Nudgee Road,BANYO,QLD,4014,Australia",University,-27.378426899999997,153.0899136
8,Australian Catholic University,Adelaide (St Francis),,116 George Street,THEBARTON,SA,5031,Australia,"116 George Street,THEBARTON,SA,5031,Australia",University,-34.9194746,138.56975309999999
9,Australian National University,North Australia Research Unit,,23 Ellengowan Dr,BRINKIN,NT,810,Australia,"23 Ellengowan Dr, BRINKIN, NT, 810, Australia",University,-12.369831800000002,130.8715435
10,Australian National University,Siding Spring Observatory,,Observatory Rd,COONABARABRAN,NSW,2357,Australia,"Observatory Rd, COONABARABRAN, NSW, 2357, Australia",University,-31.274878,149.06841799999998
11,Australian National University,Kioloa,,496 Murramarang Rd,KIOLOA,NSW,2539,Australia,"496 Murramarang Rd, KIOLOA, NSW, 2539, Australia",University,-35.544884,150.38081599999998
