crash_id,crash_date,crash_time,severity,crash_type,pedestrians,pedestrian_casualties,reported_location,latitude,longitude
1145041,7/10/2016,8:45,Injury,Struck pedestrian (On Road),1,1,PARRAMATTA/ATHLLON INTERSECTION,-35.354768,149.091489
1108346,9/04/2015,8:45,Property Damage Only,Struck pedestrian (On Road),1,0,BARRY DRIVE (MOORE -> COOYONG/NORTHBOURNE),-35.275659000000005,149.128623
1095195,15/09/2014,16:20,Property Damage Only,Struck pedestrian (On Road),1,0,PERRY DRIVE (MUSGROVE -> HEATH),-35.356968,149.036867
1075343,23/11/2013,21:00,Property Damage Only,Struck pedestrian (On Road),1,0,FURNEAUX/PALMERSTON INTERSECTION,-35.319716,149.13187299999998
1121518,31/08/2015,20:10,Injury,Struck pedestrian (On Road),1,1,BUNDA/GAREMA/SCOTTS INTERSECTION,-35.278106,149.132745
1059958,19/04/2013,13:15,Property Damage Only,Struck pedestrian (On Road),1,0,ALINGA/NORTHBOURNE INTERSECTION,-35.278394,149.129052
1057147,11/02/2012,23:32,Injury,Struck pedestrian (On Road),1,1,NORTHBOURNE AVENUE (LONDON -> ALINGA),-35.27896,149.12915800000002
1119120,12/09/2015,2:30,Injury,Struck pedestrian (On Road),1,1,LONDON CIRCUIT (EAST -> VERITY),-35.279713,149.13021899999998
1054719,8/02/2013,15:30,Injury,Struck pedestrian (Off Road),1,1,STANNER/HANNAH WITTON (SE) INTERSECTION,-35.160807,149.135306
1062725,14/04/2013,16:00,Injury,Struck pedestrian (On Road),1,1,PIALLIGO AVENUE (SCHERGER -> AIR DISASTER ),-35.320153000000005,149.20793600000002
1142102,18/08/2016,10:30,Injury,Struck pedestrian (On Road),1,1,ISABELLA DRIVE (BENHAM -> GOLDSTEIN/KELLETT),-35.412894,149.12147
1029600,18/02/2012,21:28,Injury,Struck pedestrian (On Road),1,1,COOYONG/MORT INTERSECTION,-35.275935,149.131163
1130246,30/07/2015,8:50,Injury,Struck pedestrian (On Road),1,1,STARKE STREET (MACNAUGHTON -> FULLAGAR),-35.228336,149.020879
1098277,10/11/2014,6:32,Injury,Struck pedestrian (Off Road),1,1,COMPANION CRESCENT (MEIKLEJOHN -> SANDERSON),-35.209088,149.04273799999999
1040221,25/07/2012,16:19,Injury,Struck pedestrian (On Road),1,1,GIRRAHWEEN/MASSON/NORTHBOURNE INTERSECTION,-35.270307,149.13036599999998
1130528,9/02/2015,16:08,Property Damage Only,Struck pedestrian (On Road),1,0,BUNDA/NORTHBOURNE/RUDD INTERSECTION,-35.277134999999994,149.129453
1074786,12/05/2013,10:45,Injury,Struck pedestrian (On Road),1,1,DE BORTOLI/FARRAN INTERSECTION,-35.189021999999994,149.15128700000002
1028560,11/02/2012,17:00,Injury,Struck pedestrian (On Road),1,1,MACKNIGHT/MERRIMAN INTERSECTION,-35.403489,149.13005
1108216,28/03/2015,9:00,Property Damage Only,Struck pedestrian (On Road),1,0,CARTWRIGHT STREET (KERR -> CLAMBE),-35.199627,149.03440600000002
1146614,18/10/2016,17:33,Property Damage Only,Struck pedestrian (On Road),1,0,MARCUS CLARKE STREET (HOBART -> ALINGA),-35.278493,149.12629099999998
1087660,3/05/2014,16:38,Injury,Struck pedestrian (On Road),1,1,FLEMINGTON ROAD (EPIC ACCESS -> RANDWICK),-35.231865,149.144931
1052921,7/01/2013,16:10,Injury,Struck pedestrian (On Road),2,2,LEVERRIER STREET (BATTYE -> MASTERMAN ST),-35.246318,149.10118899999998
1097673,16/10/2014,10:20,Injury,Struck pedestrian (On Road),1,1,ANTILL/MOUAT/NORTHBOURNE INTERSECTION,-35.248265,149.13411499999998
1037851,22/05/2012,15:00,Injury,Struck pedestrian (On Road),1,1,LONDON/WEST INTERSECTION,-35.27944,149.127678
1060764,30/04/2013,13:00,Property Damage Only,Struck pedestrian (On Road),1,0,BARKER STREET (STUART -> THROSBY),-35.328145,149.142419
1042165,7/08/2012,8:50,Property Damage Only,Struck pedestrian (On Road),1,0,ELLERSTON AVENUE (DRUMSTON -> BABINDA),-35.426241999999995,149.09243
1107675,19/03/2015,22:00,Property Damage Only,Struck pedestrian (On Road),1,0,DAVID/MACARTHUR/WATTLE INTERSECTION,-35.260366999999995,149.13071599999998
1141453,15/08/2016,8:25,Injury,Struck pedestrian (On Road),1,1,LAUNCESTON/MELROSE INTERSECTION,-35.339932,149.082363
1080411,17/02/2014,14:20,Property Damage Only,Struck pedestrian (Off Road),1,0,BARRIER STREET (IPSWICH -> PIRIE),-35.325769,149.166889
1100879,17/12/2014,17:00,Injury,Struck pedestrian (On Road),1,1,BODDINGTON CRESCENT (CARLETON -> BARRITT),-35.382106,149.05122
1077372,22/11/2013,12:45,Injury,Struck pedestrian (On Road),1,1,SERVENTY ST/SERVENTY ST/DUNPHY ST/DUNPHY ST INTERSECTION,-35.325634,149.03914
1078683,5/01/2014,18:10,Property Damage Only,Struck pedestrian (On Road),1,0,ANTILL/MOUAT/NORTHBOURNE INTERSECTION,-35.248265,149.13411499999998
1082228,19/03/2014,15:05,Property Damage Only,Struck pedestrian (On Road),1,0,MELROSE DRIVE (BOTANY -> HINDMARSH),-35.349037,149.084251
1061225,1/05/2013,8:30,Injury,Struck pedestrian (On Road),1,1,MELROSE DRIVE (ATHLLON -> HODGSON),-35.357256,149.089001
1133760,26/04/2016,15:50,Injury,Struck pedestrian (On Road),1,1,CALLAM STREET (MATILDA -> CALLAM),-35.343073,149.087871
1145541,12/10/2016,8:45,Injury,Struck pedestrian (On Road),1,1,COWLISHAW/PITMAN INTERSECTION,-35.414007,149.068077
1031219,22/03/2012,11:05,Property Damage Only,Struck pedestrian (On Road),1,0,FAULDING STREET (EDGELL -> TAUBMAN),-35.335522999999995,149.167755
1049109,9/11/2012,8:20,Property Damage Only,Struck pedestrian (On Road),1,0,MAWSON DRIVE (MAWSON -> HEARD),-35.364231,149.094256
1068115,12/08/2013,15:31,Injury,Struck pedestrian (On Road),1,1,KREFFT STREET (EDDY -> BOSWELL),-35.225727,149.04759199999998
1079541,4/02/2014,15:25,Injury,Struck pedestrian (On Road),1,1,BENJAMIN/SWANSON INTERSECTION,-35.239184,149.06762700000002
1107693,21/03/2015,13:50,Property Damage Only,Struck pedestrian (On Road),1,0,COOYONG STREET (BARRY/NORTHBOURNE -> MORT),-35.275864,149.130507
1078965,8/01/2014,21:55,Property Damage Only,Struck pedestrian (On Road),1,0,MONANMORSWRM/MONARO INTERSECTION,-35.307394,149.1706
1048971,23/10/2012,14:10,Property Damage Only,Struck pedestrian (On Road),1,0,EASTLAKE PDE (TREVILLIAN QY -> GILES ST),-35.312386,149.146019
1124639,2/12/2015,1:20,Property Damage Only,Struck pedestrian (On Road),1,0,LEWIS LUXTON AVENUE (FLEGG -> MACKNEY),-35.449298999999996,149.088308
1130908,12/12/2015,2:59,Property Damage Only,Struck pedestrian (On Road),1,0,LONDON CIRCUIT (PETRIE -> EAST),-35.27986,149.130647
1049846,20/11/2012,15:00,Injury,Struck pedestrian (On Road),1,1,BUNDA/GENGE INTERSECTION,-35.277535,149.132106
1130662,14/04/2015,11:39,Property Damage Only,Struck pedestrian (On Road),1,0,WATSON PLACE (GWYNNE -> WINDEYER),-35.238927000000004,149.15364
1113005,4/06/2015,21:20,Injury,Struck pedestrian (On Road),1,1,LAYCOCK PLACE (PICKWORTH -> LAYCOCK),-35.222097,149.01560600000002
1039639,12/05/2012,18:40,Injury,Struck pedestrian (On Road),1,1,KERRIGAN STREET (DOUGLAS WATERHOUSE -> PERCY BEGG),-35.189396,149.021587
1095301,6/09/2014,9:40,Injury,Struck pedestrian (On Road),1,1,HODGSON/MELROSE INTERSECTION,-35.357075,149.08811
1053720,21/11/2012,18:45,Property Damage Only,Struck pedestrian (On Road),1,0,MACFARLAND/WALDOCK INTERSECTION,-35.355936,149.075251
1091173,16/07/2014,6:50,Injury,Struck pedestrian (On Road),1,1,BOLDREWOOD STREET (FROGGATT -> HACKETT),-35.272096999999995,149.119814
1031912,5/04/2012,8:00,Property Damage Only,Struck pedestrian (On Road),1,0,CONSTITUTION AVENUE (LONDON -> ALLARA),-35.283883,149.13212099999998
1121520,24/09/2015,8:40,Injury,Struck pedestrian (Off Road),1,1,FLINDERS WAY (MONARO -> MUGGA),-35.329583,149.12374499999999
1079211,25/01/2014,23:30,Property Damage Only,Struck pedestrian (On Road),1,0,TUGGERANONG PARKWAY (COTTWTUGGSRM/TUGGNCOTTWRM -> TUGGSHINDERM),-35.330847999999996,149.063429
