objectid_1,objectid,heritage_i,location_i,name,status,status_dat,owner_name,descr,site_name,loc_type,title,block_key,district_n,district_i,division_n,division_i,heritage_r,shape_leng,shape_length,shape_area
1,1,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,358.65539064676597,358.65539064676597,3204.114776114
2,2,2481,7803,Cotter Caves and Surrounds,Final Registration,,,Block 47 (part) and 322 (part),,Natural,District of PADDYS RIVER,0,PADDYS RIVER,P,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/p#paddys_river,2746.7055230820497,2746.7055230820497,295829.89478225604
3,3,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,452.183979048964,452.183979048964,7733.3594104103295
4,4,1683,5083,"Small Purple Pea Habitat (at Mt Taylor, Kambah and Aranda)",Final Registration,,,Block 1550 (part) Aranda site,,Natural,BELCONNEN,0,BELCONNEN,B,,,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/b#belconnen,2392.0178227153897,2392.0178227153897,320735.475595077
5,5,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,1566.84467720123,1566.84467720123,14955.207432557
6,6,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,452.183979048964,452.183979048964,7733.3594104103295
7,7,269,8826,Gungaderra Homestead,Final Registration,,,Block 10 & 12 Section 4 and Block 12 Section 2 Harrison,,Historic,HARRISON,0,GUNGAHLIN,G,HARRISON,H,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/h#harrison,358.65539064676597,358.65539064676597,3204.114776114
8,8,399,390,Hotel Acton,Final Registration,,,Section 24 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,645.884531989142,645.884531989142,22225.5066958828
20,20,51,5,Bus Shelter,Nominated for Provisional Registration,,,"Class D: Campbell Street Class C: Cox Street, Officer Crescent",,Historic,AINSLIE,0,CANBERRA CENTRAL,C,AINSLIE,A,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/a#ainslie,15.739332020079598,15.739332020079598,17.0483187723897
9,9,407,404,Ian Potter House,Final Registration,,,Section 25 Block 1,,Historic,CITY,0,CANBERRA CENTRAL,C,CITY,C,http://www.environment.act.gov.au/heritage/heritage_register/register-by-place/c#city,300.71587102202096,300.71587102202096,5796.865901157061
