cd_code,state,ssd,sla,lga,sd,post,_seifa91_population,index_of_relative_socio_economic_disadvantage,_index_of_economic_resources,index_of_education_and_occupation_,_urban_index_of_relative_socio_economic_advantage,rural_index_of_relative_socio_economic_advantage,cdsn,cd_num,scd91,state_name
1010101,1,20,300,300,55,3500,87,1006.2675,924.5898,860.7007,,868.84375,552001,10101,1552001,New South Wales
1010103,1,20,300,300,55,2711,77,1065.2001,889.0524,869.4869,,848.0849599999999,552003,10103,1552003,New South Wales
1010104,1,20,300,300,55,2715,125,1060.4478,908.332,958.3388699999999,,908.54095,552004,10104,1552004,New South Wales
1010112,1,20,300,300,55,2715,502,973.4099,861.27515,924.6423300000001,954.58685,,552012,10112,1552012,New South Wales
1010201,1,15,7800,7800,55,2715,56,1045.346,974.25415,974.2946,,905.882,551501,10201,1551501,New South Wales
1010203,1,15,7800,7800,55,2733,459,927.31714,881.0306400000001,876.12366,,971.9187599999999,551503,10203,1551503,New South Wales
1010204,1,15,7800,7800,55,2733,235,1029.1528,894.0033599999999,950.66364,,856.4356,551504,10204,1551504,New South Wales
1010205,1,15,7800,7800,55,2736,556,989.6918300000001,905.0408,938.7822,,932.9448,551505,10205,1551505,New South Wales
1010206,1,15,7800,7800,55,3585,637,973.15735,891.8607,901.46094,,950.3149400000001,551506,10206,1551506,New South Wales
1010207,1,15,7800,7800,55,3585,251,1092.4827,957.0005,987.95825,,890.5796,551507,10207,1551507,New South Wales
1010105,1,20,300,300,55,2715,125,979.7839,938.2742300000001,819.263,,863.9144,552005,10105,1552005,New South Wales
1010106,1,20,300,300,55,2715,170,998.8683,925.8916,894.05,,873.1415,552006,10106,1552006,New South Wales
1010107,1,20,300,300,55,3500,375,975.4505,970.5668300000001,869.0838,,924.6503,552007,10107,1552007,New South Wales
1010108,1,20,300,300,55,2737,375,958.5011,900.5186,858.06415,,987.37946,552008,10108,1552008,New South Wales
1010109,1,20,300,300,55,2734,166,963.7844,955.4707599999999,855.73724,,859.8285,552009,10109,1552009,New South Wales
1010110,1,20,300,300,55,2715,107,1060.6523,882.9046,915.4364,,894.1748,552010,10110,1552010,New South Wales
1010111,1,20,300,300,55,2715,825,930.9556,894.1382,900.1676,958.4167,,552011,10111,1552011,New South Wales
1010202,1,15,7800,7800,55,2733,53,1066.8878,947.58154,971.43835,,846.06085,551502,10202,1551502,New South Wales
1010208,1,15,7800,7800,55,2733,278,1049.8549,910.6716,961.83923,,888.9948,551508,10208,1551508,New South Wales
1010209,1,15,7800,7800,55,2732,418,1053.6151,898.74225,999.22675,,928.1557,551509,10209,1551509,New South Wales
1011506,1,15,3450,3450,50,2680,632,909.8199,876.59985,919.5911,866.48956,,501506,11506,1501506,New South Wales
1010210,1,15,7800,7800,55,2732,294,1068.9243,999.13904,976.4525,,915.67426,551510,10210,1551510,New South Wales
1010211,1,15,7800,7800,55,2710,258,1029.7147,913.198,928.0026,,986.7701,551511,10211,1551511,New South Wales
1010212,1,15,7800,7800,55,2732,416,1029.4863,924.6377,967.0305,,931.0263699999999,551512,10212,1551512,New South Wales
1010407,1,15,1600,1600,50,2675,582,920.7648,885.34375,884.1116,971.70844,,501507,10407,1501507,New South Wales
1010408,1,15,1600,1600,50,2675,313,1054.4565,964.3108,951.0351,,894.5071,501508,10408,1501508,New South Wales
1010501,1,15,1600,1600,50,2711,111,1098.5879,944.5721,948.2418,,872.2575,501501,10501,1501501,New South Wales
1010213,1,15,7800,7800,55,2732,494,990.753,920.4994,909.39856,969.9844,,551513,10213,1551513,New South Wales
1010214,1,15,7800,7800,55,2732,723,988.9183300000001,925.5582,933.0732,987.8933,,551514,10214,1551514,New South Wales
