sla_code_2006_,sla_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
105051100,Botany Bay (C),982,769,6,56,NSW,133,7,67,810,1137,35991,0
105054800,Leichhardt (A),1175,1347,10,97,NSW,192,10,97,954,1270,48777,0
105055200,Marrickville (A),1092,1183,9,85,NSW,172,9,87,978,1243,71815,0
105057201,Sydney (C) - Inner,1161,1324,10,95,NSW,188,10,95,1102,1243,21990,16
105057204,Sydney (C) - East,1182,1359,10,98,NSW,194,10,98,953,1274,46740,4
105057205,Sydney (C) - South,1131,1272,10,92,NSW,185,10,93,721,1276,49460,1
105057206,Sydney (C) - West,1170,1338,10,96,NSW,190,10,96,929,1278,38383,5
105106550,Randwick (C),1110,1227,9,88,NSW,182,10,92,850,1248,119885,1
105108050,Waverley (A),1164,1329,10,96,NSW,189,10,95,1027,1241,60712,0
105108500,Woollahra (A),1208,1387,10,100,NSW,197,10,99,1138,1265,50162,1
105154150,Hurstville (C),1032,1015,8,73,NSW,158,8,80,856,1133,73725,0
105154450,Kogarah (A),1069,1124,9,81,NSW,167,9,84,982,1157,52537,0
105156650,Rockdale (C),1014,937,7,68,NSW,145,8,73,926,1129,92124,0
105157151,Sutherland Shire (A) - East,1048,1074,8,77,NSW,162,9,82,906,1148,97425,0
105157152,Sutherland Shire (A) - West,1049,1077,8,78,NSW,163,9,82,960,1222,108023,0
105308400,Wollondilly (A),963,627,5,45,NSW,106,6,54,878,1076,40345,0
150107754,Wagga Wagga (C) - Pt B,1034,1024,8,74,NSW,159,8,80,833,1106,4525,0
150151600,Carrathool (A),967,658,5,48,NSW,114,6,58,868,1107,2819,0
150153450,Griffith (C),932,336,3,25,NSW,46,3,24,813,1072,23800,0
150153850,Hay (A),938,401,3,29,NSW,66,4,34,883,1147,3382,0
150154750,Leeton (A),923,278,2,20,NSW,33,2,17,778,1080,11112,0
150155550,Murrumbidgee (A),935,365,3,27,NSW,55,3,28,851,1083,2502,0
155050050,Albury (C),964,639,5,46,NSW,109,6,55,823,1117,46282,0
155053371,Greater Hume Shire (A) - Pt A,992,832,6,60,NSW,139,7,70,923,1081,3442,0
155102300,Corowa Shire (A),914,222,2,16,NSW,22,2,12,857,1064,10977,0
155103374,Greater Hume Shire (A) - Pt B,963,628,5,45,NSW,107,6,54,855,1263,6287,0
155107450,Tumbarumba (A),938,398,3,29,NSW,64,4,33,863,1117,3532,10
155107700,Urana (A),946,486,4,35,NSW,85,5,43,822,1077,1258,0
155150650,Berrigan (A),944,474,4,34,NSW,81,5,41,869,1142,7994,0
155151860,Conargo (A),1074,1138,9,82,NSW,168,9,85,1027,1129,1677,0
105301504,Campbelltown (C) - South,928,305,3,22,NSW,37,2,19,740,1058,68310,0
105200351,Bankstown (C) - North-East,949,517,4,38,NSW,92,5,47,896,1030,56401,0
105403950,Holroyd (C),978,737,6,53,NSW,128,7,65,870,1117,89766,0
105406251,Parramatta (C) - Inner,1069,1122,9,81,NSW,166,9,84,946,1310,40493,2
105406252,Parramatta (C) - North-East,1063,1107,8,80,NSW,164,9,83,882,1198,42379,0
205353271,Hume (C) - Broadmeadows,884,92,1,7,VIC,3,1,2,790,988,61692,0
205353274,Hume (C) - Craigieburn,941,440,4,32,VIC,45,3,22,866,1023,53792,0
205353275,Hume (C) - Sunbury,970,684,5,49,VIC,93,5,46,877,1094,32297,0
205405713,Nillumbik (S) - South,1100,1203,9,87,VIC,183,9,90,1010,1169,27370,0
205405715,Nillumbik (S) - South-West,1038,1037,8,75,VIC,162,8,80,993,1136,23192,0
205405718,Nillumbik (S) Bal,1065,1111,8,80,VIC,168,9,82,1019,1116,9229,0
205407071,Whittlesea (C) - North,978,734,6,53,VIC,102,5,50,875,1064,23508,0
205407075,Whittlesea (C) - South-East,976,720,6,52,VIC,98,5,48,919,1077,42509,1
205407076,Whittlesea (C) - South-West,896,130,1,10,VIC,6,1,3,817,967,58631,0
125108859,Lord Howe Island,995,849,7,61,NSW,141,8,71,995,995,346,0
305091086,Bulimba,1116,1239,9,89,QLD,430,10,91,1070,1194,5104,0
105708551,Wyong (A) - North-East,896,129,1,10,NSW,8,1,5,801,1034,72188,0
520057140,Pingelly (S),973,697,5,50,WA ,75,5,49,914,1114,1168,0
105254904,Liverpool (C) - West,968,669,5,48,NSW,115,6,58,843,1030,68106,0
105301450,Camden (A),985,786,6,57,NSW,136,7,69,895,1080,49646,0
105301501,Campbelltown (C) - North,922,272,2,20,NSW,31,2,16,706,1107,74765,1
110102700,Dungog (A),969,672,5,49,NSW,116,6,59,882,1111,8060,0
110103050,Gloucester (A),935,363,3,27,NSW,53,3,27,799,1050,4801,0
110103400,Great Lakes (A),917,236,2,17,NSW,24,2,13,785,1074,32763,0
110105650,Muswellbrook (A),905,171,2,13,NSW,11,1,6,747,1023,15234,3
110107000,Singleton (A),936,378,3,28,NSW,59,3,30,823,1146,21938,1
105351300,Burwood (A),1074,1140,9,82,NSW,169,9,85,992,1225,30927,0
105200353,Bankstown (C) - North-West,937,389,3,28,NSW,62,4,32,821,1015,62353,1
105200355,Bankstown (C) - South,984,778,6,56,NSW,135,7,68,902,1051,51734,0
105201550,Canterbury (C),979,746,6,54,NSW,129,7,65,765,1089,129963,0
105252851,Fairfield (C) - East,892,112,1,9,NSW,7,1,4,800,995,110302,0
105252854,Fairfield (C) - West,941,433,4,32,NSW,73,4,37,772,1056,69591,0
105254901,Liverpool (C) - East,943,462,4,34,NSW,79,4,40,752,1087,96497,0
105350150,Ashfield (A),1097,1198,9,86,NSW,175,9,88,1015,1179,39669,0
105708554,Wyong (A) - South and West,934,352,3,26,NSW,49,3,25,807,1099,67613,1
110051720,Cessnock (C),878,78,1,6,NSW,2,1,2,707,1136,46209,2
110054651,Lake Macquarie (C) - East,946,483,4,35,NSW,83,5,42,729,1091,59793,0
110054653,Lake Macquarie (C) - North,962,616,5,45,NSW,105,6,53,803,1164,72247,0
110054655,Lake Macquarie (C) - West,953,549,4,40,NSW,100,6,51,774,1108,51100,0
110055050,Maitland (C),939,412,3,30,NSW,68,4,35,752,1070,61881,0
110055903,Newcastle (C) - Inner City,1030,1008,8,73,NSW,155,8,78,862,1199,48063,0
110055904,Newcastle (C) - Outer West,940,422,4,31,NSW,70,4,36,782,1095,42180,1
110055905,Newcastle (C) - Throsby,1014,940,7,68,NSW,146,8,74,691,1192,51510,0
110056400,Port Stephens (A),936,380,3,28,NSW,60,4,31,771,1068,60484,0
105351521,Canada Bay (A) - Concord,1099,1201,9,87,NSW,176,9,89,985,1215,31162,0
105351524,Canada Bay (A) - Drummoyne,1117,1244,9,90,NSW,184,10,93,978,1216,34583,0
110107620,Upper Hunter Shire (A),932,334,3,24,NSW,45,3,23,797,1069,12976,0
115054400,Kiama (A),1047,1072,8,77,NSW,161,9,81,976,1173,18985,0
115056900,Shellharbour (C),911,203,2,15,NSW,15,1,8,790,1041,60336,0
115058451,Wollongong (C) - Inner,1021,972,7,70,NSW,149,8,75,750,1178,93848,0
115058454,Wollongong (C) Bal,940,425,4,31,NSW,71,4,36,751,1135,90365,0
115076951,Shoalhaven (C) - Pt A,940,428,4,31,NSW,72,4,37,721,1110,30954,0
115106952,Shoalhaven (C) - Pt B,934,350,3,26,NSW,48,3,25,800,1164,57452,0
115108350,Wingecarribee (A),1011,923,7,67,NSW,144,8,73,866,1185,42273,0
120057554,Tweed (A) - Tweed-Heads,928,309,3,23,NSW,39,2,20,810,1138,50453,0
120057556,Tweed (A) - Tweed Coast,953,543,4,39,NSW,96,5,49,845,1109,8898,0
120074851,Lismore (C) - Pt A,956,566,5,41,NSW,101,6,51,848,1076,30088,0
120100250,Ballina (A),980,755,6,55,NSW,130,7,66,828,1106,38461,0
120101350,Byron (A),1022,974,7,70,NSW,150,8,76,936,1126,28768,0
120104550,Kyogle (A),945,478,4,35,NSW,82,5,42,846,1015,9257,0
120104854,Lismore (C) - Pt B,1003,888,7,64,NSW,142,8,72,829,1083,12120,0
120106611,Richmond Valley (A) - Casino,853,48,1,4,NSW,1,1,1,799,942,10504,0
120106612,Richmond Valley (A) Bal,910,196,2,15,NSW,14,1,8,792,1022,10808,0
120107558,Tweed (A) - Pt B,946,489,4,36,NSW,87,5,44,831,1011,19971,0
125011801,Coffs Harbour (C) - Pt A,948,499,4,36,NSW,90,5,46,755,1097,47711,0
125033751,Hastings (A) - Pt A,953,545,4,40,NSW,97,5,49,832,1102,39507,0
125050600,Bellingen (A),971,692,5,50,NSW,120,7,61,829,1083,12417,0
125051736,Clarence Valley (A) - Coast,918,239,2,18,NSW,26,2,14,824,1079,19422,0
125051737,Clarence Valley (A) - Grafton,899,139,1,10,NSW,9,1,5,781,1031,22813,3
125051738,Clarence Valley (A) Bal,914,219,2,16,NSW,20,2,11,814,1014,5910,0
125051804,Coffs Harbour (C) - Pt B,949,508,4,37,NSW,91,5,46,813,1063,17199,0
125055700,Nambucca (A),905,169,2,13,NSW,10,1,6,810,993,17896,0
125103350,Greater Taree (C),914,221,2,16,NSW,21,2,11,731,1039,45145,2
125103754,Hastings (A) - Pt B,926,294,3,22,NSW,35,2,18,825,1026,28924,0
125104350,Kempsey (A),891,107,1,8,NSW,5,1,3,726,1076,27386,4
105400200,Auburn (A),987,791,6,57,NSW,138,7,70,881,1195,64961,3
305091042,Balmoral,1120,1248,9,90,QLD,433,10,91,1078,1174,3640,0
105658000,Warringah (A),1087,1174,9,85,NSW,171,9,86,915,1208,133837,1
105703101,Gosford (C) - East,1022,975,7,70,NSW,151,8,76,875,1173,65335,0
105703104,Gosford (C) - West,965,641,5,46,NSW,111,6,56,819,1160,92822,1
140076100,Oberon (A),932,333,3,24,NSW,44,3,23,832,1068,5030,4
140150800,Bland (A),951,527,4,38,NSW,93,5,47,859,1128,6101,0
140152350,Cowra (A),925,284,3,21,NSW,34,2,18,782,1127,12478,0
140152900,Forbes (A),947,495,4,36,NSW,89,5,45,861,1129,9362,0
140154600,Lachlan (A),961,609,5,44,NSW,104,6,53,817,1151,6669,0
140156200,Parkes (A),922,269,2,20,NSW,30,2,16,778,1113,14282,0
140158100,Weddin (A),971,688,5,50,NSW,119,6,60,861,1135,3639,0
140206150,Orange (C),956,569,5,41,NSW,102,6,52,750,1116,35338,0
145056181,Palerang (A) - Pt A,1093,1185,9,85,NSW,173,9,87,923,1189,9100,0
145056470,Queanbeyan (C),1018,957,7,69,NSW,147,8,74,833,1161,35971,0
145101050,Boorowa (A),977,733,6,53,NSW,126,7,64,906,1103,2294,0
150105800,Narrandera (A),928,312,3,23,NSW,40,3,21,848,1115,6012,0
150107350,Temora (A),935,371,3,27,NSW,56,3,29,794,1115,5854,0
150107500,Tumut Shire (A),917,237,2,17,NSW,25,2,13,819,1209,10800,0
150057751,Wagga Wagga (C) - Pt A,966,647,5,47,NSW,113,6,57,735,1099,52490,1
150102000,Coolamon (A),946,484,4,35,NSW,84,5,43,852,1126,4029,0
150102200,Cootamundra (A),922,268,2,20,NSW,29,2,15,752,1157,7314,0
150103500,Gundagai (A),929,315,3,23,NSW,42,3,22,832,1056,3695,0
150104300,Junee (A),912,205,2,15,NSW,16,1,9,830,1116,5778,17
150104950,Lockhart (A),978,736,6,53,NSW,127,7,64,869,1114,3182,0
205905341,Mornington P'sula (S) - East,959,592,5,43,VIC,79,4,39,768,1152,36697,0
210052752,Corio - Inner,894,121,1,9,VIC,5,1,3,761,1184,54915,2
105357100,Strathfield (A),1096,1197,9,86,NSW,174,9,88,901,1175,31982,0
105406253,Parramatta (C) - North-West,1028,1001,8,72,NSW,154,8,78,891,1123,33945,0
130057311,Tamworth Regional (A) - Pt A,935,364,3,27,NSW,54,3,28,745,1085,42498,1
130103550,Gunnedah (A),923,276,2,20,NSW,32,2,17,787,1176,11526,0
130103660,Gwydir (A),964,634,5,46,NSW,108,6,55,756,1164,5311,0
130104201,Inverell (A) - Pt A,953,547,4,40,NSW,98,5,50,807,1094,4614,0
130104920,Liverpool Plains (A),936,377,3,28,NSW,58,3,30,809,1129,7540,2
130107314,Tamworth Regional (A) - Pt B,969,677,5,49,NSW,117,6,59,842,1095,11094,0
205607454,Yarra Ranges (S) - North,972,694,5,50,VIC,96,5,47,879,1099,12560,0
205607456,Yarra Ranges (S) - Seville,981,762,6,55,VIC,108,6,53,894,1088,15246,0
205650911,Bayside (C) - Brighton,1164,1330,10,96,VIC,196,10,96,1079,1226,35412,0
205650912,Bayside (C) - South,1125,1263,10,91,VIC,190,10,93,941,1187,52525,0
105604004,Hornsby (A) - South,1141,1293,10,93,NSW,186,10,94,1031,1218,85945,0
105604500,Ku-ring-gai (A),1194,1375,10,99,NSW,196,10,99,1118,1240,101084,0
105655150,Manly (A),1173,1342,10,97,NSW,191,10,96,1009,1250,37111,0
105656370,Pittwater (A),1108,1221,9,88,NSW,181,10,91,1006,1249,54156,0
105406254,Parramatta (C) - South,938,399,3,29,NSW,65,4,33,825,1012,31506,0
105450900,Blue Mountains (C),1065,1110,8,80,NSW,165,9,83,951,1224,74067,0
105453800,Hawkesbury (C),976,722,6,52,NSW,125,7,63,851,1102,60560,0
105456351,Penrith (C) - East,916,231,2,17,NSW,23,2,12,809,1036,93199,1
105456354,Penrith (C) - West,960,602,5,44,NSW,103,6,52,811,1063,78942,0
105530751,Blacktown (C) - North,1010,916,7,66,NSW,143,8,72,831,1132,87425,1
105530752,Blacktown (C) - South-East,953,548,4,40,NSW,99,5,50,808,1074,90622,0
105530753,Blacktown (C) - South-West,890,103,1,8,NSW,4,1,3,741,1000,93663,0
105554100,Hunter's Hill (A),1161,1322,10,95,NSW,187,10,94,1027,1220,13242,0
105554700,Lane Cove (A),1188,1365,10,98,NSW,195,10,98,1096,1242,30427,0
105555350,Mosman (A),1213,1389,10,100,NSW,198,10,100,1121,1277,26236,0
105555950,North Sydney (A),1217,1391,10,100,NSW,199,10,100,917,1286,58257,0
105556700,Ryde (C),1104,1215,9,88,NSW,178,9,90,901,1245,96949,0
105558250,Willoughby (C),1176,1351,10,97,NSW,193,10,97,1057,1244,63604,0
105600501,Baulkham Hills (A) - Central,1100,1205,9,87,NSW,177,9,89,1046,1154,68337,0
105600503,Baulkham Hills (A) - North,1081,1159,9,84,NSW,170,9,86,951,1135,50771,0
105600505,Baulkham Hills (A) - South,1117,1240,9,89,NSW,183,10,92,1037,1189,40283,0
105604001,Hornsby (A) - North,1105,1219,9,88,NSW,179,9,90,997,1184,65380,0
130150111,Armidale Dumaresq (A) - City,1031,1012,8,73,NSW,156,8,79,869,1148,19486,0
130150112,Armidale Dumaresq (A) Bal,1107,1220,9,88,NSW,180,10,91,998,1172,3881,0
130153010,Glen Innes Severn (A),936,381,3,28,NSW,61,4,31,846,1133,8779,2
130153650,Guyra (A),928,306,3,22,NSW,38,2,20,795,1095,4229,0
130154202,Inverell (A) - Pt B,908,184,2,14,NSW,13,1,7,837,1142,10893,1
130157400,Tenterfield (A),930,322,3,24,NSW,43,3,22,822,1051,6533,0
130157650,Uralla (A),981,761,6,55,NSW,131,7,66,819,1130,5735,0
130157850,Walcha (A),981,766,6,55,NSW,132,7,67,865,1151,3185,0
130205300,Moree Plains (A),938,409,3,30,NSW,67,4,34,639,1172,13975,3
130205750,Narrabri (A),934,358,3,26,NSW,52,3,27,794,1141,13116,0
135012601,Dubbo (C) - Pt A,941,438,4,32,NSW,74,4,38,796,1055,34318,2
135052604,Dubbo (C) - Pt B,976,719,6,52,NSW,124,7,63,888,1023,3527,0
135052950,Gilgandra (A),942,445,4,32,NSW,75,4,38,848,1120,4521,0
135055271,Mid-Western Regional (A) - Pt A,934,353,3,26,NSW,50,3,26,813,1041,17679,0
135055850,Narromine (A),946,488,4,35,NSW,86,5,44,857,1108,6509,0
135058020,Warrumbungle Shire (A),952,540,4,39,NSW,95,5,48,816,1157,9808,0
135058150,Wellington (A),937,390,3,28,NSW,63,4,32,785,1127,8122,0
135100950,Bogan (A),934,355,3,26,NSW,51,3,26,854,1073,2881,0
135102150,Coonamble (A),942,451,4,33,NSW,76,4,39,841,1136,4210,0
135107900,Walgett (A),912,208,2,15,NSW,17,1,9,749,1176,6944,2
135107950,Warren (A),965,646,5,47,NSW,112,6,57,876,1160,2749,0
135151150,Bourke (A),965,640,5,46,NSW,110,6,56,834,1100,3097,0
135151200,Brewarrina (A),912,210,2,16,NSW,18,1,10,858,1065,1945,4
135151750,Cobar (A),906,174,2,13,NSW,12,1,7,666,1101,4918,0
140030471,Bathurst Regional (A) - Pt A,974,703,6,51,NSW,121,7,61,806,1135,30745,4
140070473,Bathurst Regional (A) - Pt B,1026,994,8,72,NSW,153,8,77,883,1162,5099,0
140070850,Blayney (A),944,469,4,34,NSW,80,5,41,840,1070,6593,0
140071400,Cabonne (A),983,772,6,56,NSW,134,7,68,857,1094,12396,0
140074870,Lithgow (C),891,108,1,8,NSW,6,1,4,718,1067,19759,3
140075274,Mid-Western Regional (A) - Pt B,920,250,2,18,NSW,28,2,15,759,1103,3407,0
145103311,Goulburn Mulwaree (A) - Goulburn,919,246,2,18,NSW,27,2,14,795,1060,20128,4
145103314,Goulburn Mulwaree (A) Bal,985,789,6,57,NSW,137,7,69,859,1038,5959,0
145103700,Harden (A),942,452,4,33,NSW,77,4,39,812,1090,3583,0
145106184,Palerang (A) - Pt B,1032,1013,8,73,NSW,157,8,79,975,1106,3216,0
145107640,Upper Lachlan (A),994,843,7,61,NSW,140,8,71,902,1082,7053,0
145108710,Yass Valley (A),1038,1036,8,75,NSW,160,9,81,835,1201,13134,0
145108750,Young (A),929,314,3,23,NSW,41,3,21,774,1111,11982,0
145150550,Bega Valley (A),952,534,4,39,NSW,94,5,48,793,1092,31060,0
145152750,Eurobodalla (A),936,373,3,27,NSW,57,3,29,802,1102,35010,0
145201000,Bombala (A),947,491,4,36,NSW,88,5,45,874,1071,2540,0
145202050,Cooma-Monaro (A),974,705,6,51,NSW,122,7,62,887,1144,9725,0
145207050,Snowy River (A),1018,958,7,69,NSW,148,8,75,902,1152,7186,3
155152500,Deniliquin (A),927,301,3,22,NSW,36,2,19,876,976,7433,0
155154250,Jerilderie (A),975,715,6,52,NSW,123,7,62,880,1112,1643,0
155155500,Murray (A),940,421,4,31,NSW,69,4,35,840,1145,6417,0
155157800,Wakool (A),971,686,5,50,NSW,118,6,60,863,1076,4362,0
155200300,Balranald (A),934,346,3,25,NSW,47,3,24,872,1105,2441,0
155208200,Wentworth (A),942,453,4,33,NSW,78,4,40,830,1072,6780,2
160101250,Broken Hill (C),885,93,1,7,NSW,3,1,2,825,1123,19363,2
160101700,Central Darling (A),913,214,2,16,NSW,19,1,10,823,1138,1938,14
160108809,Unincorp. Far West,1025,990,8,71,NSW,152,8,77,884,1150,729,6
205054601,Melbourne (C) - Inner,1192,1369,10,99,VIC,203,10,100,1077,1241,11592,0
205905344,Mornington P'sula (S) - South,960,606,5,44,VIC,83,5,41,800,1244,47118,6
435250250,Anangu Pitjantjatjara (AC),853,47,1,4,SA ,4,1,4,744,911,2232,4
205054605,Melbourne (C) - S'bank-D'lands,1207,1385,10,100,VIC,204,10,100,1165,1262,13304,0
205054608,Melbourne (C) - Remainder,1184,1362,10,98,VIC,201,10,99,730,1280,46484,5
