cd_code,_urban_index_of_relative_socio_economic_advantage,rural_index_of_relative_socio_economic_advantage,index_of_relative_socio_economic_disadvantage,_index_of_economic_resources,index_of_education_and_occupation_,_seifa96_population,_state_code,_sd_code,_ssd_code,_lga_code,_sla_code,poa
8013802,1004.3480000000001,,1003.68,892.653,1156.339,324,8,5,5,9399,7209,2612
8014301,1209.017,,1213.531,1077.424,1269.914,175,8,5,35,9399,4959,2604
8020701,1025.914,,1012.187,982.7330000000001,1092.464,448,8,5,15,9399,8109,2607
8021601,1083.495,,1091.685,1045.136,1112.755,829,8,5,20,9399,2079,2611
1011812,1070.414,,1071.922,1141.309,1004.34,362,1,50,15,4750,4750,2705
1020713,,920.3589999999999,651.819,719.5089999999999,819.16,269,1,55,20,8200,8200,2648
1030107,,864.1289999999999,989.145,892.54,909.0269999999999,104,1,35,10,950,950,2877
8022304,970.6519999999999,,975.9760000000001,981.923,1040.027,493,8,5,25,9399,4869,2902
8023005,1043.4089999999999,,1079.078,1090.441,1044.968,705,8,5,25,9399,1359,2905
8023602,939.982,,1021.169,948.801,1048.23,502,8,5,25,9399,4509,2905
8024405,959.6189999999999,,1118.318,1053.62,1071.681,408,8,5,25,9399,3289,2906
1010216,,943.238,1044.736,1007.197,937.058,195,1,55,15,7800,7800,3585
1010309,947.9939999999999,,946.863,877.304,955.322,563,1,50,15,3850,3850,2711
1011405,935.303,,976.038,964.04,918.947,506,1,50,15,3450,3450,2681
1031106,,909.753,1066.536,1002.1669999999999,987.563,100,1,40,15,6200,6200,2875
1031501,,870.7280000000001,942.4889999999999,827.0039999999999,964.5980000000001,85,1,35,10,7950,7950,2824
1031605,,931.013,1007.4689999999999,921.318,963.1139999999999,208,1,35,5,2950,2950,2827
1031807,876.817,,840.512,893.2610000000001,862.7769999999999,815,1,35,5,2600,2600,2830
1031910,996.328,,1008.485,1024.531,999.018,565,1,35,5,2600,2600,2830
1032008,1062.6019999999999,,1062.3,1087.9260000000002,1025.622,461,1,35,5,2600,2600,2830
1032012,979.309,,995.1339999999999,944.528,1018.2310000000001,631,1,35,5,2600,2600,2830
1032302,913.847,,812.105,837.9010000000001,886.14,760,1,35,5,8150,8150,2820
1032408,,1098.096,1044.037,1046.1680000000001,1034.839,535,1,35,5,5400,5400,2850
1040706,,962.012,1043.7060000000001,928.74,1009.637,110,1,35,5,1950,1950,2843
1051809,862.8560000000001,,820.605,813.831,943.823,561,1,30,15,100,100,2350
1192612,879.1669999999999,,862.548,870.581,933.637,256,1,15,5,6900,6900,2528
4111213,1035.853,,1044.943,1034.826,1103.497,295,4,5,15,6510,6510,5082
1040811,933.913,,957.2130000000001,911.664,942.023,376,1,35,5,2100,2100,2357
1041706,917.572,,906.7189999999999,916.737,922.2310000000001,320,1,30,10,6500,6500,2343
1042803,984.092,,1046.355,1045.588,1025.26,410,1,30,20,5300,5300,2400
1050101,,877.893,945.301,898.743,968.8610000000001,109,1,30,10,4200,4201,2360
1050414,990.373,,1024.83,988.938,1008.3389999999999,293,1,30,15,4200,4202,2360
2101110,,931.8610000000001,1039.744,990.893,962.0369999999999,496,2,10,15,1750,1754,3249
3060102,,961.671,990.4810000000001,883.296,963.2230000000001,438,3,30,15,4550,4550,4702
1051901,945.32,,987.1,895.85,1028.039,681,1,30,15,100,100,2350
1052009,956.6080000000001,,1025.975,940.8860000000001,1041.532,842,1,30,15,100,100,2350
1062109,954.074,,963.953,917.195,983.8539999999999,440,1,20,10,4850,4850,2480
1070105,929.1010000000001,,883.091,862.7280000000001,928.342,375,1,20,5,7550,7551,2485
1070211,939.034,,981.278,1005.732,938.972,786,1,20,5,7550,7551,2486
1272905,1011.3889999999999,,1099.976,1108.309,1101.423,604,1,5,50,750,750,2763
1070306,1026.219,,967.4580000000001,1022.075,960.872,400,1,20,5,7550,7551,2486
1071206,1039.458,,1032.874,1001.6419999999999,1050.267,549,1,20,10,250,250,2478
