ogc_fid,objectid_1,basketball_court_id,asset_id,division_name,location_description,type,feature_type_code,create_date,feature_instance_metadata_id,objectid,shape_length,shape_area
1,1,21,BSKT23,KAMBAH,BODDINGTON CRESCENT NEIGHBOURHOOD PARK,HALF COURT,20,,,27790,41.469061493352704,92.0750266364656
2,2,22,BSKT24,CHIFLEY,SHANN PLACE  NEIGHBOURHOOD PARK,HALF COURT,20,,,27791,64.8384509211059,262.374165298168
3,3,23,BSKT25,MACARTHUR,HAWKESWORTH PLACE - NEIGHBOURHOOD PARK,SINGLE COURT,20,,,27792,90.01328403130708,477.671969781297
4,4,24,BSKT26,OAKS ESTATE,RIVER STREET NEIGHBOURHOOD PARK,4 WAY HOOP,20,,,27793,17.8096255634395,19.8112869796001
5,5,25,BSKT27,CITY,CITY YOUTH CENTRE BASKET BALL COURT,HALF COURT,20,,,27787,51.55498059887711,155.054815213852
6,6,26,BSKT29,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,DOUBLE COURT,20,,,27794,149.414217091228,1390.77680308788
7,7,27,BSKT30,NARRABUNDAH,KOOTARA CRESCENT,SINGLE COURT,20,,,27788,99.3255000052721,544.903746358013
8,8,28,BSKT28,PADDYS RIVER,COREE - COTTER ROAD,HALF COURT,20,,,27815,33.1897425154796,68.74346284752461
9,9,29,BSKT31,FORDE,MULLIGANS FLAT ROAD PEDESTRIAN PARKLAND,HALF COURT,20,,,27789,24.2185272477964,35.2134578139773
10,10,30,BSKT12,EVATT,KINGSTON STREET PEDESTRIAN PARKLAND,HALF COURT,20,,,27801,26.6807665352366,44.1524161192832
11,11,31,BSKT32,O'CONNOR,COCKLE STREET  PEDESTRIAN PARKLAND,SINGLE COURT,20,,,27818,95.78635111284191,531.610782684734
12,12,32,BSKT6,GORDON,POINT HUT DISTRICT PARK,SINGLE COURT,20,,,27798,75.1715922549091,312.40823642407
13,13,33,BSKT33,DUFFY,CARGELLIGO STREET PEDESTRIAN PARKLAND,HALF COURT,20,,,27819,13.3316885007828,11.1037412108958
