cd_code,state_,_seifa86_population_,index_of_relative_socio_economic_disadvantage_,_index_of_economic_resources_,index_of_education_and_occupation_,sla_,sla_name_,postal_areas_,state_name
1010103,1,36,1069.0029,1006.0798,898.7434,300,Balranald (S),2711,New South Wales
6010406,6,746,950.94415,968.0953400000001,895.35345,4801,Wynyard (M) - Pt A,7325,Tasmania
6010407,6,542,969.4985,910.6199300000001,953.03815,4801,Wynyard (M) - Pt A,7325,Tasmania
3011310,3,1423,1002.393,1014.0131,985.62335,5401,Mulgrave (S) - Pt A,4870,Queensland
3050708,3,377,960.89856,949.4832,856.0705,6100,Proserpine (S),4800,Queensland
2100505,2,538,1019.3649,941.9429,946.8634599999999,1880,Colac (C),3250,Victoria
6010103,6,340,1049.3839,1034.2971,933.16125,2400,King Island (M),7256,Tasmania
3010106,3,152,658.38513,727.0927,864.6403,6950,Torres (S),4875,Queensland
5010107,5,206,692.9558,727.17957,1005.7534,9520,Wyndham-East Kimberley (S),6740,Western Australia
3010408,3,418,496.75656,721.59125,772.2355,2500,Cook (S),4871,Queensland
6010203,6,455,1046.1122,1002.7198,935.4820599999999,700,Circular Head (M),7330,Tasmania
4010207,4,8,1114.947,1008.0067,1011.3005,9589,Unincorp Far North,5734,South Australia
3010209,3,962,743.9732,814.7589,969.7465,6950,Torres (S),4876,Queensland
6010409,6,694,979.7267,932.8172599999999,947.50885,4801,Wynyard (M) - Pt A,7325,Tasmania
1010501,1,261,1026.7626,1000.4261,959.7012,4600,Lachlan (S),2672,New South Wales
3010501,3,736,985.4793,875.3412,1017.1495,7300,Weipa (T),4874,Queensland
4011404,4,181,955.4490400000001,893.6173,978.2334599999999,6090,Port Augusta (C),5700,South Australia
1011405,1,784,960.7430400000001,938.5009,954.4341400000001,5800,Narrandera (S),2700,New South Wales
1140503,1,357,989.3308,978.84326,983.0174599999999,7000,Singleton (S),2330,New South Wales
3010210,3,240,853.7063,803.6932400000001,1009.5981,6950,Torres (S),4875,Queensland
2010212,2,225,943.11816,991.2722,903.4913,4760,Mildura (S),3498,Victoria
5010301,5,19,868.262,701.0856,887.3081,2800,Derby-West Kimberley (S),6733,Western Australia
2010302,2,699,1002.8752,967.4656,979.8015,4760,Mildura (S),3496,Victoria
2010813,2,316,1064.2007,1033.0559,965.4003,7160,Swan Hill (S),3586,Victoria
3010402,3,46,670.1521,832.4869,839.8402,2500,Cook (S),4871,Queensland
3010405,3,273,789.5149,787.6454,888.42065,2500,Cook (S),4871,Queensland
4071005,4,378,1050.7837,1033.2682,1056.4282,4340,Mitcham (C),5041,South Australia
5010503,5,207,741.47815,834.878,912.9060000000001,2800,Derby-West Kimberley (S),6765,Western Australia
2010510,2,363,984.22455,977.37915,929.2180000000001,4720,Mildura (C),3500,Victoria
6010601,6,535,901.71625,924.6431,861.5594,4801,Wynyard (M) - Pt A,7322,Tasmania
8010602,8,578,1105.7935,1152.8975,1125.317,4779,Kaleen,2617,Australian Capital Territory
1010604,1,159,939.0845,888.4306,869.46625,4600,Lachlan (S),2873,New South Wales
5010901,5,229,1006.4764,905.38184,1015.6488,7280,Port Hedland (S),6721,Western Australia
3010902,3,355,964.1961699999999,918.753,932.4328,4850,Mareeba (S),4880,Queensland
2010903,2,688,1028.2096,981.88586,1011.7465,7120,Swan Hill (C),3585,Victoria
8010905,8,353,625.1344,747.5061,907.1182,5949,Melba,2615,Australian Capital Territory
5022003,5,758,830.0926,887.75085,861.07135,6020,Mulewa (S),6630,Western Australia
1182106,1,335,1004.4105,970.3334,985.5493,550,Bega Valley (S),2549,New South Wales
2010701,2,274,892.7238,891.4521,819.4071700000001,7160,Swan Hill (S),3599,Victoria
7010701,7,262,883.7492699999999,853.7885,1020.5487,1128,Winnellie,5789,Northern Territory
2010707,2,328,988.5867,897.6619999999999,925.9134,7160,Swan Hill (S),3546,Victoria
8010806,8,978,1129.934,1190.3867,1175.887,2259,Evatt,2617,Australian Capital Territory
3010807,3,1333,942.5139999999999,966.8797,1045.077,2800,Douglas (S),4871,Queensland
6010808,6,714,977.60114,1005.3948,892.7894,501,Burnie (M) - Pt A,7320,Tasmania
2010809,2,356,1038.8351,1067.1102,965.2172,7160,Swan Hill (S),3585,Victoria
6010908,6,753,1017.8971,1002.0182,962.4193,501,Burnie (M) - Pt A,7320,Tasmania
5011001,5,497,1019.9215,943.3383,1052.0225,7280,Port Hedland (S),6721,Western Australia
7011002,7,247,520.3143299999999,790.73004,709.186,1054,Ludmilla,5790,Northern Territory
6011005,6,427,1026.8608,1011.2252,887.3024,502,Burnie (M) - Pt B,7321,Tasmania
5011009,5,568,991.9498,969.2885,1062.5028,7280,Port Hedland (S),6721,Western Australia
6011009,6,385,1076.4047,1054.51,1035.4044,501,Burnie (M) - Pt A,7320,Tasmania
3011010,3,504,796.94525,817.4091,840.40125,4850,Mareeba (S),4880,Queensland
2022005,2,515,1048.9012,1018.0793,913.87415,6282,Rodney (S) - Pt B,3616,Victoria
2022010,2,651,930.97424,887.8498,910.22833,6282,Rodney (S) - Pt B,3616,Victoria
5071005,5,653,1022.8448,1070.6279,960.70465,3780,Gosnells (C),6110,Western Australia
6011003,6,164,1008.4830000000001,935.5523699999999,964.9339,502,Burnie (M) - Pt B,7321,Tasmania
5011207,5,304,951.24786,958.1065699999999,924.85547,7560,Roebourne (S),6719,Western Australia
1130802,1,319,998.4026,988.3563,929.32477,8550,Wyong (S),2263,New South Wales
2011012,2,104,1087.6691,1038.8248,987.4608,8320,Wycheproof (S),3527,Victoria
3011104,3,1052,1007.0898,1032.7008,1043.869,5401,Mulgrave (S) - Pt A,4871,Queensland
4011104,4,141,1089.2998,1021.3483,910.4996,4830,Mount Remarkable (DC),5486,South Australia
3011108,3,514,955.8216,951.14465,1052.922,5401,Mulgrave (S) - Pt A,4871,Queensland
1011110,1,151,999.95514,940.20703,904.6206,800,Bland (S),2669,New South Wales
3011114,3,1133,985.39795,1010.3353,1030.3096,5401,Mulgrave (S) - Pt A,4871,Queensland
6011116,6,67,1151.3613,1146.5333,1078.1932,3201,Penguin (M) - Pt A,7316,Tasmania
2011204,2,165,976.5282,915.3005,938.9302,3640,Karkarooc (S),3487,Victoria
4011204,4,822,1045.2312,1031.4434,938.6764,6090,Port Augusta (C),5710,South Australia
1151605,1,449,979.2336,949.01495,998.3995,450,Bathurst (C),2795,New South Wales
2011302,2,132,1063.3701,1011.1334,905.95966,7600,Walpeup (S),3506,Victoria
3011303,3,772,917.571,939.072,942.31836,5401,Mulgrave (S) - Pt A,4870,Queensland
1011308,1,131,1025.7367,1039.0046,908.3417,5800,Narrandera (S),2700,New South Wales
6011308,6,545,1000.081,990.9251,924.34784,4501,Ulverstone (M) - Pt A,7315,Tasmania
5011309,5,1098,972.1155,880.2556,964.16266,8960,West Pilbara (S),6713,Western Australia
1490107,1,298,969.3081,947.9846,1051.8398,150,Ashfield (M),2131,New South Wales
5011311,5,395,1063.0406,976.3122599999999,1029.8926,8960,West Pilbara (S),6751,Western Australia
6011401,6,228,943.763,921.7856,811.48035,4502,Ulverstone (M) - Pt B,7315,Tasmania
7011403,7,823,1063.5221,1116.4219,1086.1002,1034,Jingili,5792,Northern Territory
5060701,5,477,953.07745,941.5873,934.3267,7490,Rockingham (S),6168,Western Australia
6011405,6,267,1037.8131,1052.2827,1008.0627,4501,Ulverstone (M) - Pt A,7315,Tasmania
1011408,1,492,950.8876300000001,914.1759,935.23,5800,Narrandera (S),2700,New South Wales
3011408,3,530,787.3215,837.9328,999.3176,2050,Cairns (C),4870,Queensland
6011508,6,277,997.8852,998.8463,963.8799,1000,Devonport (C),7310,Tasmania
6011602,6,709,954.3092,940.1077,941.6256,1000,Devonport (C),7310,Tasmania
1011603,1,373,1014.9207,992.8487,941.4848,4750,Leeton (S),2705,New South Wales
6011606,6,223,921.52527,874.37885,942.2162,1000,Devonport (C),7310,Tasmania
4011609,4,729,935.2887599999999,843.0137300000001,1038.5001,8540,Whyalla (C),5608,South Australia
3011615,3,103,842.61365,915.7141,840.3415,2050,Cairns (C),4870,Queensland
5030205,5,420,1019.5186,968.6254,911.0139,3570,Gingin (S),6503,Western Australia
2341606,2,788,979.96826,976.6998,982.42786,5400,Northcote (C),3070,Victoria
1011701,1,287,1019.3448,1063.5934,960.24854,3450,Griffith (S),2680,New South Wales
8011703,8,151,1169.5253,1248.5898,1235.0548,2619,Florey,2615,Australian Capital Territory
6011710,6,1052,1071.8029,1067.7134,989.40674,1000,Devonport (C),7310,Tasmania
6011711,6,448,985.2308300000001,971.9414,891.5864,1000,Devonport (C),7310,Tasmania
2011802,2,153,998.83203,915.92505,844.92065,2320,Dimboola (S),3417,Victoria
2140503,2,879,1024.8915,1011.1566,961.4059,1240,Broadmeadows (C),3060,Victoria
6011803,6,572,1044.5396,1037.4772,986.21405,1000,Devonport (C),7310,Tasmania
2011902,2,145,1074.0074,1025.1177,957.5361,7800,Warracknabeal (S),3391,Victoria
3011912,3,1024,949.9725,1000.6446,923.7514,5401,Mulgrave (S) - Pt A,4869,Queensland
2012309,2,725,999.5686599999999,977.2484,963.93665,3480,Horsham (C),3400,Victoria
8012803,8,317,832.6415,807.0773,1102.7367,8289,Turner,2601,Australian Capital Territory
8013701,8,123,1213.7736,1008.0067,1236.0425,1449,City,2601,Australian Capital Territory
7013706,7,744,1024.372,1056.5355,1075.2744,1048,Leanyer,5793,Northern Territory
8013802,8,228,866.0191,885.0682,1141.3014,7209,Reid,2601,Australian Capital Territory
7013805,7,647,1044.1696,1032.4513,1084.0448,1038,Karama,5793,Northern Territory
3012002,3,329,962.0896,1003.2502,892.449,5404,Mulgrave (S) - Pt B,4871,Queensland
4012002,4,0,,,,9389,Unincorp Lake Gilles,5600,South Australia
7012002,7,1053,1070.5667,1116.575,1083.6595,1124,Wanguri,5792,Northern Territory
3012103,3,696,791.43585,857.6243,817.5880000000001,4150,Johnstone (S),4860,Queensland
8012105,8,322,1117.035,1072.161,1292.9299,1629,Cook,2614,Australian Capital Territory
4012108,4,951,935.0793,895.6189999999999,901.82153,6440,Port Pirie (C),5540,South Australia
8012201,8,795,1089.7045,1095.9009,1148.02,5679,Macquarie,2614,Australian Capital Territory
8014301,8,407,1104.2476,1082.2988,1267.2719,4959,Kingston,2604,Australian Capital Territory
8014402,8,652,902.83746,847.62537,1132.2762,3429,Griffith,2603,Australian Capital Territory
8014802,8,372,1036.3547,907.9162,1081.139,4689,Jervis Bay,2540,Australian Capital Territory
8014803,8,139,581.15656,776.5747700000001,836.685,4689,Jervis Bay,2540,Australian Capital Territory
5020104,5,1412,1007.7086,966.8558,1011.3395,3360,Exmouth (S),6707,Western Australia
3020212,3,420,608.9228,684.62463,897.4844,2250,Carpentaria (S),4871,Queensland
5020214,5,71,996.6862,956.8651,931.7904,1540,Carnarvon (S),6701,Western Australia
4020101,4,319,953.10095,956.8194599999999,903.6198,4970,Murat Bay (DC),5690,South Australia
5020102,5,769,1037.8225,995.08154,1085.5878,3360,Exmouth (S),6707,Western Australia
3020103,3,229,738.4648,834.1758,844.20026,2600,Croydon (S),4871,Queensland
3140505,3,733,978.33844,983.7121599999999,954.26306,6900,Toowoomba (C),4350,Queensland
6020105,6,200,995.8685,965.78723,903.2878400000001,1502,George Town (M) - Pt B,7254,Tasmania
2020108,2,303,1062.0543,1001.1893,943.6641,3760,Kerang (S),3578,Victoria
7020108,7,624,1050.5977,1084.1252,1071.0526,200,Alice Springs (T),5750,Northern Territory
6020109,6,686,896.96783,892.8886,851.3564,1501,George Town (M) - Pt A,7253,Tasmania
2020201,2,647,1028.5756,970.93744,1012.9218,3720,Kerang (B),3579,Victoria
1060807,1,424,919.11316,944.3095,883.6288,6600,Richmond River (S),2472,New South Wales
5020202,5,230,995.4215,1108.2319,883.6578,1540,Carnarvon (S),6701,Western Australia
3020211,3,805,538.4719,705.3505,808.6625,2250,Carpentaria (S),4871,Queensland
4020401,4,93,972.1011,922.3895,911.57214,3570,Le Hunte (DC),5654,South Australia
1140506,1,572,966.5730599999999,993.278,909.4327400000001,7000,Singleton (S),2330,New South Wales
6020202,6,353,1053.5718,1007.9188,975.6061,2704,Launceston (C) - Pt C,7254,Tasmania
2020205,2,803,991.67255,942.00665,939.07935,3720,Kerang (B),3579,Victoria
5020206,5,1084,856.7393,919.44916,919.4578,1540,Carnarvon (S),6701,Western Australia
3020709,3,533,980.96234,1030.1543,964.6311599999999,5300,Mount Isa (C),4825,Queensland
2141002,2,864,1035.7001,1019.0237,957.8469,1240,Broadmeadows (C),3046,Victoria
5020301,5,262,950.71844,1016.0908,847.8558,8470,Upper Gascoyne (S),6701,Western Australia
4020302,4,251,1001.0139999999999,957.96906,872.29205,7490,Streaky Bay (DC),5680,South Australia
6020303,6,909,907.9580000000001,946.7119,866.7108,2703,Launceston (C) - Pt B,7248,Tasmania
6020308,6,646,1012.2222,999.415,943.14996,2703,Launceston (C) - Pt B,7248,Tasmania
8020803,8,537,1114.2341,1083.2947,1246.4777,1809,Deakin,2600,Australian Capital Territory
3020807,3,556,991.834,1020.4166,968.9737,5300,Mount Isa (C),4825,Queensland
7020401,7,365,990.1156,900.0651,1027.4169,4009,Tennant Creek - Bal,5760,Northern Territory
