ogc_fid,objectid_1,dog_park_id,asset_id,parent_id,suburb,location,latitude_centroid,longitude_centroid,feature_type_code,create_date,feature_instance_metadata_id,objectid,shape_length,shape_area
1,1,1,DGPK2,UOS20677,CASEY,YEEND AVENUE PEDESTRIAN PARKLAND,,,20,,,1,311.029935978656,6392.9004530773
2,2,2,DGPK5,UOS19630,FORDE,POOLEY STREET PEDESTRIAN PARKLAND,,,20,,,2,150.897054277038,1179.0296152279
3,3,3,DGPK1,UOS5091,YARRALUMLA,WESTON PARK ROAD PEDESTRIAN PARKLAND,,,20,,,4,511.72514175618403,14006.8546646748
4,4,4,DGPK4,UOS9817,GREENWAY,MORTIMER LEWIS DRIVE DISTRICT PARK,,,20,,,5,408.904247035106,11844.306794845901
5,5,5,DGPK3,UOS3499,BELCONNEN,DIDDAMS CLOSE PEDESTRIAN PARKLAND,,,20,,,21,459.708118183534,11380.1415408885
6,6,6,DGPK6,UOS21659,O'CONNOR,BELCONNEN WAY PEDESTRIAN PARKLAND,,,20,,,44,497.90711669604303,12423.9865877002
