crash_id,crash_date,crash_time,severity,crash_type,cyclists,cyclist_casualties,reported_location,latitude,longitude
1096863,14-Oct-14,17:00,Injury,Other - Vehicle to Vehicle,1,1,BARRY/MARCUS CLARKE INTERSECTION,-35.275459000000005,149.12678300000002
1031902,30-Mar-12,16:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,DOWNARD/GURR INTERSECTION,-35.439506,149.104204
1099398,26-Nov-14,8:30,Property Damage Only,Right angle collision,1,0,CAPTAIN COOK/WILD INTERSECTION,-35.331893,149.13920900000002
1099747,21-Oct-14,9:00,Property Damage Only,Right angle collision,1,0,ELLENBOROUGH/GINNINDERRA/MOUAT/RIGGALL INTERSECTION,-35.242849,149.126569
1042074,15-Aug-12,14:30,Property Damage Only,Right angle collision,1,0,DRAKEFORD/JOHNSON/WOODCOCK INTERSECTION,-35.437818,149.091418
1050495,29-Nov-12,8:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,MCCAUGHEY STREET (MASSON -> BARRY/NORTH),-35.272727,149.122515
1100051,26-Nov-14,11:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,HINDMARSH/HINDWTUGGSRM/TUGGSHINDERM INTERSECTION,-35.348156,149.070623
1085400,14-Apr-14,18:30,Property Damage Only,Right angle collision,1,0,BONNEY/COWPER/FOVEAUX INTERSECTION,-35.264848,149.14001100000002
1091768,19-Jul-14,11:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,BATMAN STREET (GOOREEN -> LIMESTONE/QUICK),-35.275543,149.142221
1099281,13-Nov-14,16:31,Property Damage Only,Same direction side swipe,1,0,NORTHBOURNE AVENUE (CONDAMINE/IPIMA -> MACARTHUR/WAKEFIELD),-35.261140999999995,149.132036
1081655,4-Mar-14,6:10,Injury,Rear end collision,1,1,HINDMARSH/YAMBA INTERSECTION,-35.350906,149.100381
1055196,11-Feb-13,15:00,Injury,Other - Vehicle to Vehicle,1,1,FLEMINGTON ROAD (LYSAGHT -> WELLS STATION),-35.210418,149.147065
1043480,24-Aug-12,17:13,Injury,Rear end collision,1,1,YAMBA DRIVE (COLBECK -> NUMERALLA),-35.357423,149.10173600000002
1055507,18-Feb-13,8:10,Injury,Right angle collision,1,1,DONALDSON/ELIMATTA INTERSECTION,-35.274625,149.138328
1110901,12-May-15,20:48,Injury,Same direction side swipe,1,1,COMMONWEALTH/FLYNWCOMMNRM INTERSECTION,-35.295604,149.126471
1089048,8-Jun-14,14:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,EFKARPIDIS ST (GUNGAHLIN PL -> HINDER ST),-35.186981,149.135928
1079754,15-Dec-13,10:50,Injury,Same direction side swipe,2,1,KINGNKINGWTL/KINGS INTERSECTION,-35.303515999999995,149.136422
1039633,21-Feb-12,19:39,Injury,Right turn into oncoming vehicle,1,1,BONNEY/WAKEFIELD INTERSECTION,-35.261441,149.140603
1029080,6-Feb-12,18:00,Property Damage Only,Same direction side swipe,1,0,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,-35.260511,149.132038
1076031,4-Nov-13,9:00,Injury,Right turn into oncoming vehicle,1,1,FARRELL/MARCUS CLARKE INTERSECTION,-35.28079,149.124418
1090978,9-Apr-14,7:50,Injury,Other - Vehicle to Vehicle,1,1,MCMILLAN CRESCENT (CANBERRA -> MATINA),-35.324934000000006,149.151434
1076267,20-Nov-13,17:26,Property Damage Only,Right turn into oncoming vehicle,1,0,MARCUS CLARKE/UNIVERSITY INTERSECTION,-35.279816,149.12523000000002
1048339,1-Nov-12,14:45,Injury,Rear end collision,1,1,KATOOMBA/TANAMI INTERSECTION,-35.197308,149.156383
1091539,22-Jul-14,16:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,HIBBERSON STREET (GOZZARD -> GUNGAHLIN),-35.185461,149.134416
1077669,12-Dec-13,8:00,Property Damage Only,Right turn into oncoming vehicle,1,0,SHANNON CIRCUIT (SHANNON -> TWEED),-35.236087,149.10334699999999
1060435,2-Apr-13,7:49,Property Damage Only,Rear end collision,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275784,149.129771
1041536,26-Jul-12,8:45,Injury,Right angle collision,1,1,BARRALLIER/CANBERRA/CUNNINGHAM INTERSECTION,-35.321577000000005,149.142979
1056016,22-Feb-13,7:25,Property Damage Only,Rear end collision,1,0,BUGDEN/STERNBERG INTERSECTION,-35.403178000000004,149.107325
1098824,16-Nov-14,9:10,Injury,Other - Vehicle to Vehicle,2,1,BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION,-35.201382,149.09533000000002
1047531,14-Oct-12,14:51,Injury,Fall from moving vehicle (On Road),1,1,FARRELL/MARCUS CLARKE INTERSECTION,-35.280823,149.124351
1060151,23-Apr-13,19:10,Injury,Same direction side swipe,1,1,PARKES WAY (CORANDERRK -> ANZAC),-35.290105,149.13929199999998
1060742,13-Apr-13,7:15,Property Damage Only,Right angle collision,1,0,ANTHONY ROLFE/GUNDAROO/MIRRABEI INTERSECTION,-35.181863,149.12863000000002
1055934,22-Feb-13,19:50,Injury,Other - Vehicle to Vehicle,1,1,FOA/WATTLE INTERSECTION,-35.252745000000004,149.124848
1062001,2-May-13,18:00,Property Damage Only,Same direction side swipe,1,0,NORTHBOURNE AVENUE (ALINGA -> BUNDA/RUDD),-35.277698,149.12936200000001
1069343,31-May-13,21:25,Injury,Right angle collision,1,1,MARCUS CLARKE/RUDD INTERSECTION,-35.276812,149.126543
1100860,6-Dec-14,20:05,Property Damage Only,Right angle collision,1,0,MOUBRAY/NETTLEFOLD INTERSECTION,-35.242647,149.05937
1097126,12-Oct-14,14:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,EASTLAKE PDE (WENTWORTH AV -> TREVILLIAN QY),-35.310708,149.142134
1108529,2-Apr-15,11:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,TORRENS STREET (BALLUMBIR/COOYONG -> ELOUERA),-35.275718,149.133731
1108796,15-Jan-15,8:00,Property Damage Only,Right angle collision,1,0,ANTILL/ TAY INTERSECTION,-35.226202,149.165861
1054862,7-Feb-13,7:50,Property Damage Only,Same direction side swipe,1,0,COOYONG/MORT INTERSECTION,-35.275908,149.130919
1042601,4-Aug-12,15:50,Property Damage Only,Right turn into oncoming vehicle,1,0,MASSON/WATSON INTERSECTION,-35.269915999999995,149.126564
1064358,19-Jun-13,13:50,Property Damage Only,Right angle collision,1,0,BELCONNEN/KINGSFORD SMITH INTERSECTION,-35.239802000000005,149.030031
1104827,3-Feb-14,16:35,Property Damage Only,Other - Vehicle to Vehicle,1,0,DICKSON PLACE (COWPER -> BADHAM),-35.250485999999995,149.138603
1090333,8-Jul-14,16:45,Injury,Same direction side swipe,1,1,BELCONNEN/BELCWGUNGS RAMP/GUNGSBELCERM RAMP INTERSECTION,-35.257376,149.090136
