cd_code_06,usual_resident_population_,ier_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
1010309,504,920,7006,2,19,NSW,2436,3,21
1011405,479,953,10796,3,29,NSW,3602,4,31
1011812,515,1086,30715,9,82,NSW,9236,8,79
1030107,87,1115,33425,9,90,NSW,10145,9,86
1031106,83,1046,25025,7,67,NSW,7463,7,64
1031501,166,1117,33566,9,90,NSW,10196,9,87
1031605,198,1078,29650,8,80,NSW,8897,8,76
1031807,732,806,1242,1,4,NSW,415,1,4
1031910,529,959,11509,4,31,NSW,3816,4,33
1032008,415,1028,22080,6,59,NSW,6630,6,57
1032012,536,932,8297,3,23,NSW,2840,3,25
1151805,399,799,1141,1,4,NSW,375,1,4
1032302,713,788,972,1,3,NSW,304,1,3
1032408,500,1060,27263,8,73,NSW,8150,7,69
1040706,82,1053,26084,7,70,NSW,7774,7,66
1040811,354,886,4144,2,12,NSW,1490,2,13
1041706,306,917,6614,2,18,NSW,2316,2,20
1042803,412,1018,20420,6,55,NSW,6235,6,53
1050101,129,1028,21986,6,59,NSW,6603,6,56
1152505,394,1038,23691,7,64,NSW,7078,6,60
1152906,86,1071,28830,8,77,NSW,8624,8,74
1050414,346,953,10785,3,29,NSW,3598,4,31
1051809,461,762,719,1,2,NSW,213,1,2
1051901,707,869,3123,1,9,NSW,1152,1,10
1052009,742,896,4826,2,13,NSW,1713,2,15
1060513,420,917,6692,2,18,NSW,2336,2,20
1062109,398,898,4968,2,14,NSW,1764,2,15
1070105,459,881,3836,2,11,NSW,1392,2,12
1091806,491,971,13098,4,35,NSW,4281,4,37
1412201,740,1120,33849,10,91,NSW,10287,9,88
1070211,767,1011,19336,6,52,NSW,5975,6,51
1070306,425,1020,20798,6,56,NSW,6323,6,54
1080310,299,825,1657,1,5,NSW,590,1,5
1081602,403,1029,22164,6,60,NSW,6656,6,57
2041309,326,992,16226,5,44,VIC,3824,5,43
2041603,561,1051,25911,7,70,VIC,6546,8,72
2041613,256,1019,20548,6,55,VIC,5016,6,56
1071014,486,1094,31475,9,85,NSW,9480,9,81
1090704,522,887,4206,2,12,NSW,1516,2,13
1071206,592,1117,33580,9,90,NSW,10200,9,87
1071616,751,936,8673,3,24,NSW,2959,3,26
1091012,440,911,6078,2,17,NSW,2142,2,19
1391308,524,1033,22868,7,62,NSW,6853,6,59
1080110,954,865,2962,1,8,NSW,1094,1,10
1080208,438,1008,18879,6,51,NSW,5847,5,50
1091013,131,883,3982,2,11,NSW,1435,2,13
