cd_code_06,usual_resident_population_,irsd_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
1010309,504,926,7058,2,19,NSW,2448,3,21
1011405,479,950,9545,3,26,NSW,3290,3,28
1011812,515,1064,27059,8,73,NSW,8338,8,71
1030107,87,1074,28809,8,77,NSW,8831,8,75
1031106,83,1051,24915,7,67,NSW,7733,7,66
1031501,166,1092,31659,9,85,NSW,9643,9,82
1031605,198,1044,23666,7,64,NSW,7387,7,63
1031807,732,766,889,1,3,NSW,301,1,3
1031910,529,952,9672,3,26,NSW,3336,3,29
1032008,415,1030,21153,6,57,NSW,6674,6,57
1032012,536,980,13147,4,36,NSW,4391,4,38
1151805,399,720,573,1,2,NSW,179,1,2
1032302,713,728,615,1,2,NSW,190,1,2
1032408,500,1055,25566,7,69,NSW,7932,7,68
1040706,82,992,14882,4,40,NSW,4907,5,42
1040811,354,893,4537,2,13,NSW,1605,2,14
1041706,306,880,3821,2,11,NSW,1365,2,12
1042803,412,1042,23307,7,63,NSW,7282,7,62
1050101,129,1046,24044,7,65,NSW,7483,7,64
1152505,394,1031,21297,6,57,NSW,6713,6,57
1152906,86,1080,29770,8,80,NSW,9104,8,78
1050414,346,989,14411,4,39,NSW,4762,5,41
1051809,461,783,1061,1,3,NSW,375,1,4
1051901,707,917,6326,2,17,NSW,2195,2,19
1052009,742,943,8724,3,24,NSW,3015,3,26
1060513,420,915,6149,2,17,NSW,2132,2,19
1062109,398,910,5783,2,16,NSW,1989,2,17
1070105,459,876,3623,1,10,NSW,1293,2,11
1091806,491,956,10193,3,28,NSW,3522,3,30
1412201,740,1098,32390,9,87,NSW,9863,9,84
1070211,767,984,13739,4,37,NSW,4572,4,39
1070306,425,1019,19132,6,52,NSW,6113,6,52
1080310,299,821,1689,1,5,NSW,604,1,6
1081602,403,1032,21389,6,58,NSW,6740,6,58
2041309,326,1001,16387,5,44,VIC,3488,4,39
2041603,561,1037,22333,6,60,VIC,5078,6,56
2041613,256,1017,18818,6,51,VIC,4143,5,46
1071014,486,1062,26874,8,72,NSW,8295,8,71
1090704,522,883,4017,2,11,NSW,1434,2,13
1071206,592,1090,31328,9,84,NSW,9542,9,81
1071616,751,904,5284,2,15,NSW,1838,2,16
1091012,440,904,5326,2,15,NSW,1852,2,16
1391308,524,1090,31356,9,84,NSW,9552,9,81
1080110,954,861,2900,1,8,NSW,1045,1,9
1080208,438,1024,20104,6,54,NSW,6380,6,55
1091013,131,862,2941,1,8,NSW,1063,1,9
1052405,193,1069,27932,8,75,NSW,8579,8,73
1101702,477,1031,21201,6,57,NSW,6691,6,57
1101905,366,978,12884,4,35,NSW,4315,4,37
1102006,361,1040,22915,7,62,NSW,7149,7,61
1110113,177,1002,16453,5,44,NSW,5371,5,46
1110504,689,928,7278,2,20,NSW,2518,3,22
1412303,608,1105,33366,9,90,NSW,10140,9,86
1110811,848,1055,25488,7,69,NSW,7908,7,67
1111415,602,950,9476,3,26,NSW,3269,3,28
1111809,444,893,4521,2,13,NSW,1599,2,14
1120709,618,1030,21108,6,57,NSW,6661,6,57
1140201,502,933,7679,3,21,NSW,2653,3,23
1052510,202,1019,19278,6,52,NSW,6167,6,53
1121202,670,1100,32702,9,88,NSW,9947,9,85
1121412,575,952,9689,3,26,NSW,3340,3,29
1121608,448,1013,18190,5,49,NSW,5842,5,50
1122007,781,914,6071,2,17,NSW,2098,2,18
1151504,293,1045,23885,7,64,NSW,7438,7,63
1151708,227,994,15105,5,41,NSW,4975,5,43
4111213,304,1039,22709,7,61,SA ,2176,7,69
1140610,609,1101,32828,9,88,NSW,9983,9,85
1142006,272,1006,17061,5,46,NSW,5538,5,47
1142403,351,874,3506,1,10,NSW,1252,2,11
1151205,611,964,11188,3,30,NSW,3808,4,33
1160601,108,1014,18442,5,50,NSW,5914,6,51
1160607,636,1005,17021,5,46,NSW,5527,5,47
1161504,217,1015,18586,5,50,NSW,5954,6,51
1301501,494,986,13992,4,38,NSW,4642,4,40
1161912,535,1031,21222,6,57,NSW,6700,6,57
1162102,130,1030,21074,6,57,NSW,6654,6,57
1162210,213,1020,19368,6,52,NSW,6191,6,53
1170904,323,1003,16610,5,45,NSW,5424,5,46
1310310,648,1092,31615,9,85,NSW,9634,9,82
1400701,323,542,177,1,1,NSW,19,1,1
1170507,282,1162,37321,10,100,NSW,11733,10,100
1412311,515,1038,22527,7,61,NSW,7043,6,60
1171602,604,1005,16966,5,46,NSW,5518,5,47
1180314,308,1116,34553,10,93,NSW,10568,9,90
1180512,631,1042,23254,7,63,NSW,7265,7,62
1181513,331,1038,22474,6,60,NSW,7029,6,60
1220603,820,1076,29206,8,78,NSW,8936,8,76
1220604,491,950,9442,3,26,NSW,3256,3,28
3162513,347,904,5297,2,15,QLD,963,2,13
1181702,276,796,1231,1,4,NSW,435,1,4
1190405,308,1007,17220,5,46,NSW,5583,5,48
1190801,519,926,7082,2,19,NSW,2456,3,21
1192002,472,864,3020,1,9,NSW,1097,1,10
1192004,138,854,2639,1,8,NSW,955,1,9
1192612,213,850,2502,1,7,NSW,915,1,8
3061012,182,840,2159,1,6,QLD,302,1,5
1201614,1112,1021,19565,6,53,NSW,6244,6,53
1210906,1139,993,14959,4,40,NSW,4934,5,42
1211010,269,1064,27196,8,73,NSW,8376,8,71
3231610,192,1134,36132,10,97,QLD,7290,10,98
1220706,685,1029,20961,6,56,NSW,6629,6,57
1222206,865,979,13016,4,35,NSW,4354,4,37
1230112,582,1073,28658,8,77,NSW,8782,8,75
1240504,722,1132,36020,10,97,NSW,11140,10,95
1241006,441,1068,27819,8,75,NSW,8553,8,73
1230811,255,1000,16155,5,44,NSW,5292,5,45
1240306,593,1105,33374,9,90,NSW,10144,9,86
1261307,502,988,14261,4,39,NSW,4725,5,41
2352309,156,1138,36387,10,98,VIC,8881,10,98
1241305,667,1147,36861,10,99,NSW,11500,10,98
1242608,514,1000,16059,5,43,NSW,5255,5,45
1250304,799,1095,31993,9,86,NSW,9736,9,83
1250609,662,1053,25193,7,68,NSW,7822,7,67
1261103,531,1144,36706,10,98,NSW,11435,10,97
3211904,390,889,4294,2,12,QLD,733,1,10
1270303,748,737,668,1,2,NSW,215,1,2
1271706,648,949,9400,3,26,NSW,3243,3,28
1272015,388,986,14007,4,38,NSW,4649,4,40
1272211,654,998,15767,5,43,NSW,5172,5,44
1272607,776,1061,26705,8,72,NSW,8250,7,70
1272806,829,1051,24890,7,67,NSW,7727,7,66
3161815,275,845,2336,1,7,QLD,337,1,5
1272905,836,1075,28940,8,78,NSW,8856,8,75
1280808,574,1053,25235,7,68,NSW,7837,7,67
1280906,617,947,9119,3,25,NSW,3150,3,27
1281211,526,949,9329,3,25,NSW,3223,3,28
1291109,571,1078,29491,8,79,NSW,9014,8,77
1300902,661,985,13863,4,38,NSW,4603,4,39
1291313,773,1036,22176,6,60,NSW,6948,6,59
1291321,1673,1011,17936,5,48,NSW,5768,5,49
1300604,595,1043,23503,7,63,NSW,7337,7,63
1301311,479,887,4208,2,12,NSW,1497,2,13
1312306,541,1142,36640,10,98,NSW,11413,10,97
1312506,759,1129,35721,10,96,NSW,11007,10,94
1320312,1063,904,5343,2,15,NSW,1860,2,16
1321411,298,706,521,1,2,NSW,154,1,2
1330503,646,927,7130,2,20,NSW,2474,3,21
1361501,378,1027,20537,6,55,NSW,6509,6,56
2360111,409,1046,23947,7,64,VIC,5522,7,61
1312601,870,1101,32875,9,88,NSW,10002,9,85
1320301,725,875,3549,1,10,NSW,1267,2,11
1390913,575,1112,34145,10,92,NSW,10424,9,89
1330810,1024,1107,33616,9,90,NSW,10235,9,87
1331106,665,946,9006,3,25,NSW,3111,3,27
1332801,439,1102,32971,9,89,NSW,10023,9,85
1340211,582,924,6843,2,19,NSW,2372,3,21
1340513,1228,872,3402,1,10,NSW,1216,2,11
1341602,883,923,6800,2,19,NSW,2357,2,20
1342209,664,1026,20502,6,55,NSW,6498,6,56
1351503,371,887,4218,2,12,NSW,1502,2,13
1351508,1255,952,9780,3,27,NSW,3370,3,29
4121411,351,1121,35108,10,94,SA ,3089,10,98
1362004,842,1029,20919,6,56,NSW,6613,6,56
1362812,1089,1055,25521,7,69,NSW,7915,7,68
1370411,444,1121,35092,10,94,NSW,10755,10,92
1371201,337,1160,37280,10,100,NSW,11706,10,100
1380905,476,1011,17960,5,48,NSW,5776,5,49
1381207,739,1088,31015,9,83,NSW,9465,9,81
1391006,341,1089,31124,9,84,NSW,9486,9,81
1391101,505,1156,37191,10,100,NSW,11660,10,99
1381306,502,1139,36495,10,98,NSW,11348,10,97
1382212,562,1094,31913,9,86,NSW,9713,9,83
1382411,540,1085,30613,9,82,NSW,9352,8,80
1382508,649,1153,37079,10,99,NSW,11606,10,99
1382708,890,1160,37285,10,100,NSW,11710,10,100
1390701,331,1078,29406,8,79,NSW,8988,8,77
1390704,417,1139,36453,10,98,NSW,11337,10,96
1391405,605,1157,37210,10,100,NSW,11669,10,99
1400909,344,1018,19007,6,51,NSW,6069,6,52
1401308,271,1037,22275,6,60,NSW,6980,6,60
1411108,431,985,13934,4,38,NSW,4627,4,40
1411109,785,966,11417,4,31,NSW,3875,4,33
1411705,652,1047,24105,7,65,NSW,7506,7,64
1412101,249,1145,36791,10,99,NSW,11472,10,98
1412102,461,1121,35102,10,94,NSW,10759,10,92
1413204,520,1106,33472,9,90,NSW,10182,9,87
1420501,311,931,7539,3,21,NSW,2609,3,23
1421009,345,1018,19089,6,51,NSW,6102,6,52
1421108,243,1096,32094,9,86,NSW,9769,9,83
1430101,424,1103,33068,9,89,NSW,10050,9,86
1431702,939,1070,28105,8,76,NSW,8632,8,74
1431709,949,1080,29751,8,80,NSW,9096,8,78
1441201,731,1108,33628,9,90,NSW,10241,9,87
1441305,371,1161,37290,10,100,NSW,11712,10,100
1441708,278,1070,28095,8,76,NSW,8629,8,74
1442109,400,1057,25849,7,70,NSW,8012,7,68
2010302,686,929,7304,2,20,VIC,1461,2,17
2011302,592,965,11262,4,31,VIC,2329,3,26
2020201,608,962,10964,3,30,VIC,2252,3,25
2070609,367,898,4898,2,14,VIC,984,2,11
2070807,451,1019,19161,6,52,VIC,4228,5,47
3220815,347,1011,17900,5,48,QLD,3755,6,51
2020205,878,950,9502,3,26,VIC,1932,3,22
2021805,612,847,2408,1,7,VIC,430,1,5
2030313,542,1050,24740,7,67,VIC,5714,7,63
2032011,464,990,14583,4,39,VIC,3067,4,34
2040108,115,918,6428,2,18,VIC,1282,2,15
2041610,330,1032,21420,6,58,VIC,4823,6,54
2050105,281,1050,24690,7,66,VIC,5705,7,63
2071111,389,978,12893,4,35,VIC,2699,3,30
2071414,239,893,4545,2,13,VIC,909,1,10
2273104,671,1133,36083,10,97,VIC,8798,10,97
2050502,578,939,8337,3,23,VIC,1706,2,19
2050605,598,1023,19811,6,53,VIC,4409,5,49
2050707,515,1037,22397,6,60,VIC,5092,6,56
2050902,158,1022,19782,6,53,VIC,4397,5,49
2051005,708,954,9949,3,27,VIC,2017,3,23
2051307,368,1034,21783,6,59,VIC,4932,6,55
5010335,67,490,114,1,1,WA ,41,1,2
2051505,505,1038,22506,7,61,VIC,5126,6,57
2060101,365,1044,23592,7,63,VIC,5414,6,60
2120811,832,1094,31838,9,85,VIC,7700,9,85
2221502,773,974,12401,4,34,VIC,2603,3,29
2070508,547,1002,16468,5,44,VIC,3507,4,39
2070512,112,1049,24488,7,66,VIC,5656,7,63
1101409,572,660,386,1,2,NSW,97,1,1
2071706,853,930,7463,2,20,VIC,1491,2,17
2071805,119,1096,32197,9,86,VIC,7795,9,86
2081201,517,857,2780,1,8,VIC,517,1,6
2081604,294,978,12989,4,35,VIC,2728,3,30
2091005,240,1036,22173,6,60,VIC,5042,6,56
2091504,527,943,8717,3,24,VIC,1783,2,20
2091604,400,1021,19523,6,53,VIC,4325,5,48
2100101,98,1104,33238,9,89,VIC,8098,9,90
2100203,148,1030,21133,6,57,VIC,4759,6,53
2161610,1234,996,15464,5,42,VIC,3269,4,36
2221504,542,870,3325,1,9,VIC,633,1,7
2100505,111,969,11853,4,32,VIC,2470,3,28
2100508,413,938,8221,3,22,VIC,1678,2,19
2110303,246,997,15571,5,42,VIC,3298,4,37
2112611,1137,929,7363,2,20,VIC,1478,2,17
2112814,149,979,13064,4,35,VIC,2747,4,31
2120302,464,926,7028,2,19,VIC,1414,2,16
2121246,485,1070,28081,8,75,VIC,6665,8,74
2130211,666,1024,20009,6,54,VIC,4469,5,50
2130311,535,866,3099,1,9,VIC,586,1,7
2130505,597,876,3616,1,10,VIC,689,1,8
2130605,610,1021,19534,6,53,VIC,4328,5,48
2130902,203,892,4509,2,13,VIC,903,1,10
2131007,919,878,3735,1,10,VIC,718,1,8
2131407,995,849,2475,1,7,VIC,443,1,5
2141518,725,1083,30300,9,81,VIC,7269,8,80
2331911,567,935,7945,3,22,VIC,1617,2,18
2150404,962,1062,26858,8,72,VIC,6326,7,70
2150502,749,1077,29313,8,79,VIC,6989,8,77
2150911,258,1089,31184,9,84,VIC,7501,9,83
2151313,456,1110,33881,10,91,VIC,8256,10,91
2161008,1007,1094,31793,9,85,VIC,7687,9,85
1431410,238,944,8840,3,24,NSW,3054,3,26
2151410,579,1155,37165,10,100,VIC,9050,10,100
2151705,608,1098,32487,9,87,VIC,7884,9,87
2160901,543,840,2162,1,6,VIC,369,1,5
3051614,566,882,3931,2,11,QLD,661,1,9
2161106,723,1027,20543,6,55,VIC,4594,6,51
2161315,243,1012,18117,5,49,VIC,3943,5,44
2161406,771,850,2500,1,7,VIC,450,1,5
2161504,940,1027,20573,6,55,VIC,4600,6,51
2170410,269,1020,19322,6,52,VIC,4270,5,47
2321109,322,1035,22078,6,59,VIC,5020,6,56
2171111,699,1081,29926,8,80,VIC,7165,8,79
2180404,386,1034,21818,6,59,VIC,4944,6,55
2181207,464,1082,30167,9,81,VIC,7227,8,80
2211013,364,1032,21364,6,58,VIC,4815,6,53
2220505,833,1089,31193,9,84,VIC,7504,9,83
2220806,550,1019,19231,6,52,VIC,4243,5,47
2181606,544,924,6888,2,19,VIC,1380,2,16
2181812,506,901,5126,2,14,VIC,1021,2,12
2191105,786,1049,24477,7,66,VIC,5653,7,63
2191313,328,1068,27857,8,75,VIC,6602,8,73
2191510,672,972,12186,4,33,VIC,2555,3,29
2192105,224,1099,32571,9,87,VIC,7907,9,87
2200219,252,1059,26287,8,71,VIC,6157,7,68
2200312,357,974,12428,4,34,VIC,2609,3,29
2200711,243,987,14135,4,38,VIC,2973,4,33
2201011,832,967,11543,4,31,VIC,2403,3,27
2210207,684,920,6586,2,18,VIC,1316,2,15
2210611,836,998,15823,5,43,VIC,3352,4,37
2230105,661,1042,23182,7,62,VIC,5307,6,59
2230511,807,1123,35305,10,95,VIC,8618,10,95
2230910,670,1110,33934,10,91,VIC,8270,10,91
2231106,480,1062,26857,8,72,VIC,6325,7,70
2231502,603,1028,20766,6,56,VIC,4664,6,52
2240115,951,1082,30065,9,81,VIC,7200,8,80
2241408,663,1044,23685,7,64,VIC,5437,6,60
2273404,517,839,2140,1,6,VIC,365,1,5
2273414,764,1004,16805,5,45,VIC,3593,4,40
2240202,749,1076,29209,8,78,VIC,6964,8,77
2241406,632,1064,27138,8,73,VIC,6402,8,71
2272409,505,1067,27618,8,74,VIC,6530,8,72
2251407,854,1120,35019,10,94,VIC,8550,10,94
2251411,876,1116,34608,10,93,VIC,8442,10,93
2251706,515,995,15405,5,42,VIC,3257,4,36
2252013,743,1036,22232,6,60,VIC,5054,6,56
2271106,370,1029,20859,6,56,VIC,4687,6,52
2272106,636,1060,26404,8,71,VIC,6196,7,69
2331308,588,960,10671,3,29,VIC,2184,3,25
2280801,686,1109,33829,10,91,VIC,8245,10,91
2281418,260,1144,36747,10,99,VIC,8963,10,99
2290714,263,1033,21589,6,58,VIC,4879,6,54
2290813,223,869,3263,1,9,VIC,619,1,7
2290910,740,1090,31244,9,84,VIC,7521,9,83
2291010,277,999,15938,5,43,VIC,3374,4,38
2291318,907,1064,27211,8,73,VIC,6425,8,71
2291320,493,1050,24656,7,66,VIC,5698,7,63
2291403,499,462,77,1,1,VIC,9,1,1
2292203,366,1077,29349,8,79,VIC,7000,8,77
2300305,436,904,5310,2,15,VIC,1064,2,12
2300603,556,1073,28648,8,77,VIC,6814,8,75
2301201,297,1014,18309,5,49,VIC,3998,5,44
2301512,516,1020,19330,6,52,VIC,4272,5,47
2331602,692,971,12088,4,33,VIC,2526,3,28
2301803,785,851,2556,1,7,VIC,460,1,6
2310506,566,1094,31844,9,86,VIC,7704,9,85
2310510,619,1080,29803,8,80,VIC,7139,8,79
2310707,544,1076,29140,8,78,VIC,6947,8,77
2320102,347,1088,31011,9,83,VIC,7454,9,82
2320211,627,1031,21328,6,57,VIC,4806,6,53
2320404,561,1002,16398,5,44,VIC,3492,4,39
2320510,509,995,15397,5,42,VIC,3254,4,36
2320805,716,909,5657,2,16,VIC,1136,2,13
2320812,526,890,4405,2,12,VIC,880,1,10
2321001,464,966,11412,4,31,VIC,2369,3,27
2321605,689,1006,17203,5,46,VIC,3690,5,41
2321910,524,969,11846,4,32,VIC,2469,3,28
2330208,317,1016,18717,5,50,VIC,4114,5,46
2340603,762,999,15899,5,43,VIC,3365,4,37
2340813,807,1025,20201,6,54,VIC,4527,5,50
2341121,479,1059,26161,7,70,VIC,6121,7,68
2341302,413,1083,30281,9,81,VIC,7261,8,80
2341314,399,1105,33317,9,89,VIC,8121,9,90
2341712,809,1098,32382,9,87,VIC,7849,9,87
2342412,587,1089,31180,9,84,VIC,7500,9,83
2342418,835,1051,24833,7,67,VIC,5734,7,64
2342422,1195,1108,33675,9,90,VIC,8207,10,91
2342431,527,1067,27566,8,74,VIC,6519,8,72
2351303,248,1042,23335,7,63,VIC,5339,6,59
2351312,662,981,13326,4,36,VIC,2799,4,31
2351609,652,1136,36253,10,97,VIC,8844,10,98
2361108,549,1017,18808,6,51,VIC,4139,5,46
2361704,564,1121,35078,10,94,VIC,8570,10,95
2361803,824,1026,20507,6,55,VIC,4588,6,51
2362011,803,1025,20243,6,55,VIC,4533,5,50
2371503,429,1014,18328,5,49,VIC,4004,5,45
2371507,536,964,11151,3,30,VIC,2301,3,26
3010402,338,1047,24148,7,65,QLD,5092,7,69
3010501,1042,538,170,1,1,QLD,13,1,1
3121706,422,900,5017,2,14,QLD,894,2,12
3130101,38,1026,20363,6,55,QLD,4266,6,58
3130702,867,1020,19403,6,52,QLD,4055,6,55
3131305,689,818,1631,1,5,QLD,221,1,3
3010902,63,1081,29976,9,81,QLD,6226,9,84
3011303,767,938,8248,3,23,QLD,1587,3,22
3011310,449,898,4876,2,14,QLD,862,2,12
3011408,522,1075,28959,8,78,QLD,6038,9,81
3012103,1127,982,13505,4,37,QLD,2708,4,37
3012220,745,1002,16542,5,45,QLD,3424,5,46
3020103,174,738,679,1,2,QLD,68,1,1
3021104,142,1025,20248,6,55,QLD,4233,6,57
3030318,625,1030,21149,6,57,QLD,4435,6,60
3030404,399,837,2084,1,6,QLD,290,1,4
3030907,129,909,5693,2,16,QLD,1054,2,15
3031204,131,996,15506,5,42,QLD,3161,5,43
3040104,510,845,2339,1,7,QLD,339,1,5
3041028,591,919,6499,2,18,QLD,1211,2,17
3051105,328,1066,27442,8,74,QLD,5731,8,77
3062006,495,1058,26044,7,70,QLD,5465,8,74
3262808,518,1043,23398,7,63,QLD,4939,7,67
3070112,783,1041,23149,7,62,QLD,4879,7,66
3070709,316,881,3896,2,11,QLD,653,1,9
3070901,974,997,15584,5,42,QLD,3177,5,43
3071011,786,1081,29927,8,80,QLD,6217,9,84
3071710,375,878,3718,1,10,QLD,625,1,9
3140105,848,977,12872,4,35,QLD,2565,4,35
3140603,628,994,15126,5,41,QLD,3085,5,42
3141205,166,856,2721,1,8,QLD,409,1,6
3072408,253,1001,16228,5,44,QLD,3341,5,45
3081711,530,1003,16591,5,45,QLD,3431,5,46
3141909,834,971,12036,4,33,QLD,2358,4,32
3150207,242,1068,27708,8,74,QLD,5785,8,78
3091002,116,1034,21821,6,59,QLD,4587,7,62
3100903,427,967,11583,4,31,QLD,2262,4,31
3141703,340,1071,28273,8,76,QLD,5900,8,80
3100910,616,921,6662,2,18,QLD,1251,2,17
3111314,186,979,13124,4,36,QLD,2616,4,36
3111330,379,1069,27968,8,75,QLD,5841,8,79
3111901,510,1050,24623,7,66,QLD,5191,7,70
3120501,636,899,4990,2,14,QLD,886,2,12
3120510,334,885,4104,2,11,QLD,701,1,10
3121215,706,1095,32069,9,86,QLD,6614,9,89
3150603,684,993,15035,5,41,QLD,3067,5,42
3160317,393,984,13694,4,37,QLD,2748,4,37
3160511,950,1042,23278,7,63,QLD,4909,7,66
3180516,489,990,14540,4,39,QLD,2953,4,40
3151212,413,995,15324,5,41,QLD,3129,5,42
3151317,321,1096,32092,9,86,QLD,6621,9,89
3170608,390,1043,23371,7,63,QLD,4932,7,67
1340507,743,844,2268,1,7,NSW,830,1,8
3160715,812,1035,21910,6,59,QLD,4608,7,62
3160816,717,1085,30592,9,82,QLD,6348,9,86
3161103,504,995,15382,5,42,QLD,3135,5,43
3161503,534,927,7169,2,20,QLD,1352,2,19
3161604,763,856,2732,1,8,QLD,411,1,6
3162308,121,1056,25683,7,69,QLD,5393,8,73
3162615,26,1067,27578,8,74,QLD,5765,8,78
3170101,516,939,8344,3,23,QLD,1601,3,22
3170102,430,972,12216,4,33,QLD,2397,4,33
3180709,651,1049,24564,7,66,QLD,5182,7,70
3171812,859,1030,21101,6,57,QLD,4423,6,60
3172122,587,1053,25185,7,68,QLD,5306,8,72
3180310,534,1128,35692,10,96,QLD,7232,10,97
3201204,718,1144,36757,10,99,QLD,7367,10,99
3180713,732,1046,24031,7,65,QLD,5066,7,68
3181018,664,1156,37190,10,100,QLD,7427,10,100
3181306,1393,1157,37203,10,100,QLD,7428,10,100
3181705,301,1078,29490,8,79,QLD,6144,9,83
3182206,596,1047,24178,7,65,QLD,5096,7,69
3182301,928,946,9111,3,25,QLD,1766,3,24
5060701,392,1064,27146,8,73,WA ,2694,7,68
3190306,550,1132,35982,10,97,QLD,7268,10,98
3190710,447,1000,16137,5,44,QLD,3320,5,45
3191903,35,984,13681,4,37,QLD,2747,4,37
3192002,343,888,4255,2,12,QLD,726,1,10
3192006,517,1112,34118,10,92,QLD,6984,10,94
3200303,561,1078,29549,8,79,QLD,6156,9,83
1401311,223,1061,26600,8,72,NSW,8226,7,70
3202813,844,1111,34037,10,91,QLD,6966,10,94
3203005,633,1011,17902,5,48,QLD,3756,6,51
3203402,280,959,10564,3,29,QLD,2052,3,28
3210106,628,1110,33898,10,91,QLD,6943,10,94
3210601,561,827,1807,1,5,QLD,252,1,4
3210808,318,867,3153,1,9,QLD,489,1,7
3211014,575,1121,35095,10,94,QLD,7144,10,96
3211102,627,1107,33573,9,90,QLD,6896,10,93
3212012,767,1141,36598,10,98,QLD,7341,10,99
3220907,655,1008,17509,5,47,QLD,3670,5,50
3222001,998,1040,22810,7,61,QLD,4810,7,65
3222007,543,1010,17725,5,48,QLD,3713,5,50
3222107,281,1087,30908,9,83,QLD,6416,9,87
3222202,428,1049,24538,7,66,QLD,5175,7,70
3222304,494,1099,32608,9,88,QLD,6718,10,91
3230605,890,1117,34693,10,93,QLD,7090,10,96
3231710,534,1077,29351,8,79,QLD,6120,9,83
3232310,331,1143,36704,10,98,QLD,7359,10,99
3240509,338,999,15898,5,43,QLD,3256,5,44
3241502,664,1129,35726,10,96,QLD,7236,10,98
4111508,705,1157,37200,10,100,SA ,3177,10,100
4120401,339,1076,29208,8,78,SA ,2700,9,85
3251007,326,1025,20253,6,55,QLD,4234,6,57
3251012,1210,1016,18705,5,50,QLD,3910,6,53
3251106,1163,943,8729,3,24,QLD,1673,3,23
3251902,1249,876,3604,1,10,QLD,599,1,9
3252010,545,1018,19067,6,51,QLD,3987,6,54
3260814,819,1122,35182,10,94,QLD,7162,10,97
4102003,321,983,13631,4,37,SA ,1423,5,45
4011104,155,1083,30178,9,81,SA ,2776,9,88
4011204,950,979,13117,4,36,SA ,1379,5,44
4020101,354,968,11721,4,32,SA ,1237,4,39
4100809,813,1043,23430,7,63,SA ,2234,8,71
3202714,636,1122,35209,10,94,QLD,7168,10,97
4020405,248,1038,22574,7,61,SA ,2163,7,69
4021103,599,997,15591,5,42,SA ,1619,6,51
4030903,830,971,12099,4,33,SA ,1274,5,41
4101006,674,988,14271,4,39,SA ,1497,5,48
4040810,656,960,10676,3,29,SA ,1135,4,36
4041703,156,1031,21279,6,57,SA ,2070,7,66
4051207,389,750,738,1,2,SA ,105,1,4
4061005,696,1117,34667,10,93,SA ,3067,10,97
4061014,214,903,5244,2,14,SA ,593,2,19
4061604,335,1048,24282,7,65,SA ,2313,8,73
4101409,209,952,9687,3,26,SA ,1029,4,33
4102503,345,882,3945,2,11,SA ,459,2,15
4060302,518,1068,27754,8,75,SA ,2591,9,82
4092109,390,948,9236,3,25,SA ,980,4,31
4100510,565,1021,19574,6,53,SA ,1937,7,61
4101414,442,945,8964,3,24,SA ,962,4,31
4101507,116,671,407,1,2,SA ,38,1,2
4132002,449,906,5443,2,15,SA ,615,2,20
4060404,362,994,15127,5,41,SA ,1583,5,50
4101711,299,865,3078,1,9,SA ,384,2,13
3222307,607,967,11479,4,31,QLD,2241,4,31
4061611,253,982,13390,4,36,SA ,1402,5,45
4061802,429,1033,21533,6,58,SA ,2092,7,66
4062105,243,1047,24142,7,65,SA ,2301,8,73
4071005,283,1071,28274,8,76,SA ,2628,9,83
4071904,351,1068,27747,8,75,SA ,2590,9,82
4110904,624,975,12597,4,34,SA ,1329,5,42
4080102,665,1068,27800,8,75,SA ,2598,9,82
4080306,405,1031,21305,6,57,SA ,2072,7,66
4080607,622,1077,29294,8,79,SA ,2708,9,86
4080710,602,981,13361,4,36,SA ,1399,5,45
4081009,665,789,1146,1,4,SA ,173,1,6
4081406,429,962,10915,3,30,SA ,1164,4,37
4091005,341,1017,18865,6,51,SA ,1889,6,60
4111114,587,848,2447,1,7,SA ,336,2,11
4120409,509,1091,31409,9,84,SA ,2867,10,91
4120808,303,1066,27482,8,74,SA ,2568,9,81
4120903,925,975,12515,4,34,SA ,1318,5,42
4121404,535,1126,35539,10,95,SA ,3113,10,98
4121503,478,1096,32132,9,86,SA ,2915,10,92
4121712,432,1132,35985,10,97,SA ,3130,10,99
4130212,925,1052,25097,7,68,SA ,2375,8,75
4130502,242,986,13955,4,38,SA ,1467,5,47
4130506,563,1095,32000,9,86,SA ,2905,10,92
4130603,750,1053,25255,7,68,SA ,2389,8,76
4131011,332,1051,24870,7,67,SA ,2359,8,75
4131407,541,1013,18260,5,49,SA ,1830,6,58
4131501,733,1074,28781,8,77,SA ,2670,9,84
4131502,694,1040,22870,7,62,SA ,2192,7,69
4140108,199,972,12110,4,33,SA ,1277,5,41
4140408,513,1036,22167,6,60,SA ,2136,7,68
4142207,312,950,9475,3,26,SA ,1009,4,32
4142907,420,952,9711,3,26,SA ,1035,4,33
5010107,545,1039,22740,7,61,WA ,2216,6,56
5010503,586,1067,27647,8,74,WA ,2755,7,70
5010613,529,1081,29980,9,81,WA ,3051,8,77
5010901,537,996,15487,5,42,WA ,1463,4,37
3051609,493,916,6228,2,17,QLD,1155,2,16
4140410,429,1080,29748,8,80,SA ,2745,9,87
4140612,828,945,8885,3,24,SA ,956,4,31
4141810,574,997,15592,5,42,SA ,1620,6,51
2310702,532,1075,29038,8,78,VIC,6921,8,77
5011001,426,982,13508,4,37,WA ,1242,4,32
5011207,396,1036,22115,6,60,WA ,2146,6,54
