cd_code_06,usual_resident_population_,irsd_score_2006,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_
4111707,568,1001,16275,5,44,SA ,1675,6,53
4111713,232,982,13509,4,37,SA ,1414,5,45
4141204,634,913,5999,2,17,SA ,658,3,21
4141704,685,905,5415,2,15,SA ,612,2,20
4120106,386,1130,35863,10,96,SA ,3122,10,99
4120301,466,952,9668,3,26,SA ,1024,4,33
4141705,289,884,4022,2,11,SA ,462,2,15
4141814,324,1004,16739,5,45,SA ,1705,6,54
4142411,423,900,5012,2,14,SA ,580,2,19
5010332,79,472,92,1,1,WA ,35,1,1
4120603,704,1074,28863,8,78,SA ,2679,9,85
4130908,565,1057,25960,7,70,SA ,2445,8,77
4131205,801,984,13709,4,37,SA ,1434,5,46
4131802,797,1064,27180,8,73,SA ,2540,8,80
4140103,1027,954,9960,3,27,SA ,1059,4,34
4140309,223,983,13593,4,37,SA ,1421,5,45
5021406,136,937,8046,3,22,WA ,689,2,18
5030116,462,1047,24179,7,65,WA ,2361,6,60
5030204,832,1058,25986,7,70,WA ,2552,7,65
5030215,875,1084,30419,9,82,WA ,3110,8,79
5031301,646,1042,23248,7,63,WA ,2264,6,57
2290708,501,1109,33812,10,91,VIC,8240,10,91
5030413,563,988,14252,4,39,WA ,1317,4,34
5030439,1195,1064,27195,8,73,WA ,2699,7,68
5030712,532,1027,20689,6,56,WA ,1976,5,50
5030719,413,1038,22455,6,60,WA ,2189,6,55
2290925,496,1109,33822,10,91,VIC,8241,10,91
2291003,414,1010,17806,5,48,VIC,3854,5,43
5031601,677,1087,30895,9,83,WA ,3171,8,80
5031705,465,1058,26045,7,70,WA ,2559,7,65
5031713,429,980,13149,4,36,WA ,1202,4,31
5032106,774,1125,35444,10,95,WA ,3761,10,95
5041109,409,1018,19119,6,52,WA ,1814,5,46
5061010,361,1050,24674,7,66,WA ,2413,7,61
5041903,91,1024,20093,6,54,WA ,1913,5,49
5061111,466,902,5150,2,14,WA ,425,2,11
5042903,80,1084,30488,9,82,WA ,3118,8,79
5043402,624,915,6202,2,17,WA ,535,2,14
5050105,659,964,11199,3,30,WA ,1008,3,26
5070103,673,1027,20690,6,56,WA ,1977,5,50
5050403,501,1050,24713,7,66,WA ,2420,7,61
5051506,118,982,13455,4,36,WA ,1236,4,32
5051713,547,1026,20395,6,55,WA ,1939,5,49
5052001,240,1019,19143,6,52,WA ,1818,5,46
5060227,394,1088,31029,9,83,WA ,3184,8,80
2291211,384,1110,33955,10,91,VIC,8275,10,91
5061404,743,964,11098,3,30,WA ,997,3,26
5061715,550,906,5466,2,15,WA ,454,2,12
5061812,381,858,2802,1,8,WA ,235,1,6
5070819,527,1139,36462,10,98,WA ,3874,10,98
5070904,324,898,4886,2,14,WA ,407,2,11
5070911,644,880,3792,2,11,WA ,323,1,9
5071008,349,867,3186,1,9,WA ,270,1,7
5080117,611,966,11336,4,31,WA ,1022,3,26
2291405,446,433,52,1,1,VIC,2,1,1
5080420,232,1057,25948,7,70,WA ,2549,7,65
5081206,777,1087,30828,9,83,WA ,3156,8,80
5090401,629,1153,37077,10,99,WA ,3942,10,100
5091010,317,1134,36131,10,97,WA ,3840,10,97
5091606,323,994,15123,5,41,WA ,1413,4,36
5091704,539,948,9286,3,25,WA ,810,3,21
5092003,633,1127,35576,10,95,WA ,3782,10,96
5092004,626,1017,18834,6,51,WA ,1790,5,45
5092707,332,876,3624,1,10,WA ,306,1,8
5101215,315,884,4045,2,11,WA ,345,1,9
5101510,435,1002,16524,5,45,WA ,1562,4,40
5101601,448,1007,17352,5,47,WA ,1641,5,42
5101704,358,1009,17566,5,47,WA ,1668,5,42
5101905,420,1028,20771,6,56,WA ,1988,5,50
5102113,411,1029,20986,6,57,WA ,2017,6,51
5102201,540,1076,29103,8,78,WA ,2948,8,75
5102214,360,987,14105,4,38,WA ,1297,4,33
5110310,297,1076,29174,8,78,WA ,2958,8,75
5110911,344,895,4713,2,13,WA ,396,1,10
5111006,540,1014,18381,5,50,WA ,1751,5,44
5111202,513,1055,25590,7,69,WA ,2523,7,64
5111408,618,988,14323,4,39,WA ,1322,4,34
5120403,351,975,12608,4,34,WA ,1150,3,29
5120702,375,1071,28397,8,76,WA ,2848,8,72
5120904,246,1135,36214,10,97,WA ,3851,10,97
5121003,143,1043,23373,7,63,WA ,2273,6,58
5130902,189,1059,26223,8,71,WA ,2578,7,65
1331103,334,993,14922,4,40,NSW,4919,5,42
5131104,114,1089,31202,9,84,WA ,3215,9,81
5132203,95,1064,27210,8,73,WA ,2703,7,68
6011110,538,906,5490,2,15,TAS,267,3,26
7013711,420,1064,27089,8,73,NT ,306,9,86
2291509,308,1006,17149,5,46,VIC,3676,5,41
6012208,507,902,5192,2,14,TAS,246,3,24
6020407,617,1018,19114,6,52,TAS,752,8,72
6021407,444,908,5603,2,15,TAS,273,3,27
6030411,612,884,4051,2,11,TAS,189,2,19
6030611,478,904,5321,2,15,TAS,256,3,25
6031704,348,895,4686,2,13,TAS,221,3,22
6031801,386,935,7929,3,22,TAS,365,4,35
7014407,551,1066,27491,8,74,NT ,308,9,87
7020403,589,1059,26217,7,70,NT ,303,9,85
6031802,357,874,3507,1,10,TAS,171,2,17
6040205,268,887,4225,2,12,TAS,192,2,19
6041411,776,1034,21760,6,59,TAS,830,8,80
8012904,710,1047,24191,7,65,ACT,159,4,31
2151406,616,1139,36450,10,98,VIC,8892,10,98
6050506,404,1104,33257,9,89,TAS,1017,10,98
6050808,321,1045,23861,7,64,TAS,870,9,84
6051310,426,840,2156,1,6,TAS,94,1,9
6051402,926,992,14917,4,40,TAS,613,6,59
7020708,711,950,9439,3,26,NT ,155,5,44
8010303,774,1045,23887,7,64,ACT,155,3,30
6051613,421,644,341,1,1,TAS,8,1,1
7011301,378,719,571,1,2,NT ,81,3,23
7013103,438,961,10814,3,29,NT ,166,5,47
7013401,1041,986,13997,4,38,NT ,194,6,55
1032013,407,923,6810,2,19,NSW,2361,2,20
1032212,139,1020,19360,6,52,NSW,6188,6,53
8013004,384,1073,28554,8,77,ACT,259,5,50
8014704,510,1122,35216,10,95,ACT,431,9,83
8021203,542,1033,21561,6,58,ACT,112,3,22
8021302,660,988,14308,4,39,ACT,47,1,9
8022201,531,1070,28101,8,76,ACT,250,5,48
1041811,399,919,6489,2,18,NSW,2248,2,20
8022511,430,888,4241,2,12,ACT,12,1,3
8023006,854,1084,30489,9,82,ACT,302,6,58
8023701,1021,1023,19948,6,54,ACT,91,2,18
8023803,564,1011,17940,5,48,ACT,69,2,14
2300402,692,1001,16303,5,44,VIC,3463,4,39
1010203,347,908,5644,2,16,NSW,1947,2,17
1010308,408,917,6325,2,17,NSW,2194,2,19
1010901,89,1042,23178,7,62,NSW,7239,7,62
1032803,609,946,9064,3,25,NSW,3130,3,27
1040904,148,1042,23321,7,63,NSW,7285,7,62
1041203,276,922,6729,2,18,NSW,2329,2,20
1041306,110,1079,29705,8,80,NSW,9083,8,77
1011003,397,948,9281,3,25,NSW,3204,3,28
1031301,115,1027,20588,6,55,NSW,6526,6,56
1031908,1226,1041,23011,7,62,NSW,7182,7,61
1032009,584,989,14391,4,39,NSW,4758,5,41
1042307,604,840,2160,1,6,NSW,794,1,7
1042601,160,979,13066,4,35,NSW,4367,4,37
1050901,320,1058,26011,7,70,NSW,8066,7,69
1052010,495,935,7874,3,22,NSW,2708,3,23
1052906,370,1012,18103,5,49,NSW,5815,5,50
1061405,760,729,620,1,2,NSW,193,1,2
1051001,229,1059,26300,8,71,NSW,8143,7,69
1051301,390,898,4870,2,14,NSW,1706,2,15
1340407,594,802,1311,1,4,NSW,470,1,4
1062001,479,1052,25053,7,67,NSW,7772,7,66
1062107,529,892,4487,2,12,NSW,1588,2,14
1070610,703,957,10319,3,28,NSW,3568,4,31
1100609,651,1109,33750,10,91,NSW,10282,9,88
1070807,683,1012,18035,5,49,NSW,5796,5,50
1101605,482,904,5336,2,15,NSW,1858,2,16
1101802,474,951,9566,3,26,NSW,3296,3,28
1110308,336,1057,25852,7,70,NSW,8013,7,68
1241802,833,1095,31973,9,86,NSW,9733,9,83
1070905,662,1018,19032,6,51,NSW,6079,6,52
1111009,537,972,12207,4,33,NSW,4116,4,35
1242210,457,1041,22999,7,62,NSW,7176,7,61
1361512,403,997,15605,5,42,NSW,5120,5,44
1071719,485,1099,32623,9,88,NSW,9927,9,85
1080409,361,596,251,1,1,NSW,44,1,1
1081809,237,959,10526,3,29,NSW,3626,4,31
1120204,537,801,1300,1,4,NSW,463,1,4
1291307,358,930,7389,2,20,NSW,2559,3,22
1091411,447,1014,18451,5,50,NSW,5916,6,51
1091802,767,965,11232,3,30,NSW,3822,4,33
1091811,456,1044,23594,7,63,NSW,7364,7,63
1140909,902,903,5236,2,14,NSW,1824,2,16
3211809,758,993,15020,5,41,QLD,3064,5,42
1110411,163,1024,20051,6,54,NSW,6368,6,54
1151811,475,878,3697,1,10,NSW,1322,2,12
1121001,903,1084,30396,9,82,NSW,9287,8,79
1122209,307,1024,20023,6,54,NSW,6360,6,54
1131407,338,859,2820,1,8,NSW,1015,1,9
1131602,1098,1009,17593,5,47,NSW,5676,5,49
1140817,908,1071,28314,8,76,NSW,8695,8,74
