sa2_code,sa2_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
101011001,Goulburn,2014-2015,126,12,138,29801.7,1655.0,4238.8,35695.5,16513.3,52208.8,1
101011006,Young Region,2012-2013,9,0,9,1618.3,0.0,786.3,2404.6,500.0,2904.6,23
101011006,Young Region,2011-2012,19,0,20,4446.0,0.0,1124.2,5570.2,4219.9,9790.2,24
101021007,Braidwood,2014-2015,19,0,19,4018.5,0.0,1317.2,5335.6,288.0,5623.6,25
101021007,Braidwood,2013-2014,16,0,17,4068.6,0.0,1819.8,5888.4,195.0,6083.4,26
101021007,Braidwood,2012-2013,7,8,15,1322.8,900.0,486.9,2709.7,160.0,2869.7,27
101021007,Braidwood,2011-2012,18,2,20,3847.0,420.0,645.6,4912.6,175.0,5087.6,28
106031125,Williamtown - Medowie - Karuah,2012-2013,29,0,29,8795.6,0.0,984.3,9779.9,7142.0,16921.9,499
106031125,Williamtown - Medowie - Karuah,2011-2012,27,2,29,7172.3,274.0,1473.8,8920.1,11279.5,20199.6,500
106041126,Muswellbrook,2014-2015,13,0,13,3268.7,0.0,810.3,4078.9,15416.2,19495.1,501
106041126,Muswellbrook,2013-2014,104,6,111,23354.3,1502.0,1258.8,26115.1,36106.0,62221.1,502
106041126,Muswellbrook,2012-2013,48,7,55,14202.3,1326.3,1041.1,16569.7,6575.0,23144.7,503
106041126,Muswellbrook,2011-2012,112,51,163,29046.4,6634.7,1533.0,37214.0,7023.7,44237.7,504
106041127,Muswellbrook Region,2014-2015,10,0,10,2412.5,0.0,413.6,2826.1,0.0,2826.1,505
106041127,Muswellbrook Region,2013-2014,21,0,23,6614.4,0.0,533.8,7148.2,0.0,7148.2,506
106041127,Muswellbrook Region,2012-2013,12,0,12,3911.9,0.0,362.0,4273.9,0.0,4273.9,507
106041127,Muswellbrook Region,2011-2012,17,3,20,4443.7,296.0,1141.7,5881.4,436.0,6317.4,508
106041128,Scone,2014-2015,12,0,12,4082.8,0.0,1008.8,5091.5,19036.9,24128.5,509
106041128,Scone,2013-2014,28,0,28,8774.7,0.0,1222.2,9996.9,3789.1,13786.0,510
101011001,Goulburn,2013-2014,99,4,103,23140.0,530.0,2085.5,25755.5,4249.4,30004.9,2
101031014,Cooma,2014-2015,4,11,15,1286.9,2000.0,1379.8,4666.7,1941.0,6607.7,53
101031014,Cooma,2013-2014,8,0,8,1774.0,0.0,1768.0,3542.0,5080.0,8622.0,54
101031014,Cooma,2012-2013,1,2,3,230.6,440.0,256.0,926.6,5538.0,6464.6,55
101031014,Cooma,2011-2012,12,0,12,3145.3,0.0,1354.3,4499.5,1000.1,5499.6,56
101031015,Cooma Region,2014-2015,9,0,9,1886.0,0.0,691.8,2577.8,167.6,2745.4,57
101031015,Cooma Region,2013-2014,6,0,7,1110.0,0.0,243.9,1353.9,100.0,1453.9,58
101031015,Cooma Region,2012-2013,4,0,4,708.0,0.0,300.3,1008.3,80.0,1088.3,59
101031015,Cooma Region,2011-2012,8,0,8,2134.5,0.0,1077.7,3212.2,195.9,3408.1,60
101031016,Jindabyne - Berridale,2014-2015,20,15,35,6173.1,2617.1,1445.1,10235.2,4569.3,14804.4,61
101031016,Jindabyne - Berridale,2013-2014,15,2,17,4086.5,582.0,960.4,5628.9,5510.6,11139.5,62
101031016,Jindabyne - Berridale,2012-2013,8,2,10,2897.7,300.0,522.4,3720.0,4320.3,8040.3,63
101031016,Jindabyne - Berridale,2011-2012,18,4,22,5098.6,802.2,1100.6,7001.4,9349.0,16350.4,64
101041017,Batemans Bay,2014-2015,35,10,45,9644.9,800.0,1486.0,11930.8,19286.2,31217.1,65
