lga_code16,copsw_2000_2999_h_0,copsw_2000_2999_h_1_15,copsw_2000_2999_h_16_24,copsw_2000_2999_h_25_34,copsw_2000_2999_h_35_39,copsw_2000_2999_h_40,copsw_2000_2999_h_41_48,copsw_2000_2999_h_49mo,copsw_2000_2999_h_ns,copsw_2000_2999_h_tot,copsw_3000mo_h_0,copsw_3000mo_h_1_15,copsw_3000mo_h_16_24,copsw_3000mo_h_25_34,copsw_3000mo_h_35_39,copsw_3000mo_h_40,copsw_3000mo_h_41_48,copsw_3000mo_h_49mo,copsw_3000mo_h_ns,copsw_3000mo_h_tot,copsw_pins_h_0,copsw_pins_h_1_15,copsw_pins_h_16_24,copsw_pins_h_25_34,copsw_pins_h_35_39,copsw_pins_h_40,copsw_pins_h_41_48,copsw_pins_h_49mo,copsw_pins_h_ns,copsw_pins_h_tot,copsw_tot_h_0,copsw_tot_h_1_15,copsw_tot_h_16_24,copsw_tot_h_25_34,copsw_tot_h_35_39,copsw_tot_h_40,copsw_tot_h_41_48,copsw_tot_h_49mo,copsw_tot_h_ns,copsw_tot_h_tot,claw_nni_h_0,claw_nni_h_1_15,claw_nni_h_16_24,claw_nni_h_25_34,claw_nni_h_35_39,claw_nni_h_40,claw_nni_h_41_48,claw_nni_h_49mo,claw_nni_h_ns,claw_nni_h_tot,claw_1_149_h_0,claw_1_149_h_1_15,claw_1_149_h_16_24,claw_1_149_h_25_34,claw_1_149_h_35_39,claw_1_149_h_40,claw_1_149_h_41_48,claw_1_149_h_49mo,claw_1_149_h_ns,claw_1_149_h_tot,claw_150_299_h_0,claw_150_299_h_1_15,claw_150_299_h_16_24,claw_150_299_h_25_34,claw_150_299_h_35_39,claw_150_299_h_40,claw_150_299_h_41_48,claw_150_299_h_49mo,claw_150_299_h_ns,claw_150_299_h_tot,claw_300_399_h_0,claw_300_399_h_1_15,claw_300_399_h_16_24,claw_300_399_h_25_34,claw_300_399_h_35_39,claw_300_399_h_40,claw_300_399_h_41_48,claw_300_399_h_49mo,claw_300_399_h_ns,claw_300_399_h_tot,claw_400_499_h_0,claw_400_499_h_1_15,claw_400_499_h_16_24,claw_400_499_h_25_34,claw_400_499_h_35_39,claw_400_499_h_40,claw_400_499_h_41_48,claw_400_499_h_49mo,claw_400_499_h_ns,claw_400_499_h_tot,claw_500_649_h_0,claw_500_649_h_1_15,claw_500_649_h_16_24,claw_500_649_h_25_34,claw_500_649_h_35_39,claw_500_649_h_40,claw_500_649_h_41_48,claw_500_649_h_49mo,claw_500_649_h_ns,claw_500_649_h_tot,claw_650_799_h_0,claw_650_799_h_1_15,claw_650_799_h_16_24,claw_650_799_h_25_34,claw_650_799_h_35_39,claw_650_799_h_40,claw_650_799_h_41_48,claw_650_799_h_49mo,claw_650_799_h_ns,claw_650_799_h_tot,claw_800_999_h_0,claw_800_999_h_1_15,claw_800_999_h_16_24,claw_800_999_h_25_34,claw_800_999_h_35_39,claw_800_999_h_40,claw_800_999_h_41_48,claw_800_999_h_49mo,claw_800_999_h_ns,claw_800_999_h_tot,claw_1000_1249_h_0,claw_1000_1249_h_1_15,claw_1000_1249_h_16_24,claw_1000_1249_h_25_34,claw_1000_1249_h_35_39,claw_1000_1249_h_40,claw_1000_1249_h_41_48,claw_1000_1249_h_49mo,claw_1000_1249_h_ns,claw_1000_1249_h_tot,claw_1250_1499_h_0,claw_1250_1499_h_1_15,claw_1250_1499_h_16_24,claw_1250_1499_h_25_34,claw_1250_1499_h_35_39,claw_1250_1499_h_40,claw_1250_1499_h_41_48,claw_1250_1499_h_49mo,claw_1250_1499_h_ns,claw_1250_1499_h_tot,claw_1500_1749_h_0,claw_1500_1749_h_1_15,claw_1500_1749_h_16_24,claw_1500_1749_h_25_34,claw_1500_1749_h_35_39,claw_1500_1749_h_40,claw_1500_1749_h_41_48,claw_1500_1749_h_49mo,claw_1500_1749_h_ns,claw_1500_1749_h_tot,claw_1750_1999_h_0,claw_1750_1999_h_1_15,claw_1750_1999_h_16_24,claw_1750_1999_h_25_34,claw_1750_1999_h_35_39,claw_1750_1999_h_40,claw_1750_1999_h_41_48,claw_1750_1999_h_49mo,claw_1750_1999_h_ns,claw_1750_1999_h_tot,claw_2000_2999_h_0,claw_2000_2999_h_1_15,claw_2000_2999_h_16_24,claw_2000_2999_h_25_34,claw_2000_2999_h_35_39,claw_2000_2999_h_40,claw_2000_2999_h_41_48,claw_2000_2999_h_49mo,claw_2000_2999_h_ns,claw_2000_2999_h_tot,claw_3000mo_h_0,claw_3000mo_h_1_15,claw_3000mo_h_16_24,claw_3000mo_h_25_34,claw_3000mo_h_35_39,claw_3000mo_h_40,claw_3000mo_h_41_48,claw_3000mo_h_49mo,claw_3000mo_h_ns,claw_3000mo_h_tot,claw_pins_h_0,claw_pins_h_1_15,claw_pins_h_16_24,claw_pins_h_25_34,claw_pins_h_35_39,claw_pins_h_40,claw_pins_h_41_48,claw_pins_h_49mo,claw_pins_h_ns,claw_pins_h_tot,claw_tot_h_0,claw_tot_h_1_15,claw_tot_h_16_24,claw_tot_h_25_34,claw_tot_h_35_39,claw_tot_h_40,claw_tot_h_41_48,claw_tot_h_49mo,claw_tot_h_ns,claw_tot_h_tot,lga_name16
10050,7,3,8,0,35,12,10,13,0,88,0,3,3,0,3,0,3,0,0,13,3,9,5,7,10,3,7,0,4,46,142,602,517,657,561,293,173,168,52,3167,3,9,0,0,0,0,0,0,0,18,3,39,4,0,0,3,0,3,0,50,0,67,22,11,0,3,3,0,3,108,3,68,46,15,7,3,0,4,3,147,11,54,82,60,20,14,5,0,0,247,9,49,137,151,57,20,14,11,3,445,28,40,72,172,163,61,19,19,4,573,28,15,53,149,282,114,51,20,0,714,23,16,17,67,237,134,77,26,9,610,23,3,10,35,176,84,41,23,0,394,9,9,9,19,65,47,17,29,0,206,3,0,3,8,24,25,17,4,0,87,5,4,5,4,13,24,20,19,0,97,3,9,0,5,0,4,0,8,0,34,3,7,10,4,16,4,3,0,4,50,151,380,465,685,1072,542,267,176,26,3763,Albury (C)
10130,3,0,0,0,19,3,3,15,0,44,0,0,0,0,0,0,0,0,0,6,0,0,4,3,7,0,3,0,7,22,73,317,227,297,257,126,64,107,38,1509,0,6,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0,0,0,21,0,34,15,3,0,0,0,0,3,65,3,29,20,9,0,0,3,0,0,69,3,29,38,19,3,3,3,3,0,98,5,29,61,54,23,8,0,4,0,193,10,21,32,70,78,24,8,4,0,250,16,12,27,46,119,39,28,19,0,301,13,10,16,35,130,52,21,14,0,290,7,6,4,9,103,28,16,15,0,190,0,3,3,7,52,24,18,9,0,109,3,3,0,0,19,7,5,11,0,43,0,3,0,3,12,8,4,13,0,46,0,4,0,0,9,0,0,7,0,22,0,0,0,0,9,8,0,3,0,23,60,203,224,259,561,205,109,93,16,1727,Armidale Regional (A)
10250,5,0,0,4,11,9,8,5,0,37,0,0,0,0,0,0,0,0,0,0,0,7,5,3,6,0,0,0,3,30,69,370,335,542,325,119,71,94,39,1962,0,3,0,0,3,4,0,3,0,18,0,18,0,0,0,0,0,3,0,29,3,34,5,4,0,6,0,0,0,51,3,35,30,8,4,0,0,0,0,88,5,37,47,26,5,5,4,3,0,134,8,27,70,60,35,11,4,10,0,227,5,16,34,87,89,28,15,3,3,283,3,7,27,69,117,37,19,20,0,296,8,9,17,33,107,43,21,15,4,260,5,3,7,9,51,21,12,15,0,124,3,3,6,7,19,7,4,5,0,56,0,4,0,9,10,12,8,7,0,50,0,5,3,3,9,9,5,6,0,45,0,0,0,0,9,4,3,3,0,13,0,0,5,0,8,3,3,0,3,28,56,220,254,318,472,189,98,95,20,1717,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,19,18,12,10,4,3,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,8,0,0,3,10,0,3,0,0,0,14,0,4,0,3,0,0,0,0,0,10,3,0,0,8,3,3,3,3,0,21,0,0,0,0,3,3,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,21,12,10,3,9,3,85,Balranald (A)
10470,10,0,3,0,26,24,7,17,0,95,0,0,0,0,3,0,0,0,0,6,0,5,4,0,6,0,0,4,3,26,121,497,351,419,440,312,114,135,43,2432,0,10,0,0,4,0,0,0,0,19,0,23,0,0,0,0,0,0,0,21,3,48,14,4,0,0,0,3,0,67,6,38,22,5,3,4,0,3,0,80,4,41,44,13,4,7,0,0,0,115,18,34,62,61,27,12,3,3,0,220,12,16,36,85,95,35,8,11,3,296,13,9,28,69,166,63,23,15,0,389,16,7,9,49,188,83,33,20,0,407,17,8,6,12,106,49,30,13,0,245,4,5,5,15,40,29,12,16,0,136,0,0,7,10,10,16,15,6,0,66,3,4,0,5,19,12,13,16,0,67,0,0,3,5,0,3,4,5,0,24,0,4,3,7,12,3,0,0,3,30,98,248,241,337,680,320,147,119,14,2190,Bathurst Regional (A)
10550,3,0,0,0,13,5,4,11,0,39,0,0,0,0,0,0,0,0,0,5,0,3,6,6,5,0,3,0,0,19,72,292,230,352,264,90,63,94,23,1468,0,4,0,0,0,0,0,0,0,10,0,28,0,4,3,0,0,0,0,38,7,41,3,3,4,0,3,3,0,64,6,30,13,10,3,0,0,0,0,64,8,32,39,18,7,3,0,4,0,109,6,35,49,62,25,13,0,3,3,192,13,10,26,63,65,22,14,3,3,210,10,8,24,60,81,40,13,11,0,243,10,7,21,34,67,35,16,20,4,204,4,8,5,12,35,18,15,7,0,101,3,3,0,9,18,10,14,8,0,57,0,0,3,7,5,7,0,7,0,29,0,0,0,0,3,0,8,3,0,18,0,3,0,0,3,0,0,0,0,9,0,5,0,3,0,3,0,0,3,21,64,210,189,273,319,146,71,75,11,1360,Bega Valley (A)
10600,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,106,78,109,65,25,14,23,6,449,0,3,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,14,0,5,9,3,3,0,0,0,0,24,3,10,19,5,4,0,0,0,0,37,0,9,20,25,8,3,0,3,0,68,4,6,8,20,11,0,3,0,0,57,0,0,12,11,14,9,3,0,0,54,0,3,3,8,12,7,3,0,0,35,0,0,0,3,6,6,3,0,0,17,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,54,69,80,67,33,18,18,4,359,Bellingen (A)
10650,0,0,0,0,3,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,75,55,70,46,16,18,32,3,332,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,11,0,8,8,0,0,0,0,0,0,12,0,3,15,6,3,3,0,0,0,31,0,8,7,7,8,4,0,0,0,30,3,3,6,14,9,3,0,3,0,51,5,0,5,13,17,6,8,3,0,54,0,3,0,7,10,3,3,3,0,25,0,0,0,0,6,0,0,3,0,18,0,0,0,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,38,43,49,51,22,16,19,4,265,Berrigan (A)
10750,13,0,5,13,89,46,40,46,3,258,0,3,4,3,6,10,4,9,0,40,7,23,11,12,18,15,9,6,20,119,314,1438,1426,1643,1889,1226,620,647,180,9390,8,18,9,11,13,3,0,8,5,76,8,141,11,8,10,4,4,3,7,187,12,251,95,25,16,6,0,0,9,409,17,224,184,49,13,19,4,3,11,527,29,168,266,77,57,34,7,15,9,660,25,153,374,307,152,102,19,31,10,1177,43,90,207,429,583,293,64,45,29,1780,62,61,151,379,1020,578,180,129,24,2575,69,45,81,207,1134,816,273,217,30,2860,42,28,56,98,579,460,215,221,16,1717,23,12,29,47,288,273,118,202,10,1003,18,5,10,19,112,133,65,115,7,485,17,13,12,23,88,107,82,151,4,485,3,0,8,14,26,36,18,54,0,157,0,14,23,18,35,28,12,15,18,159,357,1234,1533,1700,4117,2885,1052,1201,184,14265,Blacktown (C)
10800,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,45,34,32,27,13,11,23,4,182,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,12,0,5,7,0,0,0,0,0,0,18,0,4,3,6,3,0,0,0,0,23,3,9,13,16,9,0,0,0,0,40,0,3,7,11,10,3,0,0,0,32,3,6,0,8,9,4,0,3,0,33,4,0,0,0,17,3,3,3,0,29,0,0,0,0,0,4,3,3,0,13,0,0,0,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,38,33,50,48,26,12,18,4,234,Bland (A)
