lga_code_2016,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total,lga_name16
10050,1159,2010,985,540,1123,525,53,6390,557,1130,733,587,1170,510,22,4712,250,444,322,287,950,519,6,2769,123,154,71,53,638,278,0,1320,8932,11156,5039,3537,8582,3967,210,41411,Albury (C)
10130,622,1134,542,313,562,297,23,3494,329,689,468,355,575,278,14,2707,166,317,217,188,413,233,0,1526,59,102,46,38,274,112,0,637,5353,6545,2830,2058,5130,2446,292,24653,Armidale Regional (A)
10250,1082,2182,1073,634,974,524,21,6484,623,1438,1067,824,1117,547,18,5628,285,622,458,450,867,520,6,3209,167,225,132,117,676,454,0,1767,6879,9766,4842,3605,6502,3385,172,35149,Ballina (A)
10300,55,112,50,46,92,62,4,425,20,55,24,28,68,46,0,243,6,20,11,15,47,32,0,132,0,0,3,3,23,4,0,34,330,465,202,204,480,322,17,2023,Balranald (A)
10470,822,1616,764,481,736,423,12,4859,394,874,662,563,795,419,12,3721,192,366,242,280,546,348,3,1972,99,110,60,47,357,212,0,896,6929,8838,4072,3203,6037,4044,89,33205,Bathurst Regional (A)
10550,899,1954,1103,759,852,495,27,6079,505,1250,1007,829,903,513,7,5011,258,474,346,379,685,470,5,2610,107,126,76,73,417,216,3,1021,4797,7604,4256,3378,4801,2912,108,27864,Bega Valley (A)
10600,359,775,404,263,284,152,7,2240,191,437,343,290,344,192,5,1796,77,161,150,153,272,161,0,964,44,42,21,21,175,66,0,375,1799,2995,1696,1329,1726,982,31,10547,Bellingen (A)
10650,221,340,206,158,240,133,3,1298,126,264,196,171,349,180,4,1290,62,112,87,72,229,122,3,685,16,19,22,16,158,73,0,297,1197,1601,878,753,1515,945,26,6917,Berrigan (A)
10750,5647,8886,4325,3474,8936,2213,1170,34654,2641,4514,2784,2587,6879,1964,791,22150,1143,1626,1051,917,3660,1212,178,9772,361,353,182,138,2024,475,22,3551,55501,61234,26491,24062,73181,18682,3574,262724,Blacktown (C)
10800,149,189,134,107,164,131,0,874,77,129,98,94,147,109,3,651,35,60,56,60,120,110,0,441,23,30,12,10,50,86,0,203,866,1076,564,575,926,789,11,4810,Bland (A)
10850,179,299,157,108,154,79,0,971,92,136,128,122,163,88,0,722,32,64,58,46,136,77,0,415,14,18,17,7,71,30,0,160,1090,1456,787,656,1011,559,9,5579,Blayney (A)
10900,2073,4431,2023,1131,1311,560,110,11647,1043,2656,1828,1382,1510,615,54,9084,403,848,632,605,1136,417,15,4057,194,213,115,104,791,185,8,1613,13790,19295,9085,6562,9798,3548,810,62887,Blue Mountains (C)
10950,48,82,34,29,57,39,0,293,32,55,28,50,77,45,0,292,16,29,22,18,53,43,0,185,6,10,7,0,28,15,0,59,359,520,233,216,519,339,3,2193,Bogan (A)
11100,870,1240,514,359,1147,450,188,4763,462,704,393,323,1079,396,102,3451,301,382,222,161,686,307,27,2080,102,104,39,38,289,184,5,758,9484,9103,3416,2508,11084,3830,1223,40649,Botany Bay (C)
11150,48,87,41,22,115,128,0,441,51,59,31,30,79,100,0,345,12,8,9,16,20,48,0,120,6,3,0,0,15,14,0,34,341,459,212,181,560,677,9,2434,Bourke (A)
11200,34,49,30,18,66,32,3,233,12,22,13,14,41,15,0,124,3,7,5,13,18,13,0,54,3,3,3,0,11,3,0,21,216,241,136,116,387,212,7,1318,Brewarrina (A)
11250,399,720,383,305,658,282,16,2753,195,425,290,335,618,329,18,2210,111,192,97,138,466,221,6,1231,59,52,32,32,283,120,0,580,2353,3620,1734,1586,3882,1824,63,15063,Broken Hill (C)
13910,427,662,378,320,485,244,10,2524,223,434,345,399,572,315,9,2302,132,206,157,158,367,231,0,1255,47,69,26,24,227,119,0,519,2627,3474,1899,1899,3131,1628,53,14712,Hilltops (A)
14000,3237,6086,3060,1806,2191,522,506,17410,1582,3528,2517,1698,2053,535,363,12272,824,1659,1114,859,1837,656,89,7031,435,534,272,204,1612,810,13,3883,27665,32450,15554,10823,21798,5133,1712,115131,Hornsby (A)
14100,333,564,299,108,210,90,12,1610,217,446,239,139,253,80,7,1385,112,185,118,89,280,59,3,848,54,87,30,17,484,66,0,740,2773,2939,1337,845,2623,647,104,11267,Hunters Hill (A)
14170,3802,6313,2343,1189,3174,1433,309,18560,1924,3364,1728,1035,2962,1031,197,12246,911,1277,791,544,2486,714,38,6766,340,405,179,111,1740,364,13,3155,44086,43180,14221,8303,29496,12760,2086,154136,Inner West (A)
14200,321,616,356,239,407,251,13,2202,198,364,304,329,437,268,8,1901,104,190,137,151,354,197,0,1137,47,48,25,27,174,74,0,398,2274,3203,1711,1517,2783,1547,68,13101,Inverell (A)
14300,120,216,127,87,121,165,0,839,58,102,84,94,155,94,0,587,23,31,37,40,89,56,0,274,5,15,3,9,54,23,0,110,769,999,553,500,866,1354,8,5045,Junee (A)
14350,738,1269,768,590,877,523,14,4788,391,857,659,679,1027,546,14,4174,185,293,253,303,618,394,0,2050,69,85,41,45,398,235,0,878,3724,5497,3170,2864,5398,3547,116,24317,Kempsey (A)
14400,577,1167,665,389,369,193,8,3369,299,786,585,414,406,224,6,2721,134,317,223,238,352,202,3,1473,69,105,54,47,238,161,0,677,3751,5052,2650,1879,2725,1348,99,17498,Kiama (A)
14500,2688,4838,2509,1338,1532,372,435,13718,1514,3235,2320,1406,1350,406,273,10510,905,1744,1217,950,1495,525,90,6929,510,664,369,280,1550,683,8,4069,23871,25938,13241,9117,16784,4028,1771,94743,Ku-ring-gai (A)
14550,247,503,282,217,281,203,3,1741,89,251,231,229,230,160,3,1195,48,87,69,97,162,128,0,597,30,18,14,12,96,68,0,230,1115,1763,1101,1063,1415,968,35,7464,Kyogle (A)
14600,121,202,115,95,170,113,3,821,72,100,98,92,176,115,3,660,41,69,51,56,126,91,0,433,24,20,10,9,65,39,0,164,827,1023,537,587,1059,750,17,4800,Lachlan (A)
14650,4281,8224,4349,2890,4278,1236,77,25336,2352,5096,3994,3486,4761,1564,57,21320,1288,2296,1819,1593,3753,1629,19,12392,556,737,385,311,2410,1203,8,5611,32977,43416,21968,16705,32838,9708,481,158091,Lake Macquarie (C)
14700,872,1305,550,289,488,194,114,3809,449,856,479,304,474,146,57,2768,179,362,249,156,390,94,14,1447,88,153,57,36,381,65,3,790,8373,8597,3338,2182,5292,1585,549,29910,Lane Cove (A)
14750,208,393,220,135,263,166,12,1394,117,214,158,137,221,175,0,1022,69,113,94,81,191,134,0,680,29,21,10,11,131,42,0,242,1699,2160,1063,880,1896,1106,36,8842,Leeton (A)
14850,1088,2196,1090,687,950,633,24,6669,478,1111,807,657,866,476,14,4407,244,411,292,348,641,368,0,2305,119,131,74,74,541,214,0,1159,7082,9968,4852,3702,6177,3710,223,35722,Lismore (C)
14870,442,817,448,398,538,375,5,3022,237,510,410,376,697,387,4,2619,132,232,156,153,402,276,3,1360,43,62,35,41,218,110,0,502,2827,3972,2157,1940,3611,2652,45,17196,Lithgow (C)
14900,3439,4882,2288,2013,6241,1823,347,21025,1684,2453,1450,1349,4264,1370,212,12782,797,1000,558,545,2611,948,86,6542,221,208,113,85,1345,362,10,2344,32485,32913,14214,13696,50615,14284,1363,159568,Liverpool (C)
14920,177,301,157,139,251,153,0,1171,95,187,137,149,228,135,0,932,48,88,68,67,181,96,0,544,15,29,7,12,94,26,0,180,982,1452,766,735,1360,802,20,6118,Liverpool Plains (A)
14950,80,127,75,63,72,43,3,470,46,68,43,57,81,50,4,348,16,36,18,37,69,35,0,218,13,7,8,11,47,16,0,96,440,590,335,319,448,277,7,2414,Lockhart (A)
15050,1438,2646,1467,1068,1543,499,40,8693,696,1349,1095,1061,1589,576,34,6394,302,553,425,431,1030,473,4,3219,151,145,88,63,579,269,0,1296,12639,16206,7925,6523,12267,3946,177,59676,Maitland (C)
15240,2087,4245,2560,1820,2582,1185,31,14512,1486,3489,2784,2466,3376,1509,27,15132,688,1380,1210,1183,2488,1388,22,8366,284,399,224,218,1465,826,6,3431,12191,18855,11066,9648,16313,7783,259,76112,Mid-Coast (A)
15270,451,900,492,408,507,377,12,3147,249,578,447,440,621,447,4,2787,132,240,175,162,420,287,3,1413,55,55,30,26,245,81,0,484,3321,4829,2545,2319,3552,2523,48,19133,Mid-Western Regional (A)
