LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
54280,305,139,288,391,223,207,130,233,2322,0,0,0,3,0,0,3,0,6,3,15,2040,399,842,318,597,828,445,531,394,503,6897,Kalgoorlie/Boulder (C)
53710,0,6,5,0,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,62,6,3,9,5,0,9,0,0,0,94,Goomalling (S)
54760,0,0,0,3,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,50,3,6,3,8,9,0,3,3,3,88,Kulin (S)
54830,350,161,199,230,172,91,130,654,2803,7,3,0,6,3,4,4,0,0,3,30,4425,491,786,372,399,488,346,216,218,900,8641,Kwinana (T)
54900,0,0,6,11,17,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,75,12,16,6,6,14,17,15,7,12,180,Lake Grace (S)
53780,2819,1216,1494,1821,1400,1091,517,1437,19048,41,12,33,3,16,18,15,17,3,25,183,19034,3249,4751,1787,2152,2620,1887,1602,855,2288,40225,Gosnells (C)
53920,10,3,0,10,6,8,3,0,50,0,0,0,0,0,0,0,0,0,0,0,49,10,13,6,0,16,9,14,9,5,131,Halls Creek (S)
53990,87,42,89,103,61,64,57,61,888,11,0,0,0,0,0,0,0,3,4,18,2265,264,439,219,284,238,143,141,105,230,4328,Harvey (S)
54060,14,3,6,3,0,3,6,0,62,0,0,0,0,0,0,0,0,0,0,0,343,20,41,18,12,6,16,6,15,17,494,Irwin (S)
54340,38,101,71,90,43,15,11,12,448,0,0,0,0,3,0,0,0,0,3,6,287,41,63,114,77,106,57,23,14,44,826,Katanning (S)
