lga_code16,m_m2_bustot_15_24,m_m2_bustot_25_34,m_m2_bustot_35_44,m_m2_bustot_45_54,m_m2_bustot_55_64,m_m2_bustot_65_74,m_m2_bustot_75ov,m_m2_bustot_tot,m_m2_other_m2_15_24,m_m2_other_m2_25_34,m_m2_other_m2_35_44,m_m2_other_m2_45_54,m_m2_other_m2_55_64,m_m2_other_m2_65_74,m_m2_other_m2_75ov,m_m2_other_m2_tot,m_m2_tot_m2_15_24,m_m2_tot_m2_25_34,m_m2_tot_m2_35_44,m_m2_tot_m2_45_54,m_m2_tot_m2_55_64,m_m2_tot_m2_65_74,m_m2_tot_m2_75ov,m_m2_tot_m2_tot,m_m3_trn_and_2_oth_ms_15_24,m_m3_trn_and_2_oth_ms_25_34,m_m3_trn_and_2_oth_ms_35_44,m_m3_trn_and_2_oth_ms_45_54,m_m3_trn_and_2_oth_ms_55_64,m_m3_trn_and_2_oth_ms_65_74,m_m3_trn_and_2_oth_ms_75ov,m_m3_trn_and_2_oth_ms_tot,m_m3_bus2othms_ex_tn_15_24,m_m3_bus2othms_ex_tn_25_34,m_m3_bus2othms_ex_tn_35_44,m_m3_bus2othms_ex_tn_45_54,m_m3_bus2othms_ex_tn_55_64,m_m3_bus2othms_ex_tn_65_74,m_m3_bus2othms_ex_tn_75ov,m_m3_bus2othms_ex_tn_tot,m_m3_other_m3_15_24,m_m3_other_m3_25_34,m_m3_other_m3_35_44,m_m3_other_m3_45_54,m_m3_other_m3_55_64,m_m3_other_m3_65_74,m_m3_other_m3_75ov,m_m3_other_m3_tot,m_m3_tot_m3_15_24,m_m3_tot_m3_25_34,m_m3_tot_m3_35_44,m_m3_tot_m3_45_54,m_m3_tot_m3_55_64,m_m3_tot_m3_65_74,m_m3_tot_m3_75ov,m_m3_tot_m3_tot,m_wkd_at_home_15_24,m_wkd_at_home_25_34,m_wkd_at_home_35_44,m_wkd_at_home_45_54,m_wkd_at_home_55_64,m_wkd_at_home_65_74,m_wkd_at_home_75ov,m_wkd_at_home_tot,m_did_not_go_to_work_15_24,m_did_not_go_to_work_25_34,m_did_not_go_to_work_35_44,m_did_not_go_to_work_45_54,m_did_not_go_to_work_55_64,m_did_not_go_to_work_65_74,m_did_not_go_to_work_75ov,m_did_not_go_to_work_tot,m_mt_ns_15_24,m_mt_ns_25_34,m_mt_ns_35_44,m_mt_ns_45_54,m_mt_ns_55_64,m_mt_ns_65_74,m_mt_ns_75ov,m_mt_ns_tot,m_tot_15_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75ov,m_tot_tot,f_m1_train_15_24,f_m1_train_25_34,f_m1_train_35_44,f_m1_train_45_54,f_m1_train_55_64,f_m1_train_65_74,f_m1_train_75ov,f_m1_train_tot,f_m1_bus_15_24,f_m1_bus_25_34,f_m1_bus_35_44,f_m1_bus_45_54,f_m1_bus_55_64,f_m1_bus_65_74,f_m1_bus_75ov,f_m1_bus_tot,f_m1_ferry_15_24,f_m1_ferry_25_34,f_m1_ferry_35_44,f_m1_ferry_45_54,f_m1_ferry_55_64,f_m1_ferry_65_74,f_m1_ferry_75ov,f_m1_ferry_tot,f_m1_tram_inc_lr_15_24,f_m1_tram_inc_lr_25_34,f_m1_tram_inc_lr_35_44,f_m1_tram_inc_lr_45_54,f_m1_tram_inc_lr_55_64,f_m1_tram_inc_lr_65_74,f_m1_tram_inc_lr_75ov,f_m1_tram_inc_lr_tot,f_m1_taxi_15_24,f_m1_taxi_25_34,f_m1_taxi_35_44,f_m1_taxi_45_54,f_m1_taxi_55_64,f_m1_taxi_65_74,f_m1_taxi_75ov,f_m1_taxi_tot,f_m1_carasdriv_15_24,f_m1_carasdriv_25_34,f_m1_carasdriv_35_44,f_m1_carasdriv_45_54,f_m1_carasdriv_55_64,f_m1_carasdriv_65_74,f_m1_carasdriv_75ov,f_m1_carasdriv_tot,f_m1_caraspas_15_24,f_m1_caraspas_25_34,f_m1_caraspas_35_44,f_m1_caraspas_45_54,f_m1_caraspas_55_64,f_m1_caraspas_65_74,f_m1_caraspas_75ov,f_m1_caraspas_tot,f_m1_truck_15_24,f_m1_truck_25_34,f_m1_truck_35_44,f_m1_truck_45_54,f_m1_truck_55_64,f_m1_truck_65_74,f_m1_truck_75ov,f_m1_truck_tot,f_m1_mbikescoot_15_24,f_m1_mbikescoot_25_34,f_m1_mbikescoot_35_44,f_m1_mbikescoot_45_54,f_m1_mbikescoot_55_64,f_m1_mbikescoot_65_74,f_m1_mbikescoot_75ov,f_m1_mbikescoot_tot,f_m1_bicycle_15_24,f_m1_bicycle_25_34,f_m1_bicycle_35_44,f_m1_bicycle_45_54,f_m1_bicycle_55_64,f_m1_bicycle_65_74,f_m1_bicycle_75ov,f_m1_bicycle_tot,f_m1_other_15_24,f_m1_other_25_34,f_m1_other_35_44,f_m1_other_45_54,f_m1_other_55_64,f_m1_other_65_74,f_m1_other_75ov,f_m1_other_tot,f_m1_wlkonly_15_24,f_m1_wlkonly_25_34,f_m1_wlkonly_35_44,f_m1_wlkonly_45_54,f_m1_wlkonly_55_64,f_m1_wlkonly_65_74,f_m1_wlkonly_75ov,f_m1_wlkonly_tot,f_m1_tot_m1_15_24,f_m1_tot_m1_25_34,f_m1_tot_m1_35_44,f_m1_tot_m1_45_54,f_m1_tot_m1_55_64,f_m1_tot_m1_65_74,f_m1_tot_m1_75ov,f_m1_tot_m1_tot,f_m2_trnbus_15_24,f_m2_trnbus_25_34,f_m2_trnbus_35_44,f_m2_trnbus_45_54,f_m2_trnbus_55_64,f_m2_trnbus_65_74,f_m2_trnbus_75ov,f_m2_trnbus_tot,lga_name16
10050,5,0,3,0,0,0,0,10,17,13,24,11,6,3,0,68,19,12,26,11,10,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,11,12,29,44,56,77,40,19,276,233,132,127,135,147,63,5,844,17,13,23,21,18,12,8,111,1836,2322,2295,2440,1963,520,66,11437,0,3,3,0,0,0,0,9,25,13,16,15,8,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,9,0,0,0,19,1350,1927,2070,2408,1662,254,11,9687,331,87,78,94,72,18,0,683,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,3,9,10,14,6,3,0,56,3,3,10,9,6,3,0,27,89,76,54,69,81,15,0,383,1805,2127,2244,2620,1840,294,20,10949,0,0,0,0,0,0,0,0,Albury (C)
10130,0,0,0,4,0,0,0,8,13,12,7,12,7,4,0,58,13,19,7,23,7,4,0,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,7,13,25,62,89,106,100,47,440,138,75,55,65,84,47,8,474,14,12,13,7,8,5,3,62,1037,1204,1151,1358,1146,398,102,6397,0,0,0,0,0,0,0,3,8,0,3,7,8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,17,693,776,890,1139,774,125,7,4406,142,94,70,73,64,7,0,461,0,0,0,3,3,10,0,18,4,0,0,0,4,0,0,15,0,4,3,6,5,0,0,28,0,6,11,9,4,4,0,33,49,66,49,47,65,15,3,301,913,961,1034,1288,926,167,12,5310,0,0,0,0,0,0,0,0,Armidale Regional (A)
10250,3,3,3,0,0,0,0,13,8,12,14,12,9,3,0,56,14,16,15,13,12,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,4,0,0,0,10,7,21,89,117,150,120,43,545,134,74,64,86,111,54,4,528,16,11,20,20,22,9,6,109,987,1132,1430,1617,1497,504,100,7260,0,0,0,0,0,0,0,0,23,10,4,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,598,708,1108,1362,1078,160,4,5022,162,48,49,66,60,11,0,391,0,0,0,0,3,0,0,3,3,0,3,4,3,0,0,10,10,7,17,14,12,3,0,62,0,5,4,10,8,3,0,33,52,29,42,92,60,20,5,303,841,815,1227,1553,1228,201,15,5869,0,0,0,0,0,0,0,0,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,12,9,0,40,4,0,0,0,5,0,0,14,0,3,0,0,0,0,0,7,52,53,93,94,104,30,4,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,46,45,54,3,0,209,3,5,4,7,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,4,0,0,0,0,9,3,7,5,13,18,0,0,43,30,48,64,67,75,7,3,289,0,0,0,0,0,0,0,0,Balranald (A)
10470,0,4,3,4,0,0,0,11,8,19,4,10,10,5,0,55,8,28,11,17,12,5,0,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,6,5,0,0,0,0,0,14,10,30,41,71,85,81,36,348,181,101,89,86,114,36,19,627,26,24,20,12,19,5,4,114,1393,1727,1606,1733,1412,437,106,8420,0,3,0,0,0,0,0,5,4,6,3,3,7,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,21,915,1185,1396,1544,1046,175,12,6264,188,79,68,92,75,15,0,517,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,3,3,0,5,3,0,0,0,17,4,8,3,0,7,0,0,31,79,78,34,62,59,15,0,326,1202,1361,1513,1706,1202,212,17,7219,0,0,0,0,0,0,0,0,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,3,3,9,10,11,9,0,0,47,4,9,10,13,16,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,5,5,19,64,86,141,96,40,450,117,68,84,109,161,50,11,602,19,9,11,15,16,15,7,90,692,766,996,1418,1430,431,93,5823,0,0,0,0,0,0,0,0,11,0,8,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,391,533,781,1152,919,136,10,3913,115,28,26,62,31,17,0,285,0,0,0,0,3,0,0,4,3,0,4,0,0,0,0,8,0,4,7,4,3,0,0,15,0,0,4,12,9,3,0,36,48,36,49,77,81,21,0,313,570,611,874,1310,1045,174,10,4601,0,0,0,0,0,0,0,0,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,13,0,5,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,41,62,60,45,23,245,25,20,34,35,39,7,0,159,4,0,0,5,4,0,0,23,162,254,346,433,442,145,41,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,138,200,299,260,29,6,1020,25,5,7,15,21,7,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,0,4,0,4,4,5,0,15,13,17,20,28,27,0,0,114,137,159,235,346,319,41,5,1243,0,0,0,0,0,0,0,0,Bellingen (A)
10650,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,3,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,37,64,38,9,178,15,16,14,9,24,8,3,90,3,4,4,4,0,3,5,18,173,212,226,267,350,144,41,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,119,151,195,197,39,4,800,16,6,3,3,3,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,3,0,6,4,0,0,13,12,18,15,25,20,8,4,101,114,144,179,232,225,53,11,957,0,0,0,0,0,0,0,0,Berrigan (A)
10750,33,21,20,15,10,3,0,96,75,107,93,73,44,8,0,396,291,346,285,199,140,24,5,1295,37,50,24,19,6,5,0,131,3,0,0,0,0,0,0,11,3,6,3,3,4,0,0,14,46,59,24,23,8,5,0,157,54,153,324,302,249,108,15,1206,857,573,548,481,455,159,27,3103,136,160,112,125,72,29,6,645,8525,13690,13991,12918,8824,2058,157,60169,207,343,183,158,114,17,0,1026,375,218,139,145,111,21,0,1006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,7,8,10,3,3,0,45,3635,6481,7575,7507,4592,623,35,30452,1273,482,425,560,461,86,7,3294,0,0,5,7,0,0,0,11,3,0,9,5,0,0,0,24,11,11,3,9,9,0,0,34,18,32,42,49,31,5,3,173,219,164,153,168,122,23,3,850,5754,7747,8538,8612,5443,770,47,36909,150,150,83,89,58,8,0,539,Blacktown (C)
10800,0,4,9,4,0,0,0,16,0,4,3,0,3,0,0,13,0,9,11,8,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,10,33,46,51,37,20,214,28,20,20,14,23,14,0,114,7,3,3,7,5,7,7,29,177,245,288,298,306,122,47,1487,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,118,150,137,128,14,5,630,25,12,7,10,5,0,0,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,9,5,8,12,12,15,9,0,55,111,140,170,168,149,23,7,771,0,0,0,0,0,0,0,0,Bland (A)
