lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
53150,104,66,170,1285,491,71,1850,3696,482,6027,East Fremantle (T)
53220,3,0,3,1886,579,130,2596,4400,1987,8980,East Pilbara (S)
53290,206,46,253,2130,763,121,3011,6741,1546,11303,Esperance (S)
53360,7,5,11,484,109,23,618,1304,241,2165,Exmouth (S)
53430,560,167,731,3997,1680,219,5896,16354,2544,24792,Fremantle (C)
53570,50,20,70,683,303,24,1011,2830,488,4331,Gingin (S)
53640,5,3,9,205,86,9,299,546,118,971,Gnowangerup (S)
54280,110,34,153,5371,1303,248,6922,13396,2837,23159,Kalgoorlie/Boulder (C)
54310,12,3,22,4332,779,188,5300,8360,2510,16164,Karratha (C)
53710,25,6,27,155,52,4,215,518,93,822,Goomalling (S)
53780,1103,319,1431,21001,6338,738,28078,58090,7242,93412,Gosnells (C)
53800,501,130,638,6021,2236,280,8529,18622,3444,30597,Greater Geraldton (C)
53920,7,0,7,344,214,53,613,1209,577,2393,Halls Creek (S)
53990,245,46,294,4778,1580,225,6586,12164,1911,20663,Harvey (S)
54060,78,11,85,502,166,36,706,1955,304,2958,Irwin (S)
54130,5,0,9,186,48,3,241,521,116,874,Jerramungup (S)
54170,2021,352,2401,27473,10991,1160,39627,78880,6416,124925,Joondalup (C)
54200,705,210,922,9678,3943,396,14019,28969,3295,46275,Kalamunda (S)
54340,66,19,95,523,228,33,788,2037,494,3316,Katanning (S)
54410,33,13,45,185,65,8,255,627,124,1008,Kellerberrin (S)
54480,0,0,3,106,29,3,146,225,58,427,Kent (S)
54550,33,18,62,313,136,16,461,897,206,1562,Kojonup (S)
54620,12,0,12,151,60,3,207,437,62,707,Kondinin (S)
54690,9,0,7,70,17,11,94,206,33,333,Koorda (S)
54760,8,4,20,133,49,4,183,372,58,616,Kulin (S)
54830,253,68,324,7152,1981,294,9423,17194,3615,30236,Kwinana (C)
54900,8,3,11,222,59,7,282,598,102,985,Lake Grace (S)
54970,0,0,3,160,82,12,251,550,205,1009,Laverton (S)
55040,4,3,5,211,39,4,255,610,313,1178,Leonora (S)
55110,1719,387,2124,12140,4926,543,17610,43045,5603,66260,Mandurah (C)
55180,145,54,200,1324,501,63,1884,4815,827,7523,Manjimup (S)
55250,5,5,10,116,56,17,188,466,228,876,Meekatharra (S)
55320,2524,663,3221,15762,6591,587,22937,53184,5164,81281,Melville (C)
55950,3,3,13,104,35,5,148,254,43,435,Mukinbudin (S)
55390,0,0,0,64,41,4,101,257,70,426,Menzies (S)
55460,55,13,67,485,151,30,661,1755,278,2694,Merredin (S)
55530,3,0,7,73,21,3,94,231,50,368,Mingenew (S)
56090,472,126,604,5996,2568,263,8827,18697,3996,31521,Mundaring (S)
55600,39,3,49,350,138,14,501,1190,223,1914,Moora (S)
55670,15,5,18,111,33,10,154,376,61,587,Morawa (S)
56860,0,0,8,36,14,0,46,140,17,206,Nungarin (S)
55740,115,60,182,1362,505,52,1919,4619,705,7248,Mosman Park (T)
55810,0,0,3,51,19,0,74,209,106,394,Mount Magnet (S)
55880,4,0,6,109,26,4,138,238,33,413,Mount Marshall (S)
56160,0,0,0,13,15,10,37,52,44,131,Murchison (S)
56230,254,39,298,2438,1063,133,3631,8564,1354,13557,Murray (S)
56300,14,5,18,170,67,7,249,754,122,1127,Nannup (S)
56370,22,3,25,125,46,6,171,427,71,667,Narembeen (S)
56460,108,25,132,719,318,27,1061,2482,542,4086,Narrogin (S)
56580,490,72,574,3824,1372,141,5329,10629,969,16932,Nedlands (C)
56620,0,0,3,186,251,113,550,316,343,1207,Ngaanyatjarraku (S)
56730,167,32,200,1474,636,78,2194,5441,1386,9019,Northam (S)
56790,36,21,62,416,167,14,598,1838,374,2809,Northampton (S)
56930,30,3,41,243,124,7,370,843,110,1326,Peppermint Grove (S)
57630,0,0,0,3,0,0,4,70,19,86,Sandstone (S)
57700,149,34,189,5316,1650,216,7178,11514,1741,20437,Serpentine-Jarrahdale (S)
57770,13,3,14,136,30,9,179,504,102,778,Shark Bay (S)
57840,858,275,1136,5859,2175,185,8217,24717,2953,35887,South Perth (C)
57910,3817,1015,4902,32975,11632,1047,45654,115258,13901,174807,Stirling (C)
57980,281,143,435,2739,1016,117,3866,11185,1455,16509,Subiaco (C)
58050,1009,351,1381,24318,7157,852,32324,63740,8785,104850,Swan (C)
58190,3,0,3,66,20,3,83,179,51,308,Tammin (S)
58260,19,0,17,106,26,4,134,273,46,452,Three Springs (S)
57000,7,0,8,105,25,4,137,322,73,529,Perenjori (S)
57080,132,23,160,1411,683,21,2116,15068,3473,20656,Perth (C)
57140,23,3,24,130,63,11,205,623,123,948,Pingelly (S)
57210,72,23,97,668,287,18,975,2700,522,4199,Plantagenet (S)
57280,20,10,34,2570,534,97,3200,5900,1941,11041,Port Hedland (T)
57350,29,7,27,124,53,7,183,542,120,850,Quairading (S)
57420,15,4,16,241,70,9,330,906,190,1428,Ravensthorpe (S)
57490,1314,381,1712,22938,7241,1092,31267,57216,8712,97197,Rockingham (C)
65010,66,20,86,897,335,35,1264,3193,450,4915,Southern Midlands (M)
65210,39,22,61,278,138,6,427,1333,288,2047,Tasman (M)
65410,264,47,311,1961,832,74,2868,7437,932,11238,Waratah/Wynyard (M)
65610,33,9,38,603,202,30,832,2205,347,3383,West Coast (M)
58330,30,3,35,514,257,23,790,2571,424,3781,Toodyay (S)
58400,7,3,12,36,12,0,54,190,58,296,Trayning (S)
69499,3,0,3,89,38,5,128,530,180,835,No usual address (Tas.)
58470,0,0,0,27,25,8,60,86,45,200,Upper Gascoyne (S)
58510,840,281,1132,4720,1433,177,6320,20629,3310,30255,Victoria Park (T)
69799,0,0,0,4,0,0,9,53,9,73,Migratory - Offshore - Shipping (Tas.)
70200,131,26,164,3741,1198,243,5186,11613,2763,19560,Alice Springs (T)
58540,3,3,6,144,35,3,185,471,88,746,Victoria Plains (S)
58570,593,68,663,4681,1396,199,6269,19966,2688,28927,Vincent (C)
58610,49,14,62,249,96,7,354,981,186,1517,Wagin (S)
58680,4,0,4,78,20,0,94,219,41,354,Wandering (S)
58760,1460,417,1892,36677,9884,1369,47931,86540,10531,145001,Wanneroo (C)
58820,63,36,96,606,266,29,898,2039,445,3375,Waroona (S)
58890,16,0,23,125,56,4,187,411,52,651,West Arthur (S)
59030,0,0,0,51,9,3,68,145,50,259,Westonia (S)
72800,67,17,85,6837,1486,260,8583,13912,2577,25072,Palmerston (C)
73600,3,0,6,994,628,189,1815,2232,576,4626,Roper Gulf (R)
74050,0,0,4,325,181,3,511,1203,120,1837,Tiwi Islands (R)
74550,7,3,10,300,240,53,594,1008,441,2052,Victoria Daly (R)
59100,8,4,15,127,34,0,167,354,55,576,Wickepin (S)
74560,3,0,3,59,27,4,89,276,29,392,Wagait (S)
74660,11,0,9,958,880,444,2279,1518,750,4555,West Arnhem (R)
74680,0,0,0,713,507,29,1248,609,267,2128,West Daly (R)
79399,3,3,9,1106,217,61,1377,3030,1020,5432,Unincorporated NT
79499,0,0,0,151,57,0,211,1317,747,2281,No usual address (NT)
59170,14,0,13,165,66,4,231,465,79,776,Williams (S)
