lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
18250,1496,203,1731,14362,3159,331,17847,38536,3516,59899,Willoughby (C)
18350,1139,274,1428,7146,3120,323,10591,25495,3390,39473,Wingecarribee (A)
18400,480,156,652,8870,3269,339,12476,22555,2805,37840,Wollondilly (A)
18450,4408,769,5253,32352,14564,1477,48393,107426,11254,167073,Wollongong (C)
18500,1280,285,1599,8181,3118,188,11488,29555,4721,45764,Woollahra (A)
18710,185,110,296,2786,1102,121,4007,7542,1192,12744,Yass Valley (A)
19399,16,3,22,158,50,9,216,544,112,869,Unincorporated NSW
19499,49,28,78,847,475,45,1373,6811,3361,11545,No usual address (NSW)
19799,6,0,10,39,37,0,79,226,76,374,Migratory - Offshore - Shipping (NSW)
20110,296,82,383,1610,666,98,2373,6933,1070,10384,Alpine (S)
20260,278,73,359,1444,750,78,2265,5950,1587,9798,Ararat (RC)
20570,1997,382,2409,16404,6999,818,24218,51395,6616,82219,Ballarat (C)
20660,2637,561,3253,20941,7664,753,29360,64340,6156,99850,Banyule (C)
20740,869,245,1143,4593,2183,228,7006,17719,2738,27459,Bass Coast (S)
20830,850,241,1112,7621,3415,405,11443,24206,3541,39188,Baw Baw (S)
20910,3054,519,3624,17607,6172,643,24417,49085,5170,78669,Bayside (C)
21010,434,83,528,1715,921,69,2710,7740,1238,11686,Benalla (RC)
21110,4223,527,4829,27935,9502,857,38297,92024,8104,138430,Boroondara (C)
21180,2386,492,2926,29811,9903,660,40375,105038,13049,158457,Brimbank (C)
21270,253,84,336,778,375,37,1188,3373,643,5206,Buloke (S)
21370,891,254,1164,5284,2381,208,7875,19334,3215,30424,Campaspe (S)
21450,960,189,1185,18431,5519,783,24734,42326,5346,72402,Cardinia (S)
21610,2881,518,3450,57003,15251,1746,74001,142104,15346,231449,Casey (C)
21670,351,94,448,1635,751,60,2444,7418,1123,10982,Central Goldfields (S)
21750,456,116,585,2977,1502,138,4618,10951,1706,17277,Colac-Otway (S)
21830,361,91,468,2294,1002,89,3388,8341,1393,13125,Corangamite (S)
21890,2952,728,3736,22341,6622,789,29760,83112,10410,123281,Darebin (C)
22110,992,386,1391,5764,2624,242,8629,24879,4378,37892,East Gippsland (S)
22170,2157,523,2713,22823,8563,1018,32405,67799,8910,109114,Frankston (C)
22250,309,61,378,1360,621,68,2044,5921,906,8870,Gannawarra (S)
22830,1176,291,1484,9858,3560,439,13850,31745,5532,51131,Greater Shepparton (C)
22910,345,112,469,2016,994,95,3101,8337,1496,12934,Hepburn (S)
22980,237,54,290,708,306,30,1044,3347,467,4859,Hindmarsh (S)
23110,1621,300,1952,15296,4402,491,20184,47008,5236,72429,Hobsons Bay (C)
23190,506,93,613,3118,1229,153,4494,10161,1261,15913,Horsham (RC)
23270,1601,253,1889,33952,9364,933,44252,97795,11418,153462,Hume (C)
23350,287,56,353,2424,1089,114,3631,8243,1232,13104,Indigo (S)
23430,3205,865,4139,25906,8613,908,35434,80648,8515,124594,Kingston (C) (Vic.)
23670,2601,469,3105,26117,9708,938,36764,83565,6719,127047,Knox (C)
23810,1367,366,1761,10748,4901,549,16197,37667,6138,59998,Latrobe (C) (Vic.)
23940,197,52,256,888,438,38,1363,4103,853,6322,Loddon (S)
24130,620,169,811,8279,2892,416,11589,21969,3110,36659,Macedon Ranges (S)
24210,3116,503,3668,18813,7874,499,27194,65105,5231,97529,Manningham (C)
24250,170,33,207,1188,514,68,1769,4557,724,7049,Mansfield (S)
24330,1098,263,1379,12874,2998,469,16348,46847,5900,69093,Maribyrnong (C)
24410,2162,464,2647,19554,7256,830,27638,57023,5106,89771,Maroondah (C)
24600,824,405,1255,9312,3863,188,13365,98318,15545,127232,Melbourne (C)
24650,741,130,887,26955,6712,759,34426,59127,8540,102097,Melton (C)
24780,1118,280,1419,7775,3260,347,11380,27419,4847,43642,Mildura (RC)
24850,445,133,581,7055,2299,241,9596,19507,3333,32439,Mitchell (S)
24900,717,200,935,3976,1806,158,5937,15401,2641,23981,Moira (S)
24970,4277,747,5088,28729,9614,716,39056,105715,8944,153720,Monash (C)
17400,94,75,176,751,341,20,1114,3702,771,5591,Tenterfield (A)
22750,5213,1173,6460,37358,15885,1636,54881,120609,15681,191166,Greater Geelong (C)
25060,2471,456,2967,18499,6295,454,25253,64568,7298,97118,Moonee Valley (C)
25150,401,76,491,5474,1996,217,7683,15662,2028,25373,Moorabool (S)
25250,3773,477,4311,24278,6775,789,31844,94533,10081,136461,Moreland (C)
25340,4087,909,5059,24422,11395,1088,36895,80928,10329,128156,Mornington Peninsula (S)
25430,409,144,563,2523,1208,192,3926,9700,2318,15946,Mount Alexander (S)
25490,299,74,373,2702,1044,105,3846,7964,1320,13134,Moyne (S)
25620,259,52,314,1867,875,77,2814,7437,1296,11546,Murrindindi (S)
25710,581,105,705,11242,4449,508,16196,30443,2577,49213,Nillumbik (S)
25810,338,54,400,1494,672,79,2243,6533,958,9724,Northern Grampians (S)
25900,1204,204,1433,12251,4499,439,17186,61834,10056,89077,Port Phillip (C)
25990,127,45,178,896,430,48,1375,3744,986,6105,Pyrenees (S)
26080,129,21,149,314,283,7,606,1644,275,2523,Queenscliffe (B)
26170,659,140,808,4126,1969,200,6306,14873,2405,23581,South Gippsland (S)
26260,437,138,582,2306,992,100,3401,8645,1155,13199,Southern Grampians (S)
26350,2077,357,2472,12927,5280,372,18581,64613,7775,90965,Stonnington (C)
26430,283,92,376,1268,689,46,1999,5805,954,8763,Strathbogie (S)
26490,481,75,566,5431,2094,248,7776,13896,1677,23345,Surf Coast (S)
26610,411,141,563,2860,1153,126,4144,9993,2513,16646,Swan Hill (RC)
26670,158,37,197,777,397,31,1202,3312,509,5023,Towong (S)
26700,673,325,1008,4236,1937,184,6354,14538,2315,23209,Wangaratta (RC)
26730,760,194,969,5214,2187,259,7650,17348,2541,27546,Warrnambool (C)
26810,833,186,1033,6233,2732,312,9280,21815,4264,35358,Wellington (S)
26890,98,32,132,578,202,16,805,2162,272,3234,West Wimmera (S)
26980,4088,805,4959,27642,9021,878,37541,90023,7268,134835,Whitehorse (C)
27070,2029,278,2354,36904,10218,952,48074,97046,10185,155311,Whittlesea (C)
27170,624,104,745,6586,2522,302,9411,19282,2545,31242,Wodonga (C)
27260,1118,301,1451,46574,9986,1150,57708,93419,12182,163311,Wyndham (C)
27350,867,179,1075,9432,3812,337,13577,55590,7816,76983,Yarra (C)
27450,2101,401,2533,25756,10488,1273,37521,75673,7893,121080,Yarra Ranges (S)
27630,247,78,332,818,385,41,1242,3767,613,5618,Yarriambiack (S)
29399,0,0,0,91,39,0,133,391,218,746,Unincorporated Vic
29499,25,13,38,649,290,14,960,3900,1969,6825,No usual address (Vic.)
29799,0,0,0,5,0,0,5,18,3,25,Migratory - Offshore - Shipping (Vic.)
30250,0,0,0,169,190,41,397,463,42,901,Aurukun (S)
30300,46,11,64,694,196,37,926,2148,362,3437,Balonne (S)
30370,178,34,211,2482,756,98,3335,6641,1176,11152,Banana (S)
30410,37,13,51,429,129,17,574,1490,223,2279,Barcaldine (R)
30450,3,0,3,32,9,0,44,171,14,232,Barcoo (S)
30760,37,3,42,262,90,11,365,1078,127,1572,Blackall-Tambo (R)
34710,69,12,76,543,172,10,719,1912,332,2964,Longreach (R)
34770,1407,220,1645,19514,6514,883,26910,55141,9151,91204,Mackay (R)
34800,5,0,9,144,28,5,177,419,66,665,McKinlay (S)
34830,0,0,0,38,34,0,75,130,19,224,Mapoon (S)
34860,182,44,225,2094,609,64,2777,5994,1147,9908,Maranoa (R)
34880,314,62,379,2798,1125,202,4126,10443,3117,17681,Mareeba (S)
35010,5244,2052,7364,74768,26934,3671,105375,205417,25379,336175,Moreton Bay (R)
35250,0,0,0,98,114,115,337,357,101,793,Mornington (S)
35300,59,20,80,3217,933,146,4295,7930,1962,14193,Mount Isa (C)
35600,73,21,102,655,220,21,893,2157,357,3411,Murweh (S)
35670,0,0,0,168,67,8,241,407,16,665,Napranum (S)
35740,1027,334,1373,7674,2827,327,10831,29198,3677,43702,Noosa (S)
35760,227,63,292,1363,510,47,1922,5433,1266,8625,North Burnett (R)
35780,6,0,6,495,233,40,768,873,128,1768,Northern Peninsula Area (R)
35790,0,0,0,413,235,34,680,925,61,1662,Palm Island (S)
35800,14,8,29,187,86,8,285,907,141,1325,Paroo (S)
36070,0,0,0,108,68,8,182,351,24,553,Pormpuraaw (S)
36150,9,0,9,137,36,6,173,418,49,648,Quilpie (S)
36250,2530,729,3279,24659,10176,1094,35934,76342,7129,119405,Redland (C)
17100,667,73,752,6029,1547,100,7676,23664,2745,34086,Strathfield (A)
17150,5266,605,5947,39063,15855,1314,56237,111452,9116,176814,Sutherland Shire (A)
17200,1272,483,1790,15744,5829,447,22019,145947,26373,194336,Sydney (C)
17310,1139,276,1437,9133,3733,436,13305,29321,4922,47550,Tamworth Regional (A)
17350,187,18,210,861,365,36,1267,3256,410,4934,Temora (A)
22310,3670,509,4240,24761,7246,733,32745,75437,6933,115105,Glen Eira (C)
22410,436,109,555,2690,1198,117,4006,10599,1765,16377,Glenelg (S)
22490,191,21,225,4128,1453,175,5754,9771,1244,16769,Golden Plains (S)
22620,2101,603,2743,17585,7659,831,26073,55316,7897,89283,Greater Bendigo (C)
22670,2575,402,3008,23048,6536,453,30033,84830,9739,124599,Greater Dandenong (C)
36300,8,0,8,119,37,0,156,413,70,638,Richmond (S)
36370,1223,375,1609,12796,4957,629,18384,38582,6181,63147,Rockhampton (R)
36510,687,112,804,6013,2493,314,8814,20329,3342,32494,Scenic Rim (R)
36580,281,55,346,3649,1497,176,5324,12184,2060,19567,Somerset (R)
36630,603,110,715,4447,1644,213,6306,17080,2671,26054,South Burnett (R)
36660,760,135,902,4992,1908,206,7109,18872,2529,28501,Southern Downs (R)
36720,6331,1307,7706,47999,17078,1983,67063,155943,17990,240989,Sunshine Coast (R)
36820,505,114,622,3315,1381,173,4866,13151,2301,20319,Tablelands (R)
36910,2774,996,3802,25488,9556,1195,36237,80602,11351,128188,Toowoomba (R)
36950,10,3,14,471,159,35,666,1444,524,2627,Torres (S)
36960,9,0,6,763,242,56,1060,1552,338,2954,Torres Strait Island (R)
37010,1946,328,2305,30463,10725,1416,42605,92314,14127,149046,Townsville (C)
31750,7,0,7,52,19,5,69,194,28,289,Bulloo (S)
31820,1863,468,2348,12878,4822,540,18238,50979,7267,76488,Bundaberg (R)
31900,347,107,463,2474,1073,55,3602,9030,1405,14039,Burdekin (S)
31950,0,0,0,29,14,0,44,169,59,274,Burke (S)
32080,1558,390,1981,25355,7841,1231,34430,76691,13667,124795,Cairns (R)
32250,9,0,10,211,88,6,303,1009,229,1548,Carpentaria (S)
32260,537,100,647,3883,1490,126,5496,15173,2791,23462,Cassowary Coast (R)
32270,102,25,133,5380,1284,221,6891,11087,3094,21073,Central Highlands (R) (Qld)
32310,172,36,211,1681,611,67,2359,5764,1206,9327,Charters Towers (R)
30900,0,0,0,37,17,0,56,233,63,351,Boulia (S)
31000,16662,3961,20904,185996,59417,6662,252076,612058,67750,931879,Brisbane (C)
34580,460,120,587,5648,2164,262,8068,19457,3530,31063,Lockyer Valley (R)
34590,2850,468,3357,52598,18758,2269,73630,142804,18420,234848,Logan (C)
32330,5,0,5,139,64,3,202,553,48,807,Cherbourg (S)
32450,13,8,20,444,126,11,583,1423,409,2416,Cloncurry (S)
32500,24,11,31,490,226,40,756,2028,653,3439,Cook (S)
32600,3,0,4,20,17,0,36,125,67,229,Croydon (S)
37300,0,0,3,781,144,45,968,1564,336,2866,Weipa (T)
37310,472,117,599,5439,1634,196,7271,15336,3449,26057,Western Downs (R)
37340,325,115,440,4810,1473,225,6510,16952,4199,27657,Whitsunday (R)
32750,0,0,0,37,14,0,53,150,39,239,Diamantina (S)
41140,243,27,276,1305,619,53,1984,4814,598,7394,Clare and Gilbert Valleys (DC)
41060,3160,428,3637,16277,6953,548,23772,64684,5963,94420,Charles Sturt (C)
32770,0,0,0,279,103,3,384,429,45,862,Doomadgee (S)
32810,86,69,159,1502,525,63,2088,6165,1531,9783,Douglas (S)
33100,3,0,3,113,24,3,144,430,83,651,Etheridge (S)
33200,25,0,28,225,64,0,290,843,131,1269,Flinders (S) (Qld)
33220,2049,494,2553,13266,4798,606,18668,56923,8866,84458,Fraser Coast (R)
33360,426,74,509,11431,3149,527,15099,28281,4314,47696,Gladstone (R)
33430,8722,2829,11643,91597,29843,3429,124873,288191,41802,454866,Gold Coast (C)
33610,172,39,216,1727,526,47,2293,5040,1029,8356,Goondiwindi (R)
33620,731,296,1037,7014,2567,301,9884,26376,4249,40504,Gympie (R)
33800,342,74,414,1365,611,48,2024,6198,955,9178,Hinchinbrook (S)
33830,7,0,7,171,142,17,332,263,67,658,Hope Vale (S)
33960,1891,336,2246,35126,11789,1628,48538,87135,12136,147814,Ipswich (C)
33980,67,10,72,4334,782,150,5268,7644,2731,15641,Isaac (R)
34420,7,0,7,144,141,3,284,377,33,694,Kowanyama (S)
34530,497,189,694,5601,2246,266,8118,17729,3571,29418,Livingstone (S)
34570,0,0,0,126,67,4,200,213,75,493,Lockhart River (S)
37400,21,12,32,153,59,8,218,620,103,949,Winton (S)
41750,18,0,21,164,65,6,236,546,60,842,Elliston (DC)
37550,0,0,0,88,55,0,152,429,58,637,Woorabinda (S)
65810,417,75,498,3466,1370,148,4984,12312,1432,18732,West Tamar (M)
37570,0,0,0,29,51,10,89,121,11,217,Wujal Wujal (S)
37600,5,0,5,330,283,38,645,978,66,1687,Yarrabah (S)
39499,30,11,44,760,474,19,1251,7804,2633,11693,No usual address (Qld)
39799,0,3,4,13,17,0,28,90,21,144,Migratory - Offshore - Shipping (Qld)
64210,417,73,492,2915,1217,124,4248,10444,1257,15952,Meander Valley (M)
64610,188,44,238,1891,727,74,2684,6878,1050,10612,Northern Midlands (M)
64810,217,37,263,2330,930,108,3374,7430,931,11733,Sorell (M)
40070,320,48,379,1446,946,61,2449,15912,2491,20850,Adelaide (C)
40120,592,72,674,6707,3013,353,10077,19686,1837,31601,Adelaide Hills (DC)
40220,665,152,824,3488,1965,166,5619,14330,1885,21834,Alexandrina (DC)
40250,5,5,18,320,286,105,711,744,275,1724,Anangu Pitjantjatjara (AC)
40310,519,91,625,3774,1654,193,5617,12200,1359,19183,Barossa (DC)
40430,82,27,105,286,164,18,467,1488,240,2198,Barunga West (DC)
40520,271,49,332,1477,583,56,2113,5734,802,8652,Berri and Barmera (DC)
40700,1416,217,1666,7372,3160,265,10797,23737,1880,36413,Burnside (C)
40910,1493,159,1673,7991,3222,228,11441,28532,1991,41969,Campbelltown (C) (SA)
41010,34,27,67,464,220,22,707,1546,445,2699,Ceduna (DC)
41190,50,16,61,290,110,12,414,861,132,1411,Cleve (DC)
41330,7,5,15,181,48,3,230,950,305,1485,Coober Pedy (DC)
41560,329,115,445,1751,792,70,2611,8156,1185,11951,Copper Coast (DC)
41830,30,13,42,207,85,4,292,954,146,1396,Flinders Ranges (DC)
41960,32,18,46,160,82,12,257,688,128,1072,Franklin Harbour (DC)
42030,558,112,668,3531,1595,137,5263,12283,1413,18955,Gawler (T)
42110,81,11,91,578,252,22,856,2254,309,3422,Goyder (DC)
42250,76,28,111,1322,668,51,2043,3676,949,6665,Grant (DC)
42600,1452,224,1686,4787,2753,177,7713,20737,2156,30609,Holdfast Bay (C)
42750,88,27,123,655,304,46,1001,2467,463,3932,Kangaroo Island (DC)
43080,37,9,50,152,76,8,231,575,80,891,Karoonda East Murray (DC)
43220,23,8,32,187,64,12,266,476,60,810,Kimba (DC)
43360,58,14,70,319,129,11,460,1307,208,1977,Kingston (DC) (SA)
43650,144,16,166,2640,936,130,3708,7100,737,11542,Light (RegC)
43710,63,20,76,917,382,43,1341,2492,588,4417,Lower Eyre Peninsula (DC)
43790,308,61,380,1633,735,86,2458,6231,768,9462,Loxton Waikerie (DC)
43920,66,24,90,1425,642,68,2137,4380,587,7108,Mallala (DC)
44000,0,0,0,0,0,0,3,15,31,50,Maralinga Tjarutja (AC)
44060,2429,310,2760,13991,5720,508,20222,49791,4217,74231,Marion (C)
44210,141,38,188,1006,519,45,1569,5044,889,7505,Mid Murray (DC)
44340,1888,311,2225,10954,4773,512,16236,34391,2755,53383,Mitcham (C)
44550,526,83,620,5962,2315,313,8583,16326,1742,26654,Mount Barker (DC)
