lga_code16,eafw_18_techfei_ns,eafw_18_techfei_tot,eafw_18_uniotis_ft,eafw_18_uniotis_pt,eafw_18_uniotis_ns,eafw_18_uniotis_tot,eafw_18_other,eafw_18_ns,eafw_18_tot,eafw_19_techfei_ft,eafw_19_techfei_pt,eafw_19_techfei_ns,eafw_19_techfei_tot,eafw_19_uniotis_ft,eafw_19_uniotis_pt,eafw_19_uniotis_ns,eafw_19_uniotis_tot,eafw_19_other,eafw_19_ns,eafw_19_tot,eafw_20_24_techfei_ft,eafw_20_24_techfei_pt,eafw_20_24_techfei_ns,eafw_20_24_techfei_tot,eafw_20_24_uniotis_ft,eafw_20_24_uniotis_pt,eafw_20_24_uniotis_ns,eafw_20_24_uniotis_tot,eafw_20_24_other,eafw_20_24_ns,eafw_20_24_tot,eafw_25_29_techfei_ft,eafw_25_29_techfei_pt,eafw_25_29_techfei_ns,eafw_25_29_techfei_tot,eafw_25_29_uniotis_ft,eafw_25_29_uniotis_pt,eafw_25_29_uniotis_ns,eafw_25_29_uniotis_tot,eafw_25_29_other,eafw_25_29_ns,eafw_25_29_tot,eafw_30over_techfei_ft,eafw_30over_techfei_pt,eafw_30over_techfei_ns,eafw_30over_techfei_tot,eafw_30over_uniotis_ft,eafw_30over_uniotis_pt,eafw_30over_uniotis_ns,eafw_30over_uniotis_tot,eafw_30over_other,eafw_30over_ns,eafw_30over_tot,eafw_tot_techfei_ft,eafw_tot_techfei_pt,eafw_tot_techfei_ns,eafw_tot_techfei_tot,eafw_tot_uniotis_ft,eafw_tot_uniotis_pt,eafw_tot_uniotis_ns,eafw_tot_uniotis_tot,eafw_tot_other,eafw_tot_ns,eafw_tot_tot,tot_16_techfei_ft,tot_16_techfei_pt,tot_16_techfei_ns,tot_16_techfei_tot,tot_16_uniotis_ft,tot_16_uniotis_pt,tot_16_uniotis_ns,tot_16_uniotis_tot,tot_16_other,tot_16_ns,tot_16_tot,tot_17_techfei_ft,tot_17_techfei_pt,tot_17_techfei_ns,tot_17_techfei_tot,tot_17_uniotis_ft,tot_17_uniotis_pt,tot_17_uniotis_ns,tot_17_uniotis_tot,tot_17_other,tot_17_ns,tot_17_tot,tot_18_techfei_ft,tot_18_techfei_pt,tot_18_techfei_ns,tot_18_techfei_tot,tot_18_uniotis_ft,tot_18_uniotis_pt,tot_18_uniotis_ns,tot_18_uniotis_tot,tot_18_other,tot_18_ns,tot_18_tot,tot_19_techfei_ft,tot_19_techfei_pt,tot_19_techfei_ns,tot_19_techfei_tot,tot_19_uniotis_ft,tot_19_uniotis_pt,tot_19_uniotis_ns,tot_19_uniotis_tot,tot_19_other,tot_19_ns,tot_19_tot,tot_20_24_techfei_ft,tot_20_24_techfei_pt,tot_20_24_techfei_ns,tot_20_24_techfei_tot,tot_20_24_uniotis_ft,tot_20_24_uniotis_pt,tot_20_24_uniotis_ns,tot_20_24_uniotis_tot,tot_20_24_other,tot_20_24_ns,tot_20_24_tot,tot_25_29_techfei_ft,tot_25_29_techfei_pt,tot_25_29_techfei_ns,tot_25_29_techfei_tot,tot_25_29_uniotis_ft,tot_25_29_uniotis_pt,tot_25_29_uniotis_ns,tot_25_29_uniotis_tot,tot_25_29_other,tot_25_29_ns,tot_25_29_tot,tot_30over_techfei_ft,tot_30over_techfei_pt,tot_30over_techfei_ns,tot_30over_techfei_tot,tot_30over_uniotis_ft,tot_30over_uniotis_pt,tot_30over_uniotis_ns,tot_30over_uniotis_tot,tot_30over_other,tot_30over_ns,tot_30over_tot,tot_tot_techfei_ft,tot_tot_techfei_pt,tot_tot_techfei_ns,tot_tot_techfei_tot,tot_tot_uniotis_ft,tot_tot_uniotis_pt,tot_tot_uniotis_ns,tot_tot_uniotis_tot,tot_tot_other,tot_tot_ns,tot_tot_tot,lga_name16
10050,0,0,7,0,0,7,12,0,17,0,0,0,0,19,0,0,19,3,0,26,0,3,0,3,40,3,0,41,3,4,52,0,3,0,5,9,10,0,17,0,3,19,0,15,0,15,4,22,0,34,7,26,75,3,25,0,29,73,31,0,110,64,37,236,0,4,0,4,0,0,0,0,246,4,258,12,21,0,30,0,0,0,0,291,8,326,18,51,0,69,40,4,0,44,153,3,267,12,48,0,61,80,9,0,94,19,4,175,52,173,0,226,372,97,0,475,29,11,734,32,83,0,116,83,131,0,213,29,17,368,47,261,0,303,110,370,0,477,112,159,1060,162,639,0,808,683,613,3,1300,884,203,3189,Albury (C)
10130,0,0,9,0,0,9,7,0,20,0,0,0,0,20,0,0,23,0,0,23,0,4,0,6,56,7,0,67,0,0,76,0,3,0,3,14,6,0,15,0,0,26,0,12,0,9,6,20,0,28,0,12,48,3,20,0,25,112,33,0,144,34,15,214,5,4,0,10,0,0,0,0,117,0,124,3,8,0,18,3,0,0,3,120,0,139,3,13,0,21,72,3,0,71,49,0,146,7,16,0,19,114,9,0,121,3,0,143,28,68,0,92,362,140,0,504,11,11,614,16,43,0,56,104,76,3,181,9,8,253,6,141,3,152,137,321,5,466,54,89,759,72,294,0,375,787,557,7,1343,355,111,2184,Armidale Regional (A)
10250,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,3,0,10,0,3,15,0,0,0,0,0,0,0,0,0,3,8,3,8,0,9,5,4,0,15,4,10,32,6,13,0,19,15,13,0,28,36,10,96,7,9,0,15,0,0,0,0,160,0,176,0,19,0,22,0,0,0,0,161,8,192,3,27,0,33,15,0,0,18,95,5,142,3,24,0,26,36,3,0,34,5,5,76,21,76,3,94,135,58,0,194,7,7,306,12,28,0,40,38,47,0,85,10,10,144,29,187,0,216,68,232,6,309,68,124,718,67,370,4,444,289,349,9,643,513,157,1746,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,4,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,4,12,0,3,0,3,0,0,0,0,0,0,4,0,8,0,8,0,8,0,8,3,14,30,0,18,0,22,0,10,0,9,10,14,54,Balranald (A)
10470,0,3,14,0,0,14,9,0,23,0,3,0,3,15,0,0,15,0,0,17,4,5,0,11,55,5,0,60,0,0,73,0,4,0,4,6,0,0,11,0,3,18,0,13,0,16,8,14,0,20,3,14,51,10,27,0,40,92,24,0,121,37,23,208,0,4,0,4,0,0,0,0,141,7,145,8,18,0,21,0,0,0,0,147,8,177,12,40,0,51,68,3,0,70,52,0,176,7,46,0,56,119,6,0,130,5,0,189,25,104,3,134,472,117,0,585,8,8,740,18,71,0,85,67,89,0,158,24,15,287,30,230,0,255,65,365,0,430,73,142,909,101,501,4,610,792,582,4,1380,453,184,2622,Bathurst Regional (A)
10550,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,3,0,3,9,0,0,0,0,3,3,0,4,0,3,8,0,6,0,5,0,12,0,7,7,11,30,3,5,0,12,8,15,0,24,32,15,81,0,3,0,9,0,0,0,0,107,3,121,3,11,0,14,0,0,0,0,131,4,149,3,14,0,21,5,0,0,5,57,0,82,7,17,0,26,9,0,0,8,5,3,43,10,57,0,63,30,26,0,58,7,12,140,7,37,0,37,10,33,0,42,7,9,101,9,89,3,100,33,157,0,191,51,155,492,37,233,3,270,87,214,0,304,368,185,1125,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,7,0,0,10,10,9,22,0,0,0,0,0,0,0,0,33,0,39,0,0,0,0,0,0,0,0,33,0,40,0,9,0,9,0,0,0,0,23,0,30,3,9,0,6,3,0,0,8,0,0,14,4,0,0,4,13,7,0,15,0,3,30,0,3,0,3,4,11,0,17,0,6,23,9,34,0,47,16,65,0,74,13,48,189,13,56,0,72,31,80,0,112,108,61,355,Bellingen (A)
10650,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,3,0,5,3,0,0,7,8,4,21,0,3,0,3,0,0,0,0,14,0,11,0,3,0,3,0,0,0,0,20,3,26,0,4,0,4,0,0,0,0,9,0,13,0,11,0,9,3,0,0,6,0,0,19,0,12,0,14,6,8,0,11,3,0,30,0,6,0,6,3,10,0,12,0,3,19,7,27,0,29,3,29,0,32,9,28,99,9,61,0,67,20,39,0,62,53,40,218,Berrigan (A)
10750,0,11,25,0,0,26,33,0,74,3,11,0,9,30,0,0,36,6,3,57,13,25,0,33,121,24,0,147,14,12,204,0,15,0,21,19,15,0,38,11,12,79,9,41,0,59,21,35,3,61,34,67,217,35,101,5,142,224,79,3,308,238,104,789,13,33,0,50,0,0,0,0,820,19,886,19,64,0,88,10,0,0,10,748,20,865,64,158,0,224,462,33,0,494,233,8,959,57,174,3,241,621,71,3,704,40,15,1002,180,464,6,647,1991,494,6,2488,216,72,3421,102,265,3,367,402,414,3,818,184,57,1432,213,868,22,1101,419,1110,23,1547,641,553,3844,647,2026,32,2709,3903,2118,38,6062,2875,752,12400,Blacktown (C)
10800,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,11,9,0,3,0,3,5,6,0,10,6,15,29,0,0,0,0,0,0,0,0,12,0,14,0,3,0,5,0,0,0,0,16,0,22,0,8,0,8,0,0,0,0,9,0,15,0,0,0,0,4,0,0,4,0,0,5,3,9,0,11,10,6,0,13,3,0,25,0,6,0,7,3,11,0,15,0,3,26,3,24,0,21,3,19,0,22,11,35,87,5,49,0,55,20,34,0,59,45,42,197,Bland (A)
