lga_code16,ewft_16_techfei_ft,ewft_16_techfei_pt,ewft_16_techfei_ns,ewft_16_techfei_tot,ewft_16_uniotis_ft,ewft_16_uniotis_pt,ewft_16_uniotis_ns,ewft_16_uniotis_tot,ewft_16_other,ewft_16_ns,ewft_16_tot,ewft_17_techfei_ft,ewft_17_techfei_pt,ewft_17_techfei_ns,ewft_17_techfei_tot,ewft_17_uniotis_ft,ewft_17_uniotis_pt,ewft_17_uniotis_ns,ewft_17_uniotis_tot,ewft_17_other,ewft_17_ns,ewft_17_tot,ewft_18_techfei_ft,ewft_18_techfei_pt,ewft_18_techfei_ns,ewft_18_techfei_tot,ewft_18_uniotis_ft,ewft_18_uniotis_pt,ewft_18_uniotis_ns,ewft_18_uniotis_tot,ewft_18_other,ewft_18_ns,ewft_18_tot,ewft_19_techfei_ft,ewft_19_techfei_pt,ewft_19_techfei_ns,ewft_19_techfei_tot,ewft_19_uniotis_ft,ewft_19_uniotis_pt,ewft_19_uniotis_ns,ewft_19_uniotis_tot,ewft_19_other,ewft_19_ns,ewft_19_tot,ewft_20_24_techfei_ft,ewft_20_24_techfei_pt,ewft_20_24_techfei_ns,ewft_20_24_techfei_tot,ewft_20_24_uniotis_ft,ewft_20_24_uniotis_pt,ewft_20_24_uniotis_ns,ewft_20_24_uniotis_tot,ewft_20_24_other,ewft_20_24_ns,ewft_20_24_tot,ewft_25_29_techfei_ft,ewft_25_29_techfei_pt,ewft_25_29_techfei_ns,ewft_25_29_techfei_tot,ewft_25_29_uniotis_ft,ewft_25_29_uniotis_pt,ewft_25_29_uniotis_ns,ewft_25_29_uniotis_tot,ewft_25_29_other,ewft_25_29_ns,ewft_25_29_tot,ewft_30over_techfei_ft,ewft_30over_techfei_pt,ewft_30over_techfei_ns,ewft_30over_techfei_tot,ewft_30over_uniotis_ft,ewft_30over_uniotis_pt,ewft_30over_uniotis_ns,ewft_30over_uniotis_tot,ewft_30over_other,ewft_30over_ns,ewft_30over_tot,ewft_tot_techfei_ft,ewft_tot_techfei_pt,ewft_tot_techfei_ns,ewft_tot_techfei_tot,ewft_tot_uniotis_ft,ewft_tot_uniotis_pt,ewft_tot_uniotis_ns,ewft_tot_uniotis_tot,ewft_tot_other,ewft_tot_ns,ewft_tot_tot,ewpt_16_techfei_ft,ewpt_16_techfei_pt,ewpt_16_techfei_ns,ewpt_16_techfei_tot,ewpt_16_uniotis_ft,ewpt_16_uniotis_pt,ewpt_16_uniotis_ns,ewpt_16_uniotis_tot,ewpt_16_other,ewpt_16_ns,ewpt_16_tot,ewpt_17_techfei_ft,ewpt_17_techfei_pt,ewpt_17_techfei_ns,ewpt_17_techfei_tot,ewpt_17_uniotis_ft,ewpt_17_uniotis_pt,ewpt_17_uniotis_ns,ewpt_17_uniotis_tot,ewpt_17_other,ewpt_17_ns,ewpt_17_tot,ewpt_18_techfei_ft,ewpt_18_techfei_pt,ewpt_18_techfei_ns,ewpt_18_techfei_tot,ewpt_18_uniotis_ft,ewpt_18_uniotis_pt,ewpt_18_uniotis_ns,ewpt_18_uniotis_tot,ewpt_18_other,ewpt_18_ns,ewpt_18_tot,ewpt_19_techfei_ft,ewpt_19_techfei_pt,ewpt_19_techfei_ns,ewpt_19_techfei_tot,ewpt_19_uniotis_ft,ewpt_19_uniotis_pt,ewpt_19_uniotis_ns,ewpt_19_uniotis_tot,ewpt_19_other,ewpt_19_ns,ewpt_19_tot,ewpt_20_24_techfei_ft,ewpt_20_24_techfei_pt,ewpt_20_24_techfei_ns,ewpt_20_24_techfei_tot,ewpt_20_24_uniotis_ft,ewpt_20_24_uniotis_pt,ewpt_20_24_uniotis_ns,ewpt_20_24_uniotis_tot,ewpt_20_24_other,ewpt_20_24_ns,ewpt_20_24_tot,ewpt_25_29_techfei_ft,ewpt_25_29_techfei_pt,ewpt_25_29_techfei_ns,ewpt_25_29_techfei_tot,ewpt_25_29_uniotis_ft,ewpt_25_29_uniotis_pt,ewpt_25_29_uniotis_ns,ewpt_25_29_uniotis_tot,ewpt_25_29_other,ewpt_25_29_ns,ewpt_25_29_tot,ewpt_30over_techfei_ft,ewpt_30over_techfei_pt,ewpt_30over_techfei_ns,ewpt_30over_techfei_tot,ewpt_30over_uniotis_ft,ewpt_30over_uniotis_pt,ewpt_30over_uniotis_ns,ewpt_30over_uniotis_tot,ewpt_30over_other,ewpt_30over_ns,ewpt_30over_tot,ewpt_tot_techfei_ft,ewpt_tot_techfei_pt,ewpt_tot_techfei_ns,ewpt_tot_techfei_tot,ewpt_tot_uniotis_ft,ewpt_tot_uniotis_pt,ewpt_tot_uniotis_ns,ewpt_tot_uniotis_tot,ewpt_tot_other,ewpt_tot_ns,ewpt_tot_tot,eafw_16_techfei_ft,eafw_16_techfei_pt,eafw_16_techfei_ns,eafw_16_techfei_tot,eafw_16_uniotis_ft,eafw_16_uniotis_pt,eafw_16_uniotis_ns,eafw_16_uniotis_tot,eafw_16_other,eafw_16_ns,eafw_16_tot,eafw_17_techfei_ft,eafw_17_techfei_pt,eafw_17_techfei_ns,eafw_17_techfei_tot,eafw_17_uniotis_ft,eafw_17_uniotis_pt,eafw_17_uniotis_ns,eafw_17_uniotis_tot,eafw_17_other,eafw_17_ns,eafw_17_tot,eafw_18_techfei_ft,eafw_18_techfei_pt,lga_name16
42750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,8,0,7,0,7,0,0,0,0,0,0,11,3,9,0,8,0,10,0,10,0,4,30,3,19,0,26,7,7,0,17,3,10,48,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,7,0,8,0,4,0,4,5,5,26,3,11,0,14,3,9,0,5,38,11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kangaroo Island (DC)
43080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,3,10,10,0,9,0,6,0,3,0,3,4,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,8,0,4,0,4,3,0,0,3,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karoonda East Murray (DC)
43360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,12,4,7,0,6,0,4,0,5,0,5,21,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,8,16,0,8,0,6,3,6,0,6,21,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,Kingston (DC) (SA)
43650,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,3,3,0,5,3,0,33,0,5,0,8,3,8,0,6,0,4,18,3,22,0,30,0,24,0,24,8,20,86,8,59,0,64,6,40,0,43,13,27,144,0,0,0,0,0,0,0,0,15,0,18,3,0,0,4,0,0,0,0,25,3,34,0,0,0,3,13,0,0,13,11,0,28,0,0,0,3,12,0,0,12,0,0,11,0,5,0,9,28,3,0,31,0,0,43,0,0,0,4,3,3,0,4,0,0,9,4,18,0,18,16,15,0,29,16,9,76,16,29,0,43,71,22,0,92,71,20,224,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,Light (RegC)
43710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,9,0,5,0,5,0,4,0,4,3,7,22,3,17,0,17,0,7,0,7,5,12,43,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,9,0,6,0,3,0,4,0,5,25,0,12,0,12,8,3,0,4,32,10,60,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Lower Eyre Peninsula (DC)
43220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,4,0,7,8,0,0,0,0,0,4,0,7,0,8,17,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,4,0,0,5,14,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kimba (DC)
43790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,3,0,8,0,3,0,3,3,0,0,3,0,0,9,3,12,0,14,0,3,0,3,0,0,16,0,3,0,7,0,3,0,7,0,0,13,0,23,0,27,4,11,0,14,5,24,73,5,53,0,57,10,21,0,25,6,25,120,0,0,0,0,0,0,0,0,39,0,42,0,0,0,0,0,0,0,0,48,3,52,0,4,0,4,0,0,0,0,20,0,21,0,3,0,3,4,0,0,5,0,0,7,3,6,0,6,20,3,0,23,0,0,29,0,3,0,3,3,7,0,10,0,0,15,3,13,0,19,4,5,0,7,7,17,53,8,29,0,37,33,19,0,48,112,25,227,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Loxton Waikerie (DC)
43920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,9,0,6,0,6,0,0,0,0,4,0,7,3,11,0,13,3,3,0,8,3,14,39,3,22,0,23,9,3,0,9,5,12,62,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,5,0,5,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,24,3,0,24,0,0,28,0,3,0,4,0,0,0,0,0,0,11,7,13,0,20,3,0,0,3,11,0,31,10,19,0,31,29,7,0,33,17,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,Mallala (DC)
44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maralinga Tjarutja (AC)
44060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,13,0,0,0,0,3,0,14,0,16,0,16,0,0,0,3,3,0,23,5,63,0,66,12,23,0,44,18,3,126,5,43,0,48,19,51,0,63,12,0,125,13,114,0,124,25,151,0,175,51,49,404,24,248,0,272,57,228,0,286,79,62,701,0,0,0,0,0,0,0,0,175,3,178,3,3,0,3,3,0,0,3,210,5,220,6,7,0,21,111,15,0,122,82,3,227,11,11,0,21,167,10,0,177,6,3,206,52,36,0,89,607,66,3,676,18,5,800,25,26,0,51,141,35,0,174,22,0,247,48,94,0,140,109,121,0,228,70,49,488,154,181,0,329,1133,242,3,1386,580,66,2361,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,9,0,12,0,0,Marion (C)
