lga_code_2016,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
10050,440,419,860,1233,1138,2367,536,538,1074,340,352,690,2103,2031,4130,947,934,1881,366,344,709,281,355,643,1594,1635,3230,77,86,163,64,122,178,200,136,341,201,330,533,0,0,0,545,677,1221,232,589,819,118,200,320,59,71,132,176,348,521,0,3,3,582,1215,1796,40,67,106,88,154,245,3,4,9,131,224,358,1967,1945,3910,125,110,232,7479,8258,15733,Albury (C)
10130,267,230,492,828,817,1644,190,194,385,158,163,320,1174,1177,2349,557,515,1073,169,177,351,340,393,729,1067,1081,2151,39,41,78,35,46,79,82,59,146,109,145,252,4,0,7,272,293,562,951,1222,2180,319,375,698,88,103,190,155,311,467,12,4,15,1530,2020,3552,14,11,29,38,51,90,0,0,0,48,68,117,1190,1302,2490,175,150,326,5727,6317,12043,Armidale Regional (A)
10250,347,352,698,959,777,1739,486,437,915,230,236,465,1678,1446,3122,737,707,1446,473,488,962,123,158,278,1339,1347,2688,41,44,86,31,77,111,114,72,191,114,249,366,10,4,12,310,456,762,88,172,258,73,141,213,29,42,76,143,293,438,3,3,5,341,650,995,19,21,42,41,95,137,0,0,3,60,117,181,1516,1709,3225,93,104,190,5677,6183,11855,Ballina (A)
10300,23,22,39,71,77,144,37,34,73,3,0,3,109,106,217,46,48,91,17,10,29,0,0,0,66,59,126,0,0,0,0,0,0,3,0,3,0,11,12,0,0,0,10,16,25,0,4,9,0,0,0,0,0,4,3,8,14,0,0,0,9,16,22,0,0,3,3,3,6,0,0,0,5,5,8,172,143,319,11,6,18,403,373,778,Balranald (A)
10470,404,365,764,1174,1034,2214,609,620,1229,112,107,220,1896,1765,3661,841,690,1535,438,493,936,282,205,489,1564,1392,2950,47,70,123,32,78,107,152,105,254,134,262,391,5,9,10,371,519,897,567,824,1388,121,131,255,58,92,149,185,347,525,0,0,3,935,1395,2330,21,28,57,51,106,152,0,3,3,73,138,206,2358,1649,4007,43,55,98,7637,7281,14914,Bathurst Regional (A)
10550,251,221,476,921,815,1734,175,152,322,152,170,323,1246,1139,2379,608,624,1234,232,230,468,78,90,164,920,944,1866,15,26,44,12,22,38,90,63,158,64,140,202,0,5,9,187,260,443,24,48,72,23,73,96,7,23,35,62,176,243,3,0,3,125,320,443,19,15,28,24,72,93,0,3,3,36,86,123,1381,1465,2842,56,66,128,4208,4498,8702,Bega Valley (A)
10600,113,110,232,309,331,647,76,91,169,105,80,185,489,503,999,306,311,615,29,35,64,74,62,136,401,411,814,12,17,29,6,29,37,35,10,42,36,68,105,0,0,0,87,122,211,15,32,49,21,40,66,7,11,22,30,113,137,0,0,0,77,193,271,0,12,11,14,29,41,0,0,5,13,41,53,444,516,963,17,21,37,1651,1923,3576,Bellingen (A)
10650,76,79,152,221,209,424,67,85,144,25,20,50,310,306,619,154,157,312,38,29,65,22,37,60,212,223,432,3,7,14,0,9,13,22,11,34,32,38,64,0,0,0,53,67,127,7,16,21,5,5,11,0,7,11,5,41,54,0,0,0,23,69,90,0,0,8,6,11,20,0,0,3,11,21,29,438,448,886,19,20,34,1143,1225,2367,Berrigan (A)
10750,3349,3037,6382,11815,10818,22631,3532,3503,7031,1827,1635,3465,17172,15957,33131,7204,7015,14219,3762,3530,7288,1409,1459,2866,12371,12003,24375,646,623,1265,485,903,1386,1003,562,1570,899,1606,2497,37,48,80,3068,3735,6806,4013,4426,8442,1197,1504,2700,645,726,1372,1196,1709,2906,44,42,90,7098,8413,15514,646,708,1355,612,1072,1683,17,28,42,1276,1803,3078,10418,9730,20153,1472,2319,3790,56227,56999,113225,Blacktown (C)
10800,57,58,109,211,242,452,66,46,111,3,3,3,278,295,574,151,144,292,4,4,8,0,3,5,155,152,305,7,8,11,4,6,7,21,14,35,10,26,38,0,3,3,39,53,93,4,9,7,0,6,6,4,5,5,13,20,27,0,0,0,19,36,54,0,3,3,4,9,11,3,0,3,4,13,18,412,373,785,0,11,11,962,982,1950,Bland (A)
