lga_code_2016,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot,lga_name16
10050,23,39,72,90,169,289,415,451,318,1863,3,3,28,54,56,34,49,41,14,285,185,285,501,477,498,539,493,539,333,3856,1461,3522,6508,6248,6534,6337,4693,2760,1313,39379,Albury (C)
10130,8,23,43,43,90,187,271,242,154,1051,0,4,13,6,9,10,14,14,3,76,239,350,294,242,328,311,289,215,101,2366,1559,3044,3493,3119,3612,3464,2695,1526,631,23149,Armidale Regional (A)
10250,14,19,36,45,88,212,393,390,367,1553,4,4,11,11,11,21,16,11,6,92,140,107,242,318,435,548,520,506,400,3216,862,1574,3587,4645,5727,6465,5609,3199,1764,33434,Ballina (A)
10300,3,3,10,6,15,39,46,50,8,181,0,0,0,0,3,0,3,3,3,13,13,20,39,33,42,62,49,30,9,294,56,151,277,287,327,428,243,132,34,1935,Balranald (A)
10470,13,23,45,47,110,235,330,306,171,1278,0,0,11,12,17,20,23,9,3,96,312,528,629,497,459,421,417,306,208,3779,1549,3357,5146,4836,5172,4849,3714,1966,896,31479,Bathurst Regional (A)
10550,7,3,46,70,117,249,402,351,203,1455,3,0,5,5,12,12,12,12,3,61,97,90,192,235,410,522,513,462,274,2792,735,1147,2489,3149,4534,6050,5001,2611,1014,26732,Bega Valley (A)
10600,3,3,14,14,39,71,117,139,86,495,0,0,0,3,3,3,14,0,0,26,31,35,64,90,141,154,192,143,63,909,252,403,958,1295,1787,2238,1794,967,373,10063,Bellingen (A)
10650,0,0,15,12,15,75,163,130,85,502,0,0,0,4,3,8,7,7,0,27,50,47,77,82,107,149,174,105,77,872,182,343,745,871,948,1297,1284,686,297,6652,Berrigan (A)
10750,74,170,534,764,1449,2634,3166,2113,1072,11972,17,71,255,383,447,597,539,499,197,2996,1119,1339,3147,2924,2645,2334,2159,1307,653,17622,10585,22641,51987,51128,41862,33413,21325,9578,3530,246038,Blacktown (C)
10800,0,0,10,13,19,77,69,78,44,307,0,0,0,0,3,3,3,0,0,7,32,31,77,84,102,126,98,89,69,716,145,272,620,692,745,873,645,441,203,4646,Bland (A)
10850,4,0,8,10,27,56,82,81,45,305,0,0,0,3,0,0,0,3,0,6,28,24,40,65,88,80,90,64,22,509,176,294,693,856,1008,972,722,414,160,5293,Blayney (A)
10900,15,12,32,44,113,239,324,306,212,1303,0,3,16,21,21,17,23,28,12,138,158,147,326,430,519,603,655,472,260,3575,1914,3636,7028,9637,10829,11528,9028,4041,1606,59249,Blue Mountains (C)
