lga_code16,hnfa_15_19_ewft,hnfa_15_19_ewpt,hnfa_15_19_eafw,hnfa_15_19_ehw_ns,hnfa_15_19_tot,hnfa_20_24_ewft,hnfa_20_24_ewpt,hnfa_20_24_eafw,hnfa_20_24_ehw_ns,hnfa_20_24_tot,hnfa_25_29_ewft,hnfa_25_29_ewpt,hnfa_25_29_eafw,hnfa_25_29_ehw_ns,hnfa_25_29_tot,hnfa_30_34_ewft,hnfa_30_34_ewpt,hnfa_30_34_eafw,hnfa_30_34_ehw_ns,hnfa_30_34_tot,hnfa_35_39_ewft,hnfa_35_39_ewpt,hnfa_35_39_eafw,hnfa_35_39_ehw_ns,hnfa_35_39_tot,hnfa_40_44_ewft,hnfa_40_44_ewpt,hnfa_40_44_eafw,hnfa_40_44_ehw_ns,hnfa_40_44_tot,hnfa_45_49_ewft,hnfa_45_49_ewpt,hnfa_45_49_eafw,hnfa_45_49_ehw_ns,hnfa_45_49_tot,hnfa_50_54_ewft,hnfa_50_54_ewpt,hnfa_50_54_eafw,hnfa_50_54_ehw_ns,hnfa_50_54_tot,hnfa_55_59_ewft,hnfa_55_59_ewpt,hnfa_55_59_eafw,hnfa_55_59_ehw_ns,hnfa_55_59_tot,hnfa_60_64_ewft,hnfa_60_64_ewpt,hnfa_60_64_eafw,hnfa_60_64_ehw_ns,hnfa_60_64_tot,hnfa_65_69_ewft,hnfa_65_69_ewpt,hnfa_65_69_eafw,hnfa_65_69_ehw_ns,hnfa_65_69_tot,hnfa_70_74_ewft,hnfa_70_74_ewpt,hnfa_70_74_eafw,hnfa_70_74_ehw_ns,hnfa_70_74_tot,hnfa_75ov_ewft,hnfa_75ov_ewpt,hnfa_75ov_eafw,hnfa_75ov_ehw_ns,hnfa_75ov_tot,hnfa_tot_ewft,hnfa_tot_ewpt,hnfa_tot_eafw,hnfa_tot_ehw_ns,hnfa_tot_tot,dnhnfa_15_19_ewft,dnhnfa_15_19_ewpt,dnhnfa_15_19_eafw,dnhnfa_15_19_ehw_ns,dnhnfa_15_19_tot,dnhnfa_20_24_ewft,dnhnfa_20_24_ewpt,dnhnfa_20_24_eafw,dnhnfa_20_24_ehw_ns,dnhnfa_20_24_tot,dnhnfa_25_29_ewft,dnhnfa_25_29_ewpt,dnhnfa_25_29_eafw,dnhnfa_25_29_ehw_ns,dnhnfa_25_29_tot,dnhnfa_30_34_ewft,dnhnfa_30_34_ewpt,dnhnfa_30_34_eafw,dnhnfa_30_34_ehw_ns,dnhnfa_30_34_tot,dnhnfa_35_39_ewft,dnhnfa_35_39_ewpt,dnhnfa_35_39_eafw,dnhnfa_35_39_ehw_ns,dnhnfa_35_39_tot,dnhnfa_40_44_ewft,dnhnfa_40_44_ewpt,dnhnfa_40_44_eafw,dnhnfa_40_44_ehw_ns,dnhnfa_40_44_tot,dnhnfa_45_49_ewft,dnhnfa_45_49_ewpt,dnhnfa_45_49_eafw,dnhnfa_45_49_ehw_ns,dnhnfa_45_49_tot,dnhnfa_50_54_ewft,dnhnfa_50_54_ewpt,dnhnfa_50_54_eafw,dnhnfa_50_54_ehw_ns,dnhnfa_50_54_tot,dnhnfa_55_59_ewft,dnhnfa_55_59_ewpt,dnhnfa_55_59_eafw,dnhnfa_55_59_ehw_ns,dnhnfa_55_59_tot,dnhnfa_60_64_ewft,dnhnfa_60_64_ewpt,dnhnfa_60_64_eafw,dnhnfa_60_64_ehw_ns,dnhnfa_60_64_tot,dnhnfa_65_69_ewft,dnhnfa_65_69_ewpt,dnhnfa_65_69_eafw,dnhnfa_65_69_ehw_ns,dnhnfa_65_69_tot,dnhnfa_70_74_ewft,dnhnfa_70_74_ewpt,dnhnfa_70_74_eafw,dnhnfa_70_74_ehw_ns,dnhnfa_70_74_tot,dnhnfa_75ov_ewft,dnhnfa_75ov_ewpt,dnhnfa_75ov_eafw,dnhnfa_75ov_ehw_ns,dnhnfa_75ov_tot,dnhnfa_tot_ewft,dnhnfa_tot_ewpt,dnhnfa_tot_eafw,dnhnfa_tot_ehw_ns,dnhnfa_tot_tot,nfans_15_19_ewft,nfans_15_19_ewpt,nfans_15_19_eafw,nfans_15_19_ehw_ns,nfans_15_19_tot,nfans_20_24_ewft,nfans_20_24_ewpt,nfans_20_24_eafw,nfans_20_24_ehw_ns,nfans_20_24_tot,nfans_25_29_ewft,nfans_25_29_ewpt,nfans_25_29_eafw,nfans_25_29_ehw_ns,nfans_25_29_tot,nfans_30_34_ewft,nfans_30_34_ewpt,nfans_30_34_eafw,nfans_30_34_ehw_ns,nfans_30_34_tot,nfans_35_39_ewft,nfans_35_39_ewpt,nfans_35_39_eafw,nfans_35_39_ehw_ns,nfans_35_39_tot,nfans_40_44_ewft,nfans_40_44_ewpt,nfans_40_44_eafw,nfans_40_44_ehw_ns,nfans_40_44_tot,nfans_45_49_ewft,nfans_45_49_ewpt,nfans_45_49_eafw,nfans_45_49_ehw_ns,nfans_45_49_tot,nfans_50_54_ewft,nfans_50_54_ewpt,nfans_50_54_eafw,nfans_50_54_ehw_ns,nfans_50_54_tot,nfans_55_59_ewft,nfans_55_59_ewpt,nfans_55_59_eafw,nfans_55_59_ehw_ns,nfans_55_59_tot,nfans_60_64_ewft,nfans_60_64_ewpt,nfans_60_64_eafw,nfans_60_64_ehw_ns,nfans_60_64_tot,nfans_65_69_ewft,nfans_65_69_ewpt,nfans_65_69_eafw,nfans_65_69_ehw_ns,nfans_65_69_tot,nfans_70_74_ewft,nfans_70_74_ewpt,nfans_70_74_eafw,nfans_70_74_ehw_ns,nfans_70_74_tot,lga_name16
10050,3,10,0,0,10,3,13,3,0,15,12,13,0,0,23,10,9,3,0,22,6,13,6,0,24,6,10,3,0,23,9,9,3,0,18,6,15,3,0,26,8,9,0,0,18,6,5,7,0,20,0,8,0,4,13,0,3,0,0,4,0,7,0,0,9,67,121,25,10,229,348,1237,62,53,1701,1275,986,57,57,2376,1544,679,121,37,2379,1507,824,142,32,2512,1471,796,85,29,2384,1599,814,67,36,2517,1796,784,62,48,2689,1752,778,86,27,2648,1532,775,104,32,2440,881,674,75,17,1653,285,378,37,20,716,47,105,16,8,175,17,58,5,11,94,14059,8896,928,402,24282,4,5,0,3,13,5,3,3,3,19,15,5,0,3,24,22,6,0,0,35,15,11,0,4,24,16,15,0,0,29,32,15,0,0,50,24,4,0,0,35,20,16,4,0,37,21,5,0,5,27,4,3,3,3,12,0,3,0,0,5,Albury (C)
10130,0,3,0,0,3,0,11,0,0,11,0,7,0,0,7,0,3,0,0,9,0,9,0,0,15,3,6,0,0,17,4,15,0,0,18,5,9,0,0,21,7,0,0,0,11,3,8,0,0,12,0,4,0,0,4,0,4,0,0,4,0,8,3,0,13,34,92,3,7,136,163,627,54,33,886,563,658,53,52,1322,740,381,49,15,1184,745,351,48,16,1161,676,336,48,11,1074,819,403,19,21,1259,919,384,28,21,1356,1016,411,31,19,1483,871,400,54,15,1343,556,312,40,13,922,215,201,24,11,456,107,100,4,5,218,63,57,4,7,133,7451,4621,472,243,12779,0,9,0,0,7,3,4,4,0,14,9,0,3,0,15,11,3,0,0,16,4,8,0,0,17,21,8,0,0,29,12,5,0,0,19,7,0,0,0,11,21,8,4,0,34,5,3,3,0,15,0,3,0,0,6,0,4,0,0,6,Armidale Regional (A)
10250,0,8,0,0,10,3,11,0,0,13,10,7,0,0,16,3,6,0,0,10,3,7,0,0,12,9,16,4,0,24,0,10,0,0,11,3,22,0,0,26,4,10,0,3,15,3,4,4,0,11,0,11,0,0,12,0,4,0,3,6,0,4,0,3,8,40,112,8,10,172,165,741,39,25,970,524,470,37,18,1047,573,345,30,19,972,678,415,44,16,1159,807,471,31,27,1336,917,597,30,27,1574,1017,632,37,21,1700,1067,629,45,25,1771,974,703,67,33,1776,606,587,50,13,1261,199,345,36,13,588,72,124,12,11,215,48,72,3,6,128,7652,6123,469,253,14494,3,7,0,0,12,9,4,0,0,14,10,5,0,0,19,11,4,0,0,15,13,7,0,3,25,10,8,0,0,21,15,12,0,3,29,21,11,0,0,33,21,13,3,0,41,7,10,0,0,20,3,3,0,0,5,3,3,0,0,4,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,8,12,13,5,0,21,44,18,0,7,69,35,12,3,0,55,34,13,3,5,55,44,22,0,0,69,60,31,3,3,91,56,29,3,3,90,54,28,0,4,88,71,26,5,3,106,43,37,0,3,86,17,11,3,0,34,3,5,0,0,9,0,4,0,0,3,479,252,28,25,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,5,3,0,0,9,6,13,0,0,19,9,9,0,0,17,7,6,3,0,12,0,8,0,0,12,14,14,0,0,26,3,13,0,0,16,10,8,0,0,24,5,3,4,0,14,3,8,0,0,15,0,3,0,0,9,0,0,0,0,4,0,3,0,0,9,68,94,19,6,179,242,796,50,50,1133,869,799,80,52,1800,1144,460,77,29,1714,1032,490,81,35,1641,1039,453,49,23,1569,1199,508,36,23,1775,1296,477,51,20,1848,1268,464,48,22,1801,1113,482,56,19,1679,687,411,68,17,1182,269,238,26,7,533,74,123,21,4,213,46,67,9,4,126,10273,5775,653,322,17016,7,0,0,0,9,3,7,0,0,21,9,3,0,0,14,19,6,0,4,28,15,10,0,0,25,16,12,0,3,31,34,10,3,3,50,17,5,0,3,25,17,6,0,0,22,6,5,5,0,12,5,3,0,0,8,4,0,0,0,3,Bathurst Regional (A)
10550,0,3,0,0,3,0,12,0,0,16,0,8,0,0,10,0,3,0,0,4,3,6,0,0,6,5,10,0,0,15,4,7,0,0,11,4,14,0,0,22,6,13,0,0,15,8,15,0,0,19,3,3,0,0,5,0,0,0,0,0,0,5,0,0,10,32,96,4,4,140,172,492,37,27,725,386,238,26,29,674,431,218,30,7,689,495,294,57,9,853,530,351,33,16,926,664,404,37,20,1118,844,486,48,21,1400,943,559,44,27,1572,834,694,91,25,1652,514,544,72,27,1149,205,288,29,20,533,65,114,21,11,207,40,54,8,6,110,6117,4740,518,230,11606,0,5,0,0,9,8,3,0,0,16,4,3,0,0,12,12,6,0,0,22,3,12,0,0,16,12,12,0,0,20,11,7,0,0,21,13,15,4,0,27,11,15,0,0,33,6,10,0,0,17,3,6,0,0,9,0,0,0,0,0,Bega Valley (A)
10600,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,3,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,14,10,3,38,29,138,3,8,181,71,66,4,6,141,101,71,4,3,187,153,108,12,8,278,141,117,14,6,281,193,163,10,3,371,224,178,13,12,432,243,189,18,7,460,249,219,26,5,494,168,199,20,8,395,74,92,5,4,174,25,41,4,0,76,22,24,5,9,56,1691,1605,136,76,3509,0,3,0,0,3,0,0,0,0,4,3,5,0,0,8,4,3,0,0,8,0,7,0,0,11,6,3,0,0,11,3,0,0,0,4,8,3,0,0,8,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Bellingen (A)
10650,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,12,0,3,21,48,83,9,6,137,107,53,5,7,179,127,62,7,3,203,125,53,5,7,188,125,76,10,4,212,160,72,4,3,238,189,69,11,0,275,167,95,11,10,286,187,129,19,0,337,174,110,20,5,310,71,68,8,11,159,31,34,4,3,74,21,29,3,6,54,1523,935,119,74,2653,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,3,0,3,0,0,5,0,0,0,0,7,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,Berrigan (A)
10750,11,40,0,3,58,25,82,3,4,118,29,60,5,0,99,37,50,5,0,90,42,47,3,5,98,60,53,6,0,126,59,54,4,0,119,66,61,9,7,139,58,55,9,7,131,28,43,4,3,82,18,31,0,3,55,4,9,0,3,20,3,10,3,4,22,451,588,63,40,1146,1297,4180,229,175,5883,5145,4015,216,318,9698,7893,2455,352,283,10982,8564,2787,425,274,12044,8445,2837,309,293,11889,8773,2816,207,226,12025,8456,2656,194,248,11550,8086,2350,210,218,10865,6604,2061,216,135,9014,3877,1708,192,85,5858,1270,891,105,46,2312,278,352,20,27,682,59,125,16,16,213,68751,29245,2688,2349,103031,12,30,0,4,44,55,39,8,4,105,70,19,0,10,103,62,38,3,21,116,88,36,4,7,130,100,23,0,8,130,100,27,7,11,139,104,39,0,12,149,71,35,3,6,117,47,21,0,7,71,21,18,3,0,40,8,3,0,3,14,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,4,0,0,4,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,3,0,3,7,13,3,0,23,40,67,3,10,118,122,55,10,3,190,136,50,4,3,199,149,70,6,8,229,171,58,8,4,244,188,70,9,3,265,187,56,3,3,247,188,67,8,8,274,210,82,13,7,302,126,71,10,7,211,70,37,10,8,114,25,18,4,5,53,25,24,5,6,67,1641,720,85,79,2528,0,3,0,0,4,5,0,0,0,3,3,0,0,0,3,3,3,0,0,5,0,0,0,3,6,3,6,0,0,3,4,0,0,0,7,0,5,0,0,6,4,0,0,0,3,5,0,0,0,8,3,0,0,0,5,3,0,0,0,0,Bland (A)
