LGA_MAIN11,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
12600,64,119,173,165,171,127,42,5,0,866,36,27,38,49,60,51,28,6,0,295,1444,1708,3513,3966,4248,2781,635,92,9,18396,Dubbo (C)
12700,8,18,25,47,36,30,7,0,3,174,5,7,11,13,27,18,6,5,0,92,237,262,501,806,1004,671,186,43,10,3720,Dungog (A)
12750,35,47,79,126,121,95,17,3,0,523,31,15,32,53,59,45,19,7,3,264,883,714,1583,2575,3457,2750,486,72,9,12529,Eurobodalla (A)
12850,140,424,733,767,632,347,69,4,0,3116,137,384,728,706,628,346,59,16,8,3012,3076,8224,15764,15172,15967,9071,1213,112,8,68607,Fairfield (C)
12900,9,24,26,17,26,21,10,0,0,133,7,4,16,20,14,16,12,6,0,95,252,317,641,825,910,679,204,52,4,3884,Forbes (A)
12950,10,5,8,8,16,20,6,0,0,73,0,6,12,3,6,6,0,0,0,33,97,118,272,344,458,373,135,31,0,1828,Gilgandra (A)
13010,12,23,39,27,49,21,6,4,0,181,8,6,13,13,14,13,9,3,0,79,216,224,511,667,854,667,226,50,0,3415,Glen Innes Severn (A)
13050,9,6,5,17,13,7,7,0,0,64,0,0,3,3,9,7,8,3,0,33,114,101,248,396,504,423,145,31,0,1962,Gloucester (A)
13100,169,339,516,623,658,459,97,8,0,2869,118,138,296,344,360,242,79,28,13,1618,4518,6470,12153,16046,17738,11635,2231,226,34,71051,Gosford (C)
13310,46,70,94,122,78,70,21,0,0,501,16,27,60,46,50,42,11,5,3,260,864,1042,2048,2653,2968,2031,426,78,6,12116,Goulburn Mulwaree (A)
13320,34,37,77,111,106,80,24,0,0,469,15,25,34,63,65,51,33,11,0,297,721,686,1401,2320,3032,2292,534,72,9,11067,Great Lakes (A)
13340,9,10,27,28,42,22,3,0,0,141,15,6,12,15,19,21,16,6,3,113,270,264,609,907,1220,911,300,66,10,4557,Greater Hume Shire (A)
13380,43,50,93,168,158,114,18,0,0,644,27,19,45,64,77,75,19,10,0,336,1187,1096,2232,3393,4488,3243,651,94,14,16398,Greater Taree (C)
26730,37,64,124,97,99,79,21,0,0,521,40,22,42,44,46,43,13,10,0,260,1282,1560,2862,3182,3530,2280,379,40,6,15121,Warrnambool (C)
26810,61,80,111,132,150,106,31,0,0,671,36,45,47,67,68,55,19,10,3,350,1206,1445,2991,3547,4432,3442,675,127,23,17888,Wellington (S)
12350,18,16,31,40,31,25,9,3,0,173,11,5,15,21,22,31,10,6,0,121,326,332,654,980,1103,1008,267,57,8,4735,Cowra (A)
13450,45,66,96,77,97,61,15,0,0,457,25,46,56,36,60,43,27,7,5,305,826,1028,2250,2423,2560,1630,405,81,14,11217,Griffith (C)
13500,3,4,4,7,8,3,10,0,0,39,3,0,6,14,12,6,8,4,4,57,138,128,231,337,409,309,113,15,4,1684,Gundagai (A)
13550,26,23,45,43,40,41,6,4,0,228,15,15,13,25,29,20,15,3,0,135,385,445,905,1048,1257,912,214,54,6,5226,Gunnedah (A)
13650,0,7,8,6,7,8,3,3,0,42,3,0,6,4,11,11,10,0,0,45,104,134,276,375,424,356,123,28,0,1820,Guyra (A)
13660,10,9,8,7,6,8,3,0,0,51,0,4,0,6,14,9,6,0,0,39,92,121,292,452,505,380,159,29,0,2030,Gwydir (A)
13700,3,6,11,9,11,9,3,0,0,52,0,0,6,4,11,14,5,6,0,46,50,94,206,280,364,325,90,28,0,1437,Harden (A)
